Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-11-24,BOROLTD,EQ,158.15,158.5,160.5,154.2,156.9,156.1,159.23,148351,2362204425000.0,1224,117225,0.7902
2020-11-25,BOROLTD,EQ,156.1,159.0,160.15,152.1,153.4,152.8,154.02,70855,1091330150000.0,1222,40771,0.5754
2020-11-26,BOROLTD,EQ,152.8,155.9,158.9,152.5,157.15,158.35,156.13,90047,1405940280000.0,1291,63320,0.7031999999999999
2020-11-27,BOROLTD,EQ,158.35,158.95,161.7,156.25,158.0,158.4,158.83,123709,1964882510000.0002,2519,68292,0.552
2020-12-01,BOROLTD,EQ,158.4,159.3,166.3,158.0,166.3,166.3,164.37,89998,1479259020000.0,1070,78389,0.871
2020-12-02,BOROLTD,EQ,166.3,174.6,174.6,168.4,170.0,171.05,173.77,488579,8489914695000.0,3309,280298,0.5737
2020-12-03,BOROLTD,EQ,171.05,172.55,175.8,167.0,168.95,168.05,170.26,176103,2998341595000.0,2530,112908,0.6411
2020-12-04,BOROLTD,EQ,168.05,169.05,170.65,162.0,166.9,165.8,167.58,118504,1985870080000.0,1977,78087,0.6589
2020-12-07,BOROLTD,EQ,165.8,168.0,181.0,166.45,173.5,173.15,176.26,302269,5327873725000.0,6837,196406,0.6498
2020-12-08,BOROLTD,EQ,173.15,176.7,180.05,167.0,170.15,169.9,172.31,172492,2972203500000.0,3289,118061,0.6844
2020-12-09,BOROLTD,EQ,169.9,170.15,175.3,167.35,168.5,168.9,170.15,129705,2206925955000.0,1968,93664,0.7221
2020-12-10,BOROLTD,EQ,168.9,167.9,169.95,163.0,163.0,163.7,165.16,87677,1448054705000.0,1904,57498,0.6558
2020-12-11,BOROLTD,EQ,163.7,165.0,173.0,162.0,169.8,168.95,168.56,144625,2437806650000.0,2353,102445,0.7083
2020-12-14,BOROLTD,EQ,168.95,172.7,185.8,171.5,185.8,185.8,180.21,278148,5012640935000.0,2912,239112,0.8597
2020-12-15,BOROLTD,EQ,185.8,199.35,204.35,188.8,191.65,195.2,201.02,1343829,27012986289999.996,15176,574434,0.4275
2020-12-16,BOROLTD,EQ,195.2,193.85,198.6,188.3,193.0,191.85,193.57,296750,5744207275000.0,5688,138832,0.4678
2020-12-17,BOROLTD,EQ,191.85,194.1,197.9,172.7,174.5,177.0,185.65,459630,8532816880000.0,5833,292615,0.6365999999999999
2020-12-18,BOROLTD,EQ,177.0,176.0,178.7,171.0,173.05,173.6,174.16,263912,4596182955000.0,4312,172638,0.6541
2020-12-21,BOROLTD,EQ,173.6,175.8,187.3,164.0,169.05,170.15,179.38,469567,8423222475000.0,9292,191261,0.4073
2020-12-22,BOROLTD,EQ,170.15,173.5,185.0,165.0,184.8,183.65,176.14,453300,7984203670000.0,6753,189164,0.4173
2020-12-23,BOROLTD,EQ,183.65,185.4,202.0,184.0,200.95,201.25,196.87,967295,19042766595000.0,15768,396353,0.4098
2020-12-24,BOROLTD,EQ,201.25,205.0,214.65,199.0,200.6,202.25,206.0,785144,16174087915000.0,13888,329480,0.41960000000000003
2020-12-28,BOROLTD,EQ,202.25,204.25,214.95,196.45,211.6,210.35,209.19,810704,16958986415000.0,13860,355835,0.4389
2020-12-29,BOROLTD,EQ,210.35,212.4,231.35,212.4,231.35,231.35,225.3,871028,19624581495000.0,14435,427413,0.4907
2020-12-30,BOROLTD,EQ,231.35,236.5,242.9,225.7,242.9,242.9,239.72,1458773,34969065470000.0,24365,467806,0.3207
2020-12-31,BOROLTD,EQ,242.9,245.0,254.0,230.8,230.8,231.4,242.61,1227680,29785162310000.004,22738,534015,0.435
