Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-10-28,BSHSL,EQ,96.3,97.0,99.95,88.95,93.65,93.75,95.27,1346,12822980000.0,39,1100,0.8172
2020-10-29,BSHSL,EQ,93.75,91.0,95.0,91.0,92.5,92.5,93.38,437,4080800000.0,11,281,0.643
2020-10-30,BSHSL,EQ,92.5,91.1,93.65,81.65,93.65,89.0,87.97,873,7679439999.999999,36,546,0.6254
2020-11-02,BSHSL,EQ,89.0,97.4,97.4,91.0,92.8,92.8,91.15,1755,15997100000.0,7,1700,0.9687000000000001
2020-11-03,BSHSL,EQ,92.8,87.05,94.55,87.05,90.0,90.0,89.77,110,987504999.9999999,4,100,0.9091
2020-11-04,BSHSL,EQ,90.0,92.85,92.85,90.0,90.0,90.0,90.08,35,315285000.0,2,35,1.0
2020-11-05,BSHSL,EQ,90.0,93.6,93.6,93.6,93.6,93.6,93.6,25,234000000.0,1,25,1.0
2020-11-06,BSHSL,EQ,93.6,93.0,93.0,93.0,93.0,93.0,93.0,100,930000000.0,1,100,1.0
2020-11-09,BSHSL,EQ,93.0,93.0,93.0,90.0,90.0,92.95,92.97,101,939000000.0,2,101,1.0
2020-11-10,BSHSL,EQ,92.95,89.95,94.55,89.9,93.8,93.8,94.13,1449,13638850000.0,9,1449,1.0
2020-11-11,BSHSL,EQ,93.8,94.9,94.9,83.3,94.9,94.75,93.74,601,5633865000.0,34,448,0.7454000000000001
2020-11-12,BSHSL,EQ,94.75,90.0,94.85,88.0,94.85,94.8,94.7,308,2916650000.0,9,202,0.6558
2020-11-13,BSHSL,EQ,94.8,94.0,94.35,94.0,94.35,94.3,94.28,100,942800000.0,5,100,1.0
2020-11-14,BSHSL,EQ,94.3,93.5,93.5,93.45,93.45,93.45,93.47,3,28039999.999999996,3,2,0.6667000000000001
2020-11-17,BSHSL,EQ,93.45,83.6,92.85,78.05,91.0,89.55,83.19,27223,226463115000.0,563,9850,0.3618
2020-11-18,BSHSL,EQ,89.55,81.25,99.95,81.25,91.95,91.1,89.83,12607,113253895000.0,158,2556,0.2027
2020-11-19,BSHSL,EQ,91.1,91.05,94.85,86.35,93.5,93.35,92.08,1856,17089840000.0,56,1013,0.5458
2020-11-20,BSHSL,EQ,93.35,96.95,96.95,88.2,90.85,90.85,90.89,1373,12479845000.0,36,1209,0.8806
2020-11-23,BSHSL,EQ,90.85,90.0,90.0,86.5,89.4,89.3,88.21,1661,14652390000.0,39,978,0.5888
2020-11-24,BSHSL,EQ,89.3,93.0,93.0,87.0,89.0,88.95,89.28,364,3249645000.0,17,357,0.9808
2020-11-25,BSHSL,EQ,88.95,94.95,98.8,87.1,88.25,88.35,90.64,2678,24273745000.0,49,1782,0.6654000000000001
2020-11-26,BSHSL,EQ,88.35,87.05,90.0,86.55,90.0,90.0,89.03,106,943750000.0,8,76,0.7170000000000001
2020-11-27,BSHSL,EQ,90.0,93.0,93.0,89.0,91.85,91.85,91.41,275,2513820000.0,9,173,0.6291
2020-12-01,BSHSL,EQ,91.85,91.85,91.85,83.25,90.0,90.25,86.13,831,7157039999.999999,32,665,0.8002
2020-12-02,BSHSL,EQ,90.25,91.0,92.0,87.5,87.7,87.7,91.12,1205,10979585000.0,14,1205,1.0
2020-12-03,BSHSL,EQ,87.7,87.75,94.35,87.75,92.5,92.8,91.2,345,3146420000.0,15,234,0.6783
2020-12-04,BSHSL,EQ,92.8,92.0,92.25,88.1,92.25,90.15,90.72,1819,16501840000.0,35,1513,0.8318000000000001
2020-12-07,BSHSL,EQ,90.15,87.45,94.95,75.2,88.0,88.05,89.07,3597,32037490000.000004,66,1181,0.3283
2020-12-08,BSHSL,EQ,88.05,88.15,91.5,86.0,90.0,90.0,88.31,5319,46971010000.0,57,4560,0.8573000000000001
2020-12-09,BSHSL,EQ,90.0,92.9,92.9,86.0,87.0,87.65,88.0,1528,13446850000.0,37,1109,0.7258
2020-12-10,BSHSL,EQ,87.65,90.0,91.2,87.0,90.9,90.8,90.16,1665,15011815000.0,56,1404,0.8432
2020-12-11,BSHSL,EQ,90.8,92.0,92.95,87.4,92.9,91.55,91.23,1464,13355370000.000002,14,1462,0.9986
2020-12-14,BSHSL,EQ,91.55,92.95,95.0,88.1,92.75,92.65,92.6,3434,31798815000.000004,77,2248,0.6546
2020-12-15,BSHSL,EQ,92.65,93.5,95.0,89.1,92.9,91.45,92.56,800,7404945000.0,15,701,0.8763
2020-12-16,BSHSL,EQ,91.45,93.75,93.75,90.0,93.0,93.0,92.12,853,7857770000.0,17,448,0.5252
2020-12-17,BSHSL,EQ,93.0,96.0,96.0,90.05,94.0,94.0,94.92,1168,11086490000.0,43,868,0.7432
2020-12-18,BSHSL,EQ,94.0,90.5,92.3,90.35,91.35,91.35,91.28,295,2692845000.0,5,200,0.6779999999999999
2020-12-21,BSHSL,EQ,91.35,91.35,96.0,89.0,91.9,91.25,91.13,1513,13787865000.0,41,1238,0.8181999999999999
2020-12-22,BSHSL,EQ,91.25,88.0,96.0,84.2,89.05,91.9,91.84,1010,9275650000.0,25,625,0.6188
2020-12-23,BSHSL,EQ,91.9,93.0,93.0,91.0,92.0,92.0,91.99,110,1011900000.0,9,109,0.9909
2020-12-24,BSHSL,EQ,92.0,94.0,94.0,89.5,89.5,89.5,91.18,1103,10056940000.0,11,599,0.5431
2020-12-28,BSHSL,EQ,89.5,91.9,96.7,91.9,95.0,95.0,94.39,2735,25815800000.0,34,2698,0.9865
2020-12-29,BSHSL,EQ,95.0,95.5,98.0,92.45,97.0,96.2,95.93,582,5583270000.0,26,324,0.5567000000000001
2020-12-30,BSHSL,EQ,96.2,97.0,97.0,92.5,92.5,92.55,94.9,940,8920420000.0,37,494,0.5255
2020-12-31,BSHSL,EQ,92.55,93.0,96.5,92.0,94.85,92.95,93.2,768,7158085000.000001,17,675,0.8789
