Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-06-10,CYBERMEDIA,EQ,60.0,75.0,109.3,74.1,107.0,105.85,100.11,10978114,109906287195000.0,,751335,0.0684
2005-06-13,CYBERMEDIA,EQ,105.85,110.0,127.05,107.55,127.05,127.05,117.41,8511634,99936428470000.0,,592134,0.0696
2005-06-14,CYBERMEDIA,EQ,127.05,130.3,152.5,130.3,149.1,149.2,144.43,15639938,225880753755000.03,,472037,0.0302
2005-06-15,CYBERMEDIA,EQ,149.2,150.0,152.95,140.35,143.5,142.9,144.54,6912541,99911743595000.0,,383526,0.0555
2005-06-16,CYBERMEDIA,EQ,142.9,144.0,166.7,139.2,157.5,158.1,154.13,12221850,188377249300000.0,,640576,0.0524
2005-06-17,CYBERMEDIA,EQ,158.1,158.35,158.35,142.25,142.75,144.0,147.85,5262122,77799311245000.0,,499945,0.095
2005-06-20,CYBERMEDIA,EQ,144.0,143.7,144.9,132.0,133.3,133.75,138.11,1565370,21618880035000.0,,213801,0.1366
2005-06-21,CYBERMEDIA,EQ,133.75,134.8,144.0,133.0,136.6,139.3,139.89,3251619,45487485370000.0,,211307,0.065
2005-06-22,CYBERMEDIA,EQ,139.3,138.25,139.95,129.25,130.65,131.1,134.89,1375573,18554983605000.0,,200700,0.1459
2005-06-23,CYBERMEDIA,EQ,131.1,132.0,132.5,125.3,125.55,126.3,127.94,978180,12514763250000.0,,145894,0.1491
2005-06-24,CYBERMEDIA,EQ,126.3,126.0,137.7,112.5,129.5,129.2,131.02,3252039,42608591385000.0,,198653,0.0611
2005-06-27,CYBERMEDIA,EQ,129.2,128.3,134.3,125.25,126.65,127.05,130.59,1782160,23273924965000.0,,132709,0.0745
2005-06-28,CYBERMEDIA,EQ,127.05,127.45,130.9,121.6,121.9,122.45,127.04,978025,12424766205000.0,,93527,0.0956
2005-06-29,CYBERMEDIA,EQ,122.45,122.8,124.5,122.25,123.5,123.1,123.36,551030,6797439930000.0,,88734,0.161
2005-06-30,CYBERMEDIA,EQ,123.1,124.4,132.85,123.3,126.25,126.6,128.9,1801877,23226920430000.0,,122188,0.0678
2005-07-01,CYBERMEDIA,EQ,126.6,126.7,130.45,126.0,126.25,126.75,127.87,601419,7690632980000.0,,61923,0.10300000000000001
2005-07-04,CYBERMEDIA,EQ,126.75,126.5,130.4,126.0,126.65,127.4,128.36,736365,9452106405000.0,,70097,0.09519999999999999
2005-07-05,CYBERMEDIA,EQ,127.4,127.75,128.7,122.25,122.85,122.95,125.46,392755,4927394555000.0,,95697,0.24370000000000003
2005-07-06,CYBERMEDIA,EQ,122.95,123.85,125.4,122.85,123.6,123.7,124.04,265464,3292755700000.0,,37757,0.14220000000000002
2005-07-07,CYBERMEDIA,EQ,123.7,124.65,124.7,117.55,117.55,118.5,121.48,192838,2342573530000.0,,54322,0.2817
2005-07-08,CYBERMEDIA,EQ,118.5,119.0,121.5,117.3,118.3,118.0,119.27,220293,2627349790000.0,,42495,0.1929
2005-07-11,CYBERMEDIA,EQ,118.0,119.0,122.0,118.1,118.7,119.0,119.8,283423,3395495620000.0005,,48459,0.171
2005-07-12,CYBERMEDIA,EQ,119.0,119.7,120.95,115.5,115.8,116.25,118.29,218340,2582800115000.0,,41051,0.188
2005-07-13,CYBERMEDIA,EQ,116.25,117.4,117.9,113.25,113.6,113.7,114.85,115274,1323908115000.0,,29381,0.2549
2005-07-14,CYBERMEDIA,EQ,113.7,114.7,136.45,111.4,131.65,134.2,129.23,2507107,32400507300000.0,,420706,0.1678
2005-07-15,CYBERMEDIA,EQ,134.2,132.0,140.0,123.8,124.25,125.95,129.33,1792073,23176299935000.0,,238579,0.1331
2005-07-18,CYBERMEDIA,EQ,125.95,125.6,127.85,122.1,123.25,123.15,124.66,383433,4779690285000.0,,71191,0.1857
2005-07-19,CYBERMEDIA,EQ,123.15,124.3,124.4,120.5,121.65,121.5,122.55,133023,1630224020000.0,,33152,0.24920000000000003
2005-07-20,CYBERMEDIA,EQ,121.5,122.2,123.0,120.05,120.55,120.35,121.39,91840,1114882320000.0,,30471,0.3318
2005-07-21,CYBERMEDIA,EQ,120.35,121.5,122.9,117.05,117.5,118.1,119.97,157319,1887416239999.9998,,47400,0.3013
2005-07-22,CYBERMEDIA,EQ,118.1,118.2,124.0,118.2,121.0,121.85,120.67,208014,2510156525000.0,,58509,0.2813
2005-07-25,CYBERMEDIA,EQ,121.85,122.0,129.75,120.5,122.6,123.7,125.82,435869,5484026015000.0,,78961,0.1812
2005-07-26,CYBERMEDIA,EQ,123.7,124.5,127.95,121.5,124.9,124.65,124.92,283378,3539820090000.0,,65105,0.2297
2005-07-27,CYBERMEDIA,EQ,124.65,125.0,128.9,123.5,124.05,124.8,126.18,303910,3834870295000.0005,,32335,0.10640000000000001
2005-07-29,CYBERMEDIA,EQ,124.8,122.1,125.0,120.0,121.0,121.2,123.05,74213,913224790000.0,,27136,0.3657
2005-08-01,CYBERMEDIA,EQ,121.2,123.0,123.4,119.0,120.25,120.5,121.02,49971,604770375000.0,,17991,0.36
2005-08-02,CYBERMEDIA,EQ,120.5,121.9,123.9,121.0,121.55,121.2,121.89,67236,819537025000.0,,18036,0.2682
2005-08-03,CYBERMEDIA,EQ,121.2,122.4,123.0,118.1,119.0,119.4,120.94,50825,614682000000.0,,16677,0.3281
2005-08-04,CYBERMEDIA,EQ,119.4,120.5,120.75,117.5,118.5,118.45,119.26,53769,641262220000.0,,18292,0.34020000000000006
2005-08-05,CYBERMEDIA,EQ,118.45,119.75,123.3,118.5,118.7,118.95,120.76,98700,1191854540000.0,,23639,0.2395
2005-08-08,CYBERMEDIA,EQ,118.95,120.0,121.4,116.1,118.0,117.1,118.92,57010,677983200000.0,,18189,0.319
2005-08-09,CYBERMEDIA,EQ,117.1,118.0,119.5,116.1,117.0,116.8,117.66,47487,558721040000.0,,15211,0.32030000000000003
2005-08-10,CYBERMEDIA,EQ,116.8,117.9,119.5,117.1,118.3,117.95,118.09,36132,426669240000.00006,,9769,0.2704
