Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-11-13,DANGEE,EQ,92.0,110.4,110.4,110.0,110.4,110.4,110.4,2609,28802959999.999996,62,2400,0.9198999999999999
2020-11-14,DANGEE,EQ,110.4,132.45,132.45,132.45,132.45,132.45,132.45,4367,57840915000.0,47,4333,0.9922
2020-11-17,DANGEE,EQ,132.45,157.9,158.9,148.0,158.9,158.9,157.35,23949,376834460000.0,592,14792,0.6176
2020-11-18,DANGEE,EQ,158.9,170.0,174.75,143.05,143.05,143.05,156.2,58045,906690005000.0001,1159,31781,0.5475
2020-11-19,DANGEE,EQ,143.05,130.3,144.85,128.75,134.5,133.9,135.78,40741,553198525000.0,1148,13345,0.3276
2020-11-20,DANGEE,EQ,133.9,133.9,137.95,121.1,124.0,123.8,127.28,11559,147118255000.0,421,6861,0.5936
2020-11-23,DANGEE,EQ,123.8,123.8,124.9,117.65,117.65,117.65,118.33,15562,184140680000.0,407,10586,0.6802
2020-11-24,DANGEE,EQ,117.65,117.65,117.7,111.8,111.8,112.0,113.32,9165,103860070000.0,293,5577,0.6085
2020-11-25,DANGEE,EQ,112.0,107.05,117.6,107.05,117.6,117.6,116.74,17170,200439385000.0,309,13698,0.7978000000000001
2020-11-26,DANGEE,EQ,117.6,123.45,123.45,118.0,123.0,123.0,122.24,12786,156290150000.0,276,7326,0.573
2020-11-27,DANGEE,EQ,123.0,125.5,127.0,116.85,119.2,119.0,119.09,11798,140504845000.0,284,7315,0.62
2020-12-01,DANGEE,EQ,119.0,120.5,124.95,120.5,124.0,123.7,123.11,5766,70987950000.0,200,4810,0.8342
2020-12-02,DANGEE,EQ,123.7,122.1,126.0,119.0,124.0,124.1,123.68,3515,43474525000.0,145,3013,0.8572
2020-12-03,DANGEE,EQ,124.1,125.25,127.0,121.0,126.0,126.1,125.31,5813,72843315000.0,184,5076,0.8732
2020-12-04,DANGEE,EQ,126.1,127.5,127.5,122.55,125.0,124.8,124.4,4394,54661675000.0,220,3853,0.8769
2020-12-07,DANGEE,EQ,124.8,125.5,127.2,122.9,126.6,125.85,125.81,4524,56917425000.0,169,3321,0.7341
2020-12-08,DANGEE,EQ,125.85,129.45,129.45,122.0,126.45,125.3,125.46,3480,43658505000.0,157,2693,0.7739
2020-12-09,DANGEE,EQ,125.3,127.0,127.0,123.0,125.5,125.8,125.42,2074,26011790000.0,118,1706,0.8226000000000001
2020-12-10,DANGEE,EQ,125.8,127.0,127.0,121.0,124.85,124.1,124.36,2270,28229715000.000004,180,2183,0.9617
2020-12-11,DANGEE,EQ,124.1,126.9,126.9,120.0,124.9,124.25,123.43,2325,28697465000.000004,161,1985,0.8538
2020-12-14,DANGEE,EQ,124.25,126.0,127.0,125.0,126.5,126.8,126.36,5197,65668250000.0,134,3751,0.7218000000000001
2020-12-15,DANGEE,EQ,126.8,126.5,133.1,125.0,132.8,132.65,126.07,511784,6452150935000.0,224,508063,0.9927
2020-12-16,DANGEE,EQ,132.65,135.0,139.0,130.0,136.95,136.15,136.47,18236,248858735000.0,382,7205,0.3951
2020-12-17,DANGEE,EQ,136.15,136.25,140.05,129.45,135.0,135.5,138.05,24314,335653915000.0,527,9998,0.4112
2020-12-18,DANGEE,EQ,135.5,138.7,138.7,131.2,134.8,132.9,132.98,13372,177820680000.0,328,4119,0.308
2020-12-21,DANGEE,EQ,132.9,134.0,134.95,126.3,130.5,130.15,131.56,15951,209843965000.0,355,7258,0.455
2020-12-22,DANGEE,EQ,130.15,128.5,134.0,123.75,129.9,129.9,127.48,4440,56600150000.0,177,2859,0.6439
2020-12-23,DANGEE,EQ,129.9,134.9,134.9,130.0,131.85,131.55,131.57,3701,48694815000.0,119,3398,0.9181
2020-12-24,DANGEE,EQ,131.55,134.0,136.5,128.0,128.0,130.85,132.98,6647,88390195000.0,171,4298,0.6466
2020-12-28,DANGEE,EQ,130.85,133.9,134.0,131.0,132.6,132.65,133.11,2114,28138459999.999996,93,1703,0.8056000000000001
2020-12-29,DANGEE,EQ,132.65,133.0,135.5,132.0,134.0,133.25,133.07,6891,91700870000.0,100,6252,0.9073000000000001
2020-12-30,DANGEE,EQ,133.25,134.0,134.0,130.05,130.5,133.2,132.83,16256,215921270000.00003,99,15823,0.9734
2020-12-31,DANGEE,EQ,133.2,134.8,134.8,131.05,133.0,132.75,132.93,12290,163365500000.0,57,12138,0.9876
