Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-07-02,DGCONTENT,EQ,12.65,12.1,13.9,12.1,13.4,13.15,13.0,5790,7526464999.999999,66,4263,0.7363
2019-07-03,DGCONTENT,EQ,13.15,12.2,13.0,12.0,12.95,12.4,12.35,4671,5767685000.0,60,3774,0.8079999999999999
2019-07-04,DGCONTENT,EQ,12.4,11.2,14.0,11.0,13.2,13.1,12.53,6741,8449260000.000001,71,5954,0.8833
2019-07-05,DGCONTENT,EQ,13.1,12.5,13.75,12.5,12.7,12.75,12.71,9396,11942120000.0,49,8743,0.9305
2019-07-08,DGCONTENT,EQ,12.75,10.6,12.5,10.6,12.3,12.3,12.19,14656,17866355000.0,88,14269,0.9736
2019-07-09,DGCONTENT,EQ,12.3,11.8,12.3,11.1,12.3,12.2,11.85,17122,20288685000.0,71,16592,0.9690000000000001
2019-07-10,DGCONTENT,EQ,12.2,11.5,11.9,11.5,11.7,11.85,11.82,12480,14755620000.000002,62,12316,0.9869
2019-07-11,DGCONTENT,EQ,11.85,11.7,14.2,11.6,13.0,12.35,13.03,7400,9643195000.0,82,5114,0.6911
2019-07-12,DGCONTENT,EQ,12.35,12.35,13.5,12.0,12.0,12.35,12.41,2473,3069445000.0,28,2472,0.9995999999999999
2019-07-15,DGCONTENT,EQ,12.35,11.8,12.95,11.5,11.5,11.8,11.98,3160,3786280000.0000005,41,3026,0.9576000000000001
2019-07-16,DGCONTENT,EQ,11.8,11.0,13.1,11.0,11.6,11.6,11.55,2842,3282575000.0,55,2689,0.9462
2019-07-17,DGCONTENT,EQ,11.6,10.8,12.0,10.8,11.55,11.55,11.63,15166,17634855000.0,60,14557,0.9598000000000001
2019-07-18,DGCONTENT,EQ,11.55,11.05,12.5,11.05,12.5,12.3,11.65,1908,2222150000.0,34,1780,0.9329000000000001
2019-07-19,DGCONTENT,EQ,12.3,12.5,12.5,10.85,11.4,11.35,11.42,59928,68456815000.0,120,57818,0.9648000000000001
2019-07-22,DGCONTENT,EQ,11.35,10.8,11.0,10.35,10.8,11.0,10.98,98364,108006355000.0,113,98237,0.9987
2019-07-23,DGCONTENT,EQ,11.0,11.0,11.0,10.6,10.7,10.7,10.82,3129,3385005000.0000005,22,2738,0.875
2019-07-24,DGCONTENT,EQ,10.7,10.7,10.7,9.5,10.7,10.7,10.43,1769,1844400000.0,31,1726,0.9756999999999999
2019-07-25,DGCONTENT,EQ,10.7,9.55,11.0,9.55,10.25,10.3,9.98,6911,6895560000.000001,42,6467,0.9358
2019-07-26,DGCONTENT,EQ,10.3,10.25,11.0,9.5,10.5,10.25,10.25,4945,5067535000.0,39,4832,0.9771
2019-07-29,DGCONTENT,EQ,10.25,9.55,10.5,9.55,10.05,10.05,9.84,4392,4322800000.0,37,3447,0.7848
2019-07-30,DGCONTENT,EQ,10.05,10.05,10.95,8.05,8.1,8.8,9.28,37244,34547340000.0,120,29075,0.7807
2019-07-31,DGCONTENT,EQ,8.8,8.3,8.95,8.05,8.3,8.3,8.35,6649,5555090000.0,45,4013,0.6035
