Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-08-19,DOLAT,EQ,38.1,42.05,43.7,40.6,42.65,42.15,42.31,112836,477435390000.00006,796,50978,0.4518
2019-08-20,DOLAT,EQ,42.15,42.25,42.4,39.15,39.45,39.3,40.31,23491,94693370000.0,186,18457,0.7857
2019-08-21,DOLAT,EQ,39.3,40.0,41.45,37.55,37.85,38.0,38.69,26549,102713475000.0,384,17299,0.6516
2019-08-22,DOLAT,EQ,38.0,37.5,38.5,36.0,36.55,36.55,37.02,40540,150070295000.0,452,34239,0.8445999999999999
2019-08-23,DOLAT,EQ,36.55,33.5,41.4,33.5,39.95,39.65,38.51,39667,152774445000.0,646,25668,0.6470999999999999
2019-08-26,DOLAT,EQ,39.65,40.65,41.55,39.15,41.0,40.55,40.52,16544,67031165000.0,168,11100,0.6709
2019-08-27,DOLAT,EQ,40.55,41.0,41.35,40.5,41.0,40.85,40.77,8483,34585130000.0,97,6479,0.7637999999999999
2019-08-28,DOLAT,EQ,40.85,40.95,41.35,38.15,38.35,38.6,39.67,76583,303810550000.0,287,68721,0.8973000000000001
2019-08-29,DOLAT,EQ,38.6,38.05,39.5,38.0,38.65,38.55,38.72,214271,829675865000.0,244,191729,0.8948
2019-08-30,DOLAT,EQ,38.55,40.7,40.7,37.8,37.8,38.25,38.3,31137,119259375000.0,211,24668,0.7922
2019-09-03,DOLAT,EQ,38.25,38.25,38.4,36.0,36.75,36.2,37.06,35536,131700325000.0,282,28243,0.7948000000000001
2019-09-04,DOLAT,EQ,36.2,35.15,40.0,35.1,37.75,38.0,37.65,33492,126096739999.99998,325,23497,0.7016
2019-09-05,DOLAT,EQ,38.0,38.05,38.85,38.0,38.25,38.25,38.52,9266,35692950000.0,98,7328,0.7908
2019-09-06,DOLAT,EQ,38.25,38.95,41.3,38.4,41.15,40.9,40.33,80771,325728150000.0,685,40337,0.4994
2019-09-09,DOLAT,EQ,40.9,42.0,43.35,40.2,43.0,42.9,42.33,120153,508664650000.0,1120,79509,0.6617000000000001
2019-09-11,DOLAT,EQ,42.9,43.0,51.45,40.95,48.9,48.9,48.83,499390,2438391850000.0,4408,204499,0.40950000000000003
2019-09-12,DOLAT,EQ,48.9,49.3,49.9,45.55,47.0,46.9,47.46,133293,632614350000.0,1583,62487,0.46880000000000005
2019-09-13,DOLAT,EQ,46.9,48.5,50.8,45.65,49.95,49.5,48.36,67925,328467915000.0,536,43359,0.6383
