Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-11-03,DPABHUSHAN,EQ,131.0,129.3,134.5,105.5,111.0,111.1,124.83,126112,1574313990000.0,744,75097,0.5955
2020-11-04,DPABHUSHAN,EQ,111.1,113.95,114.9,105.35,106.0,109.45,111.52,32458,361981650000.0,556,13252,0.4083
2020-11-05,DPABHUSHAN,EQ,109.45,109.45,110.9,101.95,104.75,104.1,107.76,4560,49138225000.0,105,2474,0.5425
2020-11-06,DPABHUSHAN,EQ,104.1,109.85,118.9,106.7,113.0,116.3,113.57,18048,204968380000.0,455,7249,0.4017
2020-11-09,DPABHUSHAN,EQ,116.3,121.9,121.9,114.0,115.0,115.3,117.68,10745,126443720000.0,311,6035,0.5617
2020-11-10,DPABHUSHAN,EQ,115.3,116.0,116.0,108.7,110.0,109.55,111.21,7217,80262035000.0,160,5378,0.7452
2020-11-11,DPABHUSHAN,EQ,109.55,109.35,109.75,103.2,106.5,107.6,105.95,8546,90542580000.0,201,5603,0.6556000000000001
2020-11-12,DPABHUSHAN,EQ,107.6,108.9,109.95,104.0,107.5,108.2,107.78,3335,35945985000.0,92,1889,0.5664
2020-11-13,DPABHUSHAN,EQ,108.2,109.9,109.95,100.0,101.5,101.65,102.59,5860,60115925000.0,110,4421,0.7544
2020-11-14,DPABHUSHAN,EQ,101.65,104.7,104.95,100.0,100.1,102.45,102.43,1691,17321065000.0,64,1096,0.6481
2020-11-17,DPABHUSHAN,EQ,102.45,104.9,107.0,101.0,103.9,102.4,103.32,9396,97082570000.0,206,6171,0.6568
2020-11-18,DPABHUSHAN,EQ,102.4,104.95,104.95,100.05,102.0,101.4,101.68,4766,48461365000.0,73,4240,0.8896
2020-11-19,DPABHUSHAN,EQ,101.4,101.4,106.4,101.4,102.05,102.8,103.74,3757,38974120000.0,62,2305,0.6135
2020-11-20,DPABHUSHAN,EQ,102.8,103.95,103.95,100.15,100.15,101.05,101.68,736,7483425000.0,37,595,0.8084
