Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-12-07,GLOBAL,EQ,196.0,50.15,50.15,50.15,50.15,50.15,50.15,55905,280363575000.0,211,55800,0.9981000000000001
2020-12-08,GLOBAL,EQ,50.15,52.65,52.65,52.65,52.65,52.65,52.65,9220,48543300000.0,13,9220,1.0
2020-12-09,GLOBAL,EQ,52.65,55.25,55.25,55.25,55.25,55.25,55.25,9926,54841150000.0,14,9926,1.0
2020-12-10,GLOBAL,EQ,55.25,58.0,58.0,54.0,58.0,58.0,57.49,67888,390286095000.0,277,54229,0.7988
2020-12-11,GLOBAL,EQ,58.0,60.9,60.9,60.9,60.9,60.9,60.9,38095,231998550000.0,166,38084,0.9997
2020-12-14,GLOBAL,EQ,60.9,63.85,63.9,60.9,63.9,63.9,63.39,94083,596422730000.0,416,84119,0.8941
2020-12-15,GLOBAL,EQ,63.9,65.9,67.05,65.0,67.05,67.05,66.61,73120,487033095000.0,271,63175,0.8640000000000001
2020-12-16,GLOBAL,EQ,67.05,69.65,70.4,69.2,70.4,70.4,70.14,24633,172780760000.0,100,24608,0.9990000000000001
2020-12-17,GLOBAL,EQ,70.4,73.9,73.9,73.8,73.9,73.9,73.9,53201,393144740000.0,241,48571,0.913
2020-12-18,GLOBAL,EQ,73.9,77.5,77.5,70.25,74.0,73.9,71.3,90389,644460875000.0,405,70441,0.7793000000000001
2020-12-21,GLOBAL,EQ,73.9,75.85,75.85,70.25,70.25,70.25,71.75,11558,82930610000.0,136,8597,0.7438
2020-12-22,GLOBAL,EQ,70.25,66.75,66.75,66.75,66.75,66.75,66.75,23030,153725250000.0,94,22027,0.9564
2020-12-23,GLOBAL,EQ,66.75,63.45,70.0,63.45,67.35,66.6,65.23,20356,132788650000.0,145,17921,0.8804000000000001
2020-12-24,GLOBAL,EQ,66.6,64.05,69.8,64.0,66.55,66.75,66.83,165509,1106109580000.0,86,162538,0.9820000000000001
2020-12-28,GLOBAL,EQ,66.75,70.05,70.05,65.05,68.6,68.55,68.48,46417,317843145000.0,243,43710,0.9417
2020-12-29,GLOBAL,EQ,68.55,70.85,70.85,67.0,67.2,67.6,68.09,62282,424062140000.00006,220,56355,0.9048
2020-12-30,GLOBAL,EQ,67.6,70.75,70.75,64.3,64.5,64.65,65.79,23928,157420550000.0,284,15584,0.6513
2020-12-31,GLOBAL,EQ,64.65,64.65,67.8,62.55,65.25,67.2,64.83,37483,243003950000.0,245,31434,0.8386
