Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-07-30,GOKEX,EQ,225.45,220.05,229.75,220.05,220.6,223.0,224.33,16898,379071860000.0,,9574,0.5666
2007-07-31,GOKEX,EQ,223.0,225.0,248.8,215.6,225.0,219.8,229.76,261063,5998164200000.0,,125585,0.4811
2007-08-01,GOKEX,EQ,219.8,221.0,228.35,216.1,220.5,218.95,222.73,55802,1242867510000.0,,22720,0.4072
2007-08-02,GOKEX,EQ,218.95,221.9,239.15,220.5,234.0,231.6,234.3,127277,2982048990000.0,,45036,0.35380000000000006
2007-08-03,GOKEX,EQ,231.6,240.0,247.0,236.0,242.45,241.6,242.05,176966,4283423115000.0,,67395,0.38079999999999997
2007-08-06,GOKEX,EQ,241.6,245.0,245.0,232.05,235.5,233.75,235.81,65291,1539624220000.0,,32877,0.5035000000000001
2007-08-07,GOKEX,EQ,233.75,235.0,241.25,231.5,237.0,236.9,236.81,219927,5208066280000.0,,181197,0.8239000000000001
2007-08-08,GOKEX,EQ,236.9,240.0,247.85,238.0,243.0,241.75,244.42,97355,2379516375000.0,,52759,0.5418999999999999
2007-08-09,GOKEX,EQ,241.75,245.0,246.0,232.0,237.5,236.0,240.77,71230,1715006945000.0,,29074,0.4082
2007-08-10,GOKEX,EQ,236.0,230.0,234.0,227.1,234.0,231.15,230.62,23433,540422615000.00006,,12663,0.5404
2007-08-13,GOKEX,EQ,231.15,234.0,237.65,233.1,236.65,236.6,235.93,22309,526327670000.0,,14295,0.6408
2007-08-14,GOKEX,EQ,236.6,235.0,241.2,230.05,232.0,231.35,234.93,30494,716401445000.0,,17334,0.5684
2007-08-16,GOKEX,EQ,231.35,218.0,228.9,218.0,220.0,220.25,221.6,30833,683266715000.0,,19843,0.6436000000000001
2007-08-17,GOKEX,EQ,220.25,224.95,226.9,215.0,223.0,223.05,222.42,36972,822325915000.0,,20958,0.5669
2007-08-20,GOKEX,EQ,223.05,229.0,239.5,227.5,230.0,229.1,233.31,89996,2099661245000.0,,47767,0.5307999999999999
2007-08-21,GOKEX,EQ,229.1,264.0,264.0,251.25,252.35,252.5,256.1,807013,20667856565000.0,,406219,0.5034000000000001
2007-08-22,GOKEX,EQ,252.5,258.0,260.0,250.15,253.1,253.75,253.72,167067,4238826270000.0005,,103503,0.6195
2007-08-23,GOKEX,EQ,253.75,258.8,258.8,250.55,253.0,251.55,251.72,1232616,31026881425000.0,,1044255,0.8472
2007-08-24,GOKEX,EQ,251.55,251.55,254.9,250.6,253.45,252.6,252.23,165721,4179961015000.0,,126555,0.7637
2007-08-27,GOKEX,EQ,252.6,252.7,254.0,252.4,252.85,252.8,252.76,24853,628184400000.0,,19096,0.7684000000000001
2007-08-28,GOKEX,EQ,252.8,252.0,253.45,251.7,253.0,252.9,252.8,47817,1208801030000.0,,45554,0.9527
2007-08-29,GOKEX,EQ,252.9,251.1,253.45,251.0,253.45,252.85,252.74,20557,519552720000.0,,16097,0.783
2007-08-30,GOKEX,EQ,252.85,253.1,257.5,253.05,254.6,255.8,254.63,32131,818165040000.0,,26450,0.8231999999999999
2007-08-31,GOKEX,EQ,255.8,258.0,258.0,253.6,254.0,254.05,255.01,60507,1542989620000.0,,50701,0.8379000000000001
2007-09-03,GOKEX,EQ,254.05,254.05,255.9,251.55,253.9,252.5,253.02,71731,1814963755000.0,,64841,0.9039
2007-09-04,GOKEX,EQ,252.5,252.5,255.5,251.0,253.5,253.5,253.17,299792,7589809505000.0,,250706,0.8362999999999999
2007-09-05,GOKEX,EQ,253.5,254.0,254.0,253.05,253.05,253.45,253.46,10716,271612745000.00003,,7842,0.7318000000000001
2007-09-06,GOKEX,EQ,253.45,250.9,254.4,250.9,254.0,254.0,253.85,34592,878125619999.9999,,28082,0.8118000000000001
2007-09-07,GOKEX,EQ,254.0,254.5,254.8,251.1,253.3,253.65,253.04,136073,3443168579999.9995,,67758,0.498
2007-09-10,GOKEX,EQ,253.65,240.1,256.0,240.1,253.3,253.55,253.79,55560,1410045515000.0,,41971,0.7554000000000001
2007-09-11,GOKEX,EQ,253.55,252.5,254.5,252.5,253.9,254.05,253.5,27521,697650055000.0,,18282,0.6643000000000001
2007-09-12,GOKEX,EQ,254.05,255.0,255.0,253.4,255.0,254.6,254.6,33589,855169090000.0,,31806,0.9469
2007-09-13,GOKEX,EQ,254.6,255.6,259.9,254.1,255.5,255.45,256.41,30268,776096265000.0,,16528,0.5461
2007-09-14,GOKEX,EQ,255.45,257.0,257.0,255.2,256.0,255.4,255.63,7349,187862665000.0,,6563,0.893
2007-09-17,GOKEX,EQ,255.4,254.15,257.0,254.15,255.85,255.4,255.08,22755,580433900000.0,,21471,0.9436
2007-09-18,GOKEX,EQ,255.4,255.0,256.0,252.3,253.0,253.15,253.39,349163,8847345720000.0,,347934,0.9965
2007-09-19,GOKEX,EQ,253.15,255.0,266.0,252.55,252.65,252.75,253.4,17088,433008975000.0,,12959,0.7584000000000001
2007-09-20,GOKEX,EQ,252.75,251.05,253.9,251.05,253.0,252.85,253.02,28255,714894440000.0,,27052,0.9573999999999999
2007-09-21,GOKEX,EQ,252.85,235.5,253.0,235.5,252.25,252.55,249.99,14405,360113875000.0,,11484,0.7972
2007-09-24,GOKEX,EQ,252.55,253.95,253.95,250.3,251.7,251.95,252.12,23846,601208500000.0,,22951,0.9625
2007-09-25,GOKEX,EQ,251.95,251.25,253.0,250.55,251.5,251.1,251.43,24883,625635560000.0,,24098,0.9684999999999999
2007-09-26,GOKEX,EQ,251.1,247.5,252.4,247.5,248.1,249.05,250.17,27907,698155275000.0,,25900,0.9281
2007-09-27,GOKEX,EQ,249.05,251.0,251.0,247.5,248.5,248.95,249.19,50521,1258950055000.0,,48623,0.9623999999999999
2007-09-28,GOKEX,EQ,248.95,250.0,250.0,248.0,249.0,248.3,249.04,79312,1975174360000.0002,,78041,0.9840000000000001
2007-10-01,GOKEX,EQ,248.3,259.0,259.0,247.5,249.0,248.2,249.0,43795,1090506115000.0,,37642,0.8595
2007-10-03,GOKEX,EQ,248.2,250.05,252.0,246.15,248.0,248.6,249.01,57255,1425714420000.0,,52250,0.9126000000000001
2007-10-04,GOKEX,EQ,248.6,250.0,250.0,244.2,247.9,245.9,246.7,94953,2342498835000.0,,93716,0.9870000000000001
2007-10-05,GOKEX,EQ,245.9,245.0,251.0,245.0,249.5,248.75,249.58,33341,832118685000.0,,27914,0.8372
2007-10-08,GOKEX,EQ,248.75,249.0,249.0,245.55,248.0,247.1,246.81,12754,314778805000.0,,11651,0.9135
2007-10-09,GOKEX,EQ,247.1,246.0,251.0,245.0,247.0,245.95,245.52,726686,17841443855000.0,,348996,0.4803
2007-10-10,GOKEX,EQ,245.95,249.9,250.95,246.0,246.0,246.05,246.82,16035,395777130000.0,,12303,0.7673000000000001
2007-10-11,GOKEX,EQ,246.05,248.0,249.95,247.0,249.0,248.05,248.04,30021,744646200000.0,,29129,0.9703
2007-10-12,GOKEX,EQ,248.05,248.05,249.75,245.1,248.8,248.1,247.89,18278,453100125000.0,,17657,0.966
2007-10-15,GOKEX,EQ,248.1,250.1,250.1,245.0,247.0,246.15,246.31,267913,6598906865000.0,,157322,0.5872
2007-10-16,GOKEX,EQ,246.15,246.0,248.45,246.0,246.7,246.9,246.76,7278,179590230000.0,,5652,0.7766
2007-10-17,GOKEX,EQ,246.9,241.0,248.0,241.0,248.0,247.25,245.8,8638,212323985000.0,,6370,0.7373999999999999
2007-10-18,GOKEX,EQ,247.25,245.0,249.9,245.0,248.0,247.0,247.39,12336,305186315000.0,,8954,0.7258
2007-10-19,GOKEX,EQ,247.0,249.5,249.5,245.0,247.9,247.15,247.37,10538,260677795000.00003,,7783,0.7386
2007-10-22,GOKEX,EQ,247.15,247.0,248.8,246.3,248.1,247.95,247.41,5998,148396760000.0,,5081,0.8471
2007-10-23,GOKEX,EQ,247.95,248.0,249.4,247.45,248.55,248.55,248.52,10638,264376595000.00003,,10320,0.9701000000000001
2007-10-24,GOKEX,EQ,248.55,247.05,251.0,247.05,249.5,249.4,249.42,4037,100689320000.0,,3657,0.9059
2007-10-25,GOKEX,EQ,249.4,247.15,254.5,247.15,250.55,250.5,251.62,10611,266990870000.00003,,8531,0.804
2007-10-26,GOKEX,EQ,250.5,246.2,252.45,246.2,250.5,250.25,250.39,19300,483257400000.0,,18321,0.9493
2007-10-29,GOKEX,EQ,250.25,240.05,254.0,240.05,253.0,251.45,249.06,11652,290208265000.0,,7409,0.6359
2007-10-30,GOKEX,EQ,251.45,246.05,250.0,246.05,247.0,248.65,248.72,13114,326174880000.0,,11810,0.9006000000000001
2007-10-31,GOKEX,EQ,248.65,240.05,249.9,240.05,249.0,248.8,248.71,42856,1065882975000.0,,39879,0.9305
2007-11-01,GOKEX,EQ,248.8,250.0,250.0,247.1,248.0,248.0,248.12,8747,217027879999.99997,,6729,0.7693000000000001
2007-11-02,GOKEX,EQ,248.0,235.0,252.0,235.0,250.0,249.45,248.24,31762,788445430000.0,,30400,0.9571
2007-11-05,GOKEX,EQ,249.45,250.0,250.0,247.0,247.55,247.5,247.74,26425,654641130000.0,,20934,0.7922
2007-11-06,GOKEX,EQ,247.5,246.25,250.0,246.25,248.0,248.05,248.32,6543,162475260000.0,,6261,0.9569
2007-11-07,GOKEX,EQ,248.05,245.5,249.2,245.5,247.95,248.0,247.45,6654,164656035000.0,,6142,0.9231
2007-11-08,GOKEX,EQ,248.0,225.7,249.0,225.7,247.0,247.35,245.83,5769,141816845000.0,,5094,0.883
2007-11-09,GOKEX,EQ,247.35,245.0,249.45,243.0,248.5,247.6,247.25,1312,32439455000.0,,581,0.4428
2007-11-12,GOKEX,EQ,247.6,249.0,250.0,245.0,248.0,248.1,247.41,3999,98939360000.0,,3191,0.7979
2007-11-13,GOKEX,EQ,248.1,248.5,249.45,246.1,248.0,248.1,248.35,6497,161353845000.0,,5935,0.9135
2007-11-14,GOKEX,EQ,248.1,248.0,250.0,245.0,248.0,248.0,245.51,220998,5425752550000.0,,177187,0.8018000000000001
2007-11-15,GOKEX,EQ,248.0,248.25,249.9,247.0,248.05,248.05,248.33,78769,1956075650000.0,,77509,0.9840000000000001
2007-11-16,GOKEX,EQ,248.05,246.25,250.0,246.25,249.0,249.35,249.17,4923,122664255000.0,,2990,0.6074
2007-11-19,GOKEX,EQ,249.35,250.9,250.9,246.0,249.4,248.75,248.46,19716,489859990000.00006,,18175,0.9218000000000001
2007-11-20,GOKEX,EQ,248.75,251.0,254.9,249.05,251.45,250.0,251.84,17797,448191350000.0,,13156,0.7392000000000001
2007-11-21,GOKEX,EQ,250.0,251.55,254.95,248.1,249.95,250.45,249.94,6775,169332665000.0,,4879,0.7201000000000001
2007-11-22,GOKEX,EQ,250.45,240.5,253.0,240.5,250.55,251.0,250.78,23613,592155750000.0,,21279,0.9012000000000001
2007-11-23,GOKEX,EQ,251.0,250.0,251.95,248.55,250.9,250.65,250.28,4291,107396195000.0,,3715,0.8658
2007-11-26,GOKEX,EQ,250.65,250.0,251.0,248.1,250.0,250.0,249.84,22597,564562290000.0,,22214,0.9831000000000001
2007-11-27,GOKEX,EQ,250.0,250.0,250.05,250.0,250.0,250.0,250.01,2719,67978160000.0,,2587,0.9515000000000001
2007-11-28,GOKEX,EQ,250.0,250.0,252.95,249.05,250.05,250.15,250.5,2577,64554315000.0,,2363,0.917
2007-11-29,GOKEX,EQ,250.15,250.4,251.9,248.3,248.5,248.9,249.98,2954,73844755000.0,,2333,0.7898000000000001
2007-11-30,GOKEX,EQ,248.9,251.0,251.0,248.05,250.0,250.0,250.02,17895,447414350000.0,,17257,0.9643
2007-12-03,GOKEX,EQ,250.0,250.0,252.0,248.05,250.1,250.15,250.13,2061,51552200000.0,,1195,0.5798
2007-12-04,GOKEX,EQ,250.15,250.0,252.9,248.1,252.9,251.6,250.69,3207,80397675000.0,,2431,0.758
2007-12-05,GOKEX,EQ,251.6,249.05,258.0,249.05,256.9,253.35,252.02,10217,257488125000.0,,9385,0.9186
