Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-02-06,GTCIND,EQ,45.0,45.0,45.0,42.6,,44.5,43.83,1500,6574750000.0,,,
1996-02-07,GTCIND,EQ,44.5,44.0,44.5,43.5,,43.5,43.92,300,1317500000.0,,,
1996-02-08,GTCIND,EQ,43.5,44.2,44.5,43.0,,44.5,44.1,400,1764000000.0,,,
1996-02-09,GTCIND,EQ,44.5,43.05,46.0,43.0,,45.75,44.68,1850,8265500000.0,,,
1996-02-12,GTCIND,EQ,45.75,46.0,47.0,46.0,,46.0,46.47,1350,6273750000.0,,,
1996-02-13,GTCIND,EQ,46.0,46.05,48.5,46.05,,48.0,47.91,1700,8145250000.0,,,
1996-02-14,GTCIND,EQ,48.0,48.0,50.0,47.25,,47.45,48.1,3300,15873750000.0,,,
1996-02-15,GTCIND,EQ,47.45,46.75,51.0,46.75,,47.5,47.77,1500,7165000000.0,,,
1996-02-16,GTCIND,EQ,47.5,47.0,48.0,44.3,,46.0,46.28,1150,5322500000.0,,,
1996-02-19,GTCIND,EQ,46.0,46.0,47.0,46.0,,46.25,46.3,800,3703750000.0,,,
1996-02-20,GTCIND,EQ,46.25,46.25,46.0,42.0,,45.0,44.39,1250,5548250000.0,,,
1996-02-22,GTCIND,EQ,45.0,45.0,46.0,43.5,,44.5,44.0,1400,6160500000.0,,,
1996-02-23,GTCIND,EQ,44.5,45.0,45.0,44.1,,45.0,44.84,700,3138500000.0,,,
1996-02-26,GTCIND,EQ,45.0,44.0,45.0,44.0,,44.75,44.44,850,3777250000.0,,,
1996-02-27,GTCIND,EQ,44.75,45.0,45.0,44.25,,44.5,44.62,1300,5801000000.0,,,
1996-02-28,GTCIND,EQ,44.5,45.0,45.9,43.9,,45.9,44.71,2000,8942000000.0,,,
1996-02-29,GTCIND,EQ,45.9,43.8,44.5,43.0,,44.5,43.76,800,3501000000.0,,,
1996-03-01,GTCIND,EQ,44.5,42.9,43.25,42.9,,43.25,43.04,750,3227750000.0,,,
1996-03-04,GTCIND,EQ,43.25,43.25,43.25,41.5,,43.25,42.54,500,2126750000.0,,,
1996-03-06,GTCIND,EQ,43.25,42.0,44.0,42.0,,42.75,43.23,850,3674750000.0,,,
1996-03-07,GTCIND,EQ,42.75,43.0,43.5,43.0,,43.0,43.29,350,1515000000.0,,,
1996-03-08,GTCIND,EQ,43.0,43.0,43.7,40.4,,42.0,42.34,650,2752000000.0,,,
1996-03-11,GTCIND,EQ,42.0,41.0,41.0,40.05,,40.95,40.61,600,2436750000.0,,,
1996-03-12,GTCIND,EQ,40.95,41.0,41.75,40.0,,40.7,40.79,900,3671250000.0,,,
1996-03-13,GTCIND,EQ,40.7,42.0,42.0,41.0,,41.0,41.67,150,625000000.0,,,
1996-03-14,GTCIND,EQ,41.0,40.5,40.5,40.2,,40.5,40.47,900,3642000000.0,,,
1996-03-15,GTCIND,EQ,40.5,40.5,41.75,40.3,,41.4,41.06,400,1642250000.0,,,
1996-03-18,GTCIND,EQ,41.4,40.0,40.95,40.0,,40.95,40.19,400,1607500000.0,,,
1996-03-19,GTCIND,EQ,40.95,40.95,40.5,39.0,,39.0,39.92,1700,6786000000.0,,,
1996-03-21,GTCIND,EQ,39.0,39.0,40.0,36.0,,40.0,39.49,1300,5134000000.0,,,
1996-03-22,GTCIND,EQ,40.0,40.0,40.0,39.5,,39.5,39.72,900,3575000000.0,,,
1996-03-25,GTCIND,EQ,39.5,39.5,41.0,39.55,,39.55,40.17,450,1807750000.0,,,
1996-03-26,GTCIND,EQ,39.55,39.55,40.0,37.75,,39.95,38.74,1400,5423500000.0,,,
1996-03-27,GTCIND,EQ,39.95,39.95,39.5,38.5,,39.0,38.93,550,2141250000.0,,,
1996-03-28,GTCIND,EQ,39.0,39.0,39.1,38.0,,39.1,38.58,400,1543000000.0,,,
1996-03-29,GTCIND,EQ,39.1,39.0,40.0,39.0,,40.0,39.67,1000,3967000000.0,,,
1996-04-01,GTCIND,EQ,40.0,38.55,39.0,38.55,,38.6,38.73,300,1161750000.0,,,
1996-04-02,GTCIND,EQ,38.6,38.6,41.0,39.0,,40.2,39.86,1250,4982000000.0,,,
1996-04-03,GTCIND,EQ,40.2,40.2,41.95,40.0,,41.0,40.76,1150,4687750000.0,,,
1996-04-04,GTCIND,EQ,41.0,41.0,41.0,40.0,,41.0,40.55,2000,8109250000.0,,,
1996-04-08,GTCIND,EQ,41.0,41.0,41.0,40.3,,40.3,40.72,250,1018000000.0,,,
1996-04-09,GTCIND,EQ,40.3,40.3,40.5,40.0,,40.35,40.27,1150,4631500000.0,,,
1996-04-10,GTCIND,EQ,40.35,40.35,41.0,40.55,,40.55,40.94,400,1637750000.0,,,
1996-04-11,GTCIND,EQ,40.55,40.55,40.75,39.95,,40.75,40.36,450,1816000000.0,,,
1996-04-12,GTCIND,EQ,40.75,40.5,40.5,39.0,,40.0,39.82,1650,6570000000.0,,,
1996-04-15,GTCIND,EQ,40.0,40.0,40.0,38.2,,40.0,39.22,1650,6471250000.0,,,
1996-04-16,GTCIND,EQ,40.0,40.0,40.0,39.7,,40.0,39.92,700,2794500000.0,,,
1996-04-17,GTCIND,EQ,40.0,40.5,44.0,40.5,,42.5,42.11,1050,4422000000.0,,,
1996-04-18,GTCIND,EQ,42.5,42.5,43.0,41.05,,42.5,42.46,3050,12949000000.0,,,
1996-04-19,GTCIND,EQ,42.5,42.5,43.8,41.0,,43.7,42.41,2200,9330250000.0,,,
1996-04-22,GTCIND,EQ,43.7,43.7,43.8,40.6,,42.0,41.28,700,2889750000.0,,,
1996-04-23,GTCIND,EQ,42.0,42.0,41.0,40.0,,40.0,40.3,2000,8059250000.0,,,
1996-04-24,GTCIND,EQ,40.0,40.0,41.0,40.05,,40.05,40.48,1900,7691000000.0,,,
1996-04-25,GTCIND,EQ,40.05,40.05,44.0,40.0,,41.0,41.14,700,2880000000.0,,,
1996-04-26,GTCIND,EQ,41.0,41.0,39.7,38.05,,39.0,38.93,600,2336000000.0,,,
1996-04-29,GTCIND,EQ,39.0,39.0,39.95,38.55,,38.9,39.08,400,1563000000.0,,,
1996-04-30,GTCIND,EQ,38.9,38.9,39.25,38.25,,38.75,38.93,1250,4866500000.0,,,
1996-05-01,GTCIND,EQ,38.75,38.75,40.7,39.05,,40.7,39.77,2300,9147000000.0,,,
1996-05-02,GTCIND,EQ,40.7,40.7,40.5,38.3,,40.0,39.99,850,3399250000.0,,,
1996-05-03,GTCIND,EQ,40.0,40.0,40.0,38.5,,39.5,39.0,500,1950000000.0,,,
1996-05-06,GTCIND,EQ,39.5,39.5,39.5,38.5,,38.5,38.72,800,3097500000.0,,,
1996-05-07,GTCIND,EQ,38.5,37.75,39.0,37.75,,39.0,38.69,600,2321250000.0,,,
1996-05-08,GTCIND,EQ,39.0,39.0,40.0,39.0,,39.0,39.68,650,2579000000.0,,,
1996-05-09,GTCIND,EQ,39.0,39.0,39.75,39.0,,39.5,39.41,1400,5517500000.0,,,
1996-05-10,GTCIND,EQ,39.5,39.5,41.0,38.35,,38.5,38.88,1100,4277250000.0,,,
1996-05-13,GTCIND,EQ,38.5,38.55,38.55,37.1,,37.45,37.73,900,3395250000.0,,,
1996-05-14,GTCIND,EQ,37.45,37.45,38.5,37.5,,38.0,37.94,2000,7588500000.0,,,
1996-05-15,GTCIND,EQ,38.0,40.0,40.0,39.0,,39.5,39.43,1200,4731750000.0,,,
1996-05-16,GTCIND,EQ,39.5,40.0,42.5,39.5,,39.75,40.24,2100,8450250000.0,,,
1996-05-17,GTCIND,EQ,39.75,39.75,39.75,38.5,,38.55,38.95,700,2726500000.0,,,
1996-05-20,GTCIND,EQ,38.55,38.55,37.9,37.5,,37.5,37.55,600,2252750000.0,,,
1996-05-21,GTCIND,EQ,37.5,38.0,38.0,37.0,,37.0,37.45,1550,5804750000.0,,,
1996-05-22,GTCIND,EQ,37.0,37.5,39.5,37.5,,37.55,37.84,1400,5297000000.0,,,
1996-05-23,GTCIND,EQ,37.55,37.55,37.5,36.0,,36.05,36.21,1950,7060500000.0,,,
1996-05-24,GTCIND,EQ,36.05,36.05,36.4,35.75,,36.0,36.11,1550,5597250000.0,,,
1996-05-27,GTCIND,EQ,36.0,36.0,36.0,35.0,,35.6,35.56,350,1244500000.0,,,
1996-05-28,GTCIND,EQ,35.6,35.6,35.1,34.0,,34.2,34.6,1300,4497750000.0,,,
1996-05-29,GTCIND,EQ,34.2,34.2,34.25,33.05,,34.25,33.73,2350,7926000000.0,,,
1996-05-30,GTCIND,EQ,34.25,34.25,35.7,33.5,,34.55,34.74,1250,4342000000.0,,,
