Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-04-25,GPIL,EQ,81.0,95.0,135.8,95.0,102.2,103.15,119.04,15454057,183966872890000.0,,2039577,0.132
2006-04-26,GPIL,EQ,103.15,105.5,118.0,103.5,113.4,111.9,111.36,4843287,53933036710000.0,,546336,0.1128
2006-04-27,GPIL,EQ,111.9,114.0,127.0,113.0,125.9,124.05,122.25,5115764,62542565585000.0,,820735,0.1604
2006-04-28,GPIL,EQ,124.05,116.0,121.8,105.55,117.6,117.8,118.33,1489907,17629417690000.0,,199576,0.134
2006-04-29,GPIL,EQ,117.8,119.4,130.9,119.0,127.6,127.75,126.42,2115539,26745458095000.0,,271238,0.1282
2006-05-02,GPIL,EQ,127.75,129.5,134.0,125.55,125.75,126.1,130.45,1152131,15029235450000.0,,317124,0.2752
2006-05-03,GPIL,EQ,126.1,126.5,127.4,118.8,119.2,119.9,122.51,685106,8393075880000.0,,261644,0.38189999999999996
2006-05-04,GPIL,EQ,119.9,119.25,122.3,112.75,116.75,116.85,117.31,808560,9485195845000.0,,192689,0.23829999999999998
2006-05-05,GPIL,EQ,116.85,117.0,127.7,116.5,122.85,122.3,123.59,1502360,18567584460000.0,,329148,0.21910000000000002
2006-05-08,GPIL,EQ,122.3,124.0,125.6,121.85,123.0,123.05,123.47,453765,5602593145000.0,,130254,0.2871
2006-05-09,GPIL,EQ,123.05,122.5,124.4,116.5,119.0,119.45,120.32,226841,2729340010000.0,,72147,0.3181
2006-05-10,GPIL,EQ,119.45,120.75,120.9,116.0,116.8,116.6,118.36,169963,2011766675000.0,,76010,0.4472
2006-05-11,GPIL,EQ,116.6,117.8,121.2,113.5,118.65,118.15,118.24,320507,3789578485000.0,,84828,0.2647
2006-05-12,GPIL,EQ,118.15,116.2,118.0,114.85,115.05,115.4,116.14,161124,1871277130000.0,,57357,0.35600000000000004
2006-05-15,GPIL,EQ,115.4,116.2,117.5,106.05,107.95,108.4,112.93,148395,1675843510000.0,,60496,0.40770000000000006
2006-05-16,GPIL,EQ,108.4,110.0,110.0,99.0,103.55,104.1,104.21,135626,1413413205000.0,,41509,0.3061
2006-05-17,GPIL,EQ,104.1,104.8,112.8,104.8,110.0,110.95,109.6,213221,2336985610000.0,,50795,0.2382
2006-05-18,GPIL,EQ,110.95,109.0,109.0,96.05,99.0,98.05,101.67,178391,1813714780000.0,,79961,0.4482
2006-05-19,GPIL,EQ,98.05,95.0,102.25,88.0,90.5,89.85,93.19,135885,1266308170000.0,,40030,0.29460000000000003
2006-05-22,GPIL,EQ,89.85,90.1,93.9,72.25,77.7,77.0,80.69,106063,855851785000.0,,51211,0.4828
2006-05-23,GPIL,EQ,77.0,77.75,87.8,70.0,85.4,85.65,79.23,94992,752632905000.0,,30495,0.321
2006-05-24,GPIL,EQ,85.65,88.8,91.4,80.35,83.65,83.7,86.56,92614,801706080000.0,,30875,0.33340000000000003
2006-05-25,GPIL,EQ,83.7,81.0,86.0,71.5,84.95,84.25,83.49,70465,588346920000.0,,18522,0.2629
2006-05-26,GPIL,EQ,84.25,84.0,88.9,84.0,87.75,87.8,87.99,62701,551692850000.0,,37099,0.5917
2006-05-29,GPIL,EQ,87.8,88.15,91.0,86.5,87.0,87.4,88.27,26497,233885920000.00003,,8072,0.30460000000000004
2006-05-30,GPIL,EQ,87.4,89.8,96.8,87.5,93.0,92.6,93.69,152805,1431596030000.0,,29784,0.1949
2006-05-31,GPIL,EQ,92.6,91.0,91.0,82.0,86.0,85.9,85.55,83380,713354695000.0,,31257,0.3749
2006-06-01,GPIL,EQ,85.9,88.4,95.7,81.55,82.5,83.3,86.71,53030,459815855000.0,,13854,0.2612
2006-06-02,GPIL,EQ,83.3,85.4,85.4,76.5,80.0,80.4,80.28,59756,479704540000.00006,,26681,0.4465
2006-06-05,GPIL,EQ,80.4,80.25,83.4,76.0,76.0,76.65,78.37,50306,394224025000.0,,28558,0.5677000000000001
2006-06-06,GPIL,EQ,76.65,72.5,75.0,70.15,71.9,72.1,72.78,41865,304710590000.0,,15439,0.3688
2006-06-07,GPIL,EQ,72.1,68.5,73.3,58.5,59.95,59.65,63.14,107911,681384280000.0,,66879,0.6198
2006-06-08,GPIL,EQ,59.65,52.25,61.0,50.05,51.4,53.0,54.12,100997,546559305000.0,,54079,0.5355
2006-06-09,GPIL,EQ,53.0,52.0,59.0,52.0,55.6,55.05,55.44,111345,617291470000.0,,66083,0.5935
2006-06-12,GPIL,EQ,55.05,60.0,63.9,50.3,50.5,51.9,53.74,61381,329841675000.0,,40851,0.6655
2006-06-13,GPIL,EQ,51.9,50.1,52.0,48.0,48.9,48.85,49.97,55903,279362415000.0,,30820,0.5513
2006-06-14,GPIL,EQ,48.85,49.8,52.4,46.5,48.5,47.45,48.84,82361,402237145000.0,,38259,0.4645
2006-06-15,GPIL,EQ,47.45,50.5,55.5,48.55,53.15,53.65,51.99,101154,525945430000.0,,37176,0.3675
2006-06-16,GPIL,EQ,53.65,56.0,64.4,54.25,64.4,64.25,60.78,141124,857747280000.0001,,55580,0.39380000000000004
2006-06-19,GPIL,EQ,64.25,67.0,76.45,58.0,74.5,74.6,71.65,284357,2037390960000.0002,,66716,0.2346
2006-06-20,GPIL,EQ,74.6,73.0,76.75,69.9,72.05,72.0,73.25,173318,1269535595000.0,,39926,0.2304
2006-06-21,GPIL,EQ,72.0,73.0,81.5,73.0,78.1,78.15,78.27,272032,2129148595000.0,,62243,0.2288
2006-06-22,GPIL,EQ,78.15,79.9,85.2,79.9,83.25,83.3,83.63,203540,1702230450000.0,,56767,0.27890000000000004
2006-06-23,GPIL,EQ,83.3,80.8,83.4,80.0,80.7,81.05,81.21,102440,831955495000.0,,31946,0.3119
2006-06-25,GPIL,EQ,81.05,81.25,84.0,80.0,81.55,82.25,82.07,20961,172018755000.0,,10573,0.5044
2006-06-26,GPIL,EQ,82.25,81.0,83.4,74.05,74.5,74.35,77.5,63451,491736175000.0,,22914,0.3611
2006-06-27,GPIL,EQ,74.35,74.35,77.0,68.25,70.75,71.8,71.17,64357,458051600000.0,,15216,0.2364
2006-06-28,GPIL,EQ,71.8,72.1,74.0,68.5,69.25,70.7,70.95,43487,308545720000.0,,9092,0.2091
2006-06-29,GPIL,EQ,70.7,72.1,73.4,70.8,71.85,71.1,71.67,28090,201331310000.0,,10820,0.38520000000000004
2006-06-30,GPIL,EQ,71.1,73.0,78.0,72.05,73.35,73.05,73.64,36912,271804004999.99997,,13527,0.3665
2006-07-03,GPIL,EQ,73.05,72.7,74.85,71.3,71.3,71.8,72.4,15467,111988310000.00002,,7187,0.4647
2006-07-04,GPIL,EQ,71.8,72.4,73.2,69.0,71.0,70.6,70.71,20179,142675675000.0,,8623,0.42729999999999996
2006-07-05,GPIL,EQ,70.6,68.7,71.7,68.7,70.1,70.55,70.87,13337,94517640000.0,,5952,0.44630000000000003
2006-07-06,GPIL,EQ,70.55,70.25,70.9,68.75,69.2,69.4,69.96,17702,123847200000.0,,5865,0.33130000000000004
2006-07-07,GPIL,EQ,69.4,71.8,71.8,66.05,68.8,67.5,68.97,18286,126122525000.0,,7798,0.4264
2006-07-10,GPIL,EQ,67.5,66.0,69.8,64.0,65.9,64.8,64.97,16232,105463585000.00002,,7857,0.484
2006-07-11,GPIL,EQ,64.8,65.0,67.35,63.85,63.85,64.35,65.31,13765,89904280000.0,,4945,0.3592
2006-07-12,GPIL,EQ,64.35,62.2,63.85,61.0,63.25,63.25,62.63,9929,62186210000.0,,6517,0.6564
2006-07-13,GPIL,EQ,63.25,61.35,66.75,61.3,65.45,65.0,64.56,28513,184090010000.0,,8590,0.3013
2006-07-14,GPIL,EQ,65.0,63.0,64.8,63.0,64.3,64.05,63.89,16517,105525525000.0,,7476,0.4526
2006-07-17,GPIL,EQ,64.05,65.5,70.5,63.45,68.3,67.9,68.87,84689,583268545000.0,,25934,0.3062
2006-07-18,GPIL,EQ,67.9,70.1,74.45,66.3,72.65,73.45,71.82,196816,1413435935000.0,,40443,0.20550000000000002
2006-07-19,GPIL,EQ,73.45,75.0,77.3,66.5,67.55,67.7,72.37,100594,727998205000.0,,30191,0.30010000000000003
2006-07-20,GPIL,EQ,67.7,70.0,71.0,68.2,68.4,68.6,69.19,32070,221908000000.0,,12041,0.3755
