Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-09-11,GPTINFRA,EQ,135.0,137.65,138.2,132.5,135.25,134.5,136.95,17673,242034629999.99997,274,11748,0.6647
2018-09-12,GPTINFRA,EQ,134.5,134.8,135.05,130.0,130.5,131.8,133.29,12754,170002845000.0,232,4487,0.3518
2018-09-14,GPTINFRA,EQ,131.8,134.0,134.0,133.0,133.0,133.4,133.87,6641,88904025000.0,93,1503,0.2263
2018-09-17,GPTINFRA,EQ,133.4,135.5,135.5,130.0,130.0,132.3,134.1,9609,128858280000.0,226,3608,0.3755
2018-09-18,GPTINFRA,EQ,132.3,132.5,133.5,125.0,131.0,128.15,131.46,12839,168776875000.0,327,4878,0.3799
2018-09-19,GPTINFRA,EQ,128.15,128.0,131.5,127.5,131.5,130.8,130.79,6803,88976645000.0,216,1305,0.1918
2018-09-21,GPTINFRA,EQ,130.8,130.1,130.1,104.65,106.0,105.15,105.81,424581,4492500435000.0,1142,192249,0.45280000000000004
2018-09-24,GPTINFRA,EQ,105.15,107.25,121.75,96.9,107.4,105.4,112.73,196255,2212452930000.0,4466,113416,0.5779
2018-09-25,GPTINFRA,EQ,105.4,106.0,107.45,98.0,105.0,103.25,103.94,24927,259102160000.0,437,13674,0.5486
2018-09-26,GPTINFRA,EQ,103.25,104.0,106.0,100.5,103.55,104.5,104.09,80928,842361340000.0,353,63697,0.7870999999999999
2018-09-27,GPTINFRA,EQ,104.5,104.0,104.15,100.1,100.4,101.8,103.41,10134,104791965000.0,171,2844,0.2806
2018-09-28,GPTINFRA,EQ,101.8,102.0,114.0,90.0,110.0,105.35,98.76,71814,709252700000.0,799,52115,0.7256999999999999
2018-10-01,GPTINFRA,EQ,105.35,105.0,105.0,94.65,99.9,97.45,100.25,11797,118266689999.99998,272,3473,0.2944
2018-10-03,GPTINFRA,EQ,97.45,97.75,98.0,92.5,93.0,93.25,96.28,15313,147435945000.0,239,7396,0.483
2018-10-04,GPTINFRA,EQ,93.25,93.5,96.7,88.0,94.25,94.8,91.48,18006,164713380000.0,336,9729,0.5403
2018-10-05,GPTINFRA,EQ,94.8,91.05,96.0,88.0,88.1,89.7,93.63,13480,126216950000.0,257,7572,0.5617
2018-10-08,GPTINFRA,EQ,89.7,89.5,91.45,71.8,71.8,72.7,74.87,82022,614123360000.0,546,43796,0.534
2018-10-09,GPTINFRA,EQ,72.7,71.35,74.5,67.8,68.5,69.75,70.07,12566,88049690000.0,269,5184,0.41250000000000003
2018-10-10,GPTINFRA,EQ,69.75,71.0,76.7,63.35,76.7,76.7,75.2,30244,227447820000.00003,308,19903,0.6581
2018-10-11,GPTINFRA,EQ,76.7,76.0,79.8,72.1,77.0,77.0,77.76,17676,137456280000.0,141,5609,0.3173
2018-10-12,GPTINFRA,EQ,77.0,77.0,83.5,77.0,77.25,77.8,78.46,34183,268206450000.0,213,23435,0.6856
2018-10-15,GPTINFRA,EQ,77.8,77.0,85.55,75.5,83.5,83.55,79.25,11381,90191650000.0,192,4542,0.39909999999999995
