Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-21,GSSAMERICA,EQ,340.75,341.0,346.05,329.55,335.0,332.25,338.2,193032,6528404395000.0,,101096,0.5236999999999999
2010-10-22,GSSAMERICA,EQ,332.25,339.7,347.0,329.1,344.9,336.1,333.47,46126,1538169755000.0,,25932,0.5622
2010-10-25,GSSAMERICA,EQ,336.1,342.0,373.2,340.0,362.0,362.85,361.15,270733,9777414025000.0,,71124,0.2627
2010-10-26,GSSAMERICA,EQ,362.85,365.5,368.9,356.0,360.0,359.3,364.1,52389,1907496905000.0,,24680,0.4711
2010-10-27,GSSAMERICA,EQ,359.3,360.0,371.75,354.05,367.0,363.75,363.82,40755,1482763135000.0,,15229,0.3737
2010-10-28,GSSAMERICA,EQ,363.75,365.45,365.45,358.0,358.0,358.85,361.22,9184,331740495000.0,,7126,0.7759
2010-10-29,GSSAMERICA,EQ,358.85,361.0,371.0,356.1,366.0,365.9,363.03,64031,2324547030000.0,,36497,0.5700000000000001
2010-11-01,GSSAMERICA,EQ,365.9,372.4,377.0,368.0,368.0,368.85,372.76,27287,1017163150000.0,,17275,0.6331
2010-11-02,GSSAMERICA,EQ,368.85,372.0,374.5,365.25,368.5,368.65,369.85,33149,1226014875000.0,,30694,0.9259000000000001
2010-11-03,GSSAMERICA,EQ,368.65,372.5,395.75,372.5,393.85,390.15,388.32,159016,6174918900000.0,,42088,0.2647
2010-11-04,GSSAMERICA,EQ,390.15,394.2,417.6,381.0,407.1,408.2,405.1,182897,7409216455000.0,,53196,0.2909
2010-11-05,GSSAMERICA,EQ,408.2,412.0,426.0,410.0,416.0,420.05,418.97,37678,1578612670000.0,,10054,0.2668
2010-11-08,GSSAMERICA,EQ,420.05,500.0,500.0,404.35,410.0,409.9,415.39,51127,2123742080000.0,,25746,0.5036
2010-11-09,GSSAMERICA,EQ,409.9,417.95,425.0,411.0,413.0,412.9,418.79,44273,1854113130000.0,,21390,0.48310000000000003
2010-11-10,GSSAMERICA,EQ,412.9,415.95,416.0,409.0,410.0,410.05,411.61,26016,1070849830000.0001,,16582,0.6374000000000001
2010-11-11,GSSAMERICA,EQ,410.05,414.95,415.0,396.0,405.45,403.55,404.44,17601,711856185000.0,,7990,0.454
2010-11-12,GSSAMERICA,EQ,403.55,402.55,403.95,362.0,362.0,367.95,383.31,39124,1499648850000.0,,24818,0.6343
2010-11-15,GSSAMERICA,EQ,367.95,368.0,399.8,365.2,380.0,379.2,386.18,100163,3868095720000.0005,,30125,0.3008
2010-11-16,GSSAMERICA,EQ,379.2,383.9,392.0,362.5,363.75,368.05,377.01,52846,1992361839999.9998,,26661,0.5045000000000001
2010-11-18,GSSAMERICA,EQ,368.05,370.0,372.0,325.0,340.1,341.5,350.05,35390,1238811860000.0,,17801,0.503
2010-11-19,GSSAMERICA,EQ,341.5,336.05,354.0,322.0,324.95,327.35,339.31,35027,1188484855000.0,,16559,0.47270000000000006
2010-11-22,GSSAMERICA,EQ,327.35,330.2,342.0,330.2,331.65,334.25,335.73,30915,1037907835000.0,,20295,0.6565000000000001
2010-11-23,GSSAMERICA,EQ,334.25,334.9,344.0,328.0,332.0,332.3,336.71,25877,871312705000.0001,,8477,0.3276
2010-11-24,GSSAMERICA,EQ,332.3,337.5,349.95,336.9,343.0,343.35,344.0,34612,1190653345000.0,,10950,0.3164
2010-11-25,GSSAMERICA,EQ,343.35,336.0,352.0,336.0,339.0,340.95,345.43,10700,369611210000.0,,5373,0.5021
2010-11-26,GSSAMERICA,EQ,340.95,332.0,343.75,310.1,327.0,319.75,320.12,20021,640904350000.0,,10069,0.5029
2010-11-29,GSSAMERICA,EQ,319.75,322.0,353.7,320.1,349.65,349.35,341.81,57113,1952202364999.9998,,15141,0.2651
2010-11-30,GSSAMERICA,EQ,349.35,349.0,349.5,331.05,338.45,341.65,342.62,15067,516228580000.0,,8808,0.5846
2010-12-01,GSSAMERICA,EQ,341.65,340.0,368.5,340.0,347.0,348.1,351.66,116525,4097715215000.0,,75030,0.6439
2010-12-02,GSSAMERICA,EQ,348.1,354.7,361.0,335.35,337.85,339.15,343.3,73419,2520438505000.0,,52536,0.7156
2010-12-03,GSSAMERICA,EQ,339.15,343.5,343.65,271.35,271.35,271.35,292.38,72979,2133768800000.0,,40978,0.5615
2010-12-06,GSSAMERICA,EQ,271.35,258.0,300.0,219.0,286.0,280.6,282.56,374789,10590205040000.0,,205142,0.5474
2010-12-07,GSSAMERICA,EQ,280.6,289.0,292.9,280.5,285.0,284.1,283.23,182674,5173911210000.0,,107307,0.5874
2010-12-08,GSSAMERICA,EQ,284.1,278.5,287.95,227.3,227.3,227.3,261.35,84436,2206727440000.0,,42098,0.4986
2010-12-09,GSSAMERICA,EQ,227.3,208.0,208.0,204.6,204.6,204.6,204.6,45135,923483850000.0,,45135,1.0
2010-12-10,GSSAMERICA,EQ,204.6,184.15,184.15,184.15,184.15,184.15,184.15,11808,217444320000.00003,,11804,0.9997
2010-12-13,GSSAMERICA,EQ,184.15,165.75,165.75,165.75,165.75,165.75,165.75,42401,702796575000.0,,42269,0.9969
2010-12-14,GSSAMERICA,EQ,165.75,161.0,161.0,157.5,157.5,157.5,157.5,35798,563822350000.0,,35788,0.9997
2010-12-15,GSSAMERICA,EQ,157.5,149.65,165.4,149.65,155.65,157.55,156.02,2629928,41032361515000.0,,933775,0.35509999999999997
2010-12-16,GSSAMERICA,EQ,157.55,158.8,165.45,153.0,165.45,165.45,164.85,560374,9237760840000.0,,300100,0.5355
2010-12-20,GSSAMERICA,EQ,165.45,173.75,173.75,165.0,173.75,173.75,168.48,1093780,18427500485000.0,,779612,0.7128
2010-12-21,GSSAMERICA,EQ,173.75,179.9,180.9,176.8,180.9,180.9,180.78,299699,5417929990000.0,,235785,0.7867000000000001
2010-12-22,GSSAMERICA,EQ,180.9,189.95,189.95,189.95,189.95,189.95,189.95,10749,204177255000.0,,9225,0.8582
2010-12-23,GSSAMERICA,EQ,189.95,194.9,196.8,180.45,181.3,181.15,186.03,393701,7324085109999.999,,133368,0.33880000000000005
2010-12-24,GSSAMERICA,EQ,181.15,175.55,190.25,174.2,188.6,189.9,186.72,192655,3597342200000.0,,48886,0.25370000000000004
2010-12-27,GSSAMERICA,EQ,189.9,191.0,194.5,183.0,186.0,184.85,189.23,89374,1691233420000.0,,37333,0.4177
2010-12-28,GSSAMERICA,EQ,184.85,186.0,187.5,183.0,183.5,184.4,184.63,42361,782111970000.0,,27639,0.6525
2010-12-29,GSSAMERICA,EQ,184.4,184.4,186.5,180.5,182.2,181.7,182.83,47697,872062744999.9999,,33096,0.6939000000000001
2010-12-30,GSSAMERICA,EQ,181.7,182.3,190.8,180.0,187.0,187.85,188.72,81706,1541920780000.0,,27775,0.33990000000000004
2010-12-31,GSSAMERICA,EQ,187.85,189.5,197.25,189.5,197.25,197.25,196.33,166957,3277818985000.0,,74511,0.44630000000000003
2011-01-03,GSSAMERICA,EQ,197.25,201.0,205.0,198.2,204.5,202.0,201.49,121285,2443828760000.0,,46796,0.3858
2011-01-04,GSSAMERICA,EQ,202.0,205.0,210.4,201.8,206.75,206.05,206.96,57288,1185609440000.0,,20600,0.35960000000000003
2011-01-05,GSSAMERICA,EQ,206.05,206.15,212.0,197.0,198.0,198.7,203.92,41737,851085715000.0,,19104,0.45770000000000005
2011-01-06,GSSAMERICA,EQ,198.7,200.0,202.8,189.05,194.6,194.85,195.08,58136,1134146040000.0,,14851,0.2555
2011-01-07,GSSAMERICA,EQ,194.85,194.5,198.65,185.15,185.15,185.9,193.04,95026,1834419605000.0,,78991,0.8312999999999999
2011-01-10,GSSAMERICA,EQ,185.9,185.9,188.8,177.3,179.8,178.7,183.73,34701,637563740000.0,,17888,0.5155
2011-01-11,GSSAMERICA,EQ,178.7,180.0,184.75,169.8,176.0,172.25,172.5,87511,1509525450000.0,,41199,0.4708
2011-01-12,GSSAMERICA,EQ,172.25,179.7,179.7,166.1,174.9,174.35,172.08,31685,545244430000.0,,13835,0.4366
2011-01-13,GSSAMERICA,EQ,174.35,176.0,176.0,168.0,168.75,169.4,171.13,23474,401713285000.0,,13305,0.5668
2011-01-14,GSSAMERICA,EQ,169.4,166.05,171.9,165.0,167.0,166.2,169.01,47652,805363405000.0,,21571,0.45270000000000005
2011-01-17,GSSAMERICA,EQ,166.2,165.7,172.65,158.1,158.95,159.5,164.57,27700,455859930000.0,,10215,0.3688
2011-01-18,GSSAMERICA,EQ,159.5,163.7,163.7,155.3,158.9,158.25,159.5,20209,322333015000.0,,7925,0.3922
2011-01-19,GSSAMERICA,EQ,158.25,159.5,166.2,156.3,163.1,162.8,163.19,30281,494163680000.0,,11580,0.3824
2011-01-20,GSSAMERICA,EQ,162.8,163.8,164.8,160.15,162.0,161.3,161.76,11228,181621850000.0,,6750,0.6012
2011-01-21,GSSAMERICA,EQ,161.3,160.0,169.4,158.0,169.4,169.4,168.45,28829,485626859999.99994,,9980,0.3462
2011-01-24,GSSAMERICA,EQ,169.4,175.85,176.0,166.25,166.35,168.2,171.62,81425,1397416945000.0,,64567,0.793
2011-01-25,GSSAMERICA,EQ,168.2,166.05,169.7,165.0,166.0,165.75,167.75,62833,1054031500000.0,,56289,0.8959
2011-01-27,GSSAMERICA,EQ,165.75,168.9,169.0,163.0,165.0,164.1,166.82,60135,1003174605000.0001,,55446,0.922
2011-01-28,GSSAMERICA,EQ,164.1,164.1,169.0,155.9,155.9,155.9,160.55,70268,1128140115000.0,,62211,0.8853
2011-01-31,GSSAMERICA,EQ,155.9,155.9,155.9,148.2,149.0,149.25,150.58,39402,593330835000.0,,17991,0.45659999999999995
2011-02-01,GSSAMERICA,EQ,149.25,148.0,154.75,148.0,150.0,150.05,150.73,20345,306667890000.0,,13312,0.6543000000000001
2011-02-02,GSSAMERICA,EQ,150.05,152.8,155.0,150.0,150.45,150.5,152.01,11171,169810665000.0,,5473,0.48990000000000006
2011-02-03,GSSAMERICA,EQ,150.5,154.35,158.05,149.0,158.05,155.65,153.12,85535,1309714615000.0,,69872,0.8169
2011-02-04,GSSAMERICA,EQ,155.65,157.95,163.0,154.0,154.0,154.3,159.95,69497,1111600870000.0,,57294,0.8244
2011-02-07,GSSAMERICA,EQ,154.3,153.0,161.95,153.0,159.0,158.7,157.64,129460,2040817170000.0,,119415,0.9224
2011-02-08,GSSAMERICA,EQ,158.7,162.0,163.0,150.8,152.0,151.1,157.67,66423,1047286100000.0,,60513,0.9109999999999999
2011-02-09,GSSAMERICA,EQ,151.1,146.2,151.0,145.0,148.0,146.4,147.96,64203,949921044999.9999,,58303,0.9081
2011-02-10,GSSAMERICA,EQ,146.4,148.65,153.75,142.05,143.25,145.0,145.4,10186,148107200000.0,,5968,0.5859000000000001
2011-02-11,GSSAMERICA,EQ,145.0,144.0,152.0,143.6,149.0,148.85,147.06,7175,105516614999.99998,,2657,0.3703
2011-02-14,GSSAMERICA,EQ,148.85,153.8,156.3,150.1,156.3,156.3,155.38,5991,93085645000.0,,5154,0.8603000000000001
