Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2001-11-02,GLOBALTELE,EQ,74.8,77.9,78.0,73.6,73.95,74.5,76.17,2626539,20005579950000.0,,,
2001-11-05,GLOBALTELE,EQ,74.5,74.7,76.8,74.0,76.45,75.75,75.61,3220197,24347920205000.0,,,
2001-11-06,GLOBALTELE,EQ,75.75,79.7,87.5,78.0,85.0,85.7,84.54,11114659,93962468070000.0,,,
2001-11-07,GLOBALTELE,EQ,85.7,88.0,92.5,83.6,84.8,84.55,86.13,6017107,51825032340000.0,,,
2001-11-08,GLOBALTELE,EQ,84.55,85.5,91.8,85.0,90.6,89.45,89.0,11048563,98337009795000.0,,,
2001-11-09,GLOBALTELE,EQ,89.45,89.0,91.5,86.75,88.0,87.65,89.03,6945094,61829712100000.0,,,
2001-11-12,GLOBALTELE,EQ,87.65,89.0,91.5,88.0,89.6,89.95,90.37,3765781,34030602664999.996,,,
2001-11-13,GLOBALTELE,EQ,89.95,88.15,92.4,88.1,92.4,90.5,89.91,5030509,45231099475000.0,,,
2001-11-14,GLOBALTELE,EQ,90.5,94.6,99.9,93.0,99.5,98.4,96.86,6472684,62691397925000.0,,,
2001-11-15,GLOBALTELE,EQ,98.4,99.3,106.3,98.6,101.8,103.25,101.94,11854142,120843837559999.98,,,
2001-11-19,GLOBALTELE,EQ,103.25,103.15,109.8,103.15,106.5,107.2,107.45,11381366,122290367915000.02,,,
2001-11-20,GLOBALTELE,EQ,107.2,108.0,109.7,99.0,99.5,100.3,102.6,8346642,85637319705000.0,,,
2001-11-21,GLOBALTELE,EQ,100.3,94.3,102.0,93.6,101.4,99.6,98.45,6166216,60708183785000.0,,,
2001-11-22,GLOBALTELE,EQ,99.6,102.0,119.55,102.0,119.55,118.55,113.78,15411522,175344756655000.0,,,
2001-11-23,GLOBALTELE,EQ,118.55,120.35,131.85,116.8,117.55,118.6,124.27,17959570,223181942905000.03,,,
2001-11-26,GLOBALTELE,EQ,118.6,122.0,128.2,120.25,123.7,122.85,123.98,13974011,173252373590000.0,,,
2001-11-27,GLOBALTELE,EQ,122.85,125.7,128.7,117.2,118.9,118.55,121.2,10746209,130247802815000.02,,,
2001-11-28,GLOBALTELE,EQ,118.55,117.1,124.75,113.0,115.8,114.65,118.1,11800371,139356483340000.02,,,
2001-11-29,GLOBALTELE,EQ,114.65,111.1,120.0,108.6,119.4,116.4,113.91,12706876,144740027765000.0,,,
2001-12-03,GLOBALTELE,EQ,116.4,121.0,124.25,119.1,121.45,121.8,121.68,9363396,113930101865000.02,,,
2001-12-04,GLOBALTELE,EQ,121.8,122.0,140.9,122.0,140.0,138.4,132.13,22904756,302643820070000.0,,,
2001-12-05,GLOBALTELE,EQ,138.4,142.0,155.5,141.35,151.8,152.45,149.82,18187401,272492645535000.0,,,
2001-12-06,GLOBALTELE,EQ,152.45,157.0,162.9,144.25,146.4,149.35,154.45,18492202,285607927310000.0,,,
2001-12-07,GLOBALTELE,EQ,149.35,148.2,155.75,146.3,150.4,148.8,150.89,11516102,173761287550000.0,,,
2001-12-10,GLOBALTELE,EQ,148.8,150.0,163.45,145.55,160.4,160.65,157.35,18663581,293669634085000.0,,,
