Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1997-11-24,GUJAPOLEQP,EQ,35.0,33.75,33.75,33.75,,33.75,33.75,200,675000000.0,,,
1997-11-25,GUJAPOLEQP,EQ,33.75,35.0,35.45,35.0,,35.45,35.32,1000,3531500000.0,,,
1997-11-26,GUJAPOLEQP,EQ,35.45,36.5,36.5,36.5,,36.5,36.5,1000,3650000000.0,,,
1997-11-27,GUJAPOLEQP,EQ,36.5,38.25,38.35,35.45,,38.35,37.85,1100,4164000000.0,,,
1997-11-28,GUJAPOLEQP,EQ,38.35,38.9,38.9,38.0,,38.5,38.38,500,1919000000.0,,,
1997-12-01,GUJAPOLEQP,EQ,38.5,40.25,40.25,37.0,,37.0,38.63,200,772500000.0,,,
1997-12-02,GUJAPOLEQP,EQ,37.0,38.65,38.65,38.65,,38.65,38.65,100,386500000.0,,,
1997-12-09,GUJAPOLEQP,EQ,38.65,37.0,37.0,37.0,,37.0,37.0,100,370000000.0,,,
1997-12-10,GUJAPOLEQP,EQ,37.0,35.75,35.75,35.75,,35.75,35.75,100,357500000.0,,,
1997-12-11,GUJAPOLEQP,EQ,35.75,35.25,35.5,35.25,,35.5,35.38,200,707500000.0,,,
1997-12-12,GUJAPOLEQP,EQ,35.5,35.0,35.0,35.0,,35.0,35.0,100,350000000.0,,,
1997-12-15,GUJAPOLEQP,EQ,35.0,34.5,34.5,34.5,,34.5,34.5,100,345000000.0,,,
1997-12-16,GUJAPOLEQP,EQ,34.5,33.5,33.5,33.5,,33.5,33.5,200,670000000.0,,,
1997-12-17,GUJAPOLEQP,EQ,33.5,33.75,33.75,33.75,,33.75,33.75,100,337500000.0,,,
1997-12-18,GUJAPOLEQP,EQ,33.75,34.95,34.95,34.95,,34.95,34.95,100,349500000.0,,,
1997-12-24,GUJAPOLEQP,EQ,34.95,35.5,35.5,35.5,,35.5,35.5,100,355000000.0,,,
