Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-03-08,GUJGASLTD,EQ,500.65,500.0,530.8,497.1,506.3,506.15,513.76,63658,3270487285000.0,3703,23896,0.3754
2016-03-09,GUJGASLTD,EQ,506.15,500.2,509.8,498.75,503.5,504.5,503.19,25576,1286961150000.0,1588,12450,0.4868
2016-03-10,GUJGASLTD,EQ,504.5,512.0,512.0,502.0,510.0,507.0,507.02,71231,3611527340000.0,1183,58462,0.8207
2016-03-11,GUJGASLTD,EQ,507.0,510.0,515.0,502.3,505.85,508.7,508.94,52902,2692420180000.0,1847,30804,0.5822999999999999
2016-03-14,GUJGASLTD,EQ,508.7,510.7,512.0,500.0,501.0,501.25,504.81,28158,1421432730000.0,1193,14296,0.5077
2016-03-15,GUJGASLTD,EQ,501.25,502.0,510.0,499.85,503.0,500.55,501.26,48623,2437272115000.0,4470,29216,0.6009000000000001
2016-03-16,GUJGASLTD,EQ,500.55,500.1,506.8,500.0,503.95,502.95,501.6,17331,869316455000.0001,3124,9213,0.5316
2016-03-17,GUJGASLTD,EQ,502.95,505.0,569.0,505.0,524.9,526.1,542.61,282366,15321431915000.0,12289,67884,0.2404
2016-03-18,GUJGASLTD,EQ,526.1,526.0,535.5,503.05,521.35,520.2,519.45,62296,3235970150000.0,4291,21421,0.34390000000000004
2016-03-21,GUJGASLTD,EQ,520.2,520.0,539.0,520.0,530.0,527.7,530.08,33250,1762529260000.0002,1924,11599,0.34880000000000005
2016-03-22,GUJGASLTD,EQ,527.7,518.05,549.5,518.05,548.0,544.9,537.53,84833,4560066410000.0,3628,29455,0.3472
2016-03-23,GUJGASLTD,EQ,544.9,549.2,549.2,523.05,527.0,528.1,531.71,33960,1805686945000.0,1574,17793,0.5239
2016-03-28,GUJGASLTD,EQ,528.1,531.6,533.6,512.9,523.95,523.25,523.23,18677,977243165000.0,1440,10042,0.5377000000000001
2016-03-29,GUJGASLTD,EQ,523.25,523.25,538.8,520.5,535.0,534.85,530.73,28469,1510947550000.0,2545,14797,0.5197999999999999
2016-03-30,GUJGASLTD,EQ,534.85,534.0,543.0,530.65,531.95,534.25,537.78,14976,805382390000.0,1453,6182,0.4128
2016-03-31,GUJGASLTD,EQ,534.25,536.0,565.0,536.0,552.0,552.55,553.63,240828,13332965150000.0,10264,166435,0.6911
2016-04-01,GUJGASLTD,EQ,552.55,546.95,556.2,536.35,540.0,540.35,541.84,44239,2397040930000.0,2426,31978,0.7228
2016-04-04,GUJGASLTD,EQ,540.35,544.0,544.05,533.0,538.0,539.95,539.77,6310,340597280000.0,554,2192,0.34740000000000004
2016-04-05,GUJGASLTD,EQ,539.95,535.0,551.5,533.1,535.55,538.75,541.78,20334,1101662570000.0,2899,6297,0.3097
2016-04-06,GUJGASLTD,EQ,538.75,539.95,548.0,531.0,542.0,540.25,537.83,44862,2412823895000.0,2204,31172,0.6948000000000001
2016-04-07,GUJGASLTD,EQ,540.25,545.0,547.0,530.4,535.0,533.15,537.96,13062,702685155000.0,1038,3913,0.29960000000000003
2016-04-08,GUJGASLTD,EQ,533.15,537.0,541.2,530.6,536.0,534.4,534.93,8673,463946445000.0,1137,4080,0.4704
2016-04-11,GUJGASLTD,EQ,534.4,537.15,545.0,532.0,536.0,535.4,538.18,10547,567616530000.0,1123,4300,0.40770000000000006
2016-04-12,GUJGASLTD,EQ,535.4,536.0,551.7,533.0,539.85,540.55,542.92,28940,1571218985000.0,1765,8545,0.2953
2016-04-13,GUJGASLTD,EQ,540.55,545.9,560.0,542.2,548.5,550.0,552.65,56532,3124212875000.0,3120,28994,0.5129
2016-04-18,GUJGASLTD,EQ,550.0,545.0,557.05,542.2,548.15,549.55,550.65,32395,1783825885000.0002,2132,18959,0.5852
2016-04-20,GUJGASLTD,EQ,549.55,549.0,550.0,540.3,541.15,542.3,546.85,16898,924064860000.0,1338,6832,0.4043
2016-04-21,GUJGASLTD,EQ,542.3,542.1,550.0,534.5,536.15,537.95,542.2,9952,539594180000.0,687,4501,0.4523
2016-04-22,GUJGASLTD,EQ,537.95,538.0,545.0,532.4,533.5,533.85,537.89,20841,1121017090000.0,1230,9264,0.44450000000000006
2016-04-25,GUJGASLTD,EQ,533.85,534.35,542.7,526.0,527.65,528.4,533.1,11743,626018155000.0,988,6456,0.5498
2016-04-26,GUJGASLTD,EQ,528.4,533.65,539.0,522.0,524.2,524.15,527.04,24206,1275761160000.0,2110,14179,0.5858
2016-04-27,GUJGASLTD,EQ,524.15,526.95,541.0,526.65,533.2,534.9,534.99,32172,1721156560000.0002,1346,25771,0.8009999999999999
2016-04-28,GUJGASLTD,EQ,534.9,539.5,539.5,531.05,535.05,535.2,535.17,15608,835294330000.0,927,10725,0.6870999999999999
2016-04-29,GUJGASLTD,EQ,535.2,539.0,539.0,525.3,534.9,535.8,534.8,25682,1373461465000.0,694,21760,0.8473
2016-05-02,GUJGASLTD,EQ,535.8,535.0,539.0,532.0,538.0,537.05,536.15,11800,632662610000.0,855,7245,0.614
2016-05-03,GUJGASLTD,EQ,537.05,532.3,550.0,532.3,539.55,538.5,543.24,20371,1106633185000.0,1436,9467,0.4647
2016-05-04,GUJGASLTD,EQ,538.5,541.95,542.95,531.85,539.7,539.6,539.8,58786,3173271110000.0,1295,53476,0.9097
2016-05-05,GUJGASLTD,EQ,539.6,543.3,543.4,533.0,537.05,540.05,539.46,21224,1144939650000.0,2415,13625,0.642
2016-05-06,GUJGASLTD,EQ,540.05,540.0,540.05,517.85,518.3,523.8,529.16,19555,1034772625000.0,1298,12498,0.6391
2016-05-09,GUJGASLTD,EQ,523.8,528.0,530.4,515.0,516.0,518.05,521.01,19841,1033728380000.0001,1291,11038,0.5563
2016-05-10,GUJGASLTD,EQ,518.05,518.0,529.9,515.0,521.5,519.6,521.68,15608,814239200000.0,930,10098,0.647
2016-05-11,GUJGASLTD,EQ,519.6,517.0,528.8,515.25,518.45,519.75,519.24,11721,608606710000.0,572,5808,0.4955
2016-05-12,GUJGASLTD,EQ,519.75,519.9,524.85,517.0,523.8,523.45,523.21,32619,1706659364999.9998,908,24369,0.7471
2016-05-13,GUJGASLTD,EQ,523.45,530.25,544.0,515.15,516.75,519.9,529.26,86043,4553935680000.0,4722,36477,0.4239
2016-05-16,GUJGASLTD,EQ,519.9,521.0,524.4,517.25,523.8,520.9,520.81,18171,946363619999.9999,961,9826,0.5408
2016-05-17,GUJGASLTD,EQ,520.9,523.75,526.0,505.7,515.55,518.0,521.34,55912,2914913340000.0,2378,26787,0.47909999999999997
2016-05-18,GUJGASLTD,EQ,518.0,527.95,536.9,516.5,519.0,519.45,527.21,131697,6943181840000.001,6746,47951,0.3641
2016-05-19,GUJGASLTD,EQ,519.45,522.7,525.05,505.1,509.0,509.5,516.41,24785,1279910050000.0,1279,15340,0.6189
2016-05-20,GUJGASLTD,EQ,509.5,510.9,513.8,496.0,501.9,501.55,502.69,32549,1636210590000.0,1704,23291,0.7156
2016-05-23,GUJGASLTD,EQ,501.55,502.7,508.0,490.05,496.6,495.05,497.17,25014,1243622085000.0,1324,12771,0.5106
2016-05-24,GUJGASLTD,EQ,495.05,495.0,508.0,493.2,506.55,504.95,500.98,38648,1936185900000.0,1592,28756,0.7440000000000001
2016-05-25,GUJGASLTD,EQ,504.95,510.0,510.0,493.0,502.0,502.5,501.8,13861,695545755000.0,988,7093,0.5117
2016-05-26,GUJGASLTD,EQ,502.5,504.95,512.7,501.95,511.3,510.0,508.1,25672,1304397415000.0,907,21449,0.8355
2016-05-27,GUJGASLTD,EQ,510.0,510.3,518.0,510.0,517.0,515.2,513.89,18133,931828415000.0,1098,11606,0.64
2016-05-30,GUJGASLTD,EQ,515.2,515.0,525.0,513.0,515.0,515.1,520.51,20250,1054025094999.9999,1334,11260,0.556
2016-05-31,GUJGASLTD,EQ,515.1,511.8,525.6,510.0,522.0,521.25,520.31,28985,1508104415000.0,3455,17629,0.6082
2016-06-01,GUJGASLTD,EQ,521.25,521.35,524.7,511.4,517.7,517.05,518.99,11547,599279715000.0,684,8618,0.7463
2016-06-02,GUJGASLTD,EQ,517.05,519.4,522.0,512.0,514.0,513.75,516.3,8505,439114850000.0,889,5511,0.648
2016-06-03,GUJGASLTD,EQ,513.75,515.15,536.9,513.0,525.0,527.9,518.61,560828,29085051010000.004,2373,531545,0.9478
2016-06-06,GUJGASLTD,EQ,527.9,530.0,542.2,530.0,530.1,537.9,537.44,78575,4222907135000.0,3337,53724,0.6837000000000001
2016-06-07,GUJGASLTD,EQ,537.9,536.0,537.95,521.0,523.75,524.25,527.27,18884,995702435000.0,997,9444,0.5001
2016-06-08,GUJGASLTD,EQ,524.25,525.1,527.8,517.05,520.55,520.05,521.53,8353,435635165000.00006,717,4892,0.5857
2016-06-09,GUJGASLTD,EQ,520.05,521.55,527.45,514.0,517.85,516.8,519.79,12041,625878610000.0,917,6824,0.5667
2016-06-10,GUJGASLTD,EQ,516.8,525.15,532.0,516.0,518.0,518.2,522.54,49661,2594963560000.0,2633,17308,0.34850000000000003
2016-06-13,GUJGASLTD,EQ,518.2,518.0,518.0,508.4,512.1,510.95,513.01,11585,594318595000.0,830,6851,0.5914
2016-06-14,GUJGASLTD,EQ,510.95,522.9,529.75,514.0,516.65,517.05,522.0,95593,4989968630000.0,3698,30114,0.315
2016-06-15,GUJGASLTD,EQ,517.05,522.0,523.4,516.3,518.05,517.3,519.98,23047,1198387680000.0,966,10455,0.4536
2016-06-16,GUJGASLTD,EQ,517.3,517.0,520.0,510.85,516.5,515.5,513.35,37097,1904388845000.0,1106,26877,0.7245
2016-06-17,GUJGASLTD,EQ,515.5,515.1,521.65,514.5,518.0,517.45,517.13,88461,4574585540000.0,2280,78638,0.8890000000000001
2016-06-20,GUJGASLTD,EQ,517.45,517.0,531.5,515.1,522.0,519.65,522.52,55937,2922812515000.0,2042,35387,0.6325999999999999
