Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1998-02-23,GUJRAFFIA,EQ,2.15,2.3,2.3,2.3,,2.3,2.3,100,23000000.0,,,
1998-02-24,GUJRAFFIA,EQ,2.3,2.3,2.35,2.3,,2.35,2.34,900,211000000.0,,,
1999-09-08,GUJRAFFIA,EQ,2.85,2.0,2.0,2.0,2.0,2.0,2.0,400,80000000.0,,,
1999-09-09,GUJRAFFIA,EQ,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1200,228000000.0,,,
1999-09-10,GUJRAFFIA,EQ,1.9,2.0,2.0,2.0,2.0,2.0,2.0,1000,200000000.0,,,
1999-09-14,GUJRAFFIA,EQ,2.0,2.0,2.65,2.0,2.0,2.0,2.15,1700,366000000.0,,,
1999-09-15,GUJRAFFIA,EQ,2.0,2.95,3.0,2.0,2.0,2.0,2.81,2500,703500000.0,,,
1999-09-16,GUJRAFFIA,EQ,2.0,2.5,3.0,2.1,2.1,2.1,2.6,700,182000000.0,,,
1999-09-17,GUJRAFFIA,EQ,2.1,2.0,2.05,2.0,2.05,2.05,2.03,500,101500000.0,,,
1999-09-20,GUJRAFFIA,EQ,2.05,2.0,2.0,2.0,2.0,2.0,2.0,500,100000000.0,,,
1999-09-21,GUJRAFFIA,EQ,2.0,2.0,2.0,2.0,2.0,2.0,2.0,200,40000000.0,,,
1999-09-22,GUJRAFFIA,EQ,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1000,200000000.0,,,
1999-09-23,GUJRAFFIA,EQ,2.0,1.75,1.75,1.55,1.55,1.55,1.65,1000,165000000.0,,,
1999-09-24,GUJRAFFIA,EQ,1.55,1.2,1.5,1.2,1.5,1.5,1.35,1000,135000000.0,,,
1999-10-13,GUJRAFFIA,EQ,1.5,1.5,1.5,1.5,1.5,1.5,1.5,200,30000000.0,,,
1999-10-14,GUJRAFFIA,EQ,1.5,2.25,2.25,2.25,2.25,2.25,2.25,100,22500000.0,,,
1999-10-21,GUJRAFFIA,EQ,2.25,1.35,1.35,1.35,1.35,1.35,1.35,100,13500000.0,,,
1999-10-22,GUJRAFFIA,EQ,1.35,2.0,2.0,2.0,2.0,2.0,2.0,100,20000000.0,,,
1999-10-26,GUJRAFFIA,EQ,2.0,2.5,2.5,2.5,2.5,2.5,2.5,100,25000000.0,,,
1999-10-27,GUJRAFFIA,EQ,2.5,2.4,2.4,2.0,2.0,2.0,2.29,700,160000000.0,,,
1999-10-28,GUJRAFFIA,EQ,2.0,2.0,2.4,2.0,2.4,2.4,2.13,300,64000000.0,,,
1999-12-13,GUJRAFFIA,EQ,2.4,1.75,1.75,1.75,1.75,1.75,1.75,100,17500000.0,,,
1999-12-21,GUJRAFFIA,EQ,1.75,1.5,1.5,1.5,1.5,1.5,1.5,100,15000000.0,,,
1999-12-22,GUJRAFFIA,EQ,1.5,2.25,2.25,2.25,2.25,2.25,2.25,200,45000000.0,,,
1999-12-24,GUJRAFFIA,EQ,2.25,2.25,3.1,2.25,3.1,3.1,2.65,1900,504000000.0,,,
1999-12-27,GUJRAFFIA,EQ,3.1,3.6,3.75,3.6,3.75,3.75,3.68,200,73500000.0,,,
1999-12-28,GUJRAFFIA,EQ,3.75,5.0,5.65,5.0,5.65,5.65,5.5,2700,1485000000.0,,,
1999-12-29,GUJRAFFIA,EQ,5.65,7.0,7.95,6.1,7.85,7.55,7.32,6200,4538500000.0,,,
1999-12-30,GUJRAFFIA,EQ,7.55,7.0,7.0,6.0,6.0,6.3,6.55,1300,851000000.0,,,
2000-01-03,GUJRAFFIA,EQ,6.3,7.0,7.2,5.05,5.05,5.05,6.75,3100,2093500000.0,,,
2000-01-04,GUJRAFFIA,EQ,5.05,5.25,5.35,4.85,4.9,5.0,5.13,2600,1333500000.0,,,
2000-01-05,GUJRAFFIA,EQ,5.0,4.9,4.9,3.05,4.2,4.2,3.65,1300,474500000.0,,,
2000-01-06,GUJRAFFIA,EQ,4.2,3.3,4.0,3.3,3.5,3.5,3.66,1200,439000000.0,,,
2000-01-07,GUJRAFFIA,EQ,3.5,3.85,3.85,3.85,3.85,3.85,3.85,500,192500000.0,,,
2000-01-10,GUJRAFFIA,EQ,3.85,3.25,3.3,3.25,3.3,3.3,3.27,1000,326500000.0,,,
2000-01-11,GUJRAFFIA,EQ,3.3,3.05,3.1,2.55,2.55,2.55,2.79,2100,586500000.0,,,
2000-01-12,GUJRAFFIA,EQ,2.55,3.1,3.2,3.1,3.1,3.1,3.13,1200,375500000.0,,,
2000-01-13,GUJRAFFIA,EQ,3.1,3.0,3.35,3.0,3.35,3.35,3.12,700,218500000.0,,,
2000-01-14,GUJRAFFIA,EQ,3.35,3.5,3.5,3.25,3.4,3.4,3.39,900,305500000.0,,,
