Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-06-04,SAHPETRO,EQ,25.0,25.0,25.2,24.8,25.05,25.0,25.01,29981,74993325000.0,,23608,0.7874
2005-06-06,SAHPETRO,EQ,25.0,25.1,25.9,25.1,25.3,25.35,25.36,33590,85178105000.0,,25890,0.7708
2005-06-07,SAHPETRO,EQ,25.35,25.4,25.6,25.0,25.1,25.1,25.2,28513,71855370000.0,,20589,0.7221
2005-06-08,SAHPETRO,EQ,25.1,25.05,27.0,25.05,26.15,26.4,26.33,184283,485271580000.0,,122228,0.6633
2005-06-09,SAHPETRO,EQ,26.4,26.9,26.9,26.0,26.0,26.1,26.3,98572,259221945000.00003,,66014,0.6697
2005-06-10,SAHPETRO,EQ,26.1,26.0,27.3,26.0,26.4,26.4,26.74,137065,366525595000.0,,61450,0.4483
2005-06-13,SAHPETRO,EQ,26.4,26.5,26.85,26.1,26.5,26.5,26.58,72392,192452260000.0,,45163,0.6239
2005-06-14,SAHPETRO,EQ,26.5,26.5,26.85,26.0,26.0,26.1,26.35,32878,86618220000.0,,27039,0.8224
2005-06-15,SAHPETRO,EQ,26.1,26.1,26.5,25.85,26.1,26.0,26.06,55886,145652410000.0,,41496,0.7425
2005-06-16,SAHPETRO,EQ,26.0,26.4,26.4,25.5,25.55,25.6,25.85,35003,90469205000.0,,24736,0.7067
2005-06-17,SAHPETRO,EQ,25.6,25.3,25.75,24.85,25.0,25.05,25.12,36473,91628940000.0,,27902,0.765
2005-06-20,SAHPETRO,EQ,25.05,25.4,25.65,24.95,25.2,25.25,25.26,39233,99091505000.0,,28467,0.7256
2005-06-21,SAHPETRO,EQ,25.25,25.05,25.25,24.75,24.75,24.9,24.99,15755,39365320000.0,,12942,0.8215000000000001
2005-06-22,SAHPETRO,EQ,24.9,25.65,25.65,24.75,24.85,24.9,25.0,18630,46567070000.0,,14396,0.7726999999999999
2005-06-23,SAHPETRO,EQ,24.9,25.1,25.1,24.75,25.0,25.0,24.89,31392,78138275000.0,,13990,0.4457
2005-06-24,SAHPETRO,EQ,25.0,25.0,25.0,24.25,24.7,24.6,24.59,35988,88509695000.0,,25783,0.7164
