Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-11-10,GVKPIL,EQ,259.0,258.0,258.7,248.0,248.8,250.3,251.57,279067,7020391095000.0,,118080,0.42310000000000003
2006-11-13,GVKPIL,EQ,250.3,251.1,256.0,249.0,249.0,250.2,252.6,205798,5198417425000.0,,76644,0.3724
2006-11-14,GVKPIL,EQ,250.2,252.1,255.0,244.0,244.6,245.5,249.32,143920,3588200004999.9995,,46005,0.3197
2006-11-15,GVKPIL,EQ,245.5,247.5,253.9,240.5,246.5,246.8,248.7,227800,5665307395000.0,,58779,0.258
2006-11-16,GVKPIL,EQ,246.8,249.0,252.0,240.05,240.1,241.55,246.98,134287,3316661695000.0,,58463,0.4354
2006-11-17,GVKPIL,EQ,241.55,245.0,245.0,230.0,230.5,231.55,236.63,163757,3874908179999.9995,,62969,0.38450000000000006
2006-11-20,GVKPIL,EQ,231.55,231.6,232.0,221.0,225.0,225.5,226.0,194010,4384673210000.0,,57277,0.2952
2006-11-21,GVKPIL,EQ,225.5,227.7,236.8,226.15,236.8,236.8,233.48,113432,2648443065000.0,,44546,0.39270000000000005
2006-11-22,GVKPIL,EQ,236.8,240.25,248.65,238.05,248.65,248.25,246.57,631503,15571029005000.002,,125866,0.1993
2006-11-23,GVKPIL,EQ,248.25,254.7,258.9,246.0,254.9,252.8,252.46,322931,8152731425000.0,,111899,0.3465
2006-11-24,GVKPIL,EQ,252.8,253.05,265.45,253.05,265.45,265.45,263.93,207165,5467793225000.0,,188576,0.9103
2006-11-27,GVKPIL,EQ,265.45,277.0,278.75,263.0,274.0,275.1,272.56,472260,12871904625000.0,,206657,0.4376
2006-11-28,GVKPIL,EQ,275.1,274.05,288.9,266.5,287.0,286.95,283.8,853288,24216523000000.0,,294706,0.3454
2006-11-29,GVKPIL,EQ,286.95,290.15,301.3,290.15,301.3,301.3,300.55,155412,4670941265000.0,,104490,0.6723
2006-11-30,GVKPIL,EQ,301.3,316.35,316.4,316.35,316.4,316.4,316.4,26441,836593235000.0,,26402,0.9984999999999999
2006-12-01,GVKPIL,EQ,316.4,332.25,332.25,306.55,313.0,314.95,315.98,610548,19292219925000.0,,260103,0.42600000000000005
2006-12-04,GVKPIL,EQ,314.95,318.75,320.0,299.2,299.2,300.1,307.18,207402,6370977075000.0,,81493,0.3929
2006-12-05,GVKPIL,EQ,300.1,304.8,306.7,288.0,295.0,293.1,298.33,160136,4777295805000.0,,70461,0.44
2006-12-06,GVKPIL,EQ,293.1,295.75,297.8,281.15,285.5,285.4,287.09,94230,2705251680000.0,,34116,0.36210000000000003
2006-12-07,GVKPIL,EQ,285.4,284.0,299.7,282.0,299.7,299.7,298.28,104323,3111761855000.0,,45822,0.43920000000000003
2006-12-08,GVKPIL,EQ,299.7,309.7,313.8,287.0,288.05,290.7,301.61,212290,6402886665000.0,,75850,0.35729999999999995
2006-12-11,GVKPIL,EQ,290.7,291.0,294.0,276.2,276.2,277.45,281.16,116268,3269027110000.0,,55570,0.4779
2006-12-12,GVKPIL,EQ,277.45,277.45,291.35,265.0,270.05,270.35,282.76,303589,8584275059999.999,,98530,0.3246
2006-12-13,GVKPIL,EQ,270.35,271.0,283.9,261.25,283.9,283.9,278.95,176219,4915690745000.0,,94316,0.5352
