Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2014-10-01,HBLPOWER,EQ,18.0,18.1,18.2,17.6,17.95,17.75,17.91,29633,53085230000.00001,134,20909,0.7056
2014-10-07,HBLPOWER,EQ,17.75,17.8,18.5,17.75,17.75,17.9,18.07,59418,107357370000.0,177,42787,0.7201000000000001
2014-10-08,HBLPOWER,EQ,17.9,17.7,18.75,17.7,18.35,18.4,18.26,118581,216580400000.0,486,81518,0.6874
2014-10-09,HBLPOWER,EQ,18.4,18.25,18.5,18.1,18.15,18.15,18.29,58675,107338310000.00002,206,38742,0.6603
2014-10-10,HBLPOWER,EQ,18.15,18.05,18.15,17.75,17.95,17.8,17.96,38534,69205735000.0,182,32478,0.8428
2014-10-13,HBLPOWER,EQ,17.8,17.75,18.2,17.05,18.2,18.0,17.63,60922,107434875000.0,272,38042,0.6244
2014-10-14,HBLPOWER,EQ,18.0,18.2,18.25,17.3,17.7,17.75,17.74,32128,57001240000.0,167,19984,0.622
2014-10-16,HBLPOWER,EQ,17.75,17.9,18.0,17.2,17.2,17.2,17.58,45889,80654650000.0,213,32766,0.7140000000000001
2014-10-17,HBLPOWER,EQ,17.2,17.65,17.8,17.1,17.25,17.4,17.4,67712,117792075000.0,254,30549,0.4512
2014-10-20,HBLPOWER,EQ,17.4,17.6,17.8,17.5,17.5,17.55,17.64,27627,48721970000.0,99,24450,0.885
2014-10-21,HBLPOWER,EQ,17.55,17.6,18.5,17.3,18.0,17.75,17.89,119641,214063365000.0,313,84617,0.7073
2014-10-22,HBLPOWER,EQ,17.75,17.9,18.35,17.8,18.15,18.05,18.13,73857,133930860000.00002,184,58197,0.788
2014-10-23,HBLPOWER,EQ,18.05,18.4,18.4,17.8,17.8,18.05,18.08,31020,56074385000.0,108,25785,0.8312
2014-10-27,HBLPOWER,EQ,18.05,18.0,18.4,17.95,18.3,18.25,18.16,41168,74743745000.0,141,36276,0.8812000000000001
2014-10-28,HBLPOWER,EQ,18.25,18.1,19.85,18.05,19.8,19.45,18.94,128162,242786279999.99997,496,102036,0.7961
2014-10-29,HBLPOWER,EQ,19.45,18.5,20.0,18.5,19.55,19.55,19.45,64954,126341355000.0,295,51969,0.8001
2014-10-30,HBLPOWER,EQ,19.55,19.5,21.75,19.5,20.6,20.75,20.86,389954,813330445000.0,1322,256794,0.6585
2014-10-31,HBLPOWER,EQ,20.75,20.85,21.4,20.5,20.8,20.75,21.04,175586,369456765000.0,564,126371,0.7197
2014-11-03,HBLPOWER,EQ,20.75,20.95,21.1,20.15,20.6,20.8,20.72,93407,193575260000.0,368,73795,0.79
2014-11-05,HBLPOWER,EQ,20.8,20.8,21.4,19.8,19.85,19.9,20.41,92215,188195335000.0,312,81544,0.8843000000000001
2014-11-07,HBLPOWER,EQ,19.9,20.0,20.75,19.2,19.4,19.35,19.7,135837,267624540000.0,416,109872,0.8089000000000001
2014-11-10,HBLPOWER,EQ,19.35,19.25,20.25,19.25,20.0,20.05,20.02,139270,278753275000.0,308,123237,0.8849
2014-11-11,HBLPOWER,EQ,20.05,20.0,20.4,19.1,19.65,19.8,19.78,64022,126633505000.0,283,46535,0.7269
2014-11-12,HBLPOWER,EQ,19.8,20.0,20.9,20.0,20.4,20.3,20.57,220124,452836250000.0,676,186560,0.8475
2014-11-13,HBLPOWER,EQ,20.3,20.45,21.2,20.15,20.95,20.9,20.64,110976,229097160000.0,388,93422,0.8418000000000001
2014-11-14,HBLPOWER,EQ,20.9,20.6,21.05,20.55,20.8,20.85,20.84,98816,205966880000.0,357,87868,0.8892
2014-11-17,HBLPOWER,EQ,20.85,21.0,21.05,19.25,20.1,20.1,19.92,184841,368249075000.0,613,137881,0.7459
2014-11-18,HBLPOWER,EQ,20.1,20.1,23.75,20.1,22.9,23.15,22.11,571673,1263810280000.0,2086,308724,0.54
2014-11-19,HBLPOWER,EQ,23.15,22.9,24.75,22.25,22.5,22.6,23.77,505727,1201862085000.0,1751,284401,0.5624
2014-11-20,HBLPOWER,EQ,22.6,22.6,23.25,21.5,21.65,21.7,22.17,116691,258665054999.99997,622,82394,0.7061000000000001
2014-11-21,HBLPOWER,EQ,21.7,22.0,22.8,21.1,22.45,22.45,22.38,150825,337620405000.0,592,109775,0.7278
2014-11-24,HBLPOWER,EQ,22.45,22.95,26.9,22.1,26.8,26.75,26.5,2835971,7516363770000.0,6925,1468635,0.5179
2014-11-25,HBLPOWER,EQ,26.75,26.95,28.95,25.6,26.9,26.85,27.34,2179511,5959527835000.0,7737,924449,0.4242
2014-11-26,HBLPOWER,EQ,26.85,26.95,27.25,26.5,26.8,26.95,26.96,840969,2267168555000.0,1811,605171,0.7195999999999999
2014-11-27,HBLPOWER,EQ,26.95,27.0,28.8,26.4,27.7,28.05,27.49,1600141,4398735645000.0,3215,1034123,0.6463
2014-11-28,HBLPOWER,EQ,28.05,28.85,29.2,26.55,26.7,26.8,27.7,1843128,5104764015000.0,6383,1174363,0.6372
2014-12-01,HBLPOWER,EQ,26.8,26.6,27.0,25.35,26.15,26.05,26.65,550784,1467566500000.0,1673,362191,0.6576000000000001
2014-12-02,HBLPOWER,EQ,26.05,26.0,27.85,25.5,26.9,26.95,27.08,757406,2051035070000.0,2106,415283,0.5483
2014-12-03,HBLPOWER,EQ,26.95,27.0,27.2,26.25,26.7,26.85,26.81,420312,1126768605000.0,1216,299778,0.7132
2014-12-04,HBLPOWER,EQ,26.85,27.0,30.6,26.65,26.9,26.95,28.22,3647491,10293169280000.0,11240,1907788,0.523
2014-12-05,HBLPOWER,EQ,26.95,27.7,31.0,26.8,29.3,29.25,29.08,6056581,17611811785000.0,21066,3032848,0.5008
2014-12-08,HBLPOWER,EQ,29.25,29.85,34.5,29.65,33.05,33.6,32.46,5245722,17028414935000.0,13435,2400008,0.4575
2014-12-09,HBLPOWER,EQ,33.6,33.4,35.5,32.1,33.35,33.65,34.07,4366399,14875410090000.0,17111,1628278,0.3729
2014-12-10,HBLPOWER,EQ,33.65,33.65,34.25,32.65,33.2,33.25,33.55,1573353,5278954900000.0,5279,806369,0.5125
2014-12-11,HBLPOWER,EQ,33.25,32.95,33.3,32.1,32.5,32.5,32.69,1040567,3401385575000.0,3416,500419,0.48090000000000005
2014-12-12,HBLPOWER,EQ,32.5,32.85,33.0,29.35,30.1,29.8,31.0,1890063,5859761970000.0,5917,1056604,0.559
2014-12-15,HBLPOWER,EQ,29.8,30.0,31.95,28.95,30.85,30.65,30.72,1381740,4244490495000.0005,4455,685134,0.4958
2014-12-16,HBLPOWER,EQ,30.65,30.35,30.7,27.6,28.3,28.1,28.36,1298314,3682280000000.0,3403,786200,0.6056
2014-12-17,HBLPOWER,EQ,28.1,27.8,28.95,25.75,27.4,27.55,27.47,1154476,3171223895000.0,3220,567098,0.49119999999999997
2014-12-18,HBLPOWER,EQ,27.55,28.1,29.7,27.8,29.3,29.3,28.67,1347846,3864874310000.0,3786,708524,0.5257000000000001
2014-12-19,HBLPOWER,EQ,29.3,29.3,32.2,29.3,32.2,32.15,31.39,2267323,7118122934999.999,4752,1197700,0.5282
2014-12-22,HBLPOWER,EQ,32.15,32.4,32.9,30.7,32.1,32.15,32.02,2892934,9264086980000.0,5625,1960076,0.6775
2014-12-23,HBLPOWER,EQ,32.15,32.25,33.5,31.65,32.5,32.3,32.3,2682490,8664843325000.0,13762,1931024,0.7199
2014-12-24,HBLPOWER,EQ,32.3,32.3,32.85,31.65,32.5,32.2,32.08,2193459,7036754345000.0,3733,1712167,0.7806000000000001
2014-12-26,HBLPOWER,EQ,32.2,32.5,32.65,31.6,31.7,31.95,32.05,2133728,6838865559999.999,3553,1115716,0.5229
2014-12-29,HBLPOWER,EQ,31.95,31.85,32.15,30.5,31.1,31.0,31.25,645994,2018735314999.9998,1798,343579,0.5319
2014-12-30,HBLPOWER,EQ,31.0,31.15,31.5,30.65,31.35,31.05,31.13,392537,1221989735000.0,1249,208004,0.5299
2014-12-31,HBLPOWER,EQ,31.05,30.75,32.65,30.35,31.75,32.1,31.69,2390303,7575141620000.0,4686,1360343,0.5690999999999999
2015-01-01,HBLPOWER,EQ,32.1,31.7,34.6,31.7,34.1,33.8,33.84,2452874,8299844945000.0,8190,1227507,0.5004
2015-01-02,HBLPOWER,EQ,33.8,34.4,37.55,34.0,36.45,36.5,36.07,2991884,10792748005000.0,9616,1346579,0.4501
2015-01-05,HBLPOWER,EQ,36.5,36.55,37.2,35.05,35.75,35.5,36.15,1206614,4361884050000.0,3680,621031,0.5147
2015-01-06,HBLPOWER,EQ,35.5,34.55,34.9,33.25,33.3,33.55,33.88,1269676,4301526110000.0,3648,704664,0.555
2015-01-07,HBLPOWER,EQ,33.55,33.15,33.75,31.9,32.8,32.75,32.84,739063,2427151730000.0,2823,292657,0.396
2015-01-08,HBLPOWER,EQ,32.75,33.6,35.4,33.2,34.9,35.05,34.34,1380805,4741261275000.0,3971,712400,0.5159
2015-01-09,HBLPOWER,EQ,35.05,36.2,36.3,34.4,35.15,35.05,35.16,1237065,4349677910000.0,5034,716198,0.5789
2015-01-12,HBLPOWER,EQ,35.05,35.35,40.85,35.35,37.45,37.6,38.45,6425218,24703054665000.0,21968,2428525,0.378
2015-01-13,HBLPOWER,EQ,37.6,38.05,39.0,34.65,35.75,35.7,37.02,2850251,10552885840000.0,9527,1430103,0.5017
2015-01-14,HBLPOWER,EQ,35.7,35.9,38.1,35.7,36.55,36.45,36.71,2171858,7972680540000.001,9027,745669,0.3433
2015-01-15,HBLPOWER,EQ,36.45,37.45,38.85,36.7,37.65,37.65,37.91,1438653,5454421885000.0,5283,607223,0.42210000000000003
