Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-12-10,HCC,EQ,215.45,220.5,220.5,207.05,214.1,213.9,213.29,883090,18835163635000.0,,394638,0.44689999999999996
2007-12-11,HCC,EQ,213.9,215.0,220.85,213.35,214.85,215.85,217.7,1686617,36718346415000.0,,757771,0.44930000000000003
2007-12-12,HCC,EQ,215.85,215.0,219.5,211.1,217.4,216.95,216.3,940533,20343956075000.0,,385094,0.4094
2007-12-13,HCC,EQ,216.95,217.0,223.9,215.05,216.15,216.4,219.8,1125966,24748675660000.0,,451220,0.4007
2007-12-14,HCC,EQ,216.4,212.1,220.0,212.1,214.0,214.35,215.25,721020,15520148475000.0,,302165,0.4191
2007-12-17,HCC,EQ,214.35,213.0,215.0,185.6,195.95,192.45,200.21,2420515,48459931540000.0,,1535719,0.6345000000000001
2007-12-18,HCC,EQ,192.45,195.0,205.05,193.0,200.0,200.15,200.89,2740635,55056977204999.99,,1568819,0.5724
2007-12-19,HCC,EQ,200.15,205.25,205.25,195.6,200.0,200.15,199.61,1717949,34292110825000.0,,730897,0.4254
2007-12-20,HCC,EQ,200.15,202.0,202.0,192.95,193.55,194.75,196.84,1033032,20334362340000.0,,551818,0.5342
2007-12-24,HCC,EQ,194.75,197.1,199.9,192.15,194.0,193.85,194.53,1824882,35500249325000.0,,1202271,0.6587999999999999
2007-12-26,HCC,EQ,193.85,196.5,210.7,194.4,208.5,208.4,201.98,6778140,136905729909999.98,,3818560,0.5634
2007-12-27,HCC,EQ,208.4,210.3,213.9,208.55,209.7,209.6,211.06,3337143,70434305145000.0,,1833977,0.5496
2007-12-28,HCC,EQ,209.6,206.5,223.4,206.5,220.75,220.55,216.71,4600556,99697038140000.0,,2126316,0.4622
2007-12-31,HCC,EQ,220.55,221.0,237.9,221.0,232.55,233.45,232.45,4812744,111872232665000.02,,1888328,0.3924
2008-01-01,HCC,EQ,233.45,235.95,244.5,234.5,244.4,242.4,241.3,3657960,88267092320000.0,,1416224,0.3872
2008-01-02,HCC,EQ,242.4,244.9,276.4,233.5,265.25,265.15,259.14,9483873,245765991694999.97,,3034600,0.32
2008-01-03,HCC,EQ,265.15,266.0,266.0,246.0,252.55,251.05,254.62,5439114,138488918415000.02,,2294765,0.4219
2008-01-04,HCC,EQ,251.05,255.0,261.9,251.15,255.3,254.95,257.75,4687037,120808324805000.0,,1915159,0.4086
2008-01-07,HCC,EQ,254.95,256.0,257.55,242.7,246.5,247.05,248.96,3962614,98652090545000.0,,2296985,0.5797
2008-01-08,HCC,EQ,247.05,250.6,251.15,231.0,237.15,236.3,236.89,5089026,120552746225000.0,,2891464,0.5682
2008-01-09,HCC,EQ,236.3,235.1,242.5,222.7,231.1,230.95,232.52,5075631,118018925409999.98,,1937581,0.38170000000000004
2008-01-10,HCC,EQ,230.95,233.0,239.9,220.35,223.05,222.8,231.58,3425091,79318281880000.0,,1190109,0.34750000000000003
2008-01-11,HCC,EQ,222.8,224.0,234.7,213.6,234.0,229.6,223.11,3609176,80523109200000.0,,1449508,0.40159999999999996
2008-01-14,HCC,EQ,229.6,230.0,238.0,226.55,236.25,235.9,233.57,3046611,71161051980000.0,,1178103,0.38670000000000004
2008-01-15,HCC,EQ,235.9,237.3,239.75,223.9,226.55,225.9,232.43,1117881,25982997250000.0,,259323,0.23199999999999998
2008-01-16,HCC,EQ,225.9,226.0,226.0,206.2,215.0,215.05,214.08,3164206,67740238220000.01,,1207107,0.3815
2008-01-17,HCC,EQ,215.05,216.9,222.9,208.0,213.95,214.15,213.01,5042995,107419098630000.0,,1806160,0.3582
2008-01-18,HCC,EQ,214.15,214.0,216.9,190.35,194.7,195.5,208.81,2611865,54538526104999.99,,700631,0.2682
2008-01-21,HCC,EQ,195.5,195.0,202.0,148.0,167.0,170.5,180.81,6189902,111916786265000.02,,3271507,0.5285
2008-01-22,HCC,EQ,170.5,160.0,169.8,125.0,149.5,151.05,148.49,5758431,85508165600000.0,,4168442,0.7239
2008-01-23,HCC,EQ,151.05,160.0,175.8,156.0,170.3,169.4,164.3,4075040,66954479490000.0,,2724824,0.6687000000000001
2008-01-24,HCC,EQ,169.4,171.0,179.0,158.5,166.0,169.25,169.62,3556682,60329996735000.0,,2127492,0.5982000000000001
2008-01-25,HCC,EQ,169.25,184.8,199.0,170.5,192.45,195.7,188.2,3993275,75154935825000.0,,2556606,0.6402
2008-01-28,HCC,EQ,195.7,194.0,194.0,176.0,186.5,187.8,186.62,1923558,35896797415000.0,,904948,0.4705
2008-01-29,HCC,EQ,187.8,193.95,203.4,188.0,191.2,192.0,195.28,1489103,29079483045000.0,,457923,0.3075
2008-01-30,HCC,EQ,192.0,192.0,194.0,175.0,175.05,177.7,182.27,1694306,30882927510000.004,,695830,0.4107
2008-01-31,HCC,EQ,177.7,178.0,189.0,167.6,181.1,181.2,180.75,2993444,54107288760000.0,,1385783,0.4629
2008-02-01,HCC,EQ,181.2,182.0,187.2,173.7,180.0,181.55,180.04,1586386,28561271545000.0,,642917,0.4053
2008-02-04,HCC,EQ,181.55,182.0,194.0,182.0,193.6,190.9,189.59,1324319,25107134755000.0,,340989,0.2575
2008-02-05,HCC,EQ,190.9,191.0,194.0,183.1,187.0,185.4,187.9,1431648,26900583480000.0,,671468,0.469
2008-02-06,HCC,EQ,185.4,180.0,182.5,171.2,178.4,179.0,179.28,884606,15858813705000.002,,321450,0.36340000000000006
2008-02-07,HCC,EQ,179.0,177.0,189.7,173.05,173.2,175.7,183.32,1431027,26233970895000.0,,399773,0.27940000000000004
2008-02-08,HCC,EQ,175.7,174.0,177.6,165.7,168.5,170.9,170.85,971642,16600558355000.002,,363384,0.374
2008-02-11,HCC,EQ,170.9,170.9,170.9,151.0,163.95,162.35,158.22,2143327,33912124985000.004,,1238183,0.5777
2008-02-12,HCC,EQ,162.35,164.0,167.9,152.0,154.0,155.55,157.72,763022,12034238010000.0,,361579,0.4739
2008-02-13,HCC,EQ,155.55,155.0,161.0,150.0,154.6,153.6,153.8,988662,15205292619999.998,,382997,0.3874
2008-02-14,HCC,EQ,153.6,155.0,173.4,155.0,171.0,169.1,165.4,1293225,21389819935000.0,,647654,0.5008
2008-02-15,HCC,EQ,169.1,167.5,174.1,162.5,171.0,171.6,169.61,1528439,25924254405000.0,,558291,0.3653
2008-02-18,HCC,EQ,171.6,172.0,178.5,170.0,172.35,173.4,174.92,1002931,17542946005000.002,,267427,0.2666
2008-02-19,HCC,EQ,173.4,175.65,178.0,165.0,166.1,166.75,171.7,774581,13299698730000.0,,311845,0.4026
2008-02-20,HCC,EQ,166.75,166.0,166.0,158.45,163.35,162.85,163.13,993194,16201799090000.0,,384839,0.3875
2008-02-21,HCC,EQ,162.85,165.0,168.95,160.05,166.65,164.4,165.32,946797,15652585140000.0,,436685,0.4612
2008-02-22,HCC,EQ,164.4,184.8,184.8,160.15,169.0,169.05,168.66,857117,14455937225000.0,,205695,0.24
2008-02-25,HCC,EQ,169.05,171.4,173.0,161.85,166.3,167.4,165.74,847075,14039177410000.0,,418360,0.4939
