Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-29,HERCULES,EQ,77.35,77.0,79.0,75.0,76.45,76.55,77.06,109091,840612794999.9999,1836,35120,0.32189999999999996
2020-06-30,HERCULES,EQ,76.55,77.0,78.75,75.0,75.0,75.3,77.21,101655,784842125000.0,1579,36768,0.3617
2020-07-01,HERCULES,EQ,75.3,75.5,76.25,75.05,75.75,75.95,75.82,29359,222586035000.0,780,12126,0.413
2020-07-02,HERCULES,EQ,75.95,81.7,82.0,76.95,77.35,77.5,78.89,219388,1730790739999.9998,2780,94212,0.4294
2020-07-03,HERCULES,EQ,77.5,77.0,78.35,75.2,75.75,75.9,76.5,45629,349041805000.0,941,25996,0.5697
2020-07-06,HERCULES,EQ,75.9,75.9,77.5,75.4,76.2,76.15,76.4,49795,380425410000.0,943,26757,0.5373
2020-07-07,HERCULES,EQ,76.15,76.8,78.6,75.7,77.5,77.4,77.14,87760,676985400000.0,1186,43977,0.5011
2020-07-08,HERCULES,EQ,77.4,79.5,79.7,76.0,76.0,76.6,78.37,148979,1167554745000.0,2129,64745,0.43460000000000004
2020-07-09,HERCULES,EQ,76.6,76.3,77.6,76.0,76.05,76.15,76.6,28325,216967520000.00003,531,14949,0.5278
2020-07-10,HERCULES,EQ,76.15,75.6,83.0,75.0,81.55,81.7,80.68,356571,2876898575000.0,3972,173865,0.4876
2020-07-13,HERCULES,EQ,81.7,82.5,93.5,78.45,89.8,90.5,89.45,2426326,21704356975000.0,20007,381831,0.1574
2020-07-14,HERCULES,EQ,90.5,87.4,89.9,83.85,85.4,85.3,86.66,279046,2418188945000.0,4640,108975,0.39049999999999996
2020-07-15,HERCULES,EQ,85.3,85.4,86.6,80.5,81.0,81.65,84.09,119427,1004257110000.0,1877,61597,0.5158
2020-07-16,HERCULES,EQ,81.65,81.0,83.15,78.0,80.45,80.9,80.36,122790,986704519999.9999,2188,49333,0.4018
2020-07-17,HERCULES,EQ,80.9,81.2,84.8,79.95,81.25,81.4,82.25,69015,567618485000.0,1358,30480,0.4416
2020-07-20,HERCULES,EQ,81.4,82.45,84.8,81.45,83.0,82.6,83.05,67399,559740500000.0,1345,31904,0.47340000000000004
2020-07-21,HERCULES,EQ,82.6,84.2,84.2,81.65,82.0,82.0,82.54,41977,346464680000.0,753,23118,0.5507
2020-07-22,HERCULES,EQ,82.0,82.5,83.8,79.9,81.0,80.7,81.31,56146,456534359999.99994,1807,27842,0.49590000000000006
2020-07-23,HERCULES,EQ,80.7,80.05,84.3,80.05,81.85,81.7,82.34,57541,473794690000.00006,1268,22403,0.3893
2020-07-24,HERCULES,EQ,81.7,80.5,82.3,78.5,79.75,79.8,80.55,48108,387527105000.0,1098,27990,0.5818
2020-07-27,HERCULES,EQ,79.8,79.5,81.9,78.4,79.15,79.1,79.91,49220,393310385000.0,1253,20800,0.4226
2020-07-28,HERCULES,EQ,79.1,79.9,83.5,78.75,81.7,81.85,81.74,87562,715703715000.0,1704,28373,0.324
2020-07-29,HERCULES,EQ,81.85,82.75,83.9,80.95,81.0,81.4,82.66,92065,761046265000.0,1530,34194,0.3714
2020-07-30,HERCULES,EQ,81.4,81.95,82.0,78.0,78.85,78.65,79.89,33632,268673020000.00003,856,22291,0.6628000000000001
2020-07-31,HERCULES,EQ,78.65,80.5,80.5,78.1,78.9,78.6,78.9,28926,228225429999.99997,827,18108,0.626
2020-08-03,HERCULES,EQ,78.6,79.45,80.3,76.95,78.0,77.85,78.38,30851,241802785000.0,797,12734,0.4128
2020-08-04,HERCULES,EQ,77.85,78.0,80.95,78.0,79.35,79.3,79.48,36663,291408960000.0,1014,14637,0.3992
2020-08-05,HERCULES,EQ,79.3,79.85,82.15,79.15,79.6,80.2,80.91,91168,737638705000.0,1415,28301,0.3104
2020-08-06,HERCULES,EQ,80.2,80.3,82.0,80.05,80.9,80.45,80.97,20902,169247985000.0,411,10332,0.4943
2020-08-07,HERCULES,EQ,80.45,80.6,81.85,80.1,80.4,80.5,80.89,30347,245480115000.0,665,14756,0.48619999999999997
