Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-10-29,HERITGFOOD,EQ,476.9,480.0,509.0,475.0,488.0,488.5,496.15,221793,11004173530000.0,6326,81534,0.3676
2015-10-30,HERITGFOOD,EQ,488.5,487.1,499.8,468.05,481.0,477.35,484.24,54531,2640623990000.0,2127,25314,0.4642
2015-11-02,HERITGFOOD,EQ,477.35,482.55,482.55,464.0,474.45,471.5,472.49,23631,1116529505000.0,1254,12892,0.5456000000000001
2015-11-03,HERITGFOOD,EQ,471.5,472.0,500.7,471.9,488.0,486.7,490.57,134476,6597046095000.0,3292,57865,0.4303
2015-11-04,HERITGFOOD,EQ,486.7,491.45,499.0,485.0,488.4,485.45,491.62,44593,2192268135000.0002,1469,22865,0.5127
2015-11-05,HERITGFOOD,EQ,485.45,484.2,484.2,467.0,469.0,469.85,476.24,37705,1795651020000.0,1398,26597,0.7054
2015-11-06,HERITGFOOD,EQ,469.85,473.95,480.0,446.7,475.0,476.95,458.54,142430,6530991240000.0,1808,123891,0.8698
2015-11-09,HERITGFOOD,EQ,476.95,468.15,496.0,468.15,484.5,484.6,486.07,63860,3104055620000.0,2227,25638,0.40149999999999997
2015-11-10,HERITGFOOD,EQ,484.6,484.95,500.7,480.1,482.15,482.55,493.73,112013,5530368955000.0,6761,42202,0.3768
2015-11-11,HERITGFOOD,EQ,482.55,484.95,494.45,484.95,492.05,491.45,490.66,11951,586384530000.0,479,6601,0.5523
2015-11-13,HERITGFOOD,EQ,491.45,478.0,490.05,478.0,481.95,482.15,485.58,17718,860359069999.9999,664,10830,0.6112
2015-11-16,HERITGFOOD,EQ,482.15,477.6,494.0,477.55,490.0,487.9,486.17,36312,1765391660000.0002,1520,22060,0.6075
2015-11-17,HERITGFOOD,EQ,487.9,482.35,489.45,475.1,475.15,477.0,481.79,19602,944402450000.0,912,8764,0.4471
2015-11-18,HERITGFOOD,EQ,477.0,479.95,485.9,469.1,470.15,470.75,478.22,17280,826369140000.0,971,6404,0.37060000000000004
2015-11-19,HERITGFOOD,EQ,470.75,470.6,482.5,470.6,475.1,476.3,476.41,11556,550537455000.0,560,5277,0.45659999999999995
2015-11-20,HERITGFOOD,EQ,476.3,473.55,487.9,473.55,478.0,478.9,482.53,17121,826134645000.0,646,9797,0.5722
2015-11-23,HERITGFOOD,EQ,478.9,478.75,483.95,470.0,476.95,475.2,476.09,17156,816786440000.0,648,8459,0.49310000000000004
2015-11-24,HERITGFOOD,EQ,475.2,472.0,475.0,465.55,475.0,472.15,471.24,18205,857890365000.0,675,9270,0.5092
2015-11-26,HERITGFOOD,EQ,472.15,476.05,504.45,468.1,485.0,482.0,492.8,184626,9098433890000.0,5978,92759,0.5024000000000001
2015-11-27,HERITGFOOD,EQ,482.0,486.45,489.3,475.3,484.8,483.45,484.68,26685,1293355535000.0,858,14139,0.5297999999999999
2015-11-30,HERITGFOOD,EQ,483.45,489.8,521.8,485.55,517.0,517.5,510.59,543605,27756112595000.0,11995,178771,0.3289
2015-12-01,HERITGFOOD,EQ,517.5,520.0,535.0,518.0,521.35,521.75,527.92,279396,14749781115000.0,7023,97766,0.34990000000000004
