Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1997-11-24,HEROHONDA,EQ,883.95,895.0,895.0,858.0,,863.75,870.63,54800,4771059000000.0,,,
1997-11-25,HEROHONDA,EQ,863.75,865.0,924.0,848.25,,892.6,869.79,89300,7767255250000.0,,,
1997-11-26,HEROHONDA,EQ,892.6,870.3,886.0,868.0,,870.75,875.8,11300,989658750000.0,,,
1997-11-27,HEROHONDA,EQ,870.75,878.0,905.0,876.4,,895.6,890.34,19250,1713913500000.0,,,
1997-11-28,HEROHONDA,EQ,895.6,888.5,888.5,866.55,,878.15,876.77,20100,1762299250000.0,,,
1997-12-01,HEROHONDA,EQ,878.15,872.0,885.0,861.25,,882.4,873.78,19200,1677651000000.0,,,
1997-12-02,HEROHONDA,EQ,882.4,880.0,898.75,823.4,,869.75,883.11,30100,2658169000000.0,,,
1997-12-03,HEROHONDA,EQ,869.75,948.3,948.3,872.5,,877.85,881.36,8250,727118500000.0,,,
1997-12-04,HEROHONDA,EQ,877.85,855.0,890.0,849.1,,867.1,870.46,11650,1014089500000.0,,,
1997-12-05,HEROHONDA,EQ,867.1,860.0,874.95,860.0,,870.25,870.1,7800,678679750000.0,,,
1997-12-08,HEROHONDA,EQ,870.25,885.0,915.0,873.9,,877.35,880.41,5900,519443250000.0,,,
1997-12-09,HEROHONDA,EQ,877.35,875.5,881.0,851.0,,870.95,872.29,10750,937713000000.0,,,
1997-12-10,HEROHONDA,EQ,870.95,867.9,867.9,783.85,,793.85,819.63,33950,2782660500000.0,,,
1997-12-11,HEROHONDA,EQ,793.85,801.1,818.0,754.85,,811.25,784.34,79000,6196247500000.0,,,
1997-12-12,HEROHONDA,EQ,811.25,806.0,819.0,783.1,,794.8,799.88,34450,2755575500000.0,,,
1997-12-15,HEROHONDA,EQ,794.8,790.0,802.0,779.0,,797.85,790.33,11800,932590750000.0,,,
