Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1997-03-05,HYDRBADIND,EQ,109.0,113.5,115.0,110.25,,112.0,111.57,2900,32355500000.0,,,
1997-03-06,HYDRBADIND,EQ,112.0,112.5,113.0,110.0,,110.0,111.9,1300,14546500000.0,,,
1997-03-10,HYDRBADIND,EQ,110.0,108.0,108.0,103.05,,104.0,104.54,700,7317500000.0,,,
1997-03-11,HYDRBADIND,EQ,104.0,110.0,110.0,102.75,,103.55,105.65,1600,16904500000.0,,,
1997-03-13,HYDRBADIND,EQ,103.55,104.0,105.0,104.0,,105.0,104.5,200,2090000000.0,,,
1997-03-17,HYDRBADIND,EQ,105.0,108.9,108.9,103.5,,103.5,105.3,300,3159000000.0,,,
1997-03-18,HYDRBADIND,EQ,103.5,101.05,101.05,101.05,,101.05,101.05,100,1010500000.0,,,
1997-03-19,HYDRBADIND,EQ,101.05,104.0,104.0,102.0,,102.0,102.5,400,4100000000.0,,,
1997-03-20,HYDRBADIND,EQ,102.0,102.5,102.5,102.5,,102.5,102.5,100,1025000000.0,,,
1997-03-21,HYDRBADIND,EQ,102.5,101.0,102.0,101.0,,102.0,101.5,200,2030000000.0,,,
1997-03-25,HYDRBADIND,EQ,102.0,102.0,103.0,99.0,,99.0,101.67,600,6100000000.0,,,
1997-03-27,HYDRBADIND,EQ,99.0,99.0,102.0,95.1,,95.1,99.43,1700,16903000000.0,,,
1997-04-01,HYDRBADIND,EQ,95.1,94.5,95.0,94.5,,95.0,94.75,200,1895000000.0,,,
1997-04-02,HYDRBADIND,EQ,95.0,96.0,96.1,95.0,,95.0,95.53,600,5731500000.0,,,
1997-04-03,HYDRBADIND,EQ,95.0,96.5,96.5,94.0,,95.0,95.17,600,5710000000.0,,,
1997-04-04,HYDRBADIND,EQ,95.0,93.0,95.45,93.0,,95.45,94.35,400,3774000000.0,,,
1997-04-07,HYDRBADIND,EQ,95.45,92.25,94.0,92.25,,92.6,92.92,500,4646000000.0,,,
1997-04-09,HYDRBADIND,EQ,92.6,96.95,96.95,96.0,,96.0,96.48,200,1929500000.0,,,
