Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2009-01-05,HILTON,EQ,15.9,16.05,16.4,15.35,15.85,15.95,16.02,3954,6332920000.0,,3810,0.9636
2009-01-06,HILTON,EQ,15.95,16.65,16.75,15.55,16.3,16.15,16.26,3326,5409735000.0,,2785,0.8373
2009-01-07,HILTON,EQ,16.15,16.15,16.3,14.15,14.45,14.85,15.46,2610,4034175000.0,,2335,0.8946
2009-01-09,HILTON,EQ,14.85,14.0,14.8,13.6,14.8,14.75,13.86,1673,2319205000.0,,1159,0.6928
2009-01-12,HILTON,EQ,14.75,14.05,14.45,13.65,14.2,14.2,13.99,1014,1418705000.0,,787,0.7761
2009-01-13,HILTON,EQ,14.2,14.0,14.0,13.65,14.0,14.0,13.92,2635,3667500000.0,,2410,0.9146
2009-01-14,HILTON,EQ,14.0,14.0,14.7,13.45,13.45,13.75,13.93,2251,3135220000.0,,2101,0.9334
2009-01-15,HILTON,EQ,13.75,12.8,14.3,12.8,13.7,13.75,13.43,999,1341725000.0,,512,0.5125
2009-01-16,HILTON,EQ,13.75,13.95,13.95,13.1,13.9,13.85,13.47,680,916175000.0,,550,0.8088
2009-01-19,HILTON,EQ,13.85,14.5,14.75,13.65,14.25,14.25,14.17,1314,1862550000.0,,959,0.7298
2009-01-20,HILTON,EQ,14.25,13.7,13.8,13.45,13.45,13.55,13.63,625,851625000.0,,550,0.88
2009-01-21,HILTON,EQ,13.55,14.25,14.3,13.3,13.75,13.75,13.85,2050,2838250000.0,,2000,0.9756
2009-01-22,HILTON,EQ,13.75,13.1,14.0,13.1,14.0,14.0,13.66,195,266450000.0,,195,1.0
2009-01-23,HILTON,EQ,14.0,12.4,13.9,12.4,12.7,12.75,12.93,1251,1617780000.0,,937,0.7490000000000001
2009-01-27,HILTON,EQ,12.75,12.25,13.0,12.25,12.95,12.9,12.51,1271,1589930000.0,,1035,0.8143000000000001
2009-01-28,HILTON,EQ,12.9,12.4,13.45,12.4,13.35,13.35,13.03,757,986375000.0,,520,0.6869
