Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,HIMATSEIDE,EQ,221.5,223.0,223.0,223.0,,223.0,223.0,100,2230000000.0,,,
1996-01-02,HIMATSEIDE,EQ,223.0,223.0,224.95,221.05,,222.05,222.84,1000,22283500000.0,,,
1996-01-03,HIMATSEIDE,EQ,222.05,215.0,215.05,215.0,,215.0,215.01,400,8600500000.0,,,
1996-01-04,HIMATSEIDE,EQ,215.0,220.0,220.0,217.0,,219.0,218.5,800,17480000000.0,,,
1996-01-05,HIMATSEIDE,EQ,219.0,220.0,220.0,217.5,,217.5,218.43,600,13105500000.0,,,
1996-01-08,HIMATSEIDE,EQ,217.5,215.0,215.0,207.5,,210.0,209.75,600,12585000000.0,,,
1996-01-09,HIMATSEIDE,EQ,210.0,210.0,212.0,207.1,,207.1,209.98,800,16798500000.0,,,
1996-01-10,HIMATSEIDE,EQ,207.1,208.0,208.0,208.0,,208.0,208.0,100,2080000000.0,,,
1996-01-11,HIMATSEIDE,EQ,208.0,208.0,208.0,208.0,,208.0,208.0,400,8320000000.0,,,
1996-01-12,HIMATSEIDE,EQ,208.0,208.0,210.0,210.0,,210.0,210.0,100,2100000000.0,,,
1996-01-15,HIMATSEIDE,EQ,210.0,210.0,211.0,210.0,,211.0,210.33,300,6310000000.0,,,
1996-01-18,HIMATSEIDE,EQ,211.0,201.0,201.0,198.1,,198.1,199.39,600,11963500000.0,,,
1996-01-19,HIMATSEIDE,EQ,198.1,200.0,200.0,196.0,,197.0,197.18,600,11831000000.0,,,
1996-01-22,HIMATSEIDE,EQ,197.0,191.0,191.0,190.0,,190.0,190.14,700,13310000000.0,,,
1996-01-23,HIMATSEIDE,EQ,190.0,190.0,194.0,190.0,,192.1,192.03,1000,19203000000.0,,,
1996-01-24,HIMATSEIDE,EQ,192.1,192.0,192.0,191.0,,191.0,191.84,800,15347500000.0,,,
1996-01-25,HIMATSEIDE,EQ,191.0,194.0,194.0,194.0,,194.0,194.0,500,9700000000.0,,,
1996-01-29,HIMATSEIDE,EQ,194.0,192.0,193.0,191.5,,191.5,192.0,400,7680000000.0,,,
1996-01-30,HIMATSEIDE,EQ,191.5,192.0,192.5,192.0,,192.5,192.25,200,3845000000.0,,,
1996-01-31,HIMATSEIDE,EQ,192.5,196.5,196.5,196.0,,196.0,196.17,300,5885000000.0,,,
1996-02-01,HIMATSEIDE,EQ,196.0,195.5,195.75,195.0,,195.75,195.42,300,5862500000.0,,,
1996-02-02,HIMATSEIDE,EQ,195.75,195.75,203.5,200.0,,201.0,201.9,500,10095000000.0,,,
1996-02-05,HIMATSEIDE,EQ,201.0,201.0,210.0,200.0,,210.0,204.83,300,6145000000.0,,,
1996-02-06,HIMATSEIDE,EQ,210.0,210.0,212.0,209.0,,209.0,210.08,1300,27310000000.0,,,
1996-02-07,HIMATSEIDE,EQ,209.0,209.0,220.0,210.0,,218.45,215.73,1300,28045000000.0,,,
