Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,HINDALC0,EQ,923.1,923.1,1015.0,915.0,,919.0,957.62,1300,124490000000.0,,,
1996-01-02,HINDALC0,EQ,919.0,919.0,921.5,918.0,,921.0,919.45,1500,137917500000.0,,,
1996-01-03,HINDALC0,EQ,921.0,921.0,918.0,917.0,,917.0,917.38,450,41282250000.0,,,
1996-01-04,HINDALC0,EQ,917.0,915.0,915.0,907.05,,907.05,914.62,1050,96035250000.0,,,
1996-01-05,HINDALC0,EQ,907.05,906.0,907.0,903.3,,904.6,905.74,1100,99631500000.0,,,
1996-01-08,HINDALC0,EQ,904.6,905.0,906.0,900.0,,900.35,901.72,1250,112715000000.0,,,
1996-01-09,HINDALC0,EQ,900.35,900.35,906.0,890.0,,900.0,899.8,2250,202454500000.0,,,
1996-01-10,HINDALC0,EQ,900.0,900.0,910.0,900.0,,900.0,903.47,650,58725500000.0,,,
1996-01-11,HINDALC0,EQ,900.0,900.0,905.0,880.0,,905.0,894.16,1250,111770000000.0,,,
1996-01-12,HINDALC0,EQ,905.0,905.0,908.0,900.0,,907.0,904.62,550,49754250000.0,,,
1996-01-15,HINDALC0,EQ,907.0,907.0,904.0,900.0,,900.0,901.6,1250,112700250000.0,,,
1996-01-16,HINDALC0,EQ,900.0,900.0,897.5,886.0,,886.5,894.22,900,80480000000.0,,,
1996-01-17,HINDALC0,EQ,886.5,886.5,909.0,890.9,,907.05,903.99,5750,519797000000.0,,,
1996-01-18,HINDALC0,EQ,907.05,907.05,915.0,870.0,,901.05,897.32,3950,354442750000.0,,,
1996-01-19,HINDALC0,EQ,901.05,901.05,960.0,898.0,,904.1,909.45,2050,186438000000.0,,,
1996-01-22,HINDALC0,EQ,904.1,904.1,904.0,898.65,,902.7,900.79,1300,117102250000.0,,,
1996-01-23,HINDALC0,EQ,902.7,902.7,905.05,900.05,,900.1,902.81,3700,334041000000.0,,,
1996-01-24,HINDALC0,EQ,900.1,900.1,904.0,893.05,,898.55,901.96,7000,631372750000.0,,,
1996-01-25,HINDALC0,EQ,898.55,898.55,906.0,895.05,,904.65,901.2,3950,355972500000.0,,,
1996-01-29,HINDALC0,EQ,904.65,904.65,910.0,896.1,,906.0,907.65,21200,1924216750000.0,,,
1996-01-30,HINDALC0,EQ,906.0,906.0,922.0,901.05,,910.7,920.86,25000,2302138000000.0,,,
1996-01-31,HINDALC0,EQ,910.7,910.7,915.0,905.0,,906.0,910.49,1050,95601000000.0,,,
1996-02-01,HINDALC0,EQ,906.0,906.0,945.0,910.05,,929.5,929.49,30500,2834950500000.0,,,
1996-02-02,HINDALC0,EQ,929.5,929.5,970.0,948.0,,970.0,959.39,2350,225457250000.0,,,
1996-02-05,HINDALC0,EQ,970.0,970.0,1064.95,957.0,,1004.45,1001.71,43400,4347412750000.0,,,
1996-02-06,HINDALC0,EQ,1004.45,1004.45,1020.0,985.0,,1003.8,1006.29,55150,5549689000000.0,,,
1996-02-07,HINDALC0,EQ,1003.8,1003.8,1020.0,985.0,,1005.4,1017.87,46750,4758542500000.0,,,
1996-02-08,HINDALC0,EQ,1005.4,1005.4,1075.0,1010.0,,1036.0,1070.12,44300,4740631750000.0,,,
1996-02-09,HINDALC0,EQ,1036.0,1036.0,1095.5,1026.0,,1085.9,1061.64,12150,1289889750000.0,,,
1996-02-12,HINDALC0,EQ,1085.9,1114.0,1130.0,1100.0,,1103.5,1116.29,8500,948843500000.0,,,
1996-02-13,HINDALC0,EQ,1103.5,1103.5,1120.0,1080.0,,1118.25,1110.29,9350,1038121250000.0,,,
1996-02-14,HINDALC0,EQ,1118.25,1118.25,1230.0,1116.0,,1217.6,1192.6,43500,5187790250000.0,,,
1996-02-15,HINDALC0,EQ,1217.6,1217.6,1165.0,1140.0,,1155.15,1153.11,4650,536197500000.0,,,
1996-02-16,HINDALC0,EQ,1155.15,1155.15,1165.0,1045.0,,1152.8,1134.89,8350,947631250000.0,,,
1996-02-19,HINDALC0,EQ,1152.8,1152.8,1130.0,1060.0,,1120.8,1115.99,2650,295737250000.0,,,
1996-02-20,HINDALC0,EQ,1120.8,1120.8,1122.0,1100.0,,1118.2,1115.06,4150,462748250000.0,,,
1996-02-22,HINDALC0,EQ,1118.2,1118.2,1140.0,1122.0,,1126.0,1126.4,2200,247807500000.0,,,
1996-02-23,HINDALC0,EQ,1126.0,1126.0,1159.0,1120.0,,1142.05,1143.64,4800,548947000000.0,,,
1996-02-26,HINDALC0,EQ,1142.05,1142.05,1156.0,1125.0,,1149.95,1142.06,5150,588163000000.0,,,
1996-02-27,HINDALC0,EQ,1149.95,1149.95,1165.0,1112.5,,1124.25,1146.89,3200,367004750000.0,,,
1996-02-28,HINDALC0,EQ,1124.25,1124.25,1168.0,1130.05,,1150.95,1146.81,8700,997724000000.0,,,
1996-02-29,HINDALC0,EQ,1150.95,1150.95,1197.95,1115.0,,1128.55,1135.45,5550,630173750000.0,,,
1996-03-01,HINDALC0,EQ,1128.55,1128.55,1130.0,1100.0,,1123.9,1118.28,1550,173333000000.0,,,
1996-03-04,HINDALC0,EQ,1123.9,1123.9,1152.0,1120.0,,1148.0,1146.52,14800,1696855000000.0,,,
1996-03-06,HINDALC0,EQ,1148.0,1148.0,1154.0,1125.0,,1148.65,1140.85,2800,319438500000.0,,,
1996-03-07,HINDALC0,EQ,1148.65,1148.65,1145.0,1136.5,,1138.05,1141.0,950,108395250000.0,,,
1996-03-08,HINDALC0,EQ,1138.05,1138.05,1134.0,1120.0,,1130.0,1124.95,1850,208116500000.0,,,
1996-03-11,HINDALC0,EQ,1130.0,1130.0,1113.0,1090.0,,1103.5,1098.85,1400,153838750000.0,,,
1996-03-12,HINDALC0,EQ,1103.5,1103.5,1105.0,1095.0,,1096.5,1097.83,3500,384242000000.0,,,
1996-03-13,HINDALC0,EQ,1096.5,1096.5,1108.95,1096.0,,1096.0,1102.3,1900,209437250000.0,,,
1996-03-14,HINDALC0,EQ,1096.0,1096.0,1110.0,1091.0,,1104.85,1103.51,2800,308982500000.0,,,
1996-03-15,HINDALC0,EQ,1104.85,1049.95,1111.75,1049.95,,1099.05,1098.17,1200,131780750000.0,,,
1996-03-18,HINDALC0,EQ,1099.05,1099.05,1100.0,1091.0,,1091.8,1095.91,650,71234250000.0,,,
1996-03-19,HINDALC0,EQ,1091.8,1091.8,1135.0,1100.0,,1107.75,1132.79,32400,3670248000000.0,,,
1996-03-21,HINDALC0,EQ,1107.75,1107.75,1100.0,1095.0,,1099.95,1099.69,10850,1193161000000.0,,,
1996-03-22,HINDALC0,EQ,1099.95,1099.95,1109.0,1050.0,,1100.0,1098.88,9950,1093384500000.0,,,
1996-03-25,HINDALC0,EQ,1100.0,1100.0,1090.0,1072.0,,1072.1,1076.7,1400,150738000000.0,,,
1996-03-26,HINDALC0,EQ,1072.1,1072.1,1091.25,1050.0,,1079.3,1071.64,2150,230403250000.0,,,
1996-03-27,HINDALC0,EQ,1079.3,1079.3,1125.0,1080.0,,1122.55,1106.49,2650,293219250000.0,,,
1996-03-28,HINDALC0,EQ,1122.55,1122.55,1130.0,1120.0,,1125.0,1126.53,850,95755250000.0,,,
1996-03-29,HINDALC0,EQ,1125.0,1125.0,1135.0,1110.0,,1127.5,1122.23,2950,331057500000.0,,,
1996-04-01,HINDALC0,EQ,1127.5,1127.5,1135.0,1125.3,,1135.0,1133.66,650,73687750000.0,,,
1996-04-02,HINDALC0,EQ,1135.0,1135.0,1139.95,1125.0,,1126.85,1131.06,2550,288419750000.0,,,
1996-04-03,HINDALC0,EQ,1126.85,1126.85,1140.0,1125.0,,1131.0,1132.0,1500,169800000000.0,,,
1996-04-04,HINDALC0,EQ,1131.0,1131.0,1150.0,1127.05,,1133.35,1133.43,1600,181349500000.0,,,
1996-04-08,HINDALC0,EQ,1133.35,1133.35,1149.4,1130.1,,1141.0,1141.69,1300,148420250000.0,,,
1996-04-09,HINDALC0,EQ,1141.0,1141.0,1160.0,1135.0,,1154.7,1148.08,2450,281279500000.0,,,
1996-04-10,HINDALC0,EQ,1154.7,1154.7,1160.05,1147.0,,1160.0,1155.06,2200,254112500000.0,,,
1996-04-11,HINDALC0,EQ,1160.0,1160.0,1199.0,1147.25,,1155.0,1154.68,1950,225163000000.0,,,
1996-04-12,HINDALC0,EQ,1155.0,1155.0,1172.0,1150.0,,1170.0,1160.16,3150,365451000000.0,,,
1996-04-15,HINDALC0,EQ,1170.0,1170.0,1218.95,1170.0,,1212.45,1196.9,7200,861770250000.0,,,
1996-04-16,HINDALC0,EQ,1212.45,1212.45,1224.0,1195.0,,1200.8,1206.51,8050,971243500000.0,,,
1996-04-17,HINDALC0,EQ,1200.8,1200.8,1249.75,1230.0,,1239.4,1241.56,5050,626987750000.0,,,
1996-04-18,HINDALC0,EQ,1239.4,1239.4,1262.0,1244.0,,1252.35,1258.9,26850,3380141250000.0,,,
1996-04-19,HINDALC0,EQ,1252.35,1252.35,1285.0,1240.0,,1280.3,1272.75,9750,1240929000000.0,,,
1996-04-22,HINDALC0,EQ,1280.3,1280.3,1275.5,1261.5,,1265.75,1267.65,4900,621147250000.0,,,
1996-04-23,HINDALC0,EQ,1265.75,1265.75,1262.75,1237.55,,1252.65,1250.65,2750,343928500000.0,,,
1996-04-24,HINDALC0,EQ,1252.65,1252.65,1280.0,1250.6,,1278.15,1268.63,3500,444020250000.0,,,
1996-04-25,HINDALC0,EQ,1278.15,1278.15,1349.95,1266.0,,1276.35,1291.24,7050,910322000000.0,,,
1996-04-26,HINDALC0,EQ,1276.35,1276.35,1265.0,1250.0,,1261.55,1257.46,1900,238917500000.0,,,
1996-04-29,HINDALC0,EQ,1261.55,1261.55,1270.0,1211.1,,1265.0,1256.15,2050,257510250000.0,,,
1996-04-30,HINDALC0,EQ,1265.0,1265.0,1310.0,1250.0,,1308.1,1293.83,11700,1513784500000.0,,,
1996-05-01,HINDALC0,EQ,1308.1,1308.1,1325.0,1301.0,,1319.3,1316.55,4800,631943750000.0,,,
1996-05-02,HINDALC0,EQ,1319.3,1319.3,1335.0,1311.0,,1327.25,1328.31,11000,1461135750000.0,,,
1996-05-03,HINDALC0,EQ,1327.25,1327.25,1328.0,1320.15,,1321.7,1323.46,3700,489679250000.0,,,
1996-05-06,HINDALC0,EQ,1321.7,1321.7,1315.0,1295.0,,1313.2,1309.69,5600,733427250000.0,,,
1996-05-07,HINDALC0,EQ,1313.2,1313.2,1330.0,1310.0,,1327.75,1320.37,5450,719604250000.0,,,
1996-05-08,HINDALC0,EQ,1327.75,1327.75,1352.0,1310.0,,1349.9,1325.74,9250,1226307000000.0,,,
1996-05-09,HINDALC0,EQ,1349.9,1349.9,1484.0,1321.05,,1336.7,1357.33,10100,1370899000000.0,,,
1996-05-10,HINDALC0,EQ,1336.7,1336.7,1389.0,1297.0,,1360.25,1356.57,14350,1946679000000.0,,,
1996-05-13,HINDALC0,EQ,1360.25,1300.0,1317.0,1250.1,,1313.05,1294.27,13000,1682550000000.0,,,
1996-05-14,HINDALC0,EQ,1313.05,1313.05,1332.0,1302.1,,1323.45,1322.44,9200,1216647250000.0,,,
1996-05-15,HINDALC0,EQ,1323.45,1323.45,1339.95,1325.0,,1334.8,1331.18,3800,505847500000.0,,,
1996-05-16,HINDALC0,EQ,1334.8,1334.8,1355.0,1346.0,,1355.0,1350.14,2400,324034750000.0,,,
1996-05-17,HINDALC0,EQ,1355.0,1355.0,1355.0,1340.0,,1352.95,1348.32,4750,640450750000.0,,,
1996-05-20,HINDALC0,EQ,1352.95,1352.95,1346.0,1325.0,,1333.9,1330.79,2600,346004750000.0,,,
1996-05-21,HINDALC0,EQ,1333.9,1333.9,1340.0,1306.2,,1325.0,1326.02,3500,464105250000.0,,,
1996-05-22,HINDALC0,EQ,1325.0,1325.0,1329.95,1315.0,,1318.0,1319.44,500,65972000000.0,,,
1996-05-23,HINDALC0,EQ,1318.0,1318.0,1316.0,1305.0,,1316.0,1313.93,3000,394178000000.0,,,
1996-05-24,HINDALC0,EQ,1316.0,1316.0,1341.05,1310.15,,1340.85,1326.54,5650,749494000000.0,,,
1996-05-27,HINDALC0,EQ,1340.85,1340.85,1328.0,1311.0,,1316.95,1316.02,1450,190822750000.0,,,
1996-05-28,HINDALC0,EQ,1316.95,1316.95,1329.95,1300.0,,1324.6,1309.8,1700,222665250000.0,,,
1996-05-29,HINDALC0,EQ,1324.6,1324.6,1325.0,1305.05,,1320.0,1310.5,1100,144155250000.0,,,
1996-05-30,HINDALC0,EQ,1320.0,1320.0,1325.0,1314.0,,1325.0,1315.52,1250,164440000000.0,,,
1996-05-31,HINDALC0,EQ,1325.0,1325.0,1335.0,1310.0,,1334.3,1332.81,7100,946295250000.0,,,
1996-06-03,HINDALC0,EQ,1334.3,1334.3,1338.0,1316.0,,1335.65,1335.27,13850,1849352750000.0,,,
1996-06-04,HINDALC0,EQ,1335.65,1335.65,1334.0,1313.05,,1326.0,1326.79,1050,139313000000.0,,,
1996-06-05,HINDALC0,EQ,1326.0,1325.0,1335.0,1300.0,,1330.0,1329.05,25050,3329276500000.0,,,
1996-06-06,HINDALC0,EQ,1330.0,1323.0,1332.0,1322.25,,1327.75,1328.71,4350,577990000000.0,,,
1996-06-07,HINDALC0,EQ,1327.75,1326.0,1335.0,1320.1,,1328.7,1325.79,2400,318190750000.0,,,
1996-06-10,HINDALC0,EQ,1328.7,1321.5,1325.0,1321.0,,1324.0,1323.73,900,119136000000.0,,,
1996-06-11,HINDALC0,EQ,1324.0,1313.0,1325.0,1310.0,,1315.0,1318.21,1150,151594500000.0,,,
1996-06-12,HINDALC0,EQ,1315.0,1350.0,1350.0,1325.0,,1340.0,1333.67,15950,2127204000000.0,,,
1996-06-13,HINDALC0,EQ,1340.0,1339.95,1340.0,1325.0,,1325.0,1331.4,950,126482750000.0,,,
1996-06-14,HINDALC0,EQ,1325.0,1325.5,1335.0,1325.0,,1333.4,1330.75,38250,5090115500000.0,,,
1996-10-25,HINDALC0,EQ,587.05,585.0,590.5,585.0,,589.7,587.66,3500,205681250000.0,,,
1996-10-28,HINDALC0,EQ,589.7,595.0,596.0,587.15,,592.9,592.74,6950,411955500000.0,,,
1996-10-29,HINDALC0,EQ,592.9,589.0,602.5,586.0,,597.0,593.95,5100,302914500000.0,,,
1996-10-31,HINDALC0,EQ,597.0,572.05,600.0,572.05,,587.3,589.28,8550,503836750000.0,,,
1996-11-01,HINDALC0,EQ,587.3,582.5,589.0,582.5,,583.75,585.76,2150,125937500000.0,,,
1996-11-04,HINDALC0,EQ,583.75,582.0,585.0,574.55,,582.5,581.74,3000,174522750000.0,,,
1996-11-05,HINDALC0,EQ,582.5,581.05,586.0,580.0,,582.6,583.92,4800,280280750000.0,,,
1996-11-06,HINDALC0,EQ,582.6,570.6,580.0,570.6,,576.05,577.46,1450,83732000000.0,,,
1996-11-07,HINDALC0,EQ,576.05,578.0,585.0,578.0,,581.7,582.59,600,34955500000.0,,,
1996-11-08,HINDALC0,EQ,581.7,588.0,588.0,584.0,,584.55,585.19,2250,131667250000.0,,,
1996-11-10,HINDALC0,EQ,584.55,581.0,582.5,581.0,,582.25,582.33,500,29116250000.0,,,
1996-11-11,HINDALC0,EQ,582.25,580.0,599.0,580.0,,591.1,585.08,22500,1316439000000.0,,,
1996-11-13,HINDALC0,EQ,591.1,585.0,599.5,582.5,,587.0,589.43,16300,960764750000.0,,,
1996-11-14,HINDALC0,EQ,587.0,594.0,594.0,583.05,,587.9,586.99,3900,228925250000.0,,,
1996-11-15,HINDALC0,EQ,587.9,583.95,584.0,579.6,,581.95,581.68,2650,154144750000.0,,,
1996-11-18,HINDALC0,EQ,581.95,583.0,583.0,565.05,,566.9,573.62,5050,289679000000.0,,,
1996-11-19,HINDALC0,EQ,566.9,566.0,570.0,550.0,,557.75,559.64,36250,2028685750000.0,,,
1996-11-20,HINDALC0,EQ,557.75,550.0,550.0,530.0,,543.15,535.94,22600,1211226500000.0,,,
1996-11-21,HINDALC0,EQ,543.15,540.0,570.25,540.0,,568.95,560.91,28350,1590186250000.0,,,
1996-11-22,HINDALC0,EQ,568.95,564.95,570.0,555.0,,569.95,568.65,14700,835922500000.0,,,
1996-11-25,HINDALC0,EQ,569.95,557.0,585.0,554.7,,581.9,569.92,8700,495829500000.0,,,
1996-11-26,HINDALC0,EQ,581.9,586.0,600.0,584.0,,594.05,593.46,18100,1074162000000.0,,,
1996-11-27,HINDALC0,EQ,594.05,575.0,575.0,564.35,,567.45,565.33,14400,814072000000.0,,,
1996-11-28,HINDALC0,EQ,567.45,565.05,575.0,565.05,,575.0,569.76,6400,364648250000.0,,,
1996-11-29,HINDALC0,EQ,575.0,589.0,592.0,580.0,,585.1,587.51,3750,220314500000.0,,,
1996-12-02,HINDALC0,EQ,585.1,587.0,591.0,578.0,,583.7,584.83,3950,231007000000.0,,,
1996-12-03,HINDALC0,EQ,583.7,585.0,590.0,571.5,,587.15,580.11,11950,693226750000.0,,,
1996-12-04,HINDALC0,EQ,587.15,558.0,577.0,558.0,,566.3,567.24,31200,1769778250000.0,,,
1996-12-05,HINDALC0,EQ,566.3,567.0,576.0,566.5,,576.0,572.63,1600,91620250000.0,,,
1996-12-06,HINDALC0,EQ,576.0,575.0,580.5,575.0,,576.6,577.38,5350,308899000000.0,,,
1996-12-09,HINDALC0,EQ,576.6,570.05,579.7,570.0,,579.7,574.82,1500,86222750000.0,,,
1996-12-10,HINDALC0,EQ,579.7,578.0,584.9,574.0,,580.3,579.0,3400,196859000000.0,,,
1996-12-11,HINDALC0,EQ,580.3,582.0,590.0,582.0,,587.05,587.67,2550,149856750000.0,,,
1996-12-12,HINDALC0,EQ,587.05,605.0,605.0,583.15,,585.0,589.05,2300,135481250000.0,,,
1996-12-13,HINDALC0,EQ,585.0,579.0,586.0,579.0,,586.0,583.2,1250,72900500000.0,,,
1996-12-16,HINDALC0,EQ,586.0,591.0,606.0,591.0,,601.0,602.6,27950,1684276000000.0,,,
1996-12-17,HINDALC0,EQ,601.0,605.95,624.2,605.05,,618.05,616.04,5400,332661500000.0,,,
1996-12-18,HINDALC0,EQ,618.05,625.0,635.0,625.0,,635.0,630.27,2150,135508750000.0,,,
1996-12-19,HINDALC0,EQ,635.0,630.0,640.0,622.75,,625.05,631.44,3950,249420500000.0,,,
1996-12-20,HINDALC0,EQ,625.05,641.9,656.0,630.05,,652.0,648.62,7550,489705000000.0,,,
1996-12-23,HINDALC0,EQ,652.0,650.0,663.5,645.3,,654.1,657.8,21000,1381378000000.0,,,
1996-12-24,HINDALC0,EQ,654.1,658.0,672.9,645.0,,668.9,663.21,31400,2082472000000.0,,,
1996-12-26,HINDALC0,EQ,668.9,669.0,673.8,667.05,,668.0,669.29,1400,93701000000.0,,,
1996-12-31,HINDALC0,EQ,668.0,655.05,670.0,655.0,,658.3,660.19,6650,439024250000.0,,,
1997-01-01,HINDALC0,EQ,658.3,670.0,680.0,666.0,,675.1,670.84,6850,459526500000.0,,,
1997-01-02,HINDALC0,EQ,675.1,680.0,680.0,661.1,,678.8,669.16,24250,1622713000000.0,,,
1997-01-03,HINDALC0,EQ,678.8,671.0,681.0,670.0,,680.1,673.95,3050,205555750000.0,,,
1997-01-06,HINDALC0,EQ,680.1,685.0,692.0,680.0,,681.05,684.05,1950,133389750000.0,,,
1997-01-07,HINDALC0,EQ,681.05,684.0,695.0,677.0,,689.4,689.03,11150,768270500000.0,,,
1997-01-08,HINDALC0,EQ,689.4,688.0,711.0,688.0,,710.05,707.37,17900,1266188250000.0,,,
1997-01-09,HINDALC0,EQ,710.05,711.0,720.0,707.25,,720.0,716.24,2350,168317500000.0,,,
1997-01-10,HINDALC0,EQ,720.0,734.75,756.0,730.0,,746.2,748.49,8400,628731500000.0,,,
1997-01-13,HINDALC0,EQ,746.2,754.0,766.5,746.0,,765.05,754.98,9450,713460750000.0,,,
1997-01-14,HINDALC0,EQ,765.05,784.95,790.0,770.0,,779.2,777.54,49200,3825500250000.0,,,
1997-01-15,HINDALC0,EQ,779.2,804.0,818.0,800.0,,814.3,810.75,16600,1345840000000.0,,,
1997-01-16,HINDALC0,EQ,814.3,840.0,840.0,781.0,,788.25,802.64,12100,971196000000.0,,,
1997-01-17,HINDALC0,EQ,788.25,761.0,789.95,761.0,,780.0,775.34,40500,3140127500000.0,,,
1997-01-20,HINDALC0,EQ,780.0,780.0,780.0,750.0,,755.05,757.42,7950,602147000000.0,,,
1997-01-21,HINDALC0,EQ,755.05,750.0,765.0,740.0,,758.55,752.95,28350,2134622000000.0,,,
1997-01-22,HINDALC0,EQ,758.55,756.2,775.0,756.2,,774.0,770.01,6700,515907000000.0,,,
1997-01-24,HINDALC0,EQ,774.0,770.2,792.0,770.2,,781.0,778.48,31100,2421088250000.0,,,
1997-01-27,HINDALC0,EQ,781.0,790.0,798.0,783.0,,783.1,793.2,18950,1503108750000.0,,,
1997-01-28,HINDALC0,EQ,783.1,789.95,800.0,786.0,,798.3,791.48,10750,850845500000.0,,,
1997-01-29,HINDALC0,EQ,798.3,781.2,781.2,774.25,,774.5,775.69,1400,108597000000.0,,,
1997-01-30,HINDALC0,EQ,774.5,770.0,774.0,742.5,,748.0,757.24,18750,1419828750000.0,,,
1997-01-31,HINDALC0,EQ,748.0,738.05,750.0,737.0,,739.55,740.79,2200,162973750000.0,,,
1997-02-03,HINDALC0,EQ,739.55,740.0,740.0,729.95,,730.0,731.39,3300,241357500000.0,,,
1997-02-04,HINDALC0,EQ,730.0,710.0,738.0,710.0,,724.15,724.5,2050,148521750000.0,,,
1997-02-05,HINDALC0,EQ,724.15,736.0,740.0,700.0,,716.3,727.12,3800,276305500000.0,,,
1997-02-06,HINDALC0,EQ,716.3,715.0,715.0,702.25,,706.55,706.22,8900,628534000000.0,,,
1997-02-07,HINDALC0,EQ,706.55,706.0,714.0,706.0,,711.15,711.14,900,64002500000.0,,,
1997-02-10,HINDALC0,EQ,711.15,710.5,722.5,710.5,,718.4,716.72,2200,157677750000.0,,,
1997-02-11,HINDALC0,EQ,718.4,720.0,740.0,720.0,,727.8,732.1,22500,1647219500000.0,,,
1997-02-12,HINDALC0,EQ,727.8,725.0,741.95,725.0,,739.5,736.68,3350,246786250000.0,,,
1997-02-13,HINDALC0,EQ,739.5,740.0,750.0,740.0,,745.15,744.06,7950,591527250000.0,,,
1997-02-14,HINDALC0,EQ,745.15,755.0,755.0,747.0,,751.35,753.88,13050,983818750000.0,,,
1997-02-17,HINDALC0,EQ,751.35,760.0,760.0,746.05,,750.0,750.77,4100,307816250000.0,,,
1997-02-18,HINDALC0,EQ,750.0,750.0,751.0,740.0,,740.4,741.98,5650,419217000000.0,,,
1997-02-19,HINDALC0,EQ,740.4,741.0,745.0,734.3,,742.7,742.53,7350,545756250000.0,,,
1997-02-20,HINDALC0,EQ,742.7,741.0,745.0,741.0,,743.45,742.38,2050,152187500000.0,,,
1997-02-21,HINDALC0,EQ,743.45,741.8,741.8,727.0,,733.1,738.96,5550,410120750000.0,,,
1997-02-24,HINDALC0,EQ,733.1,730.0,740.0,723.25,,735.0,730.55,33000,2410806250000.0,,,
1997-02-25,HINDALC0,EQ,735.0,725.0,735.05,725.0,,731.2,731.96,2450,179330500000.0,,,
1997-02-26,HINDALC0,EQ,731.2,730.0,735.0,728.05,,734.9,731.21,1000,73120500000.0,,,
1997-02-27,HINDALC0,EQ,734.9,730.0,740.0,730.0,,739.9,737.12,2650,195337500000.0,,,
1997-02-28,HINDALC0,EQ,739.9,782.0,825.0,782.0,,813.2,804.59,6450,518958000000.0,,,
1997-03-01,HINDALC0,EQ,744.9,825.0,853.9,825.0,,853.9,851.01,5950,506349250000.0,,,
1997-03-03,HINDALC0,EQ,853.9,867.9,896.6,867.9,,881.95,885.24,16000,1416384750000.0,,,
1997-03-04,HINDALC0,EQ,881.95,895.0,910.0,879.0,,902.4,885.59,31800,2816164500000.0,,,
1997-03-05,HINDALC0,EQ,902.4,940.0,947.4,921.05,,947.4,936.1,38700,3622721750000.0,,,
1997-03-06,HINDALC0,EQ,947.4,920.0,992.0,920.0,,989.2,978.49,44200,4324908250000.0,,,
1997-03-10,HINDALC0,EQ,989.2,955.0,966.0,941.05,,949.6,952.04,34150,3251211000000.0,,,
1997-03-11,HINDALC0,EQ,949.6,927.25,954.85,915.0,,927.7,935.39,31950,2988572250000.0,,,
1997-03-12,HINDALC0,EQ,927.7,963.0,963.0,932.25,,939.5,941.88,12200,1149094750000.0,,,
1997-03-13,HINDALC0,EQ,939.5,946.0,946.0,920.0,,925.0,932.95,6250,583092500000.0,,,
1997-03-14,HINDALC0,EQ,925.0,919.0,940.0,908.0,,938.65,934.05,106150,9914924250000.0,,,
1997-03-17,HINDALC0,EQ,938.65,940.0,960.0,928.0,,949.9,941.75,36800,3465643250000.0,,,
1997-03-18,HINDALC0,EQ,949.9,942.0,959.0,942.0,,955.25,953.14,17900,1706126000000.0,,,
1997-03-19,HINDALC0,EQ,955.25,951.0,957.0,941.0,,946.85,948.49,4950,469502500000.0,,,
1997-03-20,HINDALC0,EQ,946.85,940.0,953.0,936.7,,945.9,947.32,3350,317351750000.0,,,
1997-03-21,HINDALC0,EQ,945.9,949.9,953.95,945.15,,947.8,949.27,1850,175615750000.0,,,
1997-03-25,HINDALC0,EQ,947.8,950.0,960.0,945.0,,957.8,953.84,11900,1135066500000.0,,,
1997-03-26,HINDALC0,EQ,957.8,961.0,975.0,953.1,,962.6,963.38,43200,4161804000000.0,,,
1997-03-27,HINDALC0,EQ,962.6,954.1,984.5,954.1,,979.0,973.43,26450,2574727250000.0,,,
1997-03-31,HINDALC0,EQ,979.0,945.0,945.0,885.0,,906.2,908.8,5450,495297000000.0,,,
1997-04-01,HINDALC0,EQ,906.2,920.0,920.0,900.0,,912.1,909.81,10500,955303250000.0,,,
1997-04-02,HINDALC0,EQ,912.1,930.0,943.45,930.0,,940.3,940.31,33250,3126520250000.0,,,
