Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-05-10,HINDCOMPOS,EQ,0.0,31.0,31.0,31.0,,31.0,31.0,100,310000000.0,,,
1997-07-16,HINDCOMPOS,EQ,34.75,37.0,37.0,37.0,,37.0,37.0,50,185000000.0,,,
1997-07-17,HINDCOMPOS,EQ,37.0,37.0,37.0,37.0,,37.0,37.0,350,1295000000.0,,,
1997-07-21,HINDCOMPOS,EQ,37.0,38.0,38.0,38.0,,38.0,38.0,100,380000000.0,,,
1997-07-22,HINDCOMPOS,EQ,38.0,37.05,37.05,37.05,,37.05,37.05,100,370500000.0,,,
1997-07-23,HINDCOMPOS,EQ,37.05,38.0,38.0,38.0,,38.0,38.0,50,190000000.0,,,
1997-07-24,HINDCOMPOS,EQ,38.0,34.25,41.4,34.25,,37.8,37.83,4200,15886500000.0,,,
1997-07-28,HINDCOMPOS,EQ,37.8,37.0,37.0,37.0,,37.0,37.0,50,185000000.0,,,
1997-07-29,HINDCOMPOS,EQ,37.0,37.5,37.5,37.0,,37.0,37.2,250,930000000.0,,,
1997-07-30,HINDCOMPOS,EQ,37.0,38.0,39.0,37.5,,37.5,38.13,400,1525000000.0,,,
1997-07-31,HINDCOMPOS,EQ,37.5,37.5,37.5,37.5,,37.5,37.5,50,187500000.0,,,
1997-08-01,HINDCOMPOS,EQ,37.5,37.55,38.0,37.55,,38.0,37.73,250,943250000.0,,,
1997-08-04,HINDCOMPOS,EQ,38.0,39.0,39.0,39.0,,39.0,39.0,100,390000000.0,,,
1997-08-05,HINDCOMPOS,EQ,39.0,38.0,38.0,38.0,,38.0,38.0,150,570000000.0,,,
1997-08-06,HINDCOMPOS,EQ,38.0,39.0,39.0,39.0,,39.0,39.0,50,195000000.0,,,
1997-08-07,HINDCOMPOS,EQ,39.0,40.0,40.0,40.0,,40.0,40.0,2000,8000000000.0,,,
1997-08-08,HINDCOMPOS,EQ,40.0,38.0,38.0,38.0,,38.0,38.0,100,380000000.0,,,
1997-08-11,HINDCOMPOS,EQ,38.0,38.0,38.0,38.0,,38.0,38.0,700,2660000000.0,,,
1997-08-12,HINDCOMPOS,EQ,38.0,38.5,40.2,38.5,,40.2,39.63,150,594500000.0,,,
1997-08-18,HINDCOMPOS,EQ,40.2,38.0,38.0,38.0,,38.0,38.0,450,1710000000.0,,,
1997-08-25,HINDCOMPOS,EQ,38.0,36.0,36.0,36.0,,36.0,36.0,200,720000000.0,,,
1997-08-26,HINDCOMPOS,EQ,36.0,35.0,35.0,35.0,,35.0,35.0,200,700000000.0,,,
1997-09-02,HINDCOMPOS,EQ,35.0,32.0,32.0,32.0,,32.0,32.0,300,960000000.0,,,
1997-09-04,HINDCOMPOS,EQ,32.0,29.0,29.0,29.0,,29.0,29.0,50,145000000.0,,,
1997-09-26,HINDCOMPOS,EQ,29.0,29.0,29.0,29.0,,29.0,29.0,100,290000000.0,,,
1998-08-31,HINDCOMPOS,EQ,23.0,23.95,23.95,23.95,23.95,23.95,23.95,50,119750000.0,,,
1998-10-28,HINDCOMPOS,EQ,23.95,25.0,25.0,25.0,25.0,25.0,25.0,100,250000000.0,,,
1998-10-30,HINDCOMPOS,EQ,25.0,23.5,23.5,23.5,23.5,23.5,23.5,50,117500000.0,,,
1998-12-09,HINDCOMPOS,EQ,23.5,20.0,20.0,20.0,20.0,20.0,20.0,100,200000000.0,,,
1998-12-10,HINDCOMPOS,EQ,20.0,20.0,20.0,20.0,20.0,20.0,20.0,50,100000000.0,,,
