Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2001-11-02,HINDPETRO,EQ,130.0,131.95,135.0,128.35,134.2,133.8,132.61,283786,3763368745000.0005,,,
2001-11-05,HINDPETRO,EQ,133.8,135.95,136.0,131.35,132.0,132.05,133.07,151267,2012973764999.9998,,,
2001-11-06,HINDPETRO,EQ,132.05,132.0,135.9,131.75,132.8,133.25,133.73,89152,1192192555000.0,,,
2001-11-07,HINDPETRO,EQ,133.25,134.9,135.0,128.25,128.5,128.95,132.24,81107,1072586765000.0,,,
2001-11-08,HINDPETRO,EQ,128.95,129.0,135.05,128.5,135.0,134.35,133.49,153170,2044681845000.0,,,
2001-11-09,HINDPETRO,EQ,134.35,137.0,137.0,130.1,133.0,132.0,133.77,51732,692007990000.0,,,
2001-11-12,HINDPETRO,EQ,132.0,134.5,135.55,133.4,135.0,134.45,134.67,129571,1744989685000.0002,,,
2001-11-13,HINDPETRO,EQ,134.45,134.0,136.0,133.5,134.0,134.35,134.6,40706,547914575000.0,,,
2001-11-14,HINDPETRO,EQ,134.35,135.25,136.85,135.0,136.8,135.7,135.78,29634,402373955000.0,,,
2001-11-15,HINDPETRO,EQ,135.7,137.25,137.8,134.7,135.25,135.4,135.71,60035,814718905000.0,,,
2001-11-19,HINDPETRO,EQ,135.4,137.0,143.9,136.6,142.5,142.45,140.87,142763,2011088545000.0,,,
2001-11-20,HINDPETRO,EQ,142.45,143.95,148.0,142.5,144.5,144.2,144.49,199332,2880082330000.0,,,
2001-11-21,HINDPETRO,EQ,144.2,146.0,147.5,143.05,147.0,146.4,145.88,139803,2039393335000.0002,,,
2001-11-22,HINDPETRO,EQ,146.4,148.0,149.4,140.3,141.05,142.2,145.96,219270,3200514000000.0,,,
2001-11-23,HINDPETRO,EQ,142.2,145.0,145.0,138.0,139.5,139.0,140.61,113654,1598138085000.0,,,
2001-11-26,HINDPETRO,EQ,139.0,142.5,145.65,140.05,140.7,141.2,143.16,130038,1861604389999.9998,,,
2001-11-27,HINDPETRO,EQ,141.2,141.55,143.75,136.5,139.95,139.2,139.21,172302,2398558490000.0,,,
2001-11-28,HINDPETRO,EQ,139.2,141.9,141.9,136.3,137.5,137.35,138.36,121897,1686513564999.9998,,,
2001-11-29,HINDPETRO,EQ,137.35,137.1,137.1,134.6,137.0,135.8,135.87,162818,2212255895000.0,,,
2001-12-03,HINDPETRO,EQ,135.8,138.0,139.7,133.5,134.0,133.85,135.02,183597,2478961480000.0,,,
2001-12-04,HINDPETRO,EQ,133.85,135.0,135.75,134.25,135.0,134.95,134.98,172316,2325904725000.0,,,
2001-12-05,HINDPETRO,EQ,134.95,136.95,148.0,136.75,147.75,147.1,144.9,358949,5201012320000.0,,,
2001-12-06,HINDPETRO,EQ,147.1,152.0,158.0,140.0,146.1,146.3,146.36,308363,4513187600000.0,,,
2001-12-07,HINDPETRO,EQ,146.3,144.1,152.75,144.1,151.0,150.5,150.53,359351,5409249855000.0,,,
2001-12-10,HINDPETRO,EQ,150.5,153.0,162.0,153.0,158.0,157.45,157.06,253030,3974034804999.9995,,,
2001-12-11,HINDPETRO,EQ,157.45,162.0,164.5,158.1,164.0,162.5,160.98,244997,3944050825000.0,,,
2001-12-12,HINDPETRO,EQ,162.5,164.0,164.0,151.5,152.0,153.05,157.29,216367,3403299960000.0,,,
2001-12-13,HINDPETRO,EQ,153.05,154.0,163.5,148.0,159.1,160.5,154.86,1183625,18329132205000.0,,,
2001-12-14,HINDPETRO,EQ,160.5,158.0,159.5,153.0,156.5,157.2,156.56,200988,3146705125000.0,,,
2001-12-18,HINDPETRO,EQ,157.2,160.0,164.25,158.1,159.5,160.0,160.26,231520,3710291270000.0005,,,
2001-12-19,HINDPETRO,EQ,160.0,161.0,162.0,153.3,156.0,155.15,156.96,190146,2984623775000.0,,,
2001-12-20,HINDPETRO,EQ,155.15,155.0,156.65,149.7,150.5,150.45,152.82,105388,1610568370000.0,,,
2001-12-21,HINDPETRO,EQ,150.45,149.2,151.6,147.1,150.9,150.4,149.66,69477,1039802590000.0,,,
2001-12-24,HINDPETRO,EQ,150.4,150.0,151.0,147.0,148.25,148.85,148.87,68141,1014403610000.0,,,
2001-12-26,HINDPETRO,EQ,148.85,148.0,149.75,141.0,141.05,141.75,143.83,64788,931829380000.0001,,,
2001-12-27,HINDPETRO,EQ,141.75,143.0,143.0,135.15,135.25,135.55,138.31,72213,998743705000.0001,,,
2001-12-28,HINDPETRO,EQ,135.55,135.0,136.5,131.65,134.0,134.05,133.68,128605,1719145214999.9998,,,
2001-12-31,HINDPETRO,EQ,134.05,134.95,141.5,134.95,139.8,139.05,138.46,157722,2183787435000.0002,,,
2002-01-01,HINDPETRO,EQ,139.05,141.0,142.5,138.1,140.0,139.05,140.86,59474,837755540000.0,,22395.0,0.3766
2002-01-02,HINDPETRO,EQ,139.05,139.2,140.1,134.25,135.3,135.05,136.62,106227,1451316105000.0,,72238.0,0.68
2002-01-03,HINDPETRO,EQ,135.05,138.7,140.1,134.35,134.35,134.85,135.9,164360,2233641285000.0,,128263.0,0.7804000000000001
2002-01-04,HINDPETRO,EQ,134.85,137.65,139.4,133.7,134.75,135.05,135.4,210876,2855262650000.0,,159300.0,0.7554000000000001
2002-01-07,HINDPETRO,EQ,135.05,136.9,143.65,136.05,140.0,139.55,140.89,180117,2537741885000.0,,105051.0,0.5832
2002-01-08,HINDPETRO,EQ,139.55,141.0,141.5,136.6,139.0,137.35,137.91,185078,2552497770000.0,,133177.0,0.7195999999999999
2002-01-09,HINDPETRO,EQ,137.35,139.0,149.9,137.1,144.6,145.35,145.44,394050,5731075365000.0,,208571.0,0.5293
2002-01-10,HINDPETRO,EQ,145.35,142.9,149.5,142.9,148.5,148.45,147.24,141800,2087839520000.0,,66710.0,0.4705
2002-01-11,HINDPETRO,EQ,148.45,148.0,152.55,145.05,150.0,149.9,149.95,212452,3185657905000.0,,127121.0,0.5984
2002-01-14,HINDPETRO,EQ,149.9,152.8,156.45,152.0,154.5,154.3,154.26,218085,3364132970000.0005,,151627.0,0.6953
2002-01-15,HINDPETRO,EQ,154.3,154.8,160.4,152.65,157.9,158.25,157.79,305472,4820034950000.0,,214797.0,0.7031999999999999
2002-01-16,HINDPETRO,EQ,158.25,157.9,161.0,155.1,158.25,158.95,158.64,231676,3675235640000.0,,184660.0,0.7970999999999999
2002-01-17,HINDPETRO,EQ,158.95,155.5,160.7,155.0,160.5,160.0,158.4,125329,1985259860000.0002,,85791.0,0.6845
2002-01-18,HINDPETRO,EQ,160.0,161.0,167.8,160.9,167.5,165.55,163.33,200885,3281011165000.0,,157632.0,0.7847
2002-01-21,HINDPETRO,EQ,165.55,168.8,173.75,166.15,171.8,170.3,171.08,233194,3989503350000.0,,167753.0,0.7194
2002-01-22,HINDPETRO,EQ,170.3,173.4,174.8,169.0,169.0,170.4,171.19,155381,2659987120000.0,,95886.0,0.6171
2002-01-23,HINDPETRO,EQ,170.4,170.0,177.0,168.0,175.0,174.15,173.56,558162,9687530525000.0,,435461.0,0.7802
2002-01-24,HINDPETRO,EQ,174.15,176.2,176.2,165.25,170.25,170.55,169.95,254104,4318576379999.9995,,165175.0,0.65
2002-01-25,HINDPETRO,EQ,170.55,170.1,172.0,167.3,171.0,170.55,169.95,137816,2342163805000.0,,114231.0,0.8289
2002-01-28,HINDPETRO,EQ,170.55,174.0,174.0,169.5,171.0,170.25,170.91,121022,2068434495000.0,,102657.0,0.8483
2002-01-29,HINDPETRO,EQ,170.25,162.1,169.95,162.1,167.3,167.35,167.18,147047,2458278475000.0,,113359.0,0.7709
2002-01-30,HINDPETRO,EQ,167.35,166.9,169.0,164.05,169.0,167.15,166.12,145226,2412564225000.0,,118868.0,0.8185
2002-01-31,HINDPETRO,EQ,167.15,164.0,175.35,163.0,174.0,174.05,172.8,384745,6648330155000.0,,297348.0,0.7728
2002-02-01,HINDPETRO,EQ,174.05,177.0,185.6,175.2,182.0,181.3,182.52,1123568,20506934285000.0,,576801.0,0.5134000000000001
2002-02-04,HINDPETRO,EQ,181.3,194.0,199.45,190.0,192.45,192.9,194.08,1396004,27093649814999.996,,842628.0,0.6036
2002-02-05,HINDPETRO,EQ,192.9,197.9,212.2,184.15,212.2,201.3,196.1,2785995,54634577640000.0,,962448.0,0.3455
2002-02-06,HINDPETRO,EQ,201.3,221.45,221.45,221.45,221.45,221.45,221.45,17796,394092420000.0,,17796.0,1.0
2002-02-07,HINDPETRO,EQ,221.45,243.6,243.6,243.6,243.6,243.6,243.6,48083,1171301880000.0,,47418.0,0.9862000000000001
2002-02-08,HINDPETRO,EQ,243.6,265.0,265.9,232.2,239.3,238.85,241.69,3889573,94008425100000.0,,931281.0,0.23940000000000003
2002-02-11,HINDPETRO,EQ,238.85,248.7,248.7,232.0,235.25,234.6,238.27,1129821,26920584870000.0,,414604.0,0.36700000000000005
2002-02-12,HINDPETRO,EQ,234.6,235.0,238.7,224.35,226.8,226.2,230.32,1092300,25158246020000.0,,487549.0,0.4464
2002-02-13,HINDPETRO,EQ,226.2,215.05,238.9,215.05,227.55,228.2,231.29,2537386,58686016854999.99,,690659.0,0.2722
2002-02-14,HINDPETRO,EQ,228.2,229.8,239.25,229.5,234.0,233.5,234.56,1686692,39563577665000.0,,559806.0,0.3319
2002-02-15,HINDPETRO,EQ,233.5,236.85,256.85,236.85,250.05,249.2,248.61,2907052,72273288180000.0,,933041.0,0.321
2002-02-18,HINDPETRO,EQ,249.2,242.15,256.8,240.45,254.15,253.15,249.32,2128951,53079073380000.0,,886695.0,0.4165
2002-02-19,HINDPETRO,EQ,253.15,256.0,261.95,246.5,248.15,249.05,253.99,1788960,45437755645000.0,,377497.0,0.21100000000000002
2002-02-20,HINDPETRO,EQ,249.05,248.9,252.8,243.0,245.2,245.1,246.19,1227555,30221789025000.0,,,
2002-02-21,HINDPETRO,EQ,245.1,246.0,249.85,239.5,241.25,240.5,243.25,962868,23421525955000.0,,383044.0,0.39780000000000004
2002-02-22,HINDPETRO,EQ,240.5,241.5,251.5,240.0,248.6,248.3,247.34,1146642,28361587730000.0,,407101.0,0.355
2002-02-25,HINDPETRO,EQ,248.3,246.0,261.0,246.0,258.5,258.75,255.74,1902923,48665893095000.0,,514376.0,0.27030000000000004
2002-02-26,HINDPETRO,EQ,258.75,260.05,284.65,260.05,284.65,283.4,276.67,4615223,127689202800000.0,,1030236.0,0.2232
2002-02-27,HINDPETRO,EQ,283.4,285.0,301.65,284.3,289.8,291.2,292.49,4396631,128596320600000.0,,1032170.0,0.2348
2002-02-28,HINDPETRO,EQ,291.2,290.1,302.0,275.05,288.0,284.45,287.96,3927364,113090697070000.0,,973008.0,0.24780000000000002
2002-03-01,HINDPETRO,EQ,284.45,285.0,300.0,279.2,294.0,296.25,291.08,2153763,62692054785000.0,,338814.0,0.1573
2002-03-04,HINDPETRO,EQ,296.25,300.25,325.0,300.25,310.8,308.85,309.14,2435228,75282849190000.0,,548309.0,0.2252
2002-03-05,HINDPETRO,EQ,308.85,312.0,338.7,310.55,328.0,325.85,327.07,4624410,151251852450000.0,,926930.0,0.2004
2002-03-06,HINDPETRO,EQ,325.85,327.0,330.0,313.6,321.3,319.6,321.51,3680118,118321146425000.0,,598812.0,0.1627
2002-03-07,HINDPETRO,EQ,319.6,321.0,324.8,308.0,317.0,316.45,314.23,2450859,77014454975000.0,,593181.0,0.242
2002-03-08,HINDPETRO,EQ,316.45,319.65,323.6,313.05,314.0,314.4,317.85,1555429,49439990450000.0,,277670.0,0.17850000000000002
2002-03-11,HINDPETRO,EQ,314.4,317.7,317.7,293.3,296.7,296.95,299.96,2082529,62466921035000.0,,,
2002-03-12,HINDPETRO,EQ,296.95,295.15,296.95,288.0,289.5,291.3,292.74,2701755,79091942855000.0,,1047445.0,0.2189
2002-07-22,HINDPETRO,EQ,294.25,292.5,292.5,284.5,284.8,285.6,288.42,925516,26694047340000.0,,392915.0,0.42450000000000004
2002-07-23,HINDPETRO,EQ,285.6,287.25,296.0,284.2,293.5,294.45,291.56,1220144,35574342865000.0,,414489.0,0.3397
2002-07-24,HINDPETRO,EQ,294.45,290.0,294.25,285.55,287.5,287.8,288.98,1302558,37641308940000.0,,282877.0,0.2172
2002-07-25,HINDPETRO,EQ,287.8,292.0,292.5,284.35,289.0,289.9,288.73,1786472,51580103180000.0,,440922.0,0.2468
2002-07-26,HINDPETRO,EQ,289.9,290.8,290.8,284.0,286.25,285.7,286.75,922498,26452997975000.0,,240046.0,0.2602
2002-07-29,HINDPETRO,EQ,285.7,284.0,287.0,274.5,280.2,280.1,278.73,770551,21477756765000.0,,282134.0,0.3661
