Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,SHRMHONDA,EQ,151.0,151.0,151.0,151.0,,151.0,151.0,100,1510000000.0,,,
1996-01-02,SHRMHONDA,EQ,151.0,151.0,150.05,150.05,,150.05,150.05,400,6002000000.0,,,
1996-01-03,SHRMHONDA,EQ,150.05,150.05,152.0,150.0,,150.0,151.0,400,6040000000.0,,,
1996-01-04,SHRMHONDA,EQ,150.0,148.5,150.0,148.5,,150.0,149.25,200,2985000000.0,,,
1996-01-05,SHRMHONDA,EQ,150.0,150.0,148.5,148.5,,148.5,148.5,300,4455000000.0,,,
1996-01-08,SHRMHONDA,EQ,148.5,147.35,147.95,147.0,,147.35,147.31,500,7365500000.0,,,
1996-01-09,SHRMHONDA,EQ,147.35,147.55,147.55,142.25,,142.25,146.21,400,5848500000.0,,,
1996-01-11,SHRMHONDA,EQ,142.25,141.0,141.0,141.0,,141.0,141.0,100,1410000000.0,,,
1996-01-12,SHRMHONDA,EQ,141.0,139.25,139.25,139.05,,139.15,139.15,200,2783000000.0,,,
1996-01-15,SHRMHONDA,EQ,139.15,137.5,137.5,137.5,,137.5,137.5,500,6875000000.0,,,
1996-01-16,SHRMHONDA,EQ,137.5,137.55,137.55,137.55,,137.55,137.55,700,9628500000.0,,,
1996-01-17,SHRMHONDA,EQ,137.55,137.55,140.0,140.0,,140.0,140.0,100,1400000000.0,,,
1996-01-18,SHRMHONDA,EQ,140.0,140.0,141.0,140.0,,141.0,140.38,800,11230000000.0,,,
1996-01-19,SHRMHONDA,EQ,141.0,141.0,142.0,141.3,,142.0,141.65,200,2833000000.0,,,
1996-01-22,SHRMHONDA,EQ,142.0,142.0,143.75,143.5,,143.75,143.63,200,2872500000.0,,,
1996-01-24,SHRMHONDA,EQ,143.75,148.0,148.0,148.0,,148.0,148.0,300,4440000000.0,,,
1996-01-25,SHRMHONDA,EQ,148.0,148.0,148.0,148.0,,148.0,148.0,200,2960000000.0,,,
1996-01-31,SHRMHONDA,EQ,148.0,142.0,143.0,142.0,,143.0,142.75,400,5710000000.0,,,
1996-02-01,SHRMHONDA,EQ,143.0,141.95,143.0,141.95,,143.0,142.32,300,4269500000.0,,,
1996-02-02,SHRMHONDA,EQ,143.0,145.0,145.0,145.0,,145.0,145.0,100,1450000000.0,,,
1996-02-05,SHRMHONDA,EQ,145.0,144.0,144.0,144.0,,144.0,144.0,100,1440000000.0,,,
1996-06-17,SHRMHONDA,EQ,161.0,157.0,157.0,154.0,,156.9,155.45,1100,17099000000.0,,,
1996-06-18,SHRMHONDA,EQ,156.9,142.0,150.0,142.0,,150.0,146.88,400,5875000000.0,,,
1996-06-19,SHRMHONDA,EQ,150.0,150.0,150.0,150.0,,150.0,150.0,300,4500000000.0,,,
1996-06-20,SHRMHONDA,EQ,150.0,149.0,149.0,149.0,,149.0,149.0,100,1490000000.0,,,
1996-06-21,SHRMHONDA,EQ,149.0,152.0,152.0,152.0,,152.0,152.0,100,1520000000.0,,,
1996-06-24,SHRMHONDA,EQ,152.0,150.0,151.0,150.0,,151.0,150.5,200,3010000000.0,,,
1996-06-25,SHRMHONDA,EQ,151.0,153.0,159.0,152.0,,159.0,154.73,2600,40230000000.0,,,
1996-06-26,SHRMHONDA,EQ,159.0,160.0,163.0,160.0,,163.0,161.25,600,9675000000.0,,,
1996-06-27,SHRMHONDA,EQ,163.0,160.0,160.0,155.0,,158.0,157.95,700,11056500000.0,,,
1996-06-28,SHRMHONDA,EQ,158.0,160.05,161.0,160.0,,160.55,160.21,600,9612500000.0,,,
1996-07-01,SHRMHONDA,EQ,160.55,160.7,161.0,160.0,,160.0,160.49,700,11234500000.0,,,
1996-07-02,SHRMHONDA,EQ,160.0,155.0,155.0,152.25,,152.65,154.05,500,7702500000.0,,,
1996-07-03,SHRMHONDA,EQ,152.65,152.0,152.0,150.0,,150.0,151.82,1100,16700000000.0,,,
1996-07-04,SHRMHONDA,EQ,150.0,147.75,147.75,147.75,,147.75,147.75,100,1477500000.0,,,
1996-07-05,SHRMHONDA,EQ,147.75,155.0,155.0,148.0,,148.25,150.42,300,4512500000.0,,,
1996-07-08,SHRMHONDA,EQ,0.0,154.5,155.0,154.5,,155.0,154.75,200,3095000000.0,,,
1996-07-09,SHRMHONDA,EQ,155.0,150.0,156.0,150.0,,155.0,154.29,700,10800000000.0,,,
1996-07-10,SHRMHONDA,EQ,155.0,153.0,155.0,153.0,,155.0,153.88,800,12310000000.0,,,
1996-07-11,SHRMHONDA,EQ,155.0,152.05,160.0,152.05,,160.0,155.61,500,7780500000.0,,,
1996-07-12,SHRMHONDA,EQ,160.0,158.0,158.5,154.1,,156.05,156.83,1300,20388000000.0,,,
1996-07-15,SHRMHONDA,EQ,156.05,155.3,158.0,155.3,,157.25,157.14,3200,50286000000.0,,,
1996-07-16,SHRMHONDA,EQ,157.25,155.05,157.5,155.05,,155.05,155.73,500,7786500000.0,,,
1996-07-17,SHRMHONDA,EQ,155.05,155.0,165.0,155.0,,159.05,160.52,1200,19262000000.0,,,
1996-07-18,SHRMHONDA,EQ,159.05,160.0,162.0,160.0,,161.45,161.25,800,12900000000.0,,,
1996-07-19,SHRMHONDA,EQ,161.45,160.0,160.1,160.0,,160.0,160.03,300,4801000000.0,,,
1996-07-22,SHRMHONDA,EQ,160.0,158.0,158.0,157.5,,157.5,157.67,300,4730000000.0,,,
1996-07-24,SHRMHONDA,EQ,157.5,154.0,157.0,154.0,,157.0,156.29,700,10940000000.0,,,
1996-07-25,SHRMHONDA,EQ,157.0,160.0,160.0,159.0,,159.0,159.5,200,3190000000.0,,,
1996-07-26,SHRMHONDA,EQ,159.0,159.0,162.0,154.25,,159.5,158.15,4300,68005000000.0,,,
1996-07-30,SHRMHONDA,EQ,159.5,155.0,155.0,155.0,,155.0,155.0,100,1550000000.0,,,
1996-08-05,SHRMHONDA,EQ,155.0,151.3,153.0,151.3,,153.0,152.15,200,3043000000.0,,,
1996-08-06,SHRMHONDA,EQ,153.0,150.5,150.5,150.5,,150.5,150.5,400,6020000000.0,,,
1996-08-07,SHRMHONDA,EQ,150.5,151.05,151.05,151.05,,151.05,151.05,700,10573500000.0,,,
1996-08-08,SHRMHONDA,EQ,151.05,150.0,151.0,150.0,,151.0,150.73,400,6029000000.0,,,
1996-08-12,SHRMHONDA,EQ,151.0,153.0,155.0,153.0,,154.2,154.17,600,9250000000.0,,,
1996-08-16,SHRMHONDA,EQ,154.2,140.5,140.5,140.5,,140.5,140.5,100,1405000000.0,,,
1996-08-20,SHRMHONDA,EQ,140.5,139.0,142.0,136.5,,136.5,139.25,600,8355000000.0,,,
1996-08-21,SHRMHONDA,EQ,136.5,137.0,139.95,137.0,,139.95,138.48,200,2769500000.0,,,
1996-08-23,SHRMHONDA,EQ,139.95,144.0,144.0,141.0,,141.0,142.2,500,7110000000.0,,,
1996-08-26,SHRMHONDA,EQ,141.0,143.0,143.0,143.0,,143.0,143.0,100,1430000000.0,,,
1996-08-29,SHRMHONDA,EQ,143.0,140.0,140.0,140.0,,140.0,140.0,100,1400000000.0,,,
1996-08-30,SHRMHONDA,EQ,140.0,140.0,140.0,140.0,,140.0,140.0,100,1400000000.0,,,
1996-09-02,SHRMHONDA,EQ,140.0,140.0,140.0,140.0,,140.0,140.0,200,2800000000.0,,,
1996-09-03,SHRMHONDA,EQ,140.0,142.0,148.0,142.0,,147.0,143.84,2200,31645000000.0,,,
1996-09-06,SHRMHONDA,EQ,147.0,150.0,150.0,150.0,,150.0,150.0,300,4500000000.0,,,
1996-09-09,SHRMHONDA,EQ,150.0,150.0,150.0,145.0,,145.0,147.5,400,5900000000.0,,,
1996-09-10,SHRMHONDA,EQ,145.0,144.8,149.0,144.8,,145.5,146.22,600,8773000000.0,,,
1996-09-11,SHRMHONDA,EQ,145.5,148.0,148.0,146.0,,146.0,147.33,300,4420000000.0,,,
1996-09-16,SHRMHONDA,EQ,146.0,146.0,146.0,146.0,,146.0,146.0,200,2920000000.0,,,
1996-09-17,SHRMHONDA,EQ,146.0,138.0,138.0,138.0,,138.0,138.0,200,2760000000.0,,,
1996-09-19,SHRMHONDA,EQ,138.0,139.0,139.0,139.0,,139.0,139.0,100,1390000000.0,,,
1996-09-20,SHRMHONDA,EQ,139.0,139.25,139.25,139.25,,139.25,139.25,100,1392500000.0,,,
1996-09-24,SHRMHONDA,EQ,139.25,141.9,141.9,141.0,,141.3,141.3,300,4239000000.0,,,
1996-09-25,SHRMHONDA,EQ,141.3,141.25,141.25,141.25,,141.25,141.25,100,1412500000.0,,,
1996-09-26,SHRMHONDA,EQ,141.25,141.95,142.25,141.25,,141.25,141.95,1200,17034500000.0,,,
1996-09-27,SHRMHONDA,EQ,141.25,138.0,138.0,138.0,,138.0,138.0,100,1380000000.0,,,
1996-10-01,SHRMHONDA,EQ,138.0,145.0,145.0,145.0,,145.0,145.0,1000,14500000000.0,,,
1996-10-03,SHRMHONDA,EQ,145.0,139.75,142.0,139.75,,142.0,141.26,900,12713500000.0,,,
1996-10-04,SHRMHONDA,EQ,142.0,137.5,137.5,137.5,,137.5,137.5,200,2750000000.0,,,
1996-10-08,SHRMHONDA,EQ,137.5,128.25,130.0,128.25,,130.0,129.17,1100,14208500000.0,,,
1996-10-09,SHRMHONDA,EQ,130.0,129.0,129.0,129.0,,129.0,129.0,100,1290000000.0,,,
1996-10-10,SHRMHONDA,EQ,129.0,127.95,128.0,127.95,,128.0,127.98,200,2559500000.0,,,
1996-10-11,SHRMHONDA,EQ,128.0,129.0,129.0,129.0,,129.0,129.0,100,1290000000.0,,,
1996-10-14,SHRMHONDA,EQ,129.0,129.0,129.0,129.0,,129.0,129.0,100,1290000000.0,,,
1996-10-15,SHRMHONDA,EQ,129.0,127.0,131.0,127.0,,131.0,129.4,500,6470000000.0,,,
1996-10-18,SHRMHONDA,EQ,131.0,130.0,130.0,130.0,,130.0,130.0,100,1300000000.0,,,
1996-10-22,SHRMHONDA,EQ,130.0,130.0,130.1,130.0,,130.1,130.08,400,5203000000.0,,,
1996-10-23,SHRMHONDA,EQ,130.1,131.0,134.0,131.0,,134.0,132.5,200,2650000000.0,,,
1996-10-28,SHRMHONDA,EQ,134.0,133.0,133.0,130.0,,130.0,131.5,200,2630000000.0,,,
1996-10-29,SHRMHONDA,EQ,130.0,127.75,127.75,127.75,,127.75,127.75,100,1277500000.0,,,
1996-10-31,SHRMHONDA,EQ,127.75,125.0,125.0,122.0,,122.0,123.0,300,3690000000.0,,,
1996-11-01,SHRMHONDA,EQ,122.0,122.0,124.05,122.0,,124.05,123.22,500,6161000000.0,,,
1996-11-04,SHRMHONDA,EQ,124.05,120.0,124.0,120.0,,122.9,122.88,400,4915000000.0,,,
1996-11-05,SHRMHONDA,EQ,122.9,123.0,123.0,120.0,,122.0,120.64,1400,16890000000.0,,,
1996-11-08,SHRMHONDA,EQ,122.0,124.0,125.0,124.0,,125.0,124.75,800,9980000000.0,,,
1996-11-10,SHRMHONDA,EQ,125.0,125.0,125.0,125.0,,125.0,125.0,100,1250000000.0,,,
1996-11-11,SHRMHONDA,EQ,125.0,128.0,128.0,128.0,,128.0,128.0,100,1280000000.0,,,
1996-11-13,SHRMHONDA,EQ,128.0,125.0,125.0,125.0,,125.0,125.0,200,2500000000.0,,,
1996-11-15,SHRMHONDA,EQ,125.0,123.0,126.45,122.0,,126.45,123.82,300,3714500000.0,,,
1996-11-18,SHRMHONDA,EQ,126.45,121.0,121.0,120.25,,120.25,120.5,300,3615000000.0,,,
1996-11-19,SHRMHONDA,EQ,120.25,126.5,126.5,123.0,,123.0,123.79,700,8665000000.0,,,
1996-11-21,SHRMHONDA,EQ,123.0,120.0,120.0,120.0,,120.0,120.0,200,2400000000.0,,,
1996-11-22,SHRMHONDA,EQ,120.0,120.0,120.0,120.0,,120.0,120.0,600,7200000000.0,,,
1996-11-25,SHRMHONDA,EQ,120.0,121.0,125.0,121.0,,125.0,123.67,300,3710000000.0,,,
1996-11-26,SHRMHONDA,EQ,125.0,125.0,125.0,124.0,,124.0,124.67,300,3740000000.0,,,
1996-11-28,SHRMHONDA,EQ,124.0,125.0,125.0,125.0,,125.0,125.0,500,6250000000.0,,,
1996-11-29,SHRMHONDA,EQ,125.0,124.95,126.75,124.95,,125.0,125.42,1600,20066500000.0,,,
1996-12-02,SHRMHONDA,EQ,125.0,120.0,125.0,120.0,,125.0,121.67,300,3650000000.0,,,
1996-12-03,SHRMHONDA,EQ,125.0,120.0,126.0,120.0,,120.0,123.14,700,8620000000.0,,,
1996-12-04,SHRMHONDA,EQ,120.0,118.0,120.0,118.0,,118.0,118.2,1000,11820000000.0,,,
1996-12-06,SHRMHONDA,EQ,118.0,116.0,120.0,113.0,,120.0,115.06,7100,81694000000.0,,,
1996-12-10,SHRMHONDA,EQ,120.0,115.0,115.75,115.0,,115.75,115.38,200,2307500000.0,,,
1996-12-11,SHRMHONDA,EQ,115.75,123.5,123.5,123.5,,123.5,123.5,100,1235000000.0,,,
1996-12-12,SHRMHONDA,EQ,123.5,125.0,126.5,122.0,,125.05,124.64,400,4985500000.0,,,
1996-12-13,SHRMHONDA,EQ,125.05,128.5,133.7,128.5,,133.7,131.03,1500,19655000000.0,,,
1996-12-16,SHRMHONDA,EQ,133.7,132.0,135.0,132.0,,135.0,133.5,200,2670000000.0,,,
1996-12-18,SHRMHONDA,EQ,135.0,138.0,143.0,138.0,,143.0,140.5,400,5620000000.0,,,
