Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-09-01,HTMEDIA,EQ,530.0,700.0,750.0,541.25,545.0,556.8,601.07,14455703,868886946829999.9,,2397431,0.16579999999999998
2005-09-02,HTMEDIA,EQ,556.8,540.0,557.0,533.0,537.0,536.8,545.29,4292823,234085425169999.97,,501506,0.1168
2005-09-05,HTMEDIA,EQ,536.8,544.0,545.0,496.0,504.0,503.95,515.1,2556385,131679286600000.0,,299340,0.11710000000000001
2005-09-06,HTMEDIA,EQ,503.95,508.0,523.7,505.0,506.0,509.4,512.59,2558922,131166859365000.02,,139236,0.054400000000000004
2005-09-08,HTMEDIA,EQ,509.4,513.0,516.7,501.25,501.25,503.3,507.9,715117,36320903585000.0,,95914,0.1341
2005-09-09,HTMEDIA,EQ,503.3,506.0,509.0,485.0,485.0,488.35,496.71,734233,36469899055000.0,,148108,0.20170000000000002
2005-09-12,HTMEDIA,EQ,488.35,488.0,494.9,478.0,478.35,482.25,483.02,485202,23436002215000.0,,117932,0.24309999999999998
2005-09-13,HTMEDIA,EQ,482.25,484.0,496.7,475.0,483.0,484.4,485.45,1004846,48780383470000.0,,107183,0.1067
2005-09-14,HTMEDIA,EQ,484.4,485.0,486.0,470.1,472.0,473.1,476.61,431341,20558234820000.0,,122003,0.2828
2005-09-15,HTMEDIA,EQ,473.1,473.0,482.1,471.35,473.0,474.8,475.54,330139,15699388240000.0,,72661,0.22010000000000002
2005-09-16,HTMEDIA,EQ,474.8,474.0,477.0,470.3,472.2,473.45,474.48,194972,9251099590000.0,,56908,0.2919
2005-09-19,HTMEDIA,EQ,473.45,474.5,479.7,462.3,462.35,465.35,469.67,152542,7164444105000.0,,68356,0.44810000000000005
2005-09-20,HTMEDIA,EQ,465.35,465.5,465.5,452.05,453.0,453.95,457.87,245808,11254820020000.0,,95555,0.3887
2005-09-21,HTMEDIA,EQ,453.95,456.0,456.0,428.0,442.0,441.6,442.93,299635,13271720695000.0,,87540,0.2922
2005-09-22,HTMEDIA,EQ,441.6,440.0,440.0,403.0,407.0,415.45,426.88,240346,10260005530000.0,,106511,0.44320000000000004
2005-09-23,HTMEDIA,EQ,415.45,410.0,419.85,397.05,409.5,409.05,408.99,420903,17214610315000.0,,127534,0.303
2005-09-26,HTMEDIA,EQ,409.05,413.3,422.45,412.0,416.5,417.05,417.03,192307,8019784425000.0,,46890,0.2438
2005-09-27,HTMEDIA,EQ,417.05,419.05,424.9,415.0,416.9,416.9,419.31,143387,6012308030000.0,,32547,0.227
2005-09-28,HTMEDIA,EQ,416.9,419.0,421.0,415.1,420.5,418.45,418.09,88662,3706841545000.0005,,37909,0.4276
2005-09-29,HTMEDIA,EQ,418.45,425.0,476.0,417.0,426.1,425.0,427.32,324826,13880314465000.0,,65749,0.2024
2005-09-30,HTMEDIA,EQ,425.0,426.0,432.0,418.0,430.0,425.45,423.68,171615,7270910809999.999,,49440,0.28809999999999997
2005-10-03,HTMEDIA,EQ,425.45,426.05,429.0,421.0,421.95,423.85,425.5,53650,2282791215000.0,,17641,0.32880000000000004
2005-10-04,HTMEDIA,EQ,423.85,424.0,449.0,422.9,447.5,446.25,440.8,377377,16634814475000.0,,123741,0.3279
2005-10-05,HTMEDIA,EQ,446.25,452.0,452.0,440.5,441.05,441.5,444.49,149511,6645627810000.0,,42074,0.28140000000000004
2005-10-06,HTMEDIA,EQ,441.5,443.4,443.4,431.0,436.1,436.05,435.98,64624,2817472780000.0,,31240,0.48340000000000005
2005-10-07,HTMEDIA,EQ,436.05,442.0,464.0,436.0,462.2,460.75,455.27,439485,20008617545000.0,,162063,0.3688
2005-10-10,HTMEDIA,EQ,460.75,462.05,469.0,458.35,461.5,461.5,462.82,184429,8535703445000.0,,84972,0.4607
