Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-08-14,HUDCO,EQ,77.25,78.45,79.4,77.75,78.95,78.6,78.67,3008213,23666712655000.0,15814,1021152,0.3395
2017-08-16,HUDCO,EQ,78.6,79.25,81.3,78.25,80.8,80.8,80.08,6885913,55143348815000.0,23202,2343587,0.3403
2017-08-17,HUDCO,EQ,80.8,81.0,82.9,80.45,81.45,81.55,81.71,4036546,32981063085000.004,16763,1375931,0.34090000000000004
2017-08-18,HUDCO,EQ,81.55,80.3,81.05,79.3,80.15,80.15,80.18,3353101,26886657680000.0,15180,1222911,0.36469999999999997
2017-08-21,HUDCO,EQ,80.15,80.75,82.2,79.55,79.9,79.75,80.97,4238978,34322271500000.0,17591,1245766,0.2939
2017-08-22,HUDCO,EQ,79.75,80.25,80.5,78.5,79.15,78.85,79.48,2281770,18135908615000.0,10958,797084,0.3493
2017-08-23,HUDCO,EQ,78.85,79.4,80.6,79.0,79.8,79.8,79.8,2882497,23003197270000.0,12598,717924,0.24910000000000002
2017-08-24,HUDCO,EQ,79.8,80.2,80.4,79.4,79.4,79.55,79.77,1929941,15395540994999.998,8815,778909,0.4036
2017-08-28,HUDCO,EQ,79.55,79.95,80.8,79.5,79.65,79.75,80.14,3439649,27566170175000.0,11748,1346813,0.39159999999999995
2017-08-29,HUDCO,EQ,79.75,79.9,81.75,78.85,79.1,79.2,80.49,7048692,56736133654999.99,26658,2263538,0.3211
2017-08-30,HUDCO,EQ,79.2,79.9,81.15,79.55,80.9,80.55,80.31,4314894,34652571595000.0,14693,2088399,0.484
2017-08-31,HUDCO,EQ,80.55,82.05,83.6,81.6,83.1,83.15,82.88,10973531,90948155475000.0,40710,4269403,0.3891
2017-09-01,HUDCO,EQ,83.15,83.5,85.6,83.2,84.25,84.25,84.62,7797828,65981472570000.01,28934,2775977,0.35600000000000004
2017-09-04,HUDCO,EQ,84.25,84.25,84.35,81.0,82.55,82.45,82.49,3823792,31541057585000.004,15385,1326396,0.3469
2017-09-05,HUDCO,EQ,82.45,82.7,87.3,82.2,87.0,86.8,85.76,11151207,95629905470000.0,30488,4004657,0.3591
2017-09-06,HUDCO,EQ,86.8,86.25,89.15,85.7,86.9,87.1,87.77,14628247,128386649330000.0,48135,4345766,0.29710000000000003
2017-09-07,HUDCO,EQ,87.1,88.1,89.0,86.0,86.3,86.35,87.63,6581393,57674450360000.0,25476,2425161,0.3685
2017-09-08,HUDCO,EQ,86.35,86.8,87.3,83.7,84.45,84.65,85.33,6156417,52529867920000.0,25190,2182782,0.3546
2017-09-11,HUDCO,EQ,84.65,85.0,86.45,84.65,85.0,85.15,85.48,3748422,32043340064999.996,15425,1245105,0.3322
2017-09-12,HUDCO,EQ,85.15,85.4,86.2,84.75,84.9,84.95,85.25,3231618,27550401995000.0,12609,1353511,0.41880000000000006
2017-09-13,HUDCO,EQ,84.95,85.35,85.35,82.55,83.15,82.95,84.01,2910395,24449873100000.0,12357,1400351,0.48119999999999996
2017-09-14,HUDCO,EQ,82.95,83.5,84.7,82.75,83.25,83.15,83.65,2805037,23463140510000.0,12194,1196029,0.4264
2017-09-15,HUDCO,EQ,83.15,82.7,86.1,82.7,85.9,85.6,84.85,7470209,63385809320000.01,28464,2865681,0.3836
2017-09-18,HUDCO,EQ,85.6,86.9,88.4,86.15,87.7,87.45,87.46,8564963,74905728855000.0,36510,3410149,0.3982
2017-09-19,HUDCO,EQ,87.45,87.7,89.0,86.5,88.25,88.25,87.79,6253915,54901147945000.01,22745,2357481,0.37700000000000006
2017-09-20,HUDCO,EQ,88.25,88.45,91.55,87.45,89.3,89.45,89.75,17213784,154496867005000.0,63079,4582987,0.2662
2017-09-21,HUDCO,EQ,89.45,89.7,92.6,88.6,90.9,90.95,90.8,16368508,148630068610000.0,61190,4263009,0.2604
2017-09-22,HUDCO,EQ,90.95,90.05,90.65,85.3,85.8,85.85,87.92,7831522,68856586365000.0,31483,3544479,0.4526
2017-09-25,HUDCO,EQ,85.85,86.2,86.85,81.6,83.55,83.65,83.74,7148107,59860976665000.0,32275,2472096,0.3458
2017-09-26,HUDCO,EQ,83.65,83.95,85.95,83.0,84.9,84.95,84.72,5364467,45448336930000.0,22943,1675545,0.3123
2017-09-27,HUDCO,EQ,84.95,85.6,86.5,82.55,83.4,83.05,84.57,4037610,34144257200000.0,20502,1441647,0.35710000000000003
2017-09-28,HUDCO,EQ,83.05,83.55,84.15,82.25,83.4,83.4,83.46,2475462,20659238980000.0,11935,913097,0.3689
2017-09-29,HUDCO,EQ,83.4,83.85,84.35,83.0,83.1,83.2,83.8,2860402,23970853555000.0,11858,1156548,0.4043
2017-10-03,HUDCO,EQ,83.2,84.1,84.1,82.6,83.2,82.9,83.41,2106671,17571905069999.998,9477,947501,0.4498
2017-10-04,HUDCO,EQ,82.9,83.2,84.45,82.6,83.75,83.5,83.61,3061571,25596517240000.0,10697,1084845,0.3543
2017-10-05,HUDCO,EQ,83.5,83.7,85.35,83.1,83.75,83.8,84.03,3839963,32266373664999.996,13268,1261277,0.3285
2017-10-06,HUDCO,EQ,83.8,84.0,85.25,83.7,83.85,83.9,84.29,4965655,41854390310000.0,16143,1897314,0.3821
2017-10-09,HUDCO,EQ,83.9,83.4,85.05,83.1,83.25,83.3,84.09,4302355,36176955610000.0,14207,1672370,0.3887
