Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-03-23,IBREALEST,EQ,407.0,408.0,419.0,325.6,325.6,325.6,352.02,18012635,634072285245000.0,,5970297,0.3315
2007-03-26,IBREALEST,EQ,325.6,319.0,328.8,294.0,297.0,297.2,305.05,12865984,392472608585000.0,,3462830,0.2691
2007-03-28,IBREALEST,EQ,297.2,268.35,318.9,242.1,291.0,293.25,285.01,26257544,748372293745000.0,,3281973,0.125
2007-03-29,IBREALEST,EQ,293.25,297.0,322.7,295.15,315.5,310.4,310.41,10581877,328476931810000.0,,1961694,0.18539999999999998
2007-03-30,IBREALEST,EQ,310.4,319.6,323.8,295.0,296.0,298.65,308.25,7183310,221428872269999.97,,1519328,0.2115
2007-04-02,IBREALEST,EQ,298.65,289.0,289.0,266.1,273.8,275.2,277.61,5638648,156536661725000.0,,1280197,0.227
2007-04-03,IBREALEST,EQ,275.2,279.0,287.0,270.0,274.0,272.1,275.39,2960495,81528469810000.0,,344598,0.1164
2007-04-04,IBREALEST,EQ,272.1,279.0,281.8,254.0,256.65,257.7,264.66,5163082,136643978755000.0,,1355645,0.2626
2007-04-05,IBREALEST,EQ,257.7,260.0,277.3,250.25,260.05,261.05,264.84,8905584,235857689619999.97,,2209843,0.2481
2007-04-09,IBREALEST,EQ,261.05,269.9,280.85,267.3,275.5,273.7,273.31,5173002,141381817545000.0,,1713959,0.33130000000000004
2007-04-10,IBREALEST,EQ,273.7,277.25,287.35,272.1,279.3,279.8,281.26,9840919,276781112619999.97,,2846459,0.2892
2007-04-11,IBREALEST,EQ,279.8,280.1,310.0,280.1,295.0,294.85,298.62,10081390,301050363295000.0,,2877577,0.2854
2007-04-12,IBREALEST,EQ,294.85,295.0,302.0,286.3,287.5,287.9,294.12,6847146,201390858735000.0,,1954695,0.28550000000000003
2007-04-13,IBREALEST,EQ,287.9,289.9,301.6,289.9,296.3,294.85,295.18,3285166,96972477190000.0,,1177236,0.3583
2007-04-16,IBREALEST,EQ,294.85,298.95,311.0,298.15,301.95,302.45,304.77,3857582,117569441309999.98,,808885,0.2097
2007-04-17,IBREALEST,EQ,302.45,305.0,306.8,294.65,296.0,296.15,301.11,3217086,96869305650000.0,,893609,0.2778
2007-04-18,IBREALEST,EQ,296.15,309.0,309.0,283.5,284.5,285.25,290.38,2110929,61296300554999.99,,770565,0.365
2007-04-19,IBREALEST,EQ,285.25,280.0,289.25,272.25,288.25,286.3,283.54,2194257,62216456504999.99,,530364,0.24170000000000003
2007-04-20,IBREALEST,EQ,286.3,290.95,306.5,290.95,303.85,303.25,300.64,4993819,150136148340000.0,,1740074,0.34840000000000004
2007-04-23,IBREALEST,EQ,303.25,307.0,315.75,302.1,302.9,303.55,309.44,4664480,144339900605000.0,,1251716,0.2684
2007-04-24,IBREALEST,EQ,303.55,301.0,331.8,301.0,325.5,323.15,321.94,10431131,335819635115000.0,,2608262,0.25
2007-04-25,IBREALEST,EQ,323.15,327.0,360.7,325.15,357.6,355.8,345.31,8589646,296609452165000.0,,2343735,0.2729
2007-04-26,IBREALEST,EQ,355.8,360.0,367.7,331.1,355.25,357.15,350.58,9935572,348320391535000.0,,2202956,0.2217
2007-04-27,IBREALEST,EQ,357.15,353.8,358.45,336.65,339.0,340.8,348.96,4831660,168607523605000.0,,835258,0.1729
2007-04-30,IBREALEST,EQ,340.8,336.9,344.2,332.15,341.6,340.85,338.92,3013587,102135794275000.0,,647339,0.21480000000000002
2007-05-03,IBREALEST,EQ,340.85,346.1,351.7,339.55,342.0,341.85,345.26,2284198,78865132990000.0,,698851,0.306
2007-05-04,IBREALEST,EQ,341.85,344.35,366.6,339.5,358.8,359.35,354.24,6521521,231020224785000.0,,1470049,0.2254
2007-05-07,IBREALEST,EQ,359.35,364.05,379.0,363.55,364.6,365.55,372.2,7634548,284156359640000.0,,1915663,0.2509
2007-05-08,IBREALEST,EQ,365.55,369.7,385.0,348.15,352.0,351.4,368.3,5677427,209098212585000.0,,1432287,0.2523
2007-05-09,IBREALEST,EQ,351.4,355.5,367.0,354.5,362.7,360.1,359.14,4275592,153554473245000.0,,1123784,0.26280000000000003
2007-05-10,IBREALEST,EQ,360.1,369.45,381.95,362.15,365.5,367.35,374.26,7153353,267722819380000.03,,1854392,0.25920000000000004
2007-05-11,IBREALEST,EQ,367.35,342.0,369.9,342.0,368.3,365.0,363.72,2735135,99481779520000.0,,480958,0.17579999999999998
2007-05-14,IBREALEST,EQ,365.0,372.0,393.95,370.1,392.0,390.7,383.07,5509103,211039464170000.0,,1453851,0.2639
2007-05-15,IBREALEST,EQ,390.7,395.9,399.0,385.1,387.5,388.7,391.88,5485151,214950973365000.0,,1249124,0.2277
2007-05-16,IBREALEST,EQ,388.7,385.0,394.8,382.1,390.9,392.05,389.69,3125296,121788268390000.02,,763007,0.2441
2007-05-17,IBREALEST,EQ,392.05,396.45,403.9,386.1,387.45,389.1,395.32,2986744,118071036395000.0,,858073,0.2873
2007-05-18,IBREALEST,EQ,389.1,388.05,389.0,376.2,384.0,384.8,383.32,2560643,98154387105000.0,,625572,0.2443
2007-05-21,IBREALEST,EQ,384.8,386.0,393.5,380.0,387.1,386.85,388.78,1756085,68272227925000.0,,539293,0.30710000000000004
2007-05-22,IBREALEST,EQ,386.85,388.05,391.0,377.35,378.8,379.1,382.08,1369733,52335252080000.0,,488755,0.3568
2007-05-23,IBREALEST,EQ,379.1,382.4,388.9,367.1,369.95,369.15,378.34,2280885,86295826950000.0,,451581,0.198
2007-05-24,IBREALEST,EQ,369.15,370.0,373.8,363.55,369.5,368.0,369.42,1336922,49388852245000.0,,339178,0.25370000000000004
2007-05-25,IBREALEST,EQ,368.0,365.0,370.75,358.0,364.5,364.8,366.51,1189881,43610065960000.0,,209473,0.17600000000000002
2007-05-28,IBREALEST,EQ,364.8,368.45,379.0,367.15,376.8,373.9,373.95,1672495,62543764820000.01,,595593,0.3561
2007-05-29,IBREALEST,EQ,373.9,376.1,389.3,374.7,384.5,384.5,383.46,2497064,95753155770000.0,,636267,0.2548
2007-05-30,IBREALEST,EQ,384.5,383.1,392.5,375.1,378.0,377.75,385.64,2010047,77515855455000.0,,472846,0.2352
2007-05-31,IBREALEST,EQ,377.75,381.0,387.4,378.65,386.1,384.45,383.78,1398635,53676394865000.0,,568163,0.4062
2007-06-01,IBREALEST,EQ,384.45,388.1,420.0,386.1,401.5,402.2,406.31,9227101,374903014590000.0,,2619151,0.2839
2007-06-04,IBREALEST,EQ,402.2,408.0,415.7,395.6,397.7,400.45,405.62,4724622,191640447990000.0,,1212667,0.25670000000000004
2007-06-05,IBREALEST,EQ,400.45,400.0,403.9,387.15,391.8,391.35,395.83,2897778,114702504870000.0,,1058532,0.3653
2007-06-06,IBREALEST,EQ,391.35,392.5,398.5,375.7,376.7,378.1,388.44,2975657,115587211655000.0,,820544,0.2758
2007-06-07,IBREALEST,EQ,378.1,373.8,391.0,372.15,387.55,384.4,383.63,2424055,92994925755000.0,,569827,0.23510000000000003
2007-06-08,IBREALEST,EQ,384.4,380.1,383.0,373.1,375.5,376.35,378.47,2427616,91878223120000.0,,636136,0.262
2007-06-11,IBREALEST,EQ,376.35,384.1,386.0,368.05,369.25,370.2,378.34,2114241,79990950330000.0,,745450,0.35259999999999997
2007-06-12,IBREALEST,EQ,370.2,371.4,371.4,340.0,347.9,347.7,350.75,3284669,115209983900000.0,,911689,0.2776
2007-06-13,IBREALEST,EQ,347.7,350.0,369.9,341.2,350.8,350.55,357.59,4576725,163658978730000.0,,1338314,0.2924
2007-06-14,IBREALEST,EQ,350.55,357.0,364.9,349.55,360.0,358.35,357.01,4624407,165095214550000.0,,1766011,0.38189999999999996
2007-06-15,IBREALEST,EQ,358.35,365.1,386.7,363.6,370.7,368.2,376.96,6068121,228742448465000.0,,2053014,0.3383
2007-06-18,IBREALEST,EQ,368.2,373.7,379.9,370.0,377.75,374.8,375.22,3210853,120476973090000.02,,928378,0.2891
2007-06-19,IBREALEST,EQ,374.8,374.0,389.8,371.0,388.9,387.45,380.62,2389385,90944073545000.0,,798185,0.33409999999999995
2007-06-20,IBREALEST,EQ,387.45,392.3,405.65,385.9,403.55,403.8,397.59,4061034,161463441375000.0,,1525088,0.3755
2007-06-21,IBREALEST,EQ,403.8,408.0,411.05,393.3,402.75,401.3,401.91,2484385,99849054595000.0,,788982,0.31760000000000005
2007-06-22,IBREALEST,EQ,401.3,403.5,411.0,397.5,408.85,408.95,405.17,3734506,151312042380000.0,,1227437,0.3287
2007-06-25,IBREALEST,EQ,408.95,409.0,428.6,405.25,425.35,426.25,420.56,5903199,248266334300000.0,,1812349,0.307
2007-06-26,IBREALEST,EQ,426.25,429.0,440.0,420.05,434.55,436.95,432.71,4967093,214933023490000.0,,1880729,0.3786
2007-06-27,IBREALEST,EQ,436.95,436.95,445.0,420.1,438.4,437.6,434.11,4052564,175926270370000.0,,1326417,0.3273
2007-06-28,IBREALEST,EQ,437.6,442.8,445.0,430.0,432.5,432.65,437.78,2402072,105158061665000.0,,838420,0.349
2007-06-29,IBREALEST,EQ,432.65,435.0,438.0,412.4,416.1,418.3,428.12,4110555,175982307425000.0,,2098245,0.5105
2007-07-02,IBREALEST,EQ,418.3,419.1,431.0,415.3,416.05,417.45,420.53,3586851,150836230930000.0,,1740876,0.4853
2007-07-03,IBREALEST,EQ,417.45,419.0,444.0,419.0,433.0,436.0,434.73,6249654,271689122600000.0,,3166579,0.5067
2007-07-04,IBREALEST,EQ,436.0,437.0,455.75,428.0,454.0,452.0,444.44,6067591,269666971110000.0,,2806322,0.4625
