Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-10-12,ICEMAKE,EQ,55.3,58.05,58.05,58.05,58.05,58.05,58.05,2370,13757850000.0,11,2270,0.9578
2020-10-13,ICEMAKE,EQ,58.05,60.95,60.95,60.95,60.95,60.95,60.95,4350,26513250000.0,53,4250,0.9770000000000001
2020-10-14,ICEMAKE,EQ,60.95,63.95,63.95,63.95,63.95,63.95,63.95,400,2558000000.0,4,400,1.0
2020-10-15,ICEMAKE,EQ,63.95,67.1,67.1,64.6,66.0,66.8,67.05,29488,197719570000.0,157,27682,0.9388
2020-10-16,ICEMAKE,EQ,66.8,69.95,70.1,64.55,69.3,69.75,69.1,55700,384908975000.0,313,41020,0.7364
2020-10-19,ICEMAKE,EQ,69.75,73.2,73.2,69.75,70.35,70.45,71.05,24420,173510355000.0,162,22836,0.9351
2020-10-20,ICEMAKE,EQ,70.45,67.3,70.95,66.95,67.7,67.6,67.92,8401,57057585000.0,109,5121,0.6096
2020-10-21,ICEMAKE,EQ,67.6,69.85,69.85,64.55,65.0,65.3,66.43,7171,47637365000.0,77,6611,0.9218999999999999
2020-10-22,ICEMAKE,EQ,65.3,64.4,66.25,63.5,64.95,64.45,64.44,8923,57502675000.0,73,8525,0.9554
2020-10-23,ICEMAKE,EQ,64.45,67.45,67.65,63.5,67.65,67.65,66.6,11290,75190775000.0,87,9853,0.8727
2020-10-26,ICEMAKE,EQ,67.65,71.0,71.0,65.7,71.0,71.0,69.99,35527,248641404999.99997,169,34242,0.9638
2020-10-27,ICEMAKE,EQ,71.0,74.4,74.55,70.1,74.35,73.65,73.9,26908,198853540000.0,177,20731,0.7704000000000001
2020-10-28,ICEMAKE,EQ,73.65,75.95,77.3,74.3,77.3,77.3,76.87,30834,237005665000.0,175,26727,0.8668000000000001
2020-10-29,ICEMAKE,EQ,77.3,79.9,81.15,78.5,81.15,81.15,80.59,51443,414604625000.0,352,43186,0.8395
2020-10-30,ICEMAKE,EQ,81.15,83.9,84.4,78.15,81.1,81.7,82.61,33407,275962870000.0,312,28845,0.8634000000000001
2020-11-02,ICEMAKE,EQ,81.7,83.35,83.35,77.65,78.6,79.0,79.25,19417,153885060000.0,189,14738,0.7590000000000001
2020-11-03,ICEMAKE,EQ,79.0,80.9,82.0,78.0,80.4,79.7,80.33,12304,98841275000.0,104,7256,0.5897
2020-11-04,ICEMAKE,EQ,79.7,81.0,82.5,76.9,79.9,77.55,79.0,17638,139348415000.0,114,12116,0.6869
2020-11-05,ICEMAKE,EQ,77.55,80.0,80.6,73.7,78.0,76.55,77.13,24776,191105465000.0,183,12674,0.5115
2020-11-06,ICEMAKE,EQ,76.55,77.5,77.8,73.0,74.5,73.45,74.35,11379,84597190000.0,131,9622,0.8456
2020-11-09,ICEMAKE,EQ,73.45,74.9,76.5,69.8,70.0,70.45,73.19,27595,201963680000.0,225,23787,0.8620000000000001
2020-11-10,ICEMAKE,EQ,70.45,73.2,73.2,67.5,68.0,68.25,69.77,15304,106771600000.0,133,11279,0.737
2020-11-11,ICEMAKE,EQ,68.25,68.0,69.85,64.85,66.7,65.5,66.42,15927,105780664999.99998,132,13355,0.8384999999999999
2020-11-12,ICEMAKE,EQ,65.5,66.4,68.75,65.7,68.75,68.75,68.04,12555,85421835000.0,62,9545,0.7603
2020-11-13,ICEMAKE,EQ,68.75,72.1,72.1,67.05,72.05,71.9,71.61,9961,71334910000.0,157,7914,0.7945000000000001
2020-11-14,ICEMAKE,EQ,71.9,74.95,75.45,74.95,75.45,75.45,75.39,8391,63256105000.00001,70,8391,1.0
2020-11-17,ICEMAKE,EQ,75.45,79.2,79.2,79.2,79.2,79.2,79.2,9775,77418000000.0,52,9480,0.9698000000000001
2020-11-18,ICEMAKE,EQ,79.2,83.15,83.15,83.15,83.15,83.15,83.15,6040,50222600000.0,53,6040,1.0
2020-11-19,ICEMAKE,EQ,83.15,87.3,87.3,79.05,87.0,87.2,86.26,97681,842606105000.0001,871,68904,0.7054
2020-11-20,ICEMAKE,EQ,87.2,88.95,89.0,83.7,86.0,85.5,85.95,20487,176092550000.0,387,14028,0.6847
2020-11-23,ICEMAKE,EQ,85.5,88.85,88.85,81.25,82.6,81.75,83.21,29539,245783310000.0,357,21738,0.7359
2020-11-24,ICEMAKE,EQ,81.75,80.5,85.5,78.55,80.0,80.05,80.94,22335,180771285000.0,412,15935,0.7134999999999999
2020-11-25,ICEMAKE,EQ,80.05,80.55,83.0,79.7,79.95,80.8,81.23,15379,124930320000.0,250,11001,0.7153
2020-11-26,ICEMAKE,EQ,80.8,82.9,83.0,80.8,83.0,82.8,82.17,7629,62683850000.0,163,5756,0.7545000000000001
2020-11-27,ICEMAKE,EQ,82.8,84.95,86.9,84.0,86.1,86.45,86.01,30427,261691245000.00003,374,25735,0.8458
2020-12-01,ICEMAKE,EQ,86.45,89.95,89.95,87.55,89.0,88.8,88.87,40749,362154755000.0,489,30499,0.7484999999999999
2020-12-02,ICEMAKE,EQ,88.8,90.0,91.0,86.2,89.35,89.05,88.75,19515,173201475000.0,314,11020,0.5647
2020-12-03,ICEMAKE,EQ,89.05,89.35,93.5,86.4,93.5,93.5,91.82,32292,296506610000.0,310,27286,0.845
2020-12-04,ICEMAKE,EQ,93.5,98.15,98.15,95.65,98.15,98.15,98.09,54167,531302020000.0,313,50173,0.9263
2020-12-07,ICEMAKE,EQ,98.15,103.05,103.05,99.95,103.05,102.8,102.36,64184,656987655000.0,655,52505,0.818
2020-12-08,ICEMAKE,EQ,102.8,107.9,107.9,105.15,107.9,107.9,107.6,50896,547650970000.0,395,46909,0.9217000000000001
2020-12-09,ICEMAKE,EQ,107.9,113.25,113.25,111.0,113.25,113.25,113.13,42862,484893575000.0,330,41396,0.9658
2020-12-10,ICEMAKE,EQ,113.25,118.9,118.9,107.6,112.85,113.1,112.79,104273,1176069885000.0,1264,58343,0.5595
2020-12-11,ICEMAKE,EQ,113.1,110.05,115.0,107.45,107.45,107.45,110.68,67521,747331435000.0,767,46881,0.6943
2020-12-14,ICEMAKE,EQ,107.45,106.0,109.9,102.1,105.0,106.85,104.49,94657,989027960000.0,957,69167,0.7306999999999999
2020-12-15,ICEMAKE,EQ,106.85,112.15,112.15,109.05,112.15,112.15,111.83,60918,681225045000.0,697,48278,0.7925
2020-12-16,ICEMAKE,EQ,112.15,117.55,117.7,115.0,115.8,115.45,116.55,67117,782241960000.0,867,53229,0.7931
2020-12-17,ICEMAKE,EQ,115.45,110.35,115.0,110.05,111.0,111.45,112.64,29726,334843710000.0,538,19573,0.6584000000000001
2020-12-18,ICEMAKE,EQ,111.45,108.5,117.0,108.5,115.95,114.5,113.56,54195,615450915000.0,720,38051,0.7021
2020-12-21,ICEMAKE,EQ,114.5,117.0,120.2,108.8,108.8,109.15,114.21,79317,905854375000.0,1195,47823,0.6029
2020-12-22,ICEMAKE,EQ,109.15,104.3,109.7,103.7,104.0,104.75,104.26,55005,573461550000.0,398,46575,0.8467
2020-12-23,ICEMAKE,EQ,104.75,103.05,108.5,103.05,105.1,104.65,105.47,21345,225125129999.99997,435,13811,0.647
2020-12-24,ICEMAKE,EQ,104.65,101.15,107.95,101.15,102.6,103.75,105.46,35445,373798110000.0,587,25211,0.7112999999999999
2020-12-28,ICEMAKE,EQ,103.75,105.85,105.9,99.1,101.0,101.4,103.06,28649,295242525000.0,545,16490,0.5756
2020-12-29,ICEMAKE,EQ,101.4,102.25,102.25,96.35,100.9,100.35,98.6,55249,544777425000.0,1048,32231,0.5834
2020-12-30,ICEMAKE,EQ,100.35,102.7,105.35,98.05,105.35,105.2,103.54,53815,557211405000.0,557,36047,0.6698000000000001
