Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-07-11,LOWVOLIWIN,EQ,73.96,74.72,75.16,74.72,75.16,75.16,74.76,599,4478016000.0,2,547,0.9131999999999999
2017-07-12,LOWVOLIWIN,EQ,75.16,74.99,74.99,74.99,74.99,74.99,74.99,66,494934000.0,1,66,1.0
2017-07-14,LOWVOLIWIN,EQ,74.99,75.4,75.4,75.4,75.4,75.4,75.4,2,15080000.000000002,2,2,1.0
2017-07-17,LOWVOLIWIN,EQ,75.4,75.68,75.68,75.68,75.68,75.68,75.68,1,7568000.000000001,1,1,1.0
2017-07-21,LOWVOLIWIN,EQ,75.68,75.99,76.04,75.99,76.04,76.04,76.04,10,76035000.0,4,10,1.0
2017-07-27,LOWVOLIWIN,EQ,76.04,76.47,76.47,76.47,76.47,76.47,76.47,52,397644000.0,1,52,1.0
2017-08-07,LOWVOLIWIN,EQ,76.47,92.21,92.21,77.0,77.22,77.22,83.42,22,183517000.0,7,9,0.40909999999999996
2017-08-08,LOWVOLIWIN,EQ,77.22,76.77,76.77,76.77,76.77,76.77,76.77,1,7677000.0,1,1,1.0
2018-09-11,ICICILOVOL,EQ,90.83,92.0,96.5,89.79,89.79,89.79,90.76,1610,14611766000.0,25,1448,0.8994
2018-09-12,ICICILOVOL,EQ,89.79,89.79,90.14,89.4,90.14,90.14,89.72,226,2027675999.9999998,11,151,0.6681
2018-09-14,ICICILOVOL,EQ,90.14,91.04,91.32,91.04,91.32,91.32,91.05,217,1975708000.0000002,8,217,1.0
2018-09-17,ICICILOVOL,EQ,91.32,90.99,91.03,90.59,90.83,90.83,90.89,873,7935027000.0,27,649,0.7434000000000001
2018-09-18,ICICILOVOL,EQ,90.83,91.02,91.02,90.26,90.26,90.26,90.58,15267,138290422000.0,15,14988,0.9817
2018-09-19,ICICILOVOL,EQ,90.26,90.54,90.62,89.75,89.88,89.88,90.18,1664,15005492000.000002,15,1664,1.0
2018-09-21,ICICILOVOL,EQ,89.88,90.47,90.47,87.49,89.19,89.19,88.97,1496,13310246000.0,31,1485,0.9926
2018-09-24,ICICILOVOL,EQ,89.19,89.19,89.19,87.6,87.6,87.6,88.36,8429,74480983000.0,36,8371,0.9931000000000001
2018-09-25,ICICILOVOL,EQ,87.6,87.55,88.83,87.5,88.83,88.83,87.99,564,4962586000.0,29,564,1.0
2018-09-26,ICICILOVOL,EQ,88.83,88.7,88.7,88.0,88.0,88.0,88.4,292,2581308000.0,13,292,1.0
2018-09-27,ICICILOVOL,EQ,88.0,88.43,88.43,87.95,88.03,88.03,88.05,638,5617282000.0,13,638,1.0
2018-09-28,ICICILOVOL,EQ,88.03,88.05,88.14,87.0,87.42,87.28,87.34,1228,10725266000.0,27,1085,0.8836
