Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-11-18,ICRA,EQ,887.35,909.9,971.9,875.0,878.0,879.6,883.44,947,83661600000.0,244,612,0.6463
2011-11-21,ICRA,EQ,879.6,880.0,901.9,872.5,872.5,875.95,884.39,2093,185103185000.0,193,1580,0.7549
2011-11-22,ICRA,EQ,875.95,885.05,888.85,872.5,878.05,874.75,876.24,987,86485060000.0,160,705,0.7143
2011-11-23,ICRA,EQ,874.75,870.0,882.0,870.0,870.1,872.4,871.55,1063,92645960000.0,104,895,0.8420000000000001
2011-11-24,ICRA,EQ,872.4,884.0,886.0,866.3,880.45,884.45,878.08,1679,147430010000.0,244,1220,0.7266
2011-11-25,ICRA,EQ,884.45,880.0,887.0,871.7,887.0,882.7,881.69,364,32093415000.000004,58,281,0.772
2011-11-28,ICRA,EQ,882.7,894.0,898.5,890.0,895.0,894.9,895.41,406,36353690000.0,42,343,0.8448000000000001
2011-11-29,ICRA,EQ,894.9,894.9,896.0,880.0,880.0,884.85,893.12,638,56981025000.0,102,467,0.7320000000000001
2011-11-30,ICRA,EQ,884.85,875.4,991.0,875.0,970.0,946.4,941.26,3337,314098500000.0,343,2453,0.7351000000000001
2011-12-01,ICRA,EQ,946.4,942.4,942.4,901.0,907.0,910.05,917.13,2647,242764860000.0,372,1354,0.5115
2011-12-02,ICRA,EQ,910.05,885.4,902.0,870.15,895.0,894.7,895.54,6786,607711340000.0,326,6079,0.8958
2011-12-05,ICRA,EQ,894.7,880.9,955.95,880.9,921.05,932.75,928.38,2988,277399815000.0,297,2128,0.7122
2011-12-07,ICRA,EQ,932.75,918.9,930.0,912.9,920.0,920.15,923.2,1966,181501100000.0,424,1347,0.6851
2011-12-08,ICRA,EQ,920.15,904.0,930.0,903.05,911.0,916.7,919.32,1233,113352639999.99998,131,837,0.6788
2011-12-09,ICRA,EQ,916.7,901.9,916.0,901.9,915.0,913.3,909.28,647,58830330000.00001,134,411,0.6352000000000001
2011-12-12,ICRA,EQ,913.3,901.0,905.9,874.0,880.0,884.75,890.32,2798,249110765000.0,194,2238,0.7998999999999999
2011-12-13,ICRA,EQ,884.75,876.1,898.0,868.0,868.0,871.2,880.44,1381,121589055000.0,326,974,0.7053
2011-12-14,ICRA,EQ,871.2,880.0,906.3,871.25,899.0,895.6,888.91,1601,142314295000.0,211,1126,0.7033
2011-12-15,ICRA,EQ,895.6,876.5,899.0,861.2,889.0,880.75,877.15,1520,133326135000.00002,213,901,0.5928
2011-12-16,ICRA,EQ,880.75,880.0,892.85,872.5,875.0,885.95,885.0,658,58233250000.0,109,323,0.49090000000000006
2011-12-19,ICRA,EQ,885.95,863.25,878.0,853.0,865.0,858.1,859.1,1286,110480455000.0,182,746,0.5801
2011-12-20,ICRA,EQ,858.1,888.0,888.0,828.05,835.0,835.2,847.51,57174,4845534040000.0,355,56073,0.9806999999999999
2011-12-21,ICRA,EQ,835.2,850.0,850.0,821.0,830.0,839.75,839.39,6650,558192445000.0,268,5988,0.9005
2011-12-22,ICRA,EQ,839.75,830.0,837.65,829.3,835.0,835.2,834.93,2525,210819085000.0,137,2161,0.8558
2011-12-23,ICRA,EQ,835.2,844.9,845.0,822.55,822.55,826.2,831.24,8597,714615935000.0,560,7723,0.8983
2011-12-26,ICRA,EQ,826.2,821.0,835.45,821.0,824.05,824.45,830.6,4610,382907885000.0,476,4017,0.8714000000000001
2011-12-27,ICRA,EQ,824.45,824.85,824.85,802.35,810.0,808.35,809.47,9619,778628100000.0,670,7891,0.8204000000000001
2011-12-28,ICRA,EQ,808.35,800.0,812.0,800.0,807.9,804.15,807.78,2985,241121765000.0,325,2333,0.7816
2011-12-29,ICRA,EQ,804.15,801.6,809.95,800.85,809.95,803.4,804.33,2421,194728920000.0,119,2278,0.9409000000000001
2011-12-30,ICRA,EQ,803.4,809.4,809.9,800.85,801.0,801.9,803.5,1134,91116930000.0,105,767,0.6764
2012-01-02,ICRA,EQ,801.9,805.0,855.0,801.0,840.05,844.75,830.84,1428,118644355000.0,274,782,0.5476
2012-01-03,ICRA,EQ,844.75,831.9,848.0,830.0,836.0,842.15,838.96,1065,89349620000.0,104,441,0.41409999999999997
2012-01-04,ICRA,EQ,842.15,840.7,843.0,828.0,832.2,830.6,837.86,1879,157434825000.0,64,1809,0.9627
2012-01-05,ICRA,EQ,830.6,822.0,838.4,803.25,808.0,814.8,829.26,1155,95779400000.0,122,900,0.7792
2012-01-06,ICRA,EQ,814.8,815.0,819.55,798.0,802.0,800.45,806.63,25414,2049977395000.0,369,24845,0.9776
2012-01-07,ICRA,EQ,800.45,800.0,844.95,800.0,844.95,834.3,820.24,880,72181185000.0,95,521,0.5920000000000001
2012-01-09,ICRA,EQ,834.3,832.0,832.0,801.5,805.0,804.65,809.7,3714,300723160000.0,237,2355,0.6341
2012-01-10,ICRA,EQ,804.65,804.0,819.0,793.0,798.0,804.35,800.91,371418,29747217339999.996,6035,334733,0.9012000000000001
2012-01-11,ICRA,EQ,804.35,808.9,830.4,801.0,803.2,808.05,815.37,35813,2920087090000.0,2142,19258,0.5377000000000001
2012-01-12,ICRA,EQ,808.05,812.0,845.4,812.0,835.0,838.5,833.14,19520,1626280360000.0,1548,11738,0.6013000000000001
2012-01-13,ICRA,EQ,838.5,840.0,844.9,830.0,837.5,835.1,841.61,5556,467598975000.0,859,4211,0.7579000000000001
2012-01-16,ICRA,EQ,835.1,826.9,848.25,826.9,847.5,846.2,842.96,13217,1114133725000.0,685,10546,0.7979
2012-01-17,ICRA,EQ,846.2,850.0,860.0,833.1,843.85,843.0,845.43,5285,446809430000.0,289,3833,0.7253000000000001
2012-01-18,ICRA,EQ,843.0,849.8,867.4,840.0,866.0,856.6,851.95,12041,1025835385000.0,606,6571,0.5457
2012-01-19,ICRA,EQ,856.6,851.95,877.0,851.95,868.0,872.95,868.17,3525,306028670000.0,323,1746,0.4953
2012-01-20,ICRA,EQ,872.95,875.0,898.75,865.0,885.0,887.85,879.72,13997,1231347115000.0,657,10079,0.7201000000000001
2012-01-23,ICRA,EQ,887.85,870.0,910.0,870.0,905.0,903.2,898.52,14469,1300068750000.0,669,7382,0.5102
2012-01-24,ICRA,EQ,903.2,903.0,928.0,895.1,904.2,900.55,915.87,10903,998574444999.9999,1006,4168,0.3823
2012-01-25,ICRA,EQ,900.55,897.0,919.0,897.0,905.0,907.5,907.74,3374,306270290000.0,272,2604,0.7718
2012-01-27,ICRA,EQ,907.5,908.1,947.0,905.15,935.2,939.65,926.11,12885,1193298765000.0,646,10384,0.8059000000000001
2012-01-30,ICRA,EQ,939.65,949.75,957.0,930.0,934.0,938.1,942.88,21710,2046992805000.0,1304,16450,0.7576999999999999
2012-01-31,ICRA,EQ,938.1,938.55,947.0,937.0,937.0,945.0,944.29,4632,437394009999.99994,217,3536,0.7634000000000001
2012-02-01,ICRA,EQ,945.0,935.9,940.0,931.3,932.35,936.5,938.07,6324,593237600000.0,512,5337,0.8439
2012-02-02,ICRA,EQ,936.5,933.0,960.0,933.0,948.0,948.7,949.18,11005,1044572569999.9999,349,7341,0.6670999999999999
2012-02-03,ICRA,EQ,948.7,950.1,1022.0,945.0,1003.5,1002.55,979.66,34577,3387370950000.0,2942,18286,0.5288
2012-02-06,ICRA,EQ,1002.55,1001.95,1001.95,941.5,950.0,950.7,955.62,30709,2934600775000.0,1621,19052,0.6204
2012-02-07,ICRA,EQ,950.7,959.9,980.0,925.0,941.45,941.75,952.37,31908,3038829665000.0,2279,16583,0.5197
2012-02-08,ICRA,EQ,941.75,959.9,979.0,952.0,960.0,960.55,965.0,18241,1760253880000.0,1454,11250,0.6167
2012-02-09,ICRA,EQ,960.55,962.0,997.0,951.0,980.0,984.75,978.02,24606,2406519720000.0,1036,17738,0.7209000000000001
2012-02-10,ICRA,EQ,984.75,997.4,1075.0,992.4,1004.95,1005.0,1017.21,81966,8337662025000.0,2852,65898,0.804
2012-02-13,ICRA,EQ,1005.0,1002.0,1025.0,1000.5,1005.2,1005.8,1012.71,7537,763282150000.0,414,5572,0.7393000000000001
2012-02-14,ICRA,EQ,1005.8,1005.0,1044.0,1000.1,1029.95,1026.6,1025.89,6706,687961180000.0,700,3532,0.5267000000000001
2012-02-15,ICRA,EQ,1026.6,1030.0,1074.7,1024.5,1063.0,1064.65,1037.3,139988,14520999794999.998,1457,134043,0.9575
2012-02-16,ICRA,EQ,1064.65,1065.0,1065.0,1035.0,1061.0,1058.5,1054.91,3962,417953510000.0,344,2301,0.5808
2012-02-17,ICRA,EQ,1058.5,1052.0,1080.0,1037.0,1059.0,1057.15,1051.6,14200,1493264965000.0,768,11267,0.7935
2012-02-21,ICRA,EQ,1057.15,1055.0,1115.0,1054.05,1073.1,1067.75,1083.3,13987,1515206430000.0,1055,9334,0.6673
2012-02-22,ICRA,EQ,1067.75,1095.0,1099.9,1070.0,1072.95,1070.35,1073.47,11809,1267660275000.0,570,10040,0.8502
2012-02-23,ICRA,EQ,1070.35,1060.1,1092.0,1060.0,1077.5,1071.85,1069.92,13082,1399667235000.0,1705,9704,0.7418000000000001
