Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-11-10,IDFC,EQ,79.05,79.0,82.25,78.55,80.6,80.7,80.8,3480112,28119863914999.996,,1150022,0.33049999999999996
2006-11-13,IDFC,EQ,80.7,71.0,83.2,71.0,80.25,80.25,80.72,2966561,23944753460000.0,,1410636,0.4755
2006-11-14,IDFC,EQ,80.25,80.9,80.9,73.0,79.25,79.4,79.4,1395607,11080597245000.0,,504394,0.3614
2006-11-15,IDFC,EQ,79.4,79.4,79.9,77.8,78.75,78.65,78.66,1873593,14738139530000.002,,1013189,0.5408
2006-11-16,IDFC,EQ,78.65,79.45,79.8,78.2,78.55,78.65,78.73,2404499,18930014245000.0,,1337619,0.5563
2006-11-17,IDFC,EQ,78.65,79.5,79.8,76.75,76.95,77.1,77.92,2163229,16855254119999.998,,1448898,0.6698000000000001
2006-11-20,IDFC,EQ,77.1,75.15,79.0,74.35,78.45,78.55,76.74,4265031,32728042539999.996,,2509581,0.5884
2006-11-21,IDFC,EQ,78.55,78.55,79.8,78.1,78.75,78.8,78.96,2533232,20002386040000.0,,1258418,0.4968
2006-11-22,IDFC,EQ,78.8,79.25,79.25,77.7,77.7,77.95,78.28,702567,5499924075000.0,,391012,0.5565
2006-11-23,IDFC,EQ,77.95,78.9,81.3,76.9,79.5,79.75,79.94,5128656,40996859940000.0,,2134530,0.41619999999999996
2006-11-24,IDFC,EQ,79.75,80.85,81.6,79.3,80.8,80.4,80.86,1637429,13241024705000.0,,581127,0.35490000000000005
2006-11-27,IDFC,EQ,80.4,81.1,82.4,80.65,80.9,81.1,81.65,2278883,18606947815000.0,,679928,0.2984
2006-11-28,IDFC,EQ,81.1,80.5,80.75,78.25,79.95,79.8,78.74,14611054,115044550695000.0,,13704313,0.9379000000000001
2006-11-29,IDFC,EQ,79.8,80.5,80.95,78.5,78.75,78.7,80.13,1753929,14054055585000.0,,1275067,0.7270000000000001
2006-11-30,IDFC,EQ,78.7,78.65,80.6,77.75,78.1,78.25,78.78,7732492,60916592225000.0,,6971874,0.9016
2006-12-01,IDFC,EQ,78.25,80.15,80.6,78.25,79.8,79.8,79.72,1415305,11283490215000.0,,833615,0.589
2006-12-04,IDFC,EQ,79.8,80.4,82.0,78.8,81.8,81.65,80.83,2518625,20358146060000.0,,1416949,0.5626
2006-12-05,IDFC,EQ,81.65,82.0,82.8,80.15,80.85,80.7,81.38,1366904,11124475490000.0,,619044,0.4529
2006-12-06,IDFC,EQ,80.7,81.0,81.65,79.1,79.25,79.3,80.09,994995,7968454745000.0,,326770,0.3284
2006-12-07,IDFC,EQ,79.3,80.0,80.0,78.5,78.5,78.7,78.89,1052905,8306575620000.0,,636216,0.6042000000000001
2006-12-08,IDFC,EQ,78.7,78.7,79.4,77.5,77.95,78.25,78.89,1353047,10674451085000.0,,794953,0.5875
2006-12-11,IDFC,EQ,78.25,78.0,78.0,73.6,73.8,75.05,76.17,2111823,16086173294999.998,,1405738,0.6657
2006-12-12,IDFC,EQ,75.05,74.8,75.25,67.0,69.75,69.45,71.45,2081535,14871535769999.998,,1040368,0.49979999999999997
2006-12-13,IDFC,EQ,69.45,69.0,72.3,69.0,72.3,71.3,70.86,2466818,17479888344999.998,,1672297,0.6779000000000001
2006-12-14,IDFC,EQ,71.3,73.0,74.05,71.3,72.6,72.95,73.07,1129561,8253482665000.001,,705024,0.6242
2006-12-15,IDFC,EQ,72.95,73.85,76.3,73.2,75.4,75.35,74.83,1940892,14522988340000.0,,1065978,0.5492
2006-12-18,IDFC,EQ,75.35,75.95,76.25,72.05,74.25,74.05,73.65,640990,4720859750000.0,,269079,0.41979999999999995
2006-12-19,IDFC,EQ,74.05,74.05,74.2,71.5,71.5,72.35,72.6,826144,5997456715000.0,,381766,0.4621
2006-12-20,IDFC,EQ,72.35,73.25,74.2,70.85,70.85,71.1,71.89,576628,4145527895000.0005,,253009,0.4388
