Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-29,IEX,EQ,186.1,189.0,189.0,181.75,183.95,183.1,183.96,499585,9190540460000.0,20252,337173,0.6748999999999999
2020-06-30,IEX,EQ,183.1,185.1,185.65,177.0,179.05,179.75,181.51,435515,7905106555000.0,18841,294983,0.6773
2020-07-01,IEX,EQ,179.75,180.75,190.0,178.2,180.5,179.85,182.91,1147608,20990755635000.0,34932,516046,0.4497
2020-07-02,IEX,EQ,179.85,181.85,185.5,181.75,183.5,183.85,183.47,246027,4513949180000.0,7176,142928,0.5809000000000001
2020-07-03,IEX,EQ,183.85,183.9,190.0,183.85,187.9,187.85,187.79,516400,9697361715000.0,12084,259348,0.5022
2020-07-06,IEX,EQ,187.85,190.0,195.6,189.9,191.0,190.95,192.7,660109,12720201665000.0,16001,287992,0.4363
2020-07-07,IEX,EQ,190.95,191.8,192.5,184.5,187.9,188.6,188.6,526503,9930084230000.0,6958,340129,0.6459999999999999
2020-07-08,IEX,EQ,188.6,189.9,191.9,186.1,189.0,187.45,189.86,415850,7895290725000.0,17016,237805,0.5719
2020-07-09,IEX,EQ,187.45,188.95,191.0,184.3,186.85,186.25,186.61,357767,6676180010000.0,11743,160476,0.4485
2020-07-10,IEX,EQ,186.25,185.7,188.1,184.55,185.35,185.3,186.45,333665,6221126850000.0,25145,175323,0.5254
2020-07-13,IEX,EQ,185.3,185.0,188.0,182.9,185.9,185.85,186.08,403492,7508081180000.0,12880,250248,0.6202000000000001
2020-07-14,IEX,EQ,185.85,186.3,197.7,185.4,187.75,187.95,190.32,882866,16803034990000.0,37846,380243,0.4307
2020-07-15,IEX,EQ,187.95,189.9,193.25,185.5,187.0,187.6,190.83,912187,17407046044999.998,44360,484568,0.5312
2020-07-16,IEX,EQ,187.6,188.45,190.0,184.3,186.15,185.5,187.67,477546,8961869505000.0,25145,243215,0.5093
2020-07-17,IEX,EQ,185.5,186.4,188.7,184.3,186.0,186.45,187.52,434379,8145506570000.0,20510,223899,0.5154
2020-07-20,IEX,EQ,186.45,187.45,187.75,175.15,176.2,175.8,178.04,1420483,25289902070000.0,27258,890936,0.6272
2020-07-21,IEX,EQ,175.8,175.3,178.2,171.05,172.8,172.9,173.47,1084149,18806729985000.0,22369,619248,0.5712
2020-07-22,IEX,EQ,172.9,172.0,176.0,170.25,175.0,174.5,173.93,656389,11416437830000.0,22024,364501,0.5553
