Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-12-26,IFGLEXPOR,EQ,316.1,320.05,323.7,305.0,305.0,308.05,313.74,81171,2546692590000.0,332,8458,0.1042
2017-12-27,IFGLEXPOR,EQ,308.05,308.0,320.0,308.0,312.0,309.25,311.7,9839,306685855000.0,247,6765,0.6876000000000001
2017-12-28,IFGLEXPOR,EQ,309.25,309.25,319.0,306.0,315.0,315.0,311.51,59463,1852320339999.9998,798,41365,0.6956
2017-12-29,IFGLEXPOR,EQ,315.0,315.0,327.0,307.9,324.0,321.25,318.66,24790,789962320000.0,315,19496,0.7864
2018-01-01,IFGLEXPOR,EQ,321.25,321.25,327.5,321.0,322.0,321.7,324.73,3675,119340050000.0,109,3063,0.8334999999999999
2018-01-02,IFGLEXPOR,EQ,321.7,321.7,321.75,305.7,312.9,312.1,311.21,13220,411415805000.0,318,9601,0.7262000000000001
2018-01-03,IFGLEXPOR,EQ,312.1,312.1,319.9,308.5,311.0,311.1,313.64,5021,157476820000.0,190,3858,0.7684000000000001
2018-01-04,IFGLEXPOR,EQ,311.1,311.0,320.0,308.5,310.0,310.05,310.03,14643,453979395000.0,223,10427,0.7121
2018-01-05,IFGLEXPOR,EQ,310.05,310.0,330.0,310.0,326.95,326.0,321.49,23190,745525860000.0,653,18777,0.8097
2018-01-08,IFGLEXPOR,EQ,326.0,324.95,330.0,316.2,325.0,324.9,326.05,10316,336349715000.0,140,6958,0.6745
2018-01-09,IFGLEXPOR,EQ,324.9,322.05,338.9,322.0,335.0,335.95,330.79,69814,2309358765000.0,536,35563,0.5094
2018-01-10,IFGLEXPOR,EQ,335.95,338.9,366.0,333.0,348.25,349.15,353.19,60752,2145726289999.9998,1080,37392,0.6154999999999999
2018-01-11,IFGLEXPOR,EQ,349.15,350.0,374.4,350.0,363.0,362.5,363.13,35144,1276176570000.0,1141,23267,0.662
2018-01-12,IFGLEXPOR,EQ,362.5,369.9,369.9,339.5,348.5,348.3,354.28,20962,742652035000.0,575,15103,0.7205
2018-01-15,IFGLEXPOR,EQ,348.3,342.0,348.3,338.5,339.95,340.05,340.59,47671,1623640350000.0,1342,45534,0.9551999999999999
2018-01-16,IFGLEXPOR,EQ,340.05,340.05,345.0,317.2,324.9,323.2,324.57,29576,959956335000.0,633,16764,0.5668
2018-01-17,IFGLEXPOR,EQ,323.2,315.0,328.0,315.0,325.0,324.8,322.31,24607,793105065000.0,337,18475,0.7508
2018-01-18,IFGLEXPOR,EQ,324.8,324.75,337.0,311.0,315.0,313.1,319.23,11815,377168760000.0,300,10348,0.8758
2018-01-19,IFGLEXPOR,EQ,313.1,313.0,323.0,310.65,319.0,317.85,317.92,8080,256879729999.99997,375,4202,0.52
2018-01-22,IFGLEXPOR,EQ,317.85,310.45,325.0,310.45,313.0,313.5,312.87,12610,394533935000.0,274,9991,0.7923
2018-01-23,IFGLEXPOR,EQ,313.5,313.45,325.0,313.45,319.0,319.5,317.29,9229,292825150000.0,276,6267,0.6790999999999999
2018-01-24,IFGLEXPOR,EQ,319.5,315.0,316.75,311.85,313.0,313.0,313.69,11176,350583350000.0,298,8449,0.756
2018-01-25,IFGLEXPOR,EQ,313.0,312.15,317.0,303.0,304.0,304.8,308.34,21634,667061020000.0,442,15534,0.718
2018-01-29,IFGLEXPOR,EQ,304.8,305.0,310.1,292.0,295.0,295.8,299.51,19523,584739860000.0,417,15495,0.7937000000000001
2018-01-30,IFGLEXPOR,EQ,295.8,296.0,301.5,286.0,288.0,289.7,294.06,30437,895026535000.0,477,18115,0.5952000000000001
2018-01-31,IFGLEXPOR,EQ,289.7,297.0,297.0,280.05,283.85,282.65,283.85,51429,1459791585000.0,380,44641,0.868
2018-02-01,IFGLEXPOR,EQ,282.65,286.0,293.5,283.0,286.9,285.95,288.15,6677,192395205000.0,205,4720,0.7069
2018-02-02,IFGLEXPOR,EQ,285.95,293.4,293.4,272.7,285.0,282.85,282.2,10993,310225890000.0,332,7398,0.6729999999999999
2018-02-05,IFGLEXPOR,EQ,282.85,263.25,283.6,263.0,283.5,282.55,275.53,7453,205355795000.0,323,4589,0.6157
2018-02-06,IFGLEXPOR,EQ,282.55,278.65,286.0,263.25,274.0,280.75,273.11,4162,113667100000.0,161,3148,0.7564000000000001
2018-02-07,IFGLEXPOR,EQ,280.75,287.45,294.0,283.0,290.0,289.85,289.02,6442,186185330000.0,188,5720,0.8879000000000001
2018-02-08,IFGLEXPOR,EQ,289.85,295.85,304.7,290.25,299.75,298.55,296.26,3555,105320725000.0,170,2732,0.7685
