Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-06-14,IL&FSTRANS,EQ,281.95,282.6,283.0,277.0,280.15,282.0,279.66,96288,2692746680000.0,,81023,0.8415
2010-06-15,IL&FSTRANS,EQ,282.0,278.6,282.0,278.6,281.0,280.55,281.04,32400,910571750000.0,,24908,0.7687999999999999
2010-06-16,IL&FSTRANS,EQ,280.55,281.75,284.5,279.35,281.2,281.0,281.11,21776,612148120000.0,,11587,0.5321
2010-06-17,IL&FSTRANS,EQ,281.0,281.1,281.95,280.0,280.6,280.55,280.5,16699,468406690000.00006,,12127,0.7262000000000001
2010-06-18,IL&FSTRANS,EQ,280.55,281.75,292.5,280.0,286.0,285.7,286.76,151616,4347696140000.0,,77155,0.5089
2010-06-21,IL&FSTRANS,EQ,285.7,287.45,291.9,285.0,289.0,288.85,289.59,129356,3746074065000.0,,94838,0.7332
2010-06-22,IL&FSTRANS,EQ,288.85,287.0,288.8,285.5,286.55,287.15,287.53,40941,1177173390000.0,,27295,0.6667000000000001
2010-06-23,IL&FSTRANS,EQ,287.15,285.0,291.0,284.4,289.05,289.1,289.41,63720,1844108195000.0,,42054,0.66
2010-06-24,IL&FSTRANS,EQ,289.1,289.95,291.7,285.0,286.4,286.5,288.65,29292,845527255000.0001,,12907,0.44060000000000005
2010-06-25,IL&FSTRANS,EQ,286.5,286.0,288.4,283.05,283.25,283.95,285.71,16627,475055450000.0,,10608,0.638
2010-06-28,IL&FSTRANS,EQ,283.95,285.0,285.6,281.6,284.0,284.0,283.85,51793,1470131865000.0,,34317,0.6626000000000001
2010-06-29,IL&FSTRANS,EQ,284.0,291.0,299.0,283.5,287.5,287.6,290.33,267640,7770413909999.999,,109746,0.41009999999999996
2010-06-30,IL&FSTRANS,EQ,287.6,284.1,288.9,284.1,286.0,286.5,286.21,21536,616387380000.0,,11921,0.5535
2010-07-01,IL&FSTRANS,EQ,286.5,285.0,291.45,285.0,291.0,290.5,288.87,65661,1896765070000.0,,52732,0.8031
2010-07-02,IL&FSTRANS,EQ,290.5,291.0,292.45,287.1,287.1,288.3,288.94,31259,903182605000.0001,,18359,0.5872999999999999
2010-07-05,IL&FSTRANS,EQ,288.3,286.0,289.75,282.85,283.5,284.4,287.8,112157,3227830175000.0,,82338,0.7341
2010-07-06,IL&FSTRANS,EQ,284.4,280.15,298.15,280.15,289.75,290.3,291.33,345843,10075498885000.0,,191454,0.5536
2010-07-07,IL&FSTRANS,EQ,290.3,290.9,295.0,285.3,291.5,291.8,290.68,105481,3066136550000.0,,55640,0.5275
2010-07-08,IL&FSTRANS,EQ,291.8,292.5,295.9,287.4,288.3,288.65,292.31,69470,2030703380000.0,,47395,0.6822
2010-07-09,IL&FSTRANS,EQ,288.65,289.0,300.0,289.0,300.0,298.7,295.88,255564,7561600595000.0,,176922,0.6923
2010-07-12,IL&FSTRANS,EQ,298.7,302.9,312.4,300.0,303.25,303.9,306.38,506223,15509458094999.998,,217986,0.43060000000000004
2010-07-13,IL&FSTRANS,EQ,303.9,305.25,311.6,301.6,308.9,307.95,307.27,355156,10912718465000.0,,142349,0.4008
2010-07-14,IL&FSTRANS,EQ,307.95,310.0,314.65,307.0,308.5,309.0,310.93,245545,7634653775000.0,,101140,0.4119
2010-07-15,IL&FSTRANS,EQ,309.0,309.9,309.9,300.35,301.0,302.4,303.89,127365,3870543604999.9995,,94151,0.7392000000000001
2010-07-16,IL&FSTRANS,EQ,302.4,302.95,311.0,301.25,309.2,308.2,308.24,151288,4663281375000.0,,51142,0.33799999999999997
2010-07-19,IL&FSTRANS,EQ,308.2,302.1,307.35,302.0,302.65,303.7,304.29,104049,3166099490000.0,,80372,0.7724
2010-07-20,IL&FSTRANS,EQ,303.7,304.95,308.9,298.25,301.9,301.2,304.52,77466,2358969045000.0,,56981,0.7356
2010-07-21,IL&FSTRANS,EQ,301.2,303.8,304.65,302.1,304.5,303.4,303.85,33286,1011379310000.0,,19011,0.5711
2010-07-22,IL&FSTRANS,EQ,303.4,303.0,308.5,302.0,305.0,307.05,305.45,28871,881866305000.0001,,18533,0.6419
2010-07-23,IL&FSTRANS,EQ,307.05,306.0,308.8,301.3,302.9,303.0,304.15,59200,1800588595000.0,,44628,0.7539
2010-07-26,IL&FSTRANS,EQ,303.0,304.9,305.0,292.6,300.95,298.95,297.95,83117,2476496770000.0,,42513,0.5115
2010-07-27,IL&FSTRANS,EQ,298.95,299.95,302.5,296.0,297.0,298.2,299.08,33210,993244155000.0001,,22228,0.6693000000000001
2010-07-28,IL&FSTRANS,EQ,298.2,296.15,299.65,294.4,296.2,296.85,296.72,33414,991461175000.0,,23634,0.7073
2010-07-29,IL&FSTRANS,EQ,296.85,295.5,297.6,289.0,292.0,290.05,290.56,291371,8466065884999.999,,261898,0.8987999999999999
2010-07-30,IL&FSTRANS,EQ,290.05,289.9,295.1,289.9,291.6,292.0,293.68,74322,2182719580000.0,,60194,0.8099
2010-08-02,IL&FSTRANS,EQ,292.0,294.0,304.95,293.0,303.0,302.5,302.17,121807,3680595585000.0,,90032,0.7391
2010-08-03,IL&FSTRANS,EQ,302.5,304.0,309.95,303.55,306.7,308.05,306.43,160307,4912311180000.0,,120247,0.7501000000000001
2010-08-04,IL&FSTRANS,EQ,308.05,309.0,309.8,295.15,300.0,300.1,302.78,325658,9860210820000.0,,139654,0.4288
2010-08-05,IL&FSTRANS,EQ,300.1,302.45,304.75,297.0,297.4,298.9,300.89,155174,4669098355000.0,,98039,0.6318
2010-08-06,IL&FSTRANS,EQ,298.9,299.9,302.55,293.1,295.0,295.3,296.43,85373,2530733380000.0,,68271,0.7997
2010-08-09,IL&FSTRANS,EQ,295.3,294.0,299.8,291.3,293.4,292.35,295.27,44794,1322622475000.0,,31702,0.7077
2010-08-10,IL&FSTRANS,EQ,292.35,293.55,303.0,292.75,299.05,298.55,297.06,674372,20032628125000.0,,547309,0.8116
2010-08-11,IL&FSTRANS,EQ,298.55,299.0,305.8,297.5,298.0,298.45,301.43,242482,7309067375000.0,,149220,0.6154000000000001
2010-08-12,IL&FSTRANS,EQ,298.45,295.9,302.0,292.5,298.65,299.35,295.92,127191,3763858704999.9995,,86819,0.6826000000000001
2010-08-13,IL&FSTRANS,EQ,299.35,299.5,301.25,293.25,294.05,294.45,297.63,82546,2456827555000.0,,59573,0.7217
2010-08-16,IL&FSTRANS,EQ,294.45,299.9,299.9,291.35,293.5,292.85,294.14,106906,3144513820000.0,,75068,0.7022
2010-08-17,IL&FSTRANS,EQ,292.85,294.0,299.0,292.35,295.0,293.65,294.8,109205,3219388770000.0,,84203,0.7711
2010-08-18,IL&FSTRANS,EQ,293.65,295.1,298.5,294.15,297.7,296.95,296.62,106939,3172052965000.0,,86419,0.8081
2010-08-19,IL&FSTRANS,EQ,296.95,297.0,307.5,294.5,298.5,299.15,302.99,215091,6517044990000.0,,96272,0.4476
2010-08-20,IL&FSTRANS,EQ,299.15,298.2,313.0,296.2,307.0,306.5,307.77,459384,14138685825000.0,,186870,0.4068
2010-08-23,IL&FSTRANS,EQ,306.5,307.95,329.45,307.0,325.0,325.95,320.53,832546,26685472140000.0,,284838,0.3421
2010-08-24,IL&FSTRANS,EQ,325.95,327.05,336.45,316.5,327.9,328.6,326.59,513151,16759037405000.002,,191175,0.3726
2010-08-25,IL&FSTRANS,EQ,328.6,328.75,336.85,320.65,323.0,322.95,330.34,322856,10665212045000.0,,109854,0.3403
2010-08-26,IL&FSTRANS,EQ,322.95,323.9,332.4,322.1,329.0,328.15,327.87,145406,4767365520000.0,,95231,0.6548999999999999
2010-08-27,IL&FSTRANS,EQ,328.15,329.9,346.0,328.15,336.5,339.05,340.7,938885,31987442570000.0,,467960,0.49840000000000007
2010-08-30,IL&FSTRANS,EQ,339.05,341.8,343.9,329.0,332.0,331.3,336.85,186203,6272180310000.0,,84938,0.4562
2010-08-31,IL&FSTRANS,EQ,331.3,330.0,343.0,325.0,331.0,333.0,331.52,217708,7217371659999.999,,144931,0.6657
2010-09-01,IL&FSTRANS,EQ,333.0,332.95,342.9,332.95,341.0,340.25,338.9,156146,5291804170000.0,,92138,0.5901
2010-09-02,IL&FSTRANS,EQ,340.25,342.1,345.0,335.0,336.0,336.8,340.6,151829,5171328330000.0,,62806,0.41369999999999996
2010-09-03,IL&FSTRANS,EQ,336.8,338.25,349.9,337.5,342.0,339.4,344.18,517098,17797564025000.0,,154331,0.29850000000000004
2010-09-06,IL&FSTRANS,EQ,339.4,345.0,349.0,342.0,344.05,343.35,345.31,133359,4605053655000.0,,73467,0.5509000000000001
2010-09-07,IL&FSTRANS,EQ,343.35,347.1,347.1,341.0,342.0,342.9,343.69,102577,3525478695000.0005,,69732,0.6798000000000001
2010-09-08,IL&FSTRANS,EQ,342.9,341.9,348.75,340.2,345.0,345.6,345.44,113163,3909090429999.9995,,73860,0.6527
2010-09-09,IL&FSTRANS,EQ,345.6,347.6,364.8,347.55,358.6,358.45,358.66,683281,24506469760000.0,,302061,0.4421
