Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-10-07,IMPAL,EQ,100.0,199.0,450.0,199.0,365.0,334.5,330.76,1930252,63845818510000.0,,25949,0.0134
2005-10-10,IMPAL,EQ,334.5,380.8,401.4,342.5,401.4,387.25,377.69,1094705,41345930880000.0,,43437,0.039700000000000006
2005-10-11,IMPAL,EQ,387.25,415.0,461.95,393.0,452.9,453.6,426.09,2369808,100976121860000.0,,46331,0.0196
2005-10-13,IMPAL,EQ,453.6,449.7,525.0,422.0,505.0,509.9,474.15,3906331,185217466975000.0,,41360,0.0106
2005-10-14,IMPAL,EQ,509.9,505.0,549.9,485.0,538.0,537.05,532.36,4993219,265818247094999.97,,43561,0.0087
2005-10-17,IMPAL,EQ,537.05,530.0,556.9,505.5,543.8,543.85,537.02,3790726,203568959610000.0,,56163,0.0148
2005-10-18,IMPAL,EQ,543.85,539.0,552.9,528.5,531.5,536.05,538.38,2180944,117418598370000.0,,34960,0.016
2005-10-19,IMPAL,EQ,536.05,528.5,536.0,483.15,489.0,488.7,508.01,625954,31799177005000.0,,31402,0.050199999999999995
2005-10-20,IMPAL,EQ,488.7,481.6,498.0,439.85,439.85,439.85,456.46,543174,24793633970000.0,,29672,0.0546
2005-10-21,IMPAL,EQ,439.85,412.3,434.45,395.9,395.9,401.2,403.18,367360,14811199705000.002,,19760,0.0538
2005-10-24,IMPAL,EQ,401.2,382.3,403.6,381.15,383.0,382.35,388.49,172387,6697070685000.0,,19749,0.11460000000000001
2005-10-25,IMPAL,EQ,382.35,366.0,380.0,363.25,363.25,363.25,369.05,96644,3566695115000.0,,13402,0.1387
2005-10-26,IMPAL,EQ,363.25,350.0,354.0,345.1,345.1,345.1,347.25,46356,1609723330000.0,,10022,0.2162
2005-10-27,IMPAL,EQ,345.1,328.25,330.15,327.85,327.85,327.85,328.07,8044,263898560000.0,,4181,0.5197999999999999
2005-10-28,IMPAL,EQ,327.85,311.5,311.5,311.5,311.5,311.5,311.5,694,21618100000.0,,694,1.0
2005-10-31,IMPAL,EQ,311.5,295.95,295.95,295.95,295.95,295.95,295.95,620,18348900000.0,,620,1.0
2005-11-01,IMPAL,EQ,295.95,281.15,310.75,281.15,310.75,306.7,299.69,41820,1253284870000.0,,9888,0.2364
2005-11-02,IMPAL,EQ,306.7,311.5,318.0,294.05,299.0,298.0,305.1,130923,3994425029999.9995,,11751,0.0898
2005-11-07,IMPAL,EQ,298.0,297.0,312.9,290.0,312.9,312.9,302.78,49599,1501760925000.0,,14621,0.2948
2005-11-08,IMPAL,EQ,312.9,320.0,327.0,300.0,315.45,317.3,320.23,55276,1770084725000.0,,10333,0.1869
2005-11-09,IMPAL,EQ,317.3,319.45,322.0,305.6,310.0,309.3,314.46,19583,615799770000.0,,4883,0.2493
2005-11-10,IMPAL,EQ,309.3,312.95,319.9,308.0,314.05,317.55,315.17,25166,793158725000.0,,4117,0.1636
2005-11-11,IMPAL,EQ,317.55,319.0,319.0,310.0,312.0,312.8,314.61,11996,377401710000.0,,4407,0.3674
2005-11-14,IMPAL,EQ,312.8,318.9,318.95,307.6,309.6,309.7,311.84,7420,231385495000.00003,,2342,0.3156
2005-11-16,IMPAL,EQ,309.7,307.0,311.0,302.5,303.25,304.95,307.85,3992,122893850000.0,,2540,0.6363000000000001
2005-11-17,IMPAL,EQ,304.95,303.1,306.0,298.1,298.1,299.5,301.3,4336,130645385000.00002,,2658,0.613
2005-11-18,IMPAL,EQ,299.5,313.9,313.9,300.05,300.05,301.05,303.77,6113,185695895000.0,,2104,0.3442
2005-11-21,IMPAL,EQ,301.05,300.0,303.0,294.1,294.6,295.1,296.02,5081,150410005000.0,,3658,0.7199
2005-11-22,IMPAL,EQ,295.1,290.05,295.1,290.05,295.0,292.8,293.21,1585,46473310000.0,,699,0.441
2005-11-23,IMPAL,EQ,292.8,292.5,297.0,290.1,291.0,292.7,293.21,2666,78170150000.0,,1385,0.5195000000000001
2005-11-24,IMPAL,EQ,292.7,291.0,291.0,284.8,286.9,286.3,287.58,5255,151122710000.0,,3335,0.6346
2005-11-25,IMPAL,EQ,286.3,290.0,290.0,282.0,282.9,283.35,285.6,3341,95420250000.0,,2380,0.7123999999999999
2005-11-26,IMPAL,EQ,283.35,285.0,287.9,281.3,281.3,284.35,284.92,709,20200675000.0,,382,0.5388000000000001
2005-11-28,IMPAL,EQ,284.35,296.45,296.45,282.2,291.0,289.65,290.65,2104,61152315000.0,,1320,0.6274000000000001
2005-11-29,IMPAL,EQ,289.65,293.0,294.9,285.0,288.1,290.5,289.84,3896,112922530000.0,,2333,0.5988
2005-11-30,IMPAL,EQ,290.5,290.0,305.05,289.0,295.0,298.25,301.16,12088,364040880000.0,,3590,0.297
2005-12-01,IMPAL,EQ,298.25,307.5,307.5,299.0,299.0,302.3,302.55,3431,103803905000.0,,1967,0.5733
2005-12-02,IMPAL,EQ,302.3,299.1,311.8,299.1,305.05,305.55,307.02,6561,201434470000.0,,2850,0.4344
2005-12-05,IMPAL,EQ,305.55,305.6,308.9,297.2,300.0,298.1,302.6,2149,65029065000.0,,1168,0.5435
2005-12-06,IMPAL,EQ,298.1,300.0,303.8,292.8,292.8,296.2,299.82,3370,101038800000.0,,2385,0.7077
2005-12-07,IMPAL,EQ,296.2,293.0,298.0,292.0,297.1,294.75,294.59,1170,34466535000.0,,780,0.6667000000000001
2005-12-08,IMPAL,EQ,294.75,295.0,297.0,291.0,292.0,292.3,293.71,1100,32307915000.000004,,813,0.7391
2005-12-09,IMPAL,EQ,292.3,294.95,296.9,290.05,291.6,292.8,293.02,1635,47909025000.0,,1160,0.7095
2005-12-12,IMPAL,EQ,292.8,296.1,296.1,288.0,296.0,294.15,292.97,1737,50888905000.0,,1169,0.6729999999999999
2005-12-13,IMPAL,EQ,294.15,299.6,299.7,292.0,293.1,293.65,295.14,1175,34678530000.0,,936,0.7966
2005-12-14,IMPAL,EQ,293.65,295.0,295.0,290.0,293.0,290.9,292.02,867,25317985000.0,,845,0.9745999999999999
2005-12-15,IMPAL,EQ,290.9,295.9,295.9,290.0,291.5,290.6,291.66,989,28845659999.999996,,830,0.8392000000000001
2005-12-16,IMPAL,EQ,290.6,295.0,305.95,283.5,290.5,290.8,291.61,794,23154165000.0,,627,0.7897
2005-12-19,IMPAL,EQ,290.8,290.0,296.0,290.0,295.0,293.7,293.72,1457,42795420000.0,,1227,0.8421
2005-12-20,IMPAL,EQ,293.7,291.05,295.0,287.0,287.0,288.3,289.61,1198,34695595000.0,,967,0.8072
2005-12-21,IMPAL,EQ,288.3,288.0,292.0,282.3,286.75,283.55,285.38,4030,115006250000.0,,2937,0.7288
2005-12-22,IMPAL,EQ,283.55,310.0,310.0,280.5,284.95,284.55,285.42,3522,100524130000.0,,2909,0.826
2005-12-23,IMPAL,EQ,284.55,312.0,312.0,284.0,284.8,285.2,286.91,1152,33051855000.0,,929,0.8064
2005-12-26,IMPAL,EQ,285.2,277.3,288.0,277.2,283.2,282.15,281.07,1874,52673240000.0,,1761,0.9397
2005-12-27,IMPAL,EQ,282.15,286.5,286.5,278.0,283.95,281.4,282.7,790,22332960000.0,,665,0.8418000000000001
2005-12-28,IMPAL,EQ,281.4,283.1,284.0,279.0,279.0,279.45,280.58,1309,36727770000.0,,1099,0.8395999999999999
2005-12-29,IMPAL,EQ,279.45,287.25,287.25,277.85,278.0,277.9,279.01,998,27844809999.999996,,928,0.9299
2005-12-30,IMPAL,EQ,277.9,279.9,280.0,270.0,273.0,273.05,274.47,2307,63320635000.0,,2031,0.8804000000000001
2006-01-02,IMPAL,EQ,273.05,283.7,283.7,277.25,279.4,279.05,280.04,951,26631975000.0,,808,0.8495999999999999
2006-01-03,IMPAL,EQ,279.05,280.15,281.5,278.25,279.25,279.45,280.39,1795,50329695000.0,,1386,0.7721
2006-01-04,IMPAL,EQ,279.45,279.0,283.4,279.0,280.0,280.0,280.11,1363,38179170000.0,,980,0.7190000000000001
2006-01-05,IMPAL,EQ,280.0,280.0,283.0,277.4,282.75,281.15,281.0,1997,56115210000.0,,1672,0.8373
2006-01-06,IMPAL,EQ,281.15,280.0,287.0,277.6,277.7,279.15,282.02,2106,59393605000.00001,,1513,0.7184
2006-01-09,IMPAL,EQ,279.15,286.0,292.0,276.0,285.0,287.3,285.2,2720,77575290000.0,,1772,0.6515000000000001
2006-01-10,IMPAL,EQ,287.3,283.0,288.0,276.75,276.75,277.2,281.9,6988,196994035000.0,,5981,0.8559000000000001
2006-01-12,IMPAL,EQ,277.2,285.9,285.9,271.1,273.0,273.55,276.69,2965,82037965000.0,,1861,0.6277
2006-01-13,IMPAL,EQ,273.55,279.1,282.7,272.0,274.0,273.7,277.33,1828,50696675000.0,,1244,0.6805
2006-01-16,IMPAL,EQ,273.7,272.0,277.25,267.0,269.95,267.85,269.15,4217,113502210000.00002,,3672,0.8708
2006-01-17,IMPAL,EQ,267.85,270.0,270.0,261.7,264.0,262.55,265.38,1795,47635190000.0,,1516,0.8445999999999999
2006-01-18,IMPAL,EQ,262.55,266.4,266.4,256.7,257.0,256.85,257.89,1906,49153005000.0,,1663,0.8725
2006-01-19,IMPAL,EQ,256.85,268.8,270.0,260.25,267.8,268.2,265.79,1252,33277375000.0,,1032,0.8243
2006-01-20,IMPAL,EQ,268.2,279.1,279.1,262.65,270.0,270.0,273.51,1812,49559745000.0,,1411,0.7787000000000001
2006-01-23,IMPAL,EQ,270.0,276.9,277.0,272.25,274.9,274.2,274.29,1055,28937800000.0,,776,0.7354999999999999
2006-01-24,IMPAL,EQ,274.2,275.0,275.0,265.0,268.0,268.25,271.36,1256,34082300000.0,,875,0.6967
2006-01-25,IMPAL,EQ,268.25,260.1,282.5,260.1,270.0,272.5,274.49,3032,83226265000.0,,2394,0.7896
2006-01-27,IMPAL,EQ,272.5,269.95,275.0,268.9,268.9,270.15,271.75,1797,48833825000.0,,1597,0.8887
2006-01-30,IMPAL,EQ,270.15,270.0,270.0,260.5,265.05,265.6,266.4,1980,52747800000.0,,695,0.35100000000000003
2006-01-31,IMPAL,EQ,265.6,270.0,270.0,256.25,257.0,258.95,261.46,865,22615970000.0,,778,0.8994
2006-02-01,IMPAL,EQ,258.95,262.0,263.4,251.7,256.1,256.5,256.77,1537,39465840000.0,,1069,0.6955
2006-02-02,IMPAL,EQ,256.5,253.25,261.6,253.25,259.0,255.8,255.99,659,16869704999.999998,,546,0.8285
2006-02-03,IMPAL,EQ,255.8,256.0,280.0,242.05,254.0,252.25,253.3,1681,42579050000.0,,969,0.5764
