Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-10-30,KHAICHEM,EQ,22.8,23.3,24.3,22.5,23.85,23.85,23.57,194552,458520980000.0,717,133401,0.6857
2020-11-02,KHAICHEM,EQ,23.85,24.4,26.2,22.5,22.65,23.0,23.74,140738,334177450000.0,572,90720,0.6446
2020-11-03,KHAICHEM,EQ,23.0,25.0,25.25,22.55,22.9,22.75,23.7,394448,934922565000.0,1709,195296,0.4951
2020-11-04,KHAICHEM,EQ,22.75,23.0,23.0,20.5,20.5,20.65,21.41,489720,1048483980000.0001,2363,143369,0.2928
2020-11-05,KHAICHEM,EQ,20.65,20.7,21.6,20.5,21.0,20.7,21.07,500851,1055397219999.9999,2689,94055,0.18780000000000002
2020-11-06,KHAICHEM,EQ,20.7,20.8,20.9,20.2,20.45,20.35,20.65,524923,1084013315000.0,2596,47641,0.0908
2020-11-09,KHAICHEM,EQ,20.35,21.2,21.2,19.0,19.2,19.2,19.61,766461,1503405980000.0,3197,98358,0.1283
2020-11-10,KHAICHEM,EQ,19.2,19.2,19.35,18.0,18.35,18.25,18.47,114050,210605485000.0,593,73548,0.6448999999999999
2020-11-11,KHAICHEM,EQ,18.25,18.3,20.05,18.3,20.05,19.65,19.14,536783,1027157210000.0,2263,102790,0.1915
2020-11-12,KHAICHEM,EQ,19.65,21.0,21.5,19.5,20.65,20.85,20.76,706916,1467851665000.0,3215,94622,0.13390000000000002
2020-11-13,KHAICHEM,EQ,20.85,21.5,21.5,19.5,20.75,20.85,20.55,811739,1668389840000.0,4105,108490,0.13369999999999999
2020-11-14,KHAICHEM,EQ,20.85,21.4,21.4,19.55,20.95,20.65,20.41,38492,78577065000.0,263,18574,0.4825
2020-11-17,KHAICHEM,EQ,20.65,21.0,21.15,20.15,20.55,20.7,20.68,349929,723497265000.0,1949,51999,0.1486
2020-11-18,KHAICHEM,EQ,20.7,20.5,20.85,19.8,20.0,20.05,20.33,414474,842790080000.0001,2121,111141,0.2681
2020-11-19,KHAICHEM,EQ,20.05,20.4,20.5,19.9,20.0,20.05,20.19,201925,407632200000.0,1228,47086,0.23320000000000002
2020-11-20,KHAICHEM,EQ,20.05,20.5,20.5,19.2,19.55,19.6,20.01,232799,465892400000.0,1803,55605,0.2389
2020-11-23,KHAICHEM,EQ,19.6,19.85,20.1,18.65,19.2,19.3,19.53,491184,959054565000.0,3051,70784,0.1441
2020-11-24,KHAICHEM,EQ,19.3,19.55,21.2,19.1,21.15,21.1,20.53,531049,1090165325000.0,2252,229327,0.4318
2020-11-25,KHAICHEM,EQ,21.1,21.75,21.75,19.7,20.1,20.3,20.47,323790,662931640000.0,2263,79755,0.2463
2020-11-26,KHAICHEM,EQ,20.3,20.55,20.85,20.0,20.45,20.55,20.31,213981,434601030000.0,1696,26729,0.12490000000000001
2020-11-27,KHAICHEM,EQ,20.55,20.25,22.55,20.15,20.55,20.65,20.9,616391,1288476970000.0,3507,69019,0.11199999999999999
2020-12-01,KHAICHEM,EQ,20.65,21.25,21.25,20.2,20.45,20.45,20.55,332832,683915145000.0,2070,62438,0.18760000000000002
2020-12-02,KHAICHEM,EQ,20.45,20.7,22.1,20.35,21.9,21.9,21.35,692725,1479216005000.0,2871,210457,0.3038
2020-12-03,KHAICHEM,EQ,21.9,22.85,22.85,21.8,22.2,22.2,22.19,284607,631421175000.0,2357,71116,0.24989999999999998
2020-12-04,KHAICHEM,EQ,22.2,22.5,22.7,20.7,21.2,21.2,21.8,353545,770865910000.0,2715,101727,0.2877
2020-12-07,KHAICHEM,EQ,21.2,23.0,23.6,22.05,22.9,22.9,23.04,585053,1347854515000.0,2803,254887,0.43570000000000003
2020-12-08,KHAICHEM,EQ,22.9,23.05,23.8,21.7,22.2,22.2,22.65,271297,614572680000.0,1401,133765,0.49310000000000004
2020-12-09,KHAICHEM,EQ,22.2,23.0,23.0,22.0,22.05,22.15,22.26,231877,516104245000.0,1476,59540,0.25680000000000003
2020-12-10,KHAICHEM,EQ,22.15,22.15,22.4,21.7,22.05,22.05,22.12,242461,536223934999.99994,1932,44850,0.185
2020-12-11,KHAICHEM,EQ,22.05,22.5,22.5,21.6,21.9,21.8,22.03,123158,271278315000.0,892,47700,0.3873
2020-12-14,KHAICHEM,EQ,21.8,22.3,23.5,22.05,22.6,22.85,22.75,334750,761658265000.0,1899,163391,0.48810000000000003
2020-12-15,KHAICHEM,EQ,22.85,23.4,23.4,22.2,23.0,23.1,22.87,278461,636737320000.0,1584,151491,0.544
2020-12-16,KHAICHEM,EQ,23.1,23.8,23.9,23.0,23.35,23.15,23.51,187141,440045009999.99994,1149,112269,0.5999
2020-12-17,KHAICHEM,EQ,23.15,23.7,23.7,22.5,22.65,22.7,23.01,193494,445323300000.0,1205,83129,0.42960000000000004
2020-12-18,KHAICHEM,EQ,22.7,22.7,26.5,21.85,25.15,25.7,24.99,1582979,3955520740000.0,4981,738191,0.46630000000000005
2020-12-21,KHAICHEM,EQ,25.7,26.45,28.2,24.0,24.95,24.95,26.95,2315088,6238140410000.0,8630,1079577,0.46630000000000005
2020-12-22,KHAICHEM,EQ,24.95,25.2,26.7,22.0,24.15,24.5,24.29,486588,1181829705000.0,2854,211805,0.4353
2020-12-23,KHAICHEM,EQ,24.5,24.5,25.9,24.5,25.5,25.45,25.42,426277,1083438580000.0001,2664,129506,0.3038
2020-12-24,KHAICHEM,EQ,25.45,25.65,26.3,24.55,25.0,24.9,25.27,512923,1295967565000.0,3867,144050,0.2808
2020-12-28,KHAICHEM,EQ,24.9,25.15,26.8,24.4,26.1,26.2,25.64,622557,1596024465000.0,3146,278654,0.4476
2020-12-29,KHAICHEM,EQ,26.2,26.35,30.0,26.35,29.45,28.95,28.6,1834136,5245487310000.0,9700,936092,0.5104
2020-12-30,KHAICHEM,EQ,28.95,29.85,29.95,27.95,28.45,28.4,29.12,1416528,4125108070000.0005,5088,763495,0.539
2020-12-31,KHAICHEM,EQ,28.4,28.65,29.15,26.9,27.25,27.3,27.83,522939,1455221980000.0,3224,290489,0.5555
