Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-08-22,KRISHANA,EQ,50.5,59.7,59.95,52.0,52.0,52.05,52.69,709,3735805000.0000005,15,661,0.9323
2019-08-23,KRISHANA,EQ,52.05,51.75,51.75,50.0,50.0,50.0,50.08,10358,51877825000.0,20,10358,1.0
2019-08-26,KRISHANA,EQ,50.0,53.5,53.5,53.5,53.5,53.5,53.5,83,444050000.0,1,83,1.0
2019-08-27,KRISHANA,EQ,53.5,50.05,52.0,50.05,52.0,52.0,50.7,15,76050000.0,2,15,1.0
2019-08-28,KRISHANA,EQ,52.0,50.0,50.2,50.0,50.0,50.0,50.0,5489,27445020000.0,11,5488,0.9998
2019-09-03,KRISHANA,EQ,50.0,50.0,54.0,50.0,50.0,50.0,50.02,4081,20415190000.0,9,4071,0.9975
2019-09-04,KRISHANA,EQ,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1015,5075000000.0,2,1015,1.0
2019-09-09,KRISHANA,EQ,50.0,57.6,57.6,50.0,54.4,54.4,52.48,2200,11545840000.0,21,2100,0.9545
2019-09-11,KRISHANA,EQ,54.4,58.6,58.6,50.0,50.05,50.05,50.18,1142,5730490000.0,15,1043,0.9133
2019-09-12,KRISHANA,EQ,50.05,49.0,54.5,49.0,50.1,50.1,52.67,18,94810000.0,5,16,0.8889
2019-09-13,KRISHANA,EQ,50.1,58.85,58.85,50.05,55.0,53.7,54.45,1212,6598750000.0,28,1127,0.9299
2019-09-16,KRISHANA,EQ,53.7,57.9,57.9,54.0,57.9,57.05,55.44,258,1430270000.0,7,233,0.9031
2019-09-17,KRISHANA,EQ,57.05,55.0,55.0,50.9,53.4,53.4,52.39,2204,11547580000.0,18,2100,0.9528
2019-09-18,KRISHANA,EQ,53.4,53.0,53.0,53.0,53.0,53.0,53.0,148,784400000.0,2,148,1.0
2019-09-19,KRISHANA,EQ,53.0,59.5,59.5,51.0,51.0,51.25,53.8,2939,15811740000.0,36,812,0.2763
2019-09-20,KRISHANA,EQ,51.25,56.4,59.5,52.2,58.0,57.55,57.6,1060,6105950000.0,12,1058,0.9981000000000001
2019-09-23,KRISHANA,EQ,57.55,68.9,68.9,50.1,58.0,58.0,60.06,1599,9604125000.0,23,1120,0.7004
2019-09-24,KRISHANA,EQ,58.0,65.0,65.0,55.05,60.0,59.7,61.08,809,4941600000.0,35,287,0.35479999999999995
2019-09-25,KRISHANA,EQ,59.7,51.05,60.8,51.05,54.95,53.95,53.15,674,3582260000.0,19,568,0.8427
2019-09-26,KRISHANA,EQ,53.95,53.25,57.95,51.0,53.9,52.55,51.84,1609,8340425000.0,20,1547,0.9615000000000001
2019-09-27,KRISHANA,EQ,52.55,50.35,53.8,50.35,51.0,51.9,52.56,355,1866005000.0,13,315,0.8873000000000001
2019-09-30,KRISHANA,EQ,51.9,50.1,53.9,50.0,53.9,53.9,51.44,1271,6538095000.0,114,1253,0.9858
2019-10-01,KRISHANA,EQ,53.9,52.0,52.0,50.0,50.0,50.0,50.44,676,3410000000.0,4,676,1.0
2019-10-03,KRISHANA,EQ,50.0,53.0,57.2,50.0,50.25,50.25,51.79,1870,9684070000.0,57,1508,0.8064
2019-10-04,KRISHANA,EQ,50.25,53.0,54.45,53.0,54.45,54.45,53.01,101,535445000.0,4,101,1.0
2019-10-07,KRISHANA,EQ,54.45,54.45,54.45,54.0,54.0,54.0,54.19,500,2709675000.0,6,500,1.0
2019-10-09,KRISHANA,EQ,54.0,53.0,53.0,53.0,53.0,53.0,53.0,100,530000000.0,2,100,1.0
2019-10-10,KRISHANA,EQ,53.0,53.0,53.0,52.05,52.05,52.05,52.87,127,671485000.0,4,127,1.0
2019-10-11,KRISHANA,EQ,52.05,60.6,60.6,53.0,53.0,53.0,55.38,399,2209810000.0,13,166,0.41600000000000004
2019-10-14,KRISHANA,EQ,53.0,62.5,62.5,53.0,53.0,53.05,56.7,6502,36869180000.0,71,300,0.0461
2019-10-15,KRISHANA,EQ,53.05,53.0,55.0,53.0,54.75,54.55,54.14,2830,15321454999.999998,20,2407,0.8505
2019-10-16,KRISHANA,EQ,54.55,55.0,55.0,54.95,54.95,54.95,54.99,125,687375000.0,2,100,0.8
2019-10-17,KRISHANA,EQ,54.95,51.25,51.25,51.25,51.25,51.25,51.25,1,5125000.0,1,1,1.0
2019-10-18,KRISHANA,EQ,51.25,55.0,55.0,55.0,55.0,55.0,55.0,211,1160500000.0,4,211,1.0
