Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-08-19,MACPOWER,EQ,50.6,53.1,53.1,53.1,53.1,53.1,53.1,7531,39989610000.0,30,7530,0.9999
2020-08-20,MACPOWER,EQ,53.1,55.75,55.75,55.75,55.75,55.75,55.75,790,4404250000.0,5,790,1.0
2020-08-21,MACPOWER,EQ,55.75,58.5,58.5,58.5,58.5,58.5,58.5,4716,27588600000.0,9,4716,1.0
2020-08-24,MACPOWER,EQ,58.5,61.4,61.4,61.4,61.4,61.4,61.4,2942,18063880000.0,7,2942,1.0
2020-08-25,MACPOWER,EQ,61.4,64.45,64.45,64.45,64.45,64.45,64.45,1228,7914460000.000001,9,1228,1.0
2020-08-26,MACPOWER,EQ,64.45,67.65,67.65,67.65,67.65,67.65,67.65,830,5614950000.0,3,830,1.0
2020-08-27,MACPOWER,EQ,67.65,71.0,71.0,64.3,71.0,71.0,68.07,41381,281683790000.0,289,32984,0.7970999999999999
2020-08-28,MACPOWER,EQ,71.0,74.5,74.55,68.1,74.55,74.55,73.08,10242,74845405000.0,95,8015,0.7826000000000001
2020-08-31,MACPOWER,EQ,74.55,78.2,78.25,72.1,78.25,75.95,77.68,18400,142929715000.0,141,17043,0.9263
2020-09-01,MACPOWER,EQ,75.95,75.95,79.7,75.95,79.7,79.65,79.0,9268,73219655000.0,99,8125,0.8767
2020-09-02,MACPOWER,EQ,79.65,83.55,83.55,76.1,81.0,79.65,79.73,5302,42273155000.0,53,4857,0.9161
2020-09-03,MACPOWER,EQ,79.65,81.0,81.0,76.7,77.0,77.1,77.38,5296,40978420000.0,58,4786,0.9037000000000001
2020-09-04,MACPOWER,EQ,77.1,78.2,80.0,74.1,79.0,78.35,77.86,19402,151071540000.0,73,13801,0.7112999999999999
2020-09-07,MACPOWER,EQ,78.35,77.0,79.8,74.55,75.8,75.65,76.6,10853,83134010000.0,65,7186,0.6620999999999999
2020-09-08,MACPOWER,EQ,75.65,72.1,79.0,72.1,76.55,77.3,76.24,12144,92591215000.0,66,9721,0.8005
2020-09-09,MACPOWER,EQ,77.3,80.95,81.15,74.55,76.5,77.3,77.55,8942,69343705000.0,102,4032,0.4509
2020-09-10,MACPOWER,EQ,77.3,79.45,79.45,76.55,77.2,77.2,78.26,2867,22437165000.0,31,2371,0.8270000000000001
2020-09-11,MACPOWER,EQ,77.2,80.8,80.8,75.55,79.25,79.05,78.87,2824,22273235000.0,38,2103,0.7447
2020-09-14,MACPOWER,EQ,79.05,80.9,83.0,76.5,83.0,83.0,81.24,3182,25849215000.0,37,3102,0.9749
2020-09-15,MACPOWER,EQ,83.0,87.15,87.15,87.15,87.15,87.15,87.15,1478,12880770000.0,10,1478,1.0
2020-09-16,MACPOWER,EQ,87.15,91.5,91.5,91.5,91.5,91.5,91.5,5790,52978500000.0,11,5790,1.0
2020-09-17,MACPOWER,EQ,91.5,96.05,96.05,94.95,96.0,96.05,96.02,27235,261513900000.0,145,20932,0.7686000000000001
2020-09-18,MACPOWER,EQ,96.05,100.6,100.6,91.25,93.0,91.3,93.54,7285,68140850000.0,122,5717,0.7848
2020-09-21,MACPOWER,EQ,91.3,87.6,88.0,86.75,86.75,86.75,87.19,2942,25652220000.0,47,2762,0.9388
2020-09-22,MACPOWER,EQ,86.75,82.65,88.4,82.45,82.45,82.45,85.15,2527,21517715000.0,22,2477,0.9802
2020-09-23,MACPOWER,EQ,82.45,78.5,82.0,78.35,78.35,78.35,78.84,3319,26168455000.0,52,3226,0.9720000000000001
2020-09-24,MACPOWER,EQ,78.35,74.6,79.0,74.45,74.45,74.45,74.84,5805,43442115000.0,58,5271,0.908
2020-09-25,MACPOWER,EQ,74.45,75.1,77.8,70.75,73.05,73.3,72.94,16690,121732300000.0,128,9942,0.5957
2020-09-28,MACPOWER,EQ,73.3,76.45,76.95,73.65,76.95,76.95,75.45,4850,36595075000.0,20,2804,0.5781000000000001
2020-09-29,MACPOWER,EQ,76.95,79.95,80.75,77.1,78.2,80.65,80.57,4091,32960959999.999996,37,3478,0.8502
2020-09-30,MACPOWER,EQ,80.65,84.5,84.65,76.65,77.2,77.25,77.94,2777,21643795000.0,26,1962,0.7065
2020-10-01,MACPOWER,EQ,77.25,77.2,78.65,74.6,74.6,74.6,75.3,1587,11949970000.0,20,1063,0.6698000000000001
2020-10-05,MACPOWER,EQ,74.6,72.5,74.7,70.9,70.9,70.9,72.26,4362,31518159999.999996,47,3690,0.8459000000000001
2020-10-06,MACPOWER,EQ,70.9,67.6,74.0,67.55,73.7,73.7,72.07,3072,22139710000.0,23,2690,0.8756999999999999
2020-10-07,MACPOWER,EQ,73.7,70.5,75.0,70.05,72.0,70.1,70.12,4305,30187325000.0,46,4062,0.9436
2020-10-08,MACPOWER,EQ,70.1,71.0,76.2,64.3,74.8,71.05,70.62,5008,35368270000.0,117,3807,0.7602
2020-10-09,MACPOWER,EQ,71.05,74.3,74.3,72.0,73.0,72.1,72.92,2708,19746725000.0,10,2708,1.0
2020-10-12,MACPOWER,EQ,72.1,78.4,78.4,68.4,72.3,72.3,71.65,2251,16129245000.000002,25,1092,0.4851
2020-10-13,MACPOWER,EQ,72.3,73.0,73.0,65.1,65.1,65.15,66.62,14685,97824430000.0,140,9049,0.6162
2020-10-14,MACPOWER,EQ,65.15,63.0,69.5,61.75,65.75,62.15,62.29,12218,76111590000.0,62,11006,0.9008
2020-10-15,MACPOWER,EQ,62.15,65.5,65.5,60.0,60.0,60.05,61.57,5044,31054025000.0,62,4326,0.8577
2020-10-16,MACPOWER,EQ,60.05,65.9,66.05,55.8,64.5,63.65,61.06,23413,142968670000.0,121,6547,0.2796
2020-10-19,MACPOWER,EQ,63.65,63.75,69.6,62.5,64.9,63.1,64.34,3891,25034330000.0,81,2927,0.7522
2020-10-20,MACPOWER,EQ,63.1,68.7,68.7,61.25,62.1,62.3,62.8,4634,29103245000.0,87,3323,0.7171
2020-10-21,MACPOWER,EQ,62.3,64.8,64.8,58.45,59.0,59.05,59.83,5087,30437859999.999996,58,4859,0.9551999999999999
2020-10-22,MACPOWER,EQ,59.05,62.4,62.4,59.05,60.7,60.65,60.25,1005,6055135000.0,19,955,0.9501999999999999
2020-10-23,MACPOWER,EQ,60.65,64.0,64.0,59.0,61.7,60.8,60.85,2653,16144670000.000002,36,1801,0.6789000000000001
2020-10-26,MACPOWER,EQ,60.8,61.5,62.25,59.05,60.55,60.55,61.11,793,4845825000.0,19,777,0.9798000000000001
2020-10-27,MACPOWER,EQ,60.55,61.0,62.8,57.65,61.0,61.0,61.76,1138,7028350000.0,32,1038,0.9120999999999999
2020-10-28,MACPOWER,EQ,61.0,61.0,61.0,58.0,60.0,59.8,58.94,2790,16444135000.0,25,2389,0.8563
2020-10-29,MACPOWER,EQ,59.8,61.95,61.95,56.5,61.4,61.4,59.1,3249,19201470000.0,40,2813,0.8658
2020-10-30,MACPOWER,EQ,61.4,66.2,66.2,60.5,60.5,60.55,61.2,429,2625475000.0,24,389,0.9068
2020-11-02,MACPOWER,EQ,60.55,63.85,63.85,58.55,60.45,60.3,60.51,4222,25548510000.0,20,4175,0.9889
2020-11-03,MACPOWER,EQ,60.3,62.95,63.0,58.5,61.0,61.0,59.53,969,5767975000.0,15,864,0.8916
2020-11-04,MACPOWER,EQ,61.0,61.0,61.0,58.9,60.35,59.65,59.55,725,4317580000.0,15,682,0.9407
2020-11-05,MACPOWER,EQ,59.65,63.95,64.65,55.65,60.45,60.45,60.21,4986,30021984999.999996,59,1839,0.3688
2020-11-06,MACPOWER,EQ,60.45,61.75,63.0,60.65,60.65,60.65,61.81,5499,33989340000.000004,66,4822,0.8769
2020-11-09,MACPOWER,EQ,60.65,63.65,63.65,60.75,63.0,62.95,62.91,4399,27675390000.000004,49,4005,0.9104000000000001
2020-11-10,MACPOWER,EQ,62.95,63.5,68.8,61.25,65.0,64.85,64.52,14065,90742925000.0,66,10136,0.7206999999999999
2020-11-11,MACPOWER,EQ,64.85,66.5,69.35,61.1,61.9,62.3,64.51,8541,55099190000.0,79,5551,0.6498999999999999
2020-11-12,MACPOWER,EQ,62.3,65.9,65.9,60.35,61.45,61.3,61.56,6115,37641880000.0,56,2843,0.46490000000000004
2020-11-13,MACPOWER,EQ,61.3,60.5,65.9,59.5,63.75,61.9,62.14,10081,62640455000.00001,137,4167,0.41340000000000005
2020-11-14,MACPOWER,EQ,61.9,63.5,63.5,62.0,62.0,63.45,63.46,103,653685000.0,5,103,1.0
2020-11-17,MACPOWER,EQ,63.45,60.25,68.0,60.25,61.5,62.1,63.51,7562,48029270000.0,92,6291,0.8319
