Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-12-02,MARINE,EQ,191.5,198.0,200.05,190.1,198.95,197.1,196.79,158397,3117164680000.0,394,97079,0.6129
2020-12-03,MARINE,EQ,197.1,196.1,201.05,195.0,198.45,200.35,198.84,211001,4195537145000.0005,524,127558,0.6045
2020-12-04,MARINE,EQ,200.35,202.95,207.0,199.75,202.5,201.35,203.48,121762,2477668160000.0,677,66740,0.5481
2020-12-07,MARINE,EQ,201.35,204.15,204.75,192.7,200.0,196.45,200.08,77959,1559819255000.0,693,40932,0.525
2020-12-08,MARINE,EQ,196.45,200.5,204.0,190.0,198.35,201.0,196.8,134301,2643011800000.0,1250,54361,0.4048
2020-12-09,MARINE,EQ,201.0,204.0,221.05,190.3,211.0,211.0,208.95,317082,6625560520000.0,2644,121084,0.38189999999999996
2020-12-10,MARINE,EQ,211.0,214.85,215.0,202.0,211.35,205.45,209.08,88568,1851742464999.9998,694,41062,0.4636
2020-12-11,MARINE,EQ,205.45,212.05,215.0,202.95,210.0,210.95,210.66,52137,1098337055000.0001,606,15836,0.3037
2020-12-14,MARINE,EQ,210.95,214.9,224.95,208.4,210.5,210.6,214.48,50276,1078299275000.0,396,34981,0.6958
2020-12-15,MARINE,EQ,210.6,216.8,216.8,205.0,206.0,207.6,209.4,32428,679036375000.0,387,10894,0.33590000000000003
2020-12-16,MARINE,EQ,207.6,207.6,213.9,207.6,210.0,210.25,210.64,112643,2372763585000.0,529,6246,0.055400000000000005
2020-12-17,MARINE,EQ,210.25,209.45,220.0,205.55,217.0,216.35,214.84,167941,3608075579999.9995,802,96586,0.5751
2020-12-18,MARINE,EQ,216.35,213.5,225.0,213.3,220.0,220.85,217.25,229838,4993300515000.0,1136,83319,0.3625
2020-12-21,MARINE,EQ,220.85,221.15,226.3,200.3,210.0,212.3,222.24,64996,1444473550000.0,662,30713,0.47250000000000003
2020-12-22,MARINE,EQ,212.3,212.3,212.3,200.9,206.05,205.1,204.71,92858,1900916860000.0002,527,73354,0.79
2020-12-23,MARINE,EQ,205.1,206.05,218.0,203.05,209.95,206.45,210.54,118700,2499150370000.0,1051,14113,0.1189
2020-12-24,MARINE,EQ,206.45,206.0,221.8,206.0,218.0,219.4,215.44,136023,2930479505000.0,1037,24052,0.1768
2020-12-28,MARINE,EQ,219.4,224.45,225.6,217.65,220.0,219.05,220.52,66712,1471142620000.0,541,12767,0.19140000000000001
2020-12-29,MARINE,EQ,219.05,224.3,228.0,218.0,225.7,225.95,224.35,159756,3584100854999.9995,1832,47376,0.29660000000000003
2020-12-30,MARINE,EQ,225.95,226.7,229.0,215.55,223.9,221.2,225.37,92042,2074368050000.0,642,62563,0.6797
2020-12-31,MARINE,EQ,221.2,223.65,230.0,221.05,224.05,225.05,224.77,121176,2723685940000.0,929,29526,0.24370000000000003
