Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-09-04,MAXHEALTH,EQ,111.75,107.0,120.9,105.3,117.2,115.25,115.48,1514512,17490255975000.0,13767,871068,0.5751
2020-09-07,MAXHEALTH,EQ,115.25,115.65,118.7,112.65,113.85,113.35,114.39,740174,8466594615000.001,8400,557356,0.753
2020-09-08,MAXHEALTH,EQ,113.35,114.6,116.25,107.45,110.0,110.0,111.22,845613,9404998090000.0,4059,688036,0.8137000000000001
2020-09-09,MAXHEALTH,EQ,110.0,106.0,114.95,105.6,111.2,111.45,110.62,798343,8831053110000.0,5473,484043,0.6063000000000001
2020-09-10,MAXHEALTH,EQ,111.45,113.25,115.95,111.0,112.0,111.7,112.78,731283,8247337984999.999,8381,428128,0.5854
2020-09-11,MAXHEALTH,EQ,111.7,120.45,133.95,120.3,130.4,131.55,128.81,11028197,142051614515000.0,68438,2880455,0.2612
2020-09-14,MAXHEALTH,EQ,131.55,127.0,129.35,120.15,120.7,120.9,123.88,3503925,43408017850000.0,42126,1720660,0.4911
2020-09-15,MAXHEALTH,EQ,120.9,122.0,125.4,117.3,118.95,118.75,120.98,1262738,15275999890000.0,15161,556654,0.44079999999999997
2020-09-16,MAXHEALTH,EQ,118.75,119.9,122.0,116.9,121.4,120.7,119.4,749709,8951246395000.0,7298,325456,0.4341
2020-09-17,MAXHEALTH,EQ,120.7,120.0,121.35,116.1,117.45,117.7,118.4,617657,7312790805000.0,5998,330606,0.5353
2020-09-18,MAXHEALTH,EQ,117.7,118.6,120.9,115.25,116.8,116.85,118.32,1106408,13091347740000.0,7270,736311,0.6655
2020-09-21,MAXHEALTH,EQ,116.85,117.95,119.3,107.85,111.5,110.9,112.95,1758972,19867258230000.0,9755,1359265,0.7728
2020-09-22,MAXHEALTH,EQ,110.9,110.95,112.4,107.0,109.6,109.05,109.06,574754,6268040010000.0,6234,315859,0.5496
2020-09-23,MAXHEALTH,EQ,109.05,110.9,115.9,108.55,111.1,110.95,111.58,1230945,13734564725000.0,9856,797696,0.648
2020-09-24,MAXHEALTH,EQ,110.95,110.0,112.95,108.0,109.0,108.75,109.84,389947,4283029900000.0,4242,210266,0.5392
2020-09-25,MAXHEALTH,EQ,108.75,110.1,112.0,109.25,109.85,109.9,110.45,473902,5234015350000.0,3769,316559,0.668
2020-09-28,MAXHEALTH,EQ,109.9,111.55,119.5,111.35,116.0,116.55,115.36,5292435,61051693895000.01,21823,2514247,0.47509999999999997
2020-09-29,MAXHEALTH,EQ,116.55,117.0,117.5,111.75,113.3,113.45,114.19,1304996,14902180660000.0,7918,751510,0.5759000000000001
2020-09-30,MAXHEALTH,EQ,113.45,113.0,117.9,112.75,115.35,115.35,115.56,1287726,14880858455000.002,8898,818469,0.6356
2020-10-01,MAXHEALTH,EQ,115.35,116.7,119.1,114.35,115.55,115.9,117.08,1656938,19399348815000.0,6673,1082316,0.6531999999999999
