Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-09-11,MAXIND,EQ,53.05,52.95,63.65,52.35,63.65,63.65,57.81,5088809,29418015925000.0,15174,2272280,0.4465
2020-09-14,MAXIND,EQ,63.65,66.0,67.35,59.4,62.25,62.05,64.3,4576699,29428447860000.004,23092,1824535,0.3987
2020-09-15,MAXIND,EQ,62.05,63.25,68.3,59.0,67.3,66.95,65.42,7185515,47005225655000.0,26707,2537582,0.3532
2020-09-16,MAXIND,EQ,66.95,68.25,69.9,66.05,66.45,66.45,67.33,3171825,21354459485000.0,18265,1921972,0.606
2020-09-17,MAXIND,EQ,66.45,66.25,66.25,62.05,62.75,62.6,63.97,1448967,9268730135000.0,4956,945161,0.6523000000000001
2020-09-18,MAXIND,EQ,62.6,62.9,63.6,57.5,58.0,58.15,59.99,1467747,8804515090000.0,7678,1077846,0.7343999999999999
2020-09-21,MAXIND,EQ,58.15,58.0,61.4,56.5,58.0,57.85,58.52,1069196,6256521615000.0,3507,601468,0.5625
2020-09-22,MAXIND,EQ,57.85,57.9,59.6,55.95,59.2,58.8,57.97,397256,2302900695000.0,1682,224799,0.5659000000000001
2020-09-23,MAXIND,EQ,58.8,58.6,60.9,57.7,58.55,58.5,58.73,352554,2070388085000.0002,3202,208305,0.5908
2020-09-24,MAXIND,EQ,58.5,58.4,59.5,57.15,57.95,57.6,57.97,224238,1299827025000.0,1514,136054,0.6067
2020-09-25,MAXIND,EQ,57.6,58.05,59.35,57.85,58.25,58.25,58.36,456104,2662043965000.0,1096,260318,0.5707
2020-09-28,MAXIND,EQ,58.25,58.6,59.5,58.5,58.75,58.9,58.89,792431,4666622855000.0,13427,634366,0.8005
2020-09-29,MAXIND,EQ,58.9,59.0,61.9,58.1,60.0,60.2,59.59,975675,5813960005000.0,3800,732416,0.7506999999999999
2020-09-30,MAXIND,EQ,60.2,60.0,61.2,59.0,59.5,59.3,59.91,270499,1620482990000.0,1220,163174,0.6032000000000001
2020-10-01,MAXIND,EQ,59.3,59.6,60.35,59.3,59.85,59.7,59.8,237166,1418167550000.0,695,149368,0.6298
2020-10-05,MAXIND,EQ,59.7,60.5,60.8,59.75,60.0,60.1,60.12,367887,2211735410000.0,652,312948,0.8506999999999999
2020-10-06,MAXIND,EQ,60.1,60.15,60.55,59.2,60.1,59.7,59.73,114723,685249750000.0,706,62541,0.5451
2020-10-07,MAXIND,EQ,59.7,59.7,60.4,58.6,59.0,58.9,59.47,149281,887821344999.9999,710,101069,0.677
