Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-08-19,MCL,EQ,71.25,77.7,81.2,75.0,78.0,77.9,77.48,14224,110209835000.00002,236,6001,0.4219
2020-08-20,MCL,EQ,77.9,81.7,81.7,75.1,78.8,77.45,77.18,9299,71772885000.0,116,6699,0.7204
2020-08-21,MCL,EQ,77.45,80.0,80.0,71.7,75.8,75.65,77.02,14144,108943339999.99998,143,7812,0.5523
2020-08-24,MCL,EQ,75.65,74.15,80.0,74.15,78.0,77.1,77.71,38850,301916515000.0,72,36367,0.9361
2020-08-25,MCL,EQ,77.1,77.1,78.95,75.75,77.25,77.05,77.05,2817,21703675000.0,39,1752,0.6219
2020-08-26,MCL,EQ,77.05,77.85,78.5,76.9,77.9,77.9,77.47,2042,15819429999.999998,46,1971,0.9652
2020-08-27,MCL,EQ,77.9,79.9,79.9,77.15,77.2,78.55,78.48,1565,12282875000.0,32,962,0.6147
2020-08-28,MCL,EQ,78.55,79.0,79.0,76.05,78.45,78.45,77.78,3410,26522990000.000004,36,3159,0.9264
2020-08-31,MCL,EQ,78.45,72.1,78.45,70.2,72.7,73.4,73.1,6778,49544605000.0,72,3998,0.5898
2020-09-01,MCL,EQ,73.4,77.75,77.8,71.05,76.45,76.45,74.5,638,4753165000.0,24,523,0.8197
2020-09-02,MCL,EQ,76.45,76.45,76.45,72.15,75.35,75.4,75.45,1334,10065560000.0,20,1307,0.9798000000000001
2020-09-03,MCL,EQ,75.4,74.1,76.95,71.0,75.0,75.0,73.08,6110,44651110000.0,31,6096,0.9977
2020-09-04,MCL,EQ,75.0,71.25,75.0,71.25,73.45,73.45,73.22,756,5535365000.0,18,674,0.8915000000000001
2020-09-07,MCL,EQ,73.45,73.45,76.95,71.1,73.5,72.4,71.87,8731,62745494999.99999,51,7627,0.8736
2020-09-08,MCL,EQ,72.4,77.85,77.85,66.0,71.0,68.15,70.52,8938,63029944999.99999,52,8360,0.9353
2020-09-09,MCL,EQ,68.15,76.8,77.95,70.25,74.4,73.2,73.92,14538,107461505000.0,305,3760,0.2586
2020-09-10,MCL,EQ,73.2,73.2,77.85,71.25,76.5,76.2,74.62,6214,46369010000.0,121,3921,0.631
2020-09-11,MCL,EQ,76.2,77.95,77.95,71.8,75.9,74.0,74.68,2199,16422279999.999998,39,1875,0.8527
2020-09-14,MCL,EQ,74.0,74.0,76.0,71.1,71.1,72.95,74.06,5210,38587130000.0,44,844,0.162
2020-09-15,MCL,EQ,72.95,75.7,75.7,71.25,74.0,74.0,73.03,940,6864939999.999999,48,612,0.6511
2020-09-16,MCL,EQ,74.0,77.5,77.5,60.3,71.6,71.25,68.83,6685,46010960000.0,162,3528,0.5277000000000001
2020-09-17,MCL,EQ,71.25,72.0,73.95,68.05,71.0,70.45,71.79,9620,69062135000.0,190,2001,0.20800000000000002
2020-09-18,MCL,EQ,70.45,70.45,74.4,67.8,72.0,71.1,71.04,3664,26027710000.0,90,2149,0.5865
2020-09-21,MCL,EQ,71.1,73.85,73.9,69.5,69.55,70.95,71.92,8190,58898635000.0,245,1536,0.1875
2020-09-22,MCL,EQ,70.95,68.0,72.8,64.1,71.0,70.9,69.27,13030,90253950000.0,374,2995,0.2299
2020-09-23,MCL,EQ,70.9,76.55,76.55,67.0,67.1,68.95,69.2,6808,47114730000.0,170,807,0.1185
2020-09-24,MCL,EQ,68.95,71.4,71.4,65.3,66.05,67.55,68.08,9970,67871190000.0,295,1608,0.1613
2020-09-25,MCL,EQ,67.55,64.05,70.0,64.05,67.5,67.5,68.03,3451,23476635000.0,103,744,0.21559999999999999
2020-09-28,MCL,EQ,67.5,65.05,68.85,65.05,68.0,67.9,67.3,1001,6736920000.0,35,991,0.99
2020-09-29,MCL,EQ,67.9,66.1,70.5,65.55,66.0,66.2,66.13,486,3214120000.0,34,285,0.5864
2020-09-30,MCL,EQ,66.2,71.15,71.15,66.6,66.6,66.6,67.88,4657,31613555000.0,53,4395,0.9437000000000001
2020-10-01,MCL,EQ,66.6,66.65,72.05,66.6,69.3,69.05,69.39,2143,14871204999.999998,56,1741,0.8124
