Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-05-22,NEOGEN,EQ,260.55,261.0,291.85,261.0,278.6,283.2,278.02,444417,12355686550000.0,9001,204052,0.45909999999999995
2019-05-23,NEOGEN,EQ,283.2,285.0,300.0,282.6,289.0,289.05,291.87,231584,6759290540000.001,4574,112694,0.4866
2019-05-24,NEOGEN,EQ,289.05,292.0,300.0,290.3,294.85,295.15,296.6,140801,4176174315000.0,2763,105709,0.7508
2019-05-27,NEOGEN,EQ,295.15,306.0,316.8,280.0,299.6,299.55,306.94,318442,9774223990000.0,10885,201185,0.6318
2019-05-28,NEOGEN,EQ,299.55,301.75,304.5,295.45,300.2,300.35,300.26,68546,2058135985000.0002,1867,37933,0.5534
2019-05-29,NEOGEN,EQ,300.35,302.0,302.4,288.0,288.3,290.7,295.61,51157,1512269045000.0,1090,37237,0.7279000000000001
2019-05-30,NEOGEN,EQ,290.7,289.75,297.8,285.1,293.5,294.4,292.22,54877,1603611955000.0,1419,28060,0.5113000000000001
2019-05-31,NEOGEN,EQ,294.4,297.3,319.8,292.35,303.1,303.95,310.1,260937,8091783990000.001,6263,117585,0.45060000000000006
2019-06-03,NEOGEN,EQ,303.95,306.5,313.0,303.7,310.05,310.7,309.21,52594,1626278875000.0,1201,32997,0.6274000000000001
2019-06-04,NEOGEN,EQ,310.7,311.0,323.9,311.0,317.9,317.75,318.91,96085,3064267765000.0,2869,55986,0.5827
2019-06-06,NEOGEN,EQ,317.75,318.0,320.0,312.0,312.9,313.25,316.88,33567,1063668140000.0,855,20830,0.6204999999999999
2019-06-07,NEOGEN,EQ,313.25,314.0,318.0,305.0,306.05,306.4,312.14,49703,1551418755000.0,1534,33525,0.6745
2019-06-10,NEOGEN,EQ,306.4,310.65,310.7,295.1,298.5,299.6,301.58,30781,928280800000.0,783,18797,0.6107
2019-06-11,NEOGEN,EQ,299.6,299.6,311.15,291.5,310.75,308.15,301.48,49470,1491431255000.0,1275,26705,0.5398
2019-06-12,NEOGEN,EQ,308.15,312.9,366.5,308.9,363.0,363.2,347.05,972918,33765421875000.0,24718,249054,0.256
2019-06-13,NEOGEN,EQ,363.2,363.75,398.8,362.2,387.15,388.75,387.46,1186827,45984517005000.0,33159,132781,0.1119
2019-06-14,NEOGEN,EQ,388.75,390.7,393.95,363.0,372.6,371.75,377.45,288044,10872336555000.0,9646,49701,0.17250000000000001
2019-06-17,NEOGEN,EQ,371.75,374.7,381.6,361.0,368.0,365.3,369.46,126602,4677432480000.0,3881,32952,0.2172
2019-06-18,NEOGEN,EQ,365.3,368.5,403.7,365.5,380.1,380.7,390.8,701949,27431908850000.0,22627,107707,0.1349
2019-06-19,NEOGEN,EQ,380.7,382.25,394.9,367.55,380.0,377.65,382.8,244611,9363599665000.0,8257,59403,0.24280000000000002
2019-06-20,NEOGEN,EQ,377.65,380.35,385.0,374.0,375.05,377.3,378.45,100132,3789447135000.0,4010,28192,0.2815
2019-06-21,NEOGEN,EQ,377.3,375.65,380.0,356.0,360.0,359.6,364.41,157047,5722952920000.0,6398,40901,0.2604
2019-06-24,NEOGEN,EQ,359.6,361.0,366.0,345.4,350.9,349.7,352.87,110594,3902581695000.0005,4625,31724,0.28690000000000004
2019-06-25,NEOGEN,EQ,349.7,350.7,364.5,345.0,357.0,356.9,356.96,150662,5377973610000.0,6239,37136,0.2465
2019-06-26,NEOGEN,EQ,356.9,357.0,361.7,352.5,353.75,354.85,357.95,55628,1991184800000.0,2645,21677,0.3897
2019-06-27,NEOGEN,EQ,354.85,354.9,356.95,345.4,348.55,348.25,350.03,41899,1466594215000.0,1685,21927,0.5233
2019-06-28,NEOGEN,EQ,348.25,350.4,363.75,346.1,363.0,359.7,356.54,74024,2639284670000.0,2465,36433,0.4922
2019-07-01,NEOGEN,EQ,359.7,363.0,371.0,358.05,359.9,360.2,363.3,30696,1115177305000.0,1087,14535,0.47350000000000003
2019-07-02,NEOGEN,EQ,360.2,360.5,364.45,351.0,355.0,353.45,357.09,30067,1073651865000.0,1135,17743,0.5901
2019-07-03,NEOGEN,EQ,353.45,355.6,355.6,346.1,348.65,347.9,350.04,22505,787771590000.0,1181,13665,0.6072
2019-07-04,NEOGEN,EQ,347.9,349.6,355.1,335.2,338.0,337.5,346.22,46247,1601154650000.0,2534,23207,0.5018
2019-07-05,NEOGEN,EQ,337.5,338.95,345.9,335.1,336.05,336.1,338.23,61967,2095923650000.0,2092,34688,0.5598
2019-07-08,NEOGEN,EQ,336.1,330.0,334.1,324.15,330.0,330.35,329.81,52617,1735348425000.0,1368,38212,0.7262000000000001
2019-07-09,NEOGEN,EQ,330.35,325.55,354.0,325.55,345.2,341.75,336.97,36142,1217864285000.0,1390,17465,0.4832
2019-07-10,NEOGEN,EQ,341.75,342.0,348.4,336.0,347.1,346.3,343.53,29343,1008026369999.9999,676,18507,0.6307
2019-07-11,NEOGEN,EQ,346.3,349.0,350.4,342.2,343.05,345.75,347.09,10779,374127670000.0,565,4629,0.4294
2019-07-12,NEOGEN,EQ,345.75,345.8,348.8,336.95,344.4,340.5,340.79,15276,520597505000.0,744,7583,0.4964
2019-07-15,NEOGEN,EQ,340.5,340.1,360.0,340.1,351.0,351.5,352.81,42525,1500341880000.0,1865,15085,0.3547
2019-07-16,NEOGEN,EQ,351.5,351.0,360.4,346.1,347.0,347.7,350.88,92246,3236717730000.0,1215,12749,0.13820000000000002
2019-07-17,NEOGEN,EQ,347.7,349.45,350.05,345.0,347.05,347.15,347.69,9816,341288320000.0,526,5174,0.5271
2019-07-18,NEOGEN,EQ,347.15,348.8,349.85,345.0,345.05,345.25,345.96,11714,405256450000.0,437,7652,0.6531999999999999
2019-07-19,NEOGEN,EQ,345.25,345.5,348.0,338.0,346.0,343.2,343.1,27893,957007615000.0,727,19093,0.6845
2019-07-22,NEOGEN,EQ,343.2,340.0,344.0,335.0,336.2,338.45,337.51,18099,610859205000.0,488,13648,0.7541
2019-07-23,NEOGEN,EQ,338.45,337.0,346.85,337.0,345.35,344.05,341.51,22082,754122450000.0,526,17362,0.7863
