Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-10-01,NIRAJ,EQ,36.5,38.3,38.3,37.35,38.3,38.3,38.26,3221,12324995000.0,59,2861,0.8882
2020-10-05,NIRAJ,EQ,38.3,40.2,40.2,38.8,40.2,40.2,39.46,73268,289111265000.0,342,66743,0.9109
2020-10-06,NIRAJ,EQ,40.2,41.95,42.2,41.95,42.2,42.2,42.18,8675,36594125000.0,41,8175,0.9424
2020-10-07,NIRAJ,EQ,42.2,44.3,44.3,43.25,44.3,44.3,44.27,7403,32770255000.0,113,6836,0.9234
2020-10-08,NIRAJ,EQ,44.3,46.5,46.5,46.5,46.5,46.5,46.5,4514,20990100000.0,26,4513,0.9998
2020-10-09,NIRAJ,EQ,46.5,48.8,48.8,48.8,48.8,48.8,48.8,551,2688880000.0,11,551,1.0
2020-10-12,NIRAJ,EQ,48.8,51.2,51.2,46.4,51.2,51.2,50.01,182861,914493365000.0,1354,167575,0.9164
2020-10-13,NIRAJ,EQ,51.2,53.75,53.75,49.15,53.2,53.05,52.4,77755,407424110000.0,409,47868,0.6156
2020-10-14,NIRAJ,EQ,53.05,54.45,54.45,50.4,52.0,51.65,51.15,43242,221161220000.00003,305,33918,0.7844
2020-10-15,NIRAJ,EQ,51.65,49.5,51.9,49.1,49.1,49.1,49.95,49511,247298515000.0,113,46895,0.9472
2020-10-16,NIRAJ,EQ,49.1,46.65,51.5,46.65,46.65,48.0,48.82,45050,219927390000.0,157,41519,0.9216
2020-10-19,NIRAJ,EQ,48.0,46.7,49.0,46.05,47.5,47.5,48.27,54684,263955975000.0,124,47047,0.8603000000000001
2020-10-20,NIRAJ,EQ,47.5,48.1,49.85,45.15,49.85,49.75,48.69,271000,1319488310000.0,445,193290,0.7132
2020-10-21,NIRAJ,EQ,49.75,52.2,52.2,48.15,50.45,50.0,50.07,62295,311918645000.0,181,56616,0.9087999999999999
