Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-04-17,POWERINDIA,EQ,788.0,788.0,800.0,787.25,790.1,792.0,791.82,214812,17009241955000.002,540,202835,0.9442
2020-04-20,POWERINDIA,EQ,792.0,793.0,807.9,790.0,795.0,793.1,800.53,30483,2440249590000.0,3248,26101,0.8562000000000001
2020-04-21,POWERINDIA,EQ,793.1,803.95,803.95,786.05,788.0,788.05,789.44,74484,5880044150000.0,2816,63589,0.8537
2020-04-22,POWERINDIA,EQ,788.05,784.1,800.0,784.1,792.2,793.35,796.71,21366,1702246314999.9998,372,19618,0.9181999999999999
2020-04-23,POWERINDIA,EQ,793.35,792.05,803.9,792.05,800.0,800.05,799.33,18607,1487320235000.0,1217,16894,0.9079
2020-04-24,POWERINDIA,EQ,800.05,796.85,803.9,796.1,803.45,802.85,800.07,6562,525003795000.0,668,5346,0.8147
2020-04-27,POWERINDIA,EQ,802.85,803.9,808.9,799.05,805.3,802.05,804.64,5578,448825780000.0,420,3779,0.6775
2020-04-28,POWERINDIA,EQ,802.05,806.8,807.0,801.1,803.55,805.65,803.37,10418,836946975000.0,2667,9083,0.8719
2020-04-29,POWERINDIA,EQ,805.65,803.0,811.9,800.1,810.85,809.1,808.94,6160,498305280000.0,239,4765,0.7735
2020-04-30,POWERINDIA,EQ,809.1,813.95,815.1,800.0,805.9,801.45,803.98,36263,2915470970000.0,2353,32023,0.8831
2020-05-04,POWERINDIA,EQ,801.45,805.9,808.0,790.0,792.0,790.95,793.5,255704,20289997960000.0,5725,226949,0.8875000000000001
2020-05-05,POWERINDIA,EQ,790.95,790.95,798.0,790.95,795.5,794.7,794.4,33019,2623045745000.0,7447,28795,0.8721
2020-05-06,POWERINDIA,EQ,794.7,789.05,798.9,789.05,793.0,795.5,795.39,21000,1670321095000.0,2622,18213,0.8673000000000001
2020-05-07,POWERINDIA,EQ,795.5,792.35,799.0,790.25,797.55,795.15,794.94,202236,16076494085000.0,7436,186861,0.924
2020-05-08,POWERINDIA,EQ,795.15,794.95,806.0,793.6,796.0,798.15,796.47,16353,1302469930000.0,380,14648,0.8956999999999999
2020-05-11,POWERINDIA,EQ,798.15,800.05,806.85,800.0,804.85,803.75,803.5,6922,556185170000.0,513,5566,0.8041
2020-05-12,POWERINDIA,EQ,803.75,806.0,809.0,801.55,804.2,806.05,805.0,22239,1790250610000.0002,1532,11411,0.5131
2020-05-13,POWERINDIA,EQ,806.05,810.0,812.95,804.3,811.0,811.15,809.07,24663,1995413985000.0002,1424,18256,0.7402
2020-05-14,POWERINDIA,EQ,811.15,808.0,833.35,805.65,813.0,817.1,813.6,8982,730772920000.0,1457,5665,0.6307
2020-05-15,POWERINDIA,EQ,817.1,818.25,828.85,811.5,818.0,818.4,822.89,35587,2928408440000.0,751,24361,0.6845
2020-05-18,POWERINDIA,EQ,818.4,832.95,832.95,815.5,820.95,819.95,819.58,9141,749178075000.0,272,8018,0.8771
2020-05-19,POWERINDIA,EQ,819.95,829.95,829.95,805.5,818.0,818.8,819.53,7918,648901010000.0,227,6115,0.7723000000000001
2020-05-20,POWERINDIA,EQ,818.8,818.95,820.05,814.25,817.95,817.1,816.59,4878,398332840000.0,874,3133,0.6423000000000001
