Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-05-22,RAJRATAN,EQ,192.35,196.4,196.4,182.05,189.85,186.4,191.53,7765,148726630000.0,225,5619,0.7236
2020-05-26,RAJRATAN,EQ,186.4,193.95,193.95,175.5,179.45,179.3,180.58,4112,74256275000.0,83,3360,0.8170999999999999
2020-05-27,RAJRATAN,EQ,179.3,179.0,183.0,172.0,172.0,173.9,176.34,6294,110989264999.99998,251,4910,0.7801
2020-05-28,RAJRATAN,EQ,173.9,179.45,182.0,176.6,181.35,181.0,178.52,15078,269175450000.0,196,13728,0.9105
2020-05-29,RAJRATAN,EQ,181.0,181.0,189.0,180.95,186.5,185.05,184.4,14376,265093025000.0,205,12340,0.8584
2020-06-01,RAJRATAN,EQ,185.05,187.0,192.85,186.5,192.75,192.0,189.78,6344,120398564999.99998,198,5267,0.8301999999999999
2020-06-02,RAJRATAN,EQ,192.0,193.75,215.0,166.0,209.9,206.15,201.19,23698,476790445000.0,722,13824,0.5833
2020-06-03,RAJRATAN,EQ,206.15,222.0,247.35,185.05,216.0,215.1,222.27,44077,979679585000.0,1153,14346,0.32549999999999996
2020-06-04,RAJRATAN,EQ,215.1,215.95,215.95,203.05,211.0,212.6,209.63,8255,173045965000.0,227,4964,0.6013000000000001
2020-06-05,RAJRATAN,EQ,212.6,210.0,223.95,207.1,216.1,220.2,218.36,7880,172065475000.0,304,5837,0.7406999999999999
2020-06-08,RAJRATAN,EQ,220.2,222.0,231.9,218.8,224.95,224.45,225.14,12965,291896275000.0,365,8720,0.6726000000000001
2020-06-09,RAJRATAN,EQ,224.45,225.0,228.55,216.05,219.0,218.85,221.65,7622,168944760000.0,218,5886,0.7722
2020-06-10,RAJRATAN,EQ,218.85,218.85,229.85,218.85,228.85,228.35,226.15,9295,210203345000.00003,219,6640,0.7144
2020-06-11,RAJRATAN,EQ,228.35,230.0,233.0,215.4,216.0,219.35,225.82,8901,201005855000.0,240,5611,0.6304
2020-06-12,RAJRATAN,EQ,219.35,202.5,219.35,202.5,213.5,215.6,211.12,4177,88186600000.0,154,3088,0.7393000000000001
2020-06-15,RAJRATAN,EQ,215.6,214.0,220.0,213.5,214.5,214.9,217.07,1468,31866559999.999996,60,758,0.5163
2020-06-16,RAJRATAN,EQ,214.9,214.1,224.0,213.0,215.05,218.05,219.25,2643,57948960000.0,158,1457,0.5513
2020-06-17,RAJRATAN,EQ,218.05,219.95,219.95,213.8,214.45,215.0,215.59,1837,39604135000.0,102,1138,0.6195
2020-06-18,RAJRATAN,EQ,215.0,213.0,218.0,212.0,216.0,214.7,214.47,903,19366405000.0,51,461,0.5105
2020-06-19,RAJRATAN,EQ,214.7,218.0,222.85,214.05,221.0,221.0,219.65,3377,74176305000.0,118,2611,0.7732
