Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-12-14,REPL,EQ,96.0,100.8,100.8,97.55,100.75,99.85,100.39,22756,228442560000.0,255,14052,0.6175
2020-12-15,REPL,EQ,99.85,103.95,104.45,97.05,97.05,98.65,102.41,12812,131202410000.00002,155,8407,0.6562
2020-12-16,REPL,EQ,98.65,102.95,102.95,97.15,99.4,101.6,101.4,4424,44860545000.0,41,4301,0.9722000000000001
2020-12-17,REPL,EQ,101.6,103.7,106.65,101.0,106.65,106.55,105.93,32755,346965535000.0,198,26938,0.8224
2020-12-18,REPL,EQ,106.55,111.0,111.85,108.6,110.0,111.0,111.59,50677,565487940000.0,169,43628,0.8609
2020-12-21,REPL,EQ,111.0,114.0,115.9,105.45,106.0,107.7,111.22,30218,336099295000.0,233,26548,0.8785
2020-12-22,REPL,EQ,107.7,107.0,113.05,102.35,108.0,109.25,108.55,30971,336187005000.0,134,21916,0.7076000000000001
2020-12-23,REPL,EQ,109.25,112.95,114.7,110.0,114.65,114.65,114.15,25761,294068775000.0,125,22613,0.8778
2020-12-24,REPL,EQ,114.65,118.85,119.75,111.3,112.0,112.15,115.24,3864,44530360000.0,88,2824,0.7308
2020-12-28,REPL,EQ,112.15,116.95,116.95,112.3,112.6,113.05,113.11,5730,64811675000.0,59,4055,0.7077
2020-12-29,REPL,EQ,113.05,112.0,117.35,107.55,111.2,112.9,111.56,109837,1225381255000.0,173,106350,0.9683
2020-12-30,REPL,EQ,112.9,114.95,115.05,109.0,109.25,110.35,112.09,13874,155509880000.0,204,11365,0.8192
2020-12-31,REPL,EQ,110.35,111.05,115.5,110.05,113.95,113.5,113.71,18347,208619285000.0,212,15972,0.8706
