Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-11-03,ROML,EQ,7.25,7.6,7.6,7.6,7.6,7.6,7.6,32,24320000.0,2,32,1.0
2020-11-04,ROML,EQ,7.6,7.95,7.95,7.95,7.95,7.95,7.95,60,47700000.0,2,60,1.0
2020-11-05,ROML,EQ,7.95,8.3,8.3,8.3,8.3,8.3,8.3,17,14110000.0,2,17,1.0
2020-11-06,ROML,EQ,8.3,8.7,8.7,8.7,8.7,8.7,8.7,317,275790000.0,3,317,1.0
2020-11-09,ROML,EQ,8.7,9.1,9.1,9.1,9.1,9.1,9.1,42,38220000.0,4,42,1.0
2020-11-10,ROML,EQ,9.1,9.55,9.55,9.55,9.55,9.55,9.55,327,312285000.0,12,327,1.0
2020-11-11,ROML,EQ,9.55,10.0,10.0,10.0,10.0,10.0,10.0,853,853000000.0,5,853,1.0
2020-11-13,ROML,EQ,10.0,10.5,10.5,10.5,10.5,10.5,10.5,206,216300000.0,4,206,1.0
2020-11-14,ROML,EQ,10.5,11.0,11.0,11.0,11.0,11.0,11.0,31,34100000.0,3,31,1.0
2020-11-17,ROML,EQ,11.0,11.55,11.55,11.55,11.55,11.55,11.55,438,505889999.99999994,5,438,1.0
2020-11-18,ROML,EQ,11.55,12.1,12.1,12.1,12.1,12.1,12.1,441,533610000.00000006,5,441,1.0
2020-11-19,ROML,EQ,12.1,12.7,12.7,12.7,12.7,12.7,12.7,5,6350000.0,1,5,1.0
2020-11-20,ROML,EQ,12.7,13.3,13.3,13.3,13.3,13.3,13.3,305,405650000.0,3,305,1.0
2020-11-23,ROML,EQ,13.3,13.95,13.95,13.95,13.95,13.95,13.95,77,107415000.00000001,9,77,1.0
2020-11-24,ROML,EQ,13.95,14.6,14.6,14.6,14.6,14.6,14.6,128,186880000.0,3,128,1.0
2020-11-25,ROML,EQ,14.6,15.3,15.3,15.3,15.3,15.3,15.3,605,925650000.0,6,605,1.0
2020-11-26,ROML,EQ,15.3,16.05,16.05,16.05,16.05,16.05,16.05,972,1560060000.0,10,972,1.0
2020-11-27,ROML,EQ,16.05,16.85,16.85,16.85,16.85,16.85,16.85,85,143225000.0,7,85,1.0
2020-12-01,ROML,EQ,16.85,17.65,17.65,17.65,17.65,17.65,17.65,3084,5443260000.0,5,3084,1.0
2020-12-02,ROML,EQ,17.65,18.5,18.5,18.5,18.5,18.5,18.5,549,1015650000.0,5,549,1.0
2020-12-03,ROML,EQ,18.5,19.4,19.4,19.4,19.4,19.4,19.4,506,981640000.0,4,506,1.0
2020-12-04,ROML,EQ,19.4,20.35,20.35,20.35,20.35,20.35,20.35,221,449735000.00000006,10,221,1.0
2020-12-07,ROML,EQ,20.35,21.35,21.35,21.35,21.35,21.35,21.35,1131,2414685000.0,9,1131,1.0
2020-12-08,ROML,EQ,21.35,22.4,22.4,22.4,22.4,22.4,22.4,281,629440000.0,12,281,1.0
2020-12-09,ROML,EQ,22.4,23.5,23.5,23.5,23.5,23.5,23.5,420,987000000.0,4,420,1.0
2020-12-10,ROML,EQ,23.5,24.65,24.65,24.65,24.65,24.65,24.65,246,606390000.0,4,246,1.0
2020-12-11,ROML,EQ,24.65,25.85,25.85,25.85,25.85,25.85,25.85,1459,3771515000.0,7,1459,1.0
2020-12-14,ROML,EQ,25.85,27.1,27.1,27.1,27.1,27.1,27.1,33,89430000.0,3,33,1.0
2020-12-15,ROML,EQ,27.1,28.45,28.45,28.45,28.45,28.45,28.45,2622,7459589999.999999,20,2622,1.0
2020-12-16,ROML,EQ,28.45,29.85,29.85,29.85,29.85,29.85,29.85,1329,3967065000.0,9,1329,1.0
2020-12-17,ROML,EQ,29.85,31.3,31.3,31.3,31.3,31.3,31.3,1457,4560410000.0,9,1457,1.0
2020-12-18,ROML,EQ,31.3,32.85,32.85,32.85,32.85,32.85,32.85,617,2026845000.0,10,617,1.0
2020-12-21,ROML,EQ,32.85,34.45,34.45,34.45,34.45,34.45,34.45,5420,18671900000.0,16,2759,0.509
2020-12-22,ROML,EQ,34.45,36.15,36.15,36.15,36.15,36.15,36.15,408,1474920000.0,14,408,1.0
2020-12-23,ROML,EQ,36.15,37.95,37.95,37.95,37.95,37.95,37.95,266,1009470000.0000001,10,266,1.0
2020-12-24,ROML,EQ,37.95,39.8,39.8,39.8,39.8,39.8,39.8,10352,41200960000.0,9,10352,1.0
2020-12-28,ROML,EQ,39.8,41.75,41.75,41.75,41.75,41.75,41.75,310,1294250000.0,7,310,1.0
2020-12-29,ROML,EQ,41.75,43.8,43.8,43.8,43.8,43.8,43.8,562,2461560000.0,21,562,1.0
2020-12-30,ROML,EQ,43.8,45.95,45.95,45.95,45.95,45.95,45.95,1232,5661040000.0,47,1232,1.0
2020-12-31,ROML,EQ,45.95,48.2,48.2,48.2,48.2,48.2,48.2,244,1176080000.0,8,244,1.0
