Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-07-23,ROSSARI,EQ,425.0,669.25,803.1,664.0,752.0,741.65,722.81,35781623,2586345161100000.0,998295,6967004,0.19469999999999998
2020-07-24,ROSSARI,EQ,741.65,754.0,793.9,723.35,734.5,731.2,756.53,7743490,585816029385000.0,311421,1070353,0.13820000000000002
2020-07-27,ROSSARI,EQ,731.2,737.25,748.8,681.2,723.0,727.3,719.48,4512553,324668349025000.0,156953,470183,0.1042
2020-07-28,ROSSARI,EQ,727.3,715.0,738.0,711.1,714.0,716.5,726.09,1427725,103665259685000.0,55435,184963,0.12960000000000002
2020-07-29,ROSSARI,EQ,716.5,714.05,722.2,700.0,702.0,702.85,710.36,879722,62491494420000.01,33599,200343,0.2277
2020-07-30,ROSSARI,EQ,702.85,705.0,713.0,675.0,679.2,683.8,691.27,1091599,75459020725000.0,49949,248121,0.2273
2020-07-31,ROSSARI,EQ,683.8,686.0,730.0,666.0,718.0,715.05,711.96,2528271,180001609805000.0,68574,390408,0.1544
2020-08-03,ROSSARI,EQ,715.05,714.8,717.9,697.0,713.1,711.9,708.67,712557,50496898335000.0,19297,160680,0.2255
2020-08-04,ROSSARI,EQ,711.9,717.1,748.5,707.75,741.3,742.5,731.12,1416595,103570321660000.0,39018,323835,0.2286
2020-08-05,ROSSARI,EQ,742.5,744.0,772.75,742.1,746.0,748.95,759.56,2143492,162810217580000.0,57402,378415,0.1765
2020-08-06,ROSSARI,EQ,748.95,751.6,767.85,750.1,753.1,754.75,758.62,842088,63882683040000.0,21038,139490,0.1656
2020-08-07,ROSSARI,EQ,754.75,756.9,769.5,742.3,754.0,753.65,756.38,744142,56285366440000.0,17888,140524,0.1888
2020-08-10,ROSSARI,EQ,753.65,757.9,768.0,743.7,752.0,751.15,757.7,529715,40136650095000.0,13567,160344,0.3027
2020-08-11,ROSSARI,EQ,751.15,754.95,818.8,751.05,763.0,766.85,792.69,6008822,476310689045000.0,123865,722831,0.12029999999999999
2020-08-12,ROSSARI,EQ,766.85,755.4,778.9,751.0,757.0,758.0,766.34,922208,70672196685000.0,26043,160495,0.174
2020-08-13,ROSSARI,EQ,758.0,765.8,784.95,757.5,772.2,773.3,774.36,1039156,80468313155000.0,29859,161117,0.155
2020-08-14,ROSSARI,EQ,773.3,774.0,781.9,675.15,743.0,740.65,749.45,997328,74744716900000.0,30423,184221,0.1847
2020-08-17,ROSSARI,EQ,740.65,750.75,755.95,734.1,737.5,738.5,744.15,549428,40885555490000.0,17288,89547,0.163
2020-08-18,ROSSARI,EQ,738.5,743.65,793.85,739.25,784.2,783.75,771.91,1630817,125884052459999.98,54388,340435,0.20879999999999999
2020-08-19,ROSSARI,EQ,783.75,787.9,797.5,768.05,782.2,781.25,785.24,1377909,108199208880000.0,32816,178747,0.1297
2020-08-20,ROSSARI,EQ,781.25,771.2,775.45,761.15,767.8,769.1,767.79,833008,63957897470000.01,22126,277865,0.3336
2020-08-21,ROSSARI,EQ,769.1,777.7,805.9,776.4,799.95,795.8,795.19,1867968,148539614310000.0,50638,290408,0.1555
2020-08-24,ROSSARI,EQ,795.8,800.0,814.25,793.0,796.6,800.85,802.26,1427333,114508771634999.98,38294,364823,0.2556
2020-08-25,ROSSARI,EQ,800.85,812.95,816.0,785.0,792.1,793.25,801.91,1135067,91021860780000.0,25401,321348,0.2831
2020-08-26,ROSSARI,EQ,793.25,793.0,799.75,770.0,780.25,779.55,784.48,709216,55636658465000.0,14486,373210,0.5262
2020-08-27,ROSSARI,EQ,779.55,787.9,795.0,777.05,782.15,782.05,785.69,391967,30796576610000.004,14242,100661,0.25680000000000003
2020-08-28,ROSSARI,EQ,782.05,786.9,793.6,772.55,774.65,775.2,783.29,274889,21531687045000.0,8638,77350,0.28140000000000004
2020-08-31,ROSSARI,EQ,775.2,776.0,781.4,721.0,741.0,738.1,749.02,641896,48079005440000.0,20779,208318,0.3245
2020-09-01,ROSSARI,EQ,738.1,738.5,745.8,719.0,726.0,725.05,732.86,302856,22195154340000.0,12726,66566,0.2198
2020-09-02,ROSSARI,EQ,725.05,725.7,839.9,725.7,821.0,815.75,789.75,2095168,165466919735000.0,58138,416477,0.1988
2020-09-03,ROSSARI,EQ,815.75,844.4,859.0,767.0,777.0,775.15,818.17,3613435,295640822165000.0,104613,317038,0.0877
2020-09-04,ROSSARI,EQ,775.15,765.0,805.0,755.25,794.5,793.05,787.68,1380767,108759962375000.0,49368,114835,0.08320000000000001
2020-09-07,ROSSARI,EQ,793.05,794.5,807.7,783.35,802.1,801.95,797.04,727530,57986699665000.0,24748,133613,0.1837
2020-09-08,ROSSARI,EQ,801.95,801.0,808.0,782.5,783.0,787.5,795.47,313842,24965300490000.0,13304,53757,0.17129999999999998
2020-09-09,ROSSARI,EQ,787.5,783.8,784.8,767.0,774.0,772.5,773.96,211266,16351225810000.0,9473,44521,0.2107
2020-09-10,ROSSARI,EQ,772.5,780.0,790.0,771.25,775.9,777.4,779.82,232518,18132238555000.0,8753,52805,0.22710000000000002
2020-09-11,ROSSARI,EQ,777.4,775.95,794.2,771.75,781.9,780.95,784.96,333887,26208629070000.0,12418,47517,0.1423
2020-09-14,ROSSARI,EQ,780.95,788.5,838.8,782.35,820.95,820.35,815.25,820442,66886918895000.01,27186,198054,0.2414
2020-09-15,ROSSARI,EQ,820.35,824.95,829.15,811.25,822.9,821.2,819.75,263066,21564925630000.0,11441,51404,0.1954
2020-09-16,ROSSARI,EQ,821.2,825.7,843.9,816.05,836.4,835.05,827.95,338360,28014461625000.0,13229,84190,0.2488
