Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-09-21,ROUTE,EQ,350.0,717.0,735.0,625.0,650.0,651.3,686.06,29189660,2002598353630000.0,704760,10910628,0.3738
2020-09-22,ROUTE,EQ,651.3,664.7,703.9,635.85,700.0,694.25,676.94,6302385,426632519180000.0,144003,903303,0.1433
2020-09-23,ROUTE,EQ,694.25,714.0,833.1,708.15,833.1,824.25,778.77,14866529,1157756668225000.0,386411,1145456,0.077
2020-09-24,ROUTE,EQ,824.25,830.5,978.6,806.3,906.8,903.6,907.29,17844997,1619059180625000.0,643378,947114,0.053099999999999994
2020-09-25,ROUTE,EQ,903.6,932.0,988.0,896.4,937.9,938.8,943.29,9590008,904617812100000.0,368489,539615,0.0563
2020-09-28,ROUTE,EQ,938.8,944.95,969.0,910.0,920.0,919.65,932.28,2804287,261439068140000.0,125439,317863,0.1133
2020-09-29,ROUTE,EQ,919.65,927.0,933.75,827.7,827.7,827.7,857.16,3583138,307133589755000.0,126564,636974,0.1778
2020-09-30,ROUTE,EQ,827.7,785.0,847.0,772.2,806.0,806.75,815.51,4641762,378538044425000.0,194509,367000,0.0791
2020-10-01,ROUTE,EQ,806.75,821.0,832.0,758.0,785.0,783.45,788.19,1835908,144704314085000.0,73065,228365,0.1244
2020-10-05,ROUTE,EQ,783.45,790.65,849.4,771.15,825.0,827.4,819.3,3141795,257406037050000.0,119552,294163,0.0936
2020-10-06,ROUTE,EQ,827.4,835.0,835.0,801.1,804.05,806.65,816.0,916568,74792321390000.0,36331,124280,0.1356
2020-10-07,ROUTE,EQ,806.65,809.0,809.0,780.2,782.0,784.55,792.23,621724,49254978680000.0,32524,127429,0.20500000000000002
2020-10-08,ROUTE,EQ,784.55,784.0,828.8,782.0,797.2,798.9,805.12,1414754,113903990845000.0,46102,146164,0.1033
2020-10-09,ROUTE,EQ,798.9,803.7,806.2,782.0,784.0,788.0,790.14,368973,29154036310000.004,16715,64516,0.1749
2020-10-12,ROUTE,EQ,788.0,789.9,790.0,758.25,761.9,765.1,771.71,389185,30033617589999.996,15290,79270,0.20370000000000002
2020-10-13,ROUTE,EQ,765.1,765.1,799.0,753.05,775.45,778.15,782.54,759746,59452810765000.0,27655,104898,0.1381
2020-10-14,ROUTE,EQ,778.15,778.8,791.85,768.2,771.9,772.6,779.52,398436,31058918264999.996,16287,67178,0.1686
2020-10-15,ROUTE,EQ,772.6,780.0,781.0,751.15,766.5,763.95,767.63,298025,22877381150000.0,10331,69319,0.23260000000000003
2020-10-16,ROUTE,EQ,763.95,770.0,770.0,687.6,707.0,708.4,699.81,3319561,232305058760000.0,60336,1556324,0.46880000000000005
2020-10-19,ROUTE,EQ,708.4,720.85,743.8,706.55,715.25,715.75,722.43,1516696,109571322600000.0,46060,497876,0.3283
2020-10-20,ROUTE,EQ,715.75,715.0,727.35,707.0,724.5,720.35,716.7,552843,39622057905000.0,17042,231158,0.4181
2020-10-21,ROUTE,EQ,720.35,728.0,776.6,720.05,751.1,752.7,750.9,1852912,139134583705000.0,51284,270766,0.1461
2020-10-22,ROUTE,EQ,752.7,751.8,827.95,741.65,827.95,821.85,797.39,2743908,218795640790000.0,76469,557589,0.20320000000000002
2020-10-23,ROUTE,EQ,821.85,832.0,841.3,790.0,800.0,803.2,818.78,1717361,140614671080000.0,47196,337773,0.1967
2020-10-26,ROUTE,EQ,803.2,798.0,814.7,777.7,797.55,795.45,794.4,559455,44443137080000.0,18623,97420,0.1741
2020-10-27,ROUTE,EQ,795.45,801.0,840.0,772.0,829.0,829.65,813.02,1060948,86257020585000.0,35626,180335,0.17
2020-10-28,ROUTE,EQ,829.65,835.0,912.6,829.65,912.6,912.6,887.65,3837837,340663979635000.0,99958,862262,0.22469999999999998
2020-10-29,ROUTE,EQ,912.6,914.9,989.9,885.3,952.65,949.15,950.44,4021026,382174394560000.0,143242,707613,0.17600000000000002
2020-10-30,ROUTE,EQ,949.15,945.0,1012.9,934.4,983.1,997.2,982.08,2158618,211993569570000.0,73912,339942,0.1575
2020-11-02,ROUTE,EQ,997.2,990.9,1096.9,982.35,1096.9,1096.9,1043.22,2019426,210671430970000.0,67511,549125,0.27190000000000003
2020-11-03,ROUTE,EQ,1096.9,1151.7,1151.7,1042.1,1042.1,1042.1,1114.82,1365938,152277944460000.0,43591,441434,0.3232
