Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-02-07,RUCHI,EQ,26.05,28.65,28.65,28.65,28.65,28.65,28.65,693,1985445000.0,45,693,1.0
2020-02-10,RUCHI,EQ,28.65,31.5,31.5,31.5,31.5,31.5,31.5,630,1984500000.0,49,630,1.0
2020-02-11,RUCHI,EQ,31.5,34.65,34.65,34.65,34.65,34.65,34.65,1323,4584195000.0,67,1323,1.0
2020-02-12,RUCHI,EQ,34.65,36.35,36.35,36.35,36.35,36.35,36.35,363,1319505000.0,36,363,1.0
2020-02-13,RUCHI,EQ,36.35,38.15,38.15,38.15,38.15,38.15,38.15,793,3025295000.0,54,793,1.0
2020-02-14,RUCHI,EQ,38.15,40.05,40.05,40.05,40.05,40.05,40.05,1908,7641539999.999999,49,1908,1.0
2020-02-17,RUCHI,EQ,40.05,42.05,42.05,42.05,42.05,42.05,42.05,213,895665000.0,43,213,1.0
2020-02-18,RUCHI,EQ,42.05,44.15,44.15,44.15,44.15,44.15,44.15,946,4176590000.0,41,946,1.0
2020-02-19,RUCHI,EQ,44.15,46.35,46.35,46.35,46.35,46.35,46.35,394,1826190000.0000002,36,394,1.0
2020-02-20,RUCHI,EQ,46.35,48.65,48.65,48.65,48.65,48.65,48.65,1652,8036980000.0,48,1652,1.0
2020-02-24,RUCHI,EQ,48.65,51.05,51.05,51.05,51.05,51.05,51.05,523,2669915000.0,42,523,1.0
2020-02-25,RUCHI,EQ,51.05,53.6,53.6,53.6,53.6,53.6,53.6,245,1313200000.0,33,245,1.0
2020-02-26,RUCHI,EQ,53.6,56.25,56.25,56.25,56.25,56.25,56.25,387,2176875000.0,22,387,1.0
2020-02-27,RUCHI,EQ,56.25,59.05,59.05,59.05,59.05,59.05,59.05,246,1452630000.0,36,246,1.0
2020-02-28,RUCHI,EQ,59.05,62.0,62.0,62.0,62.0,62.0,62.0,749,4643800000.0,51,749,1.0
