Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-02,SATHVANISP,EQ,9.5,9.0,9.0,9.0,,9.0,9.0,100,90000000.0,,,
1996-01-03,SATHVANISP,EQ,9.0,9.0,9.0,9.0,,9.0,9.0,100,90000000.0,,,
1996-01-04,SATHVANISP,EQ,9.0,8.95,9.4,8.95,,9.3,9.04,4200,3797000000.0,,,
1996-01-05,SATHVANISP,EQ,9.3,9.3,9.5,8.5,,8.5,8.58,1200,1030000000.0,,,
1996-01-08,SATHVANISP,EQ,8.5,9.0,9.0,9.0,,9.0,9.0,100,90000000.0,,,
1996-01-16,SATHVANISP,EQ,9.0,9.0,9.0,8.5,,8.5,8.67,300,260000000.0,,,
1996-01-19,SATHVANISP,EQ,8.5,8.5,8.0,8.0,,8.0,8.0,100,80000000.0,,,
1996-01-24,SATHVANISP,EQ,8.0,8.0,8.0,8.0,,8.0,8.0,1000,800000000.0,,,
1996-01-31,SATHVANISP,EQ,8.0,8.0,7.45,7.45,,7.45,7.45,100,74500000.0,,,
1996-02-01,SATHVANISP,EQ,7.45,8.2,8.2,8.2,,8.2,8.2,500,410000000.0,,,
1996-02-02,SATHVANISP,EQ,8.2,8.95,9.0,8.5,,8.5,8.95,1100,984500000.0,,,
1996-02-12,SATHVANISP,EQ,8.5,9.0,9.0,9.0,,9.0,9.0,500,450000000.0,,,
1996-02-13,SATHVANISP,EQ,9.0,9.0,9.0,9.0,,9.0,9.0,400,360000000.0,,,
1996-02-14,SATHVANISP,EQ,9.0,9.5,9.5,9.0,,9.0,9.42,600,565000000.0,,,
1996-02-15,SATHVANISP,EQ,9.0,9.0,9.05,9.0,,9.0,9.01,4300,3874000000.0,,,
1996-02-16,SATHVANISP,EQ,9.0,9.0,9.0,8.75,,9.0,8.95,1400,1253500000.0,,,
1996-02-19,SATHVANISP,EQ,9.0,8.75,9.0,8.7,,8.7,8.75,4700,4112000000.0,,,
1996-02-20,SATHVANISP,EQ,8.7,8.75,8.75,8.75,,8.75,8.75,1200,1050000000.0,,,
1996-02-22,SATHVANISP,EQ,8.75,8.75,8.75,8.75,,8.75,8.75,1000,875000000.0,,,
1996-02-23,SATHVANISP,EQ,8.75,8.75,8.75,8.75,,8.75,8.75,700,612500000.0,,,
1996-02-26,SATHVANISP,EQ,8.75,9.0,9.0,9.0,,9.0,9.0,200,180000000.0,,,
1996-02-27,SATHVANISP,EQ,9.0,9.0,9.0,8.25,,8.25,8.41,4300,3617500000.0,,,
1996-02-28,SATHVANISP,EQ,8.25,8.75,8.75,8.4,,8.4,8.6,400,344000000.0,,,
1996-02-29,SATHVANISP,EQ,8.4,8.4,8.4,8.4,,8.4,8.4,200,168000000.0,,,
1996-03-01,SATHVANISP,EQ,8.4,8.25,8.25,8.25,,8.25,8.25,200,165000000.0,,,
1996-03-04,SATHVANISP,EQ,8.25,8.25,8.25,8.2,,8.25,8.22,300,246500000.0,,,
1996-03-06,SATHVANISP,EQ,8.25,8.0,8.0,8.0,,8.0,8.0,200,160000000.0,,,
1996-03-07,SATHVANISP,EQ,8.0,7.75,7.8,7.4,,7.4,7.73,4000,3090000000.0,,,
