Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-09-21,SHAREINDIA,EQ,105.0,110.0,119.8,107.3,109.8,109.6,113.87,81349,926353219999.9999,1217,57622,0.7083
2020-09-22,SHAREINDIA,EQ,109.6,109.6,109.9,96.25,103.95,100.35,102.08,14468,147682390000.0,340,6407,0.4428
2020-09-23,SHAREINDIA,EQ,100.35,103.0,104.4,96.0,103.9,99.9,101.75,4966,50529295000.0,148,3568,0.7184999999999999
2020-09-24,SHAREINDIA,EQ,99.9,103.0,103.0,97.5,100.0,100.2,100.16,6047,60566910000.0,311,4837,0.7998999999999999
2020-09-25,SHAREINDIA,EQ,100.2,104.0,106.0,98.1,105.0,104.7,103.69,31355,325125140000.0,212,13556,0.43229999999999996
2020-09-28,SHAREINDIA,EQ,104.7,104.5,106.95,101.25,103.5,103.7,104.41,13502,140975875000.0,106,1804,0.1336
2020-09-29,SHAREINDIA,EQ,103.7,103.75,104.3,101.5,102.0,102.0,103.37,17805,184048055000.0,132,4804,0.2698
2020-09-30,SHAREINDIA,EQ,102.0,102.3,103.95,100.8,103.7,103.7,102.62,27115,278247570000.0,112,10169,0.375
2020-10-01,SHAREINDIA,EQ,103.7,104.0,104.5,101.0,101.0,101.2,102.98,11245,115804980000.0,140,2803,0.2493
2020-10-05,SHAREINDIA,EQ,101.2,102.0,104.0,101.1,101.15,101.85,102.29,18058,184722020000.0,205,4614,0.2555
2020-10-06,SHAREINDIA,EQ,101.85,101.0,108.5,97.3,105.2,106.4,103.25,26637,275038790000.0,279,14092,0.529
2020-10-07,SHAREINDIA,EQ,106.4,103.55,107.0,103.5,103.6,104.5,104.61,30699,321152775000.0,258,1753,0.0571
2020-10-08,SHAREINDIA,EQ,104.5,103.5,104.65,103.0,103.0,103.95,103.9,13631,141620160000.0,103,1232,0.0904
2020-10-09,SHAREINDIA,EQ,103.95,102.6,103.95,100.75,102.9,102.2,102.6,12649,129778639999.99998,109,959,0.0758
2020-10-12,SHAREINDIA,EQ,102.2,103.5,103.5,101.0,101.1,101.7,102.39,13369,136879710000.00002,210,1587,0.1187
2020-10-13,SHAREINDIA,EQ,101.7,103.2,103.2,101.0,101.2,101.6,101.79,19238,195819795000.0,165,918,0.0477
2020-10-14,SHAREINDIA,EQ,101.6,99.55,103.25,97.6,97.6,99.0,101.35,6605,66939425000.0,159,1757,0.266
2020-10-15,SHAREINDIA,EQ,99.0,97.15,103.0,97.1,99.55,99.45,100.99,8113,81933810000.0,112,1763,0.21730000000000002
2020-10-16,SHAREINDIA,EQ,99.45,100.0,101.75,99.05,101.0,101.0,101.37,14234,144287495000.0,138,1756,0.1234
2020-10-19,SHAREINDIA,EQ,101.0,101.0,101.5,98.6,98.6,99.5,99.84,16974,169471385000.0,92,1628,0.0959
2020-10-20,SHAREINDIA,EQ,99.5,99.75,101.8,98.2,98.25,99.6,100.36,13182,132290480000.0,101,911,0.06910000000000001
2020-10-21,SHAREINDIA,EQ,99.6,99.0,101.05,99.0,100.5,100.0,100.32,15539,155892630000.0,71,3111,0.2002
2020-10-22,SHAREINDIA,EQ,100.0,98.2,101.2,98.2,100.9,100.65,100.62,12139,122142520000.0,38,88,0.0072
2020-10-23,SHAREINDIA,EQ,100.65,101.0,109.7,98.4,102.8,102.05,102.17,8724,89132540000.0,77,2490,0.2854
2020-10-26,SHAREINDIA,EQ,102.05,102.4,103.4,92.2,100.3,100.85,100.68,20340,204778700000.0,134,2282,0.11220000000000001
2020-10-27,SHAREINDIA,EQ,100.85,102.4,103.5,100.65,103.0,102.15,102.62,18699,191896225000.0,138,5256,0.2811
2020-10-28,SHAREINDIA,EQ,102.15,102.0,104.35,101.35,103.5,102.45,102.33,14130,144588710000.0,77,386,0.0273
2020-10-29,SHAREINDIA,EQ,102.45,101.5,102.65,100.1,100.8,101.1,101.72,14587,148375850000.0,53,576,0.0395
2020-10-30,SHAREINDIA,EQ,101.1,100.6,105.0,99.0,99.95,99.35,101.3,27976,283404505000.0,268,12097,0.4324
2020-11-02,SHAREINDIA,EQ,99.35,99.4,101.05,99.4,100.25,100.25,100.32,15115,151640085000.0,41,2755,0.18230000000000002
2020-11-03,SHAREINDIA,EQ,100.25,100.0,100.9,98.05,98.05,98.05,99.7,12290,122525855000.0,29,288,0.0234
2020-11-04,SHAREINDIA,EQ,98.05,99.0,99.7,99.0,99.4,99.0,99.27,12702,126095025000.0,33,642,0.050499999999999996
2020-11-05,SHAREINDIA,EQ,99.0,100.5,104.75,100.25,101.7,101.9,102.07,19356,197574360000.0,67,6606,0.34130000000000005
2020-11-06,SHAREINDIA,EQ,101.9,101.05,102.25,97.1,99.7,99.65,101.06,17611,177975255000.0,167,5199,0.2952
2020-11-09,SHAREINDIA,EQ,99.65,99.65,101.35,98.45,101.0,101.0,99.73,7159,71398830000.0,38,2157,0.3013
2020-11-10,SHAREINDIA,EQ,101.0,102.0,102.8,99.0,100.5,100.5,101.7,21510,218760529999.99997,63,1431,0.0665
2020-11-11,SHAREINDIA,EQ,100.5,102.0,102.0,99.0,102.0,101.95,100.57,13339,134154880000.0,87,1074,0.0805
2020-11-12,SHAREINDIA,EQ,101.95,103.9,103.9,99.05,100.95,100.2,101.24,3523,35666885000.0,55,1309,0.3716
2020-11-13,SHAREINDIA,EQ,100.2,102.5,103.25,100.0,101.2,100.95,100.61,14116,142025320000.0,29,2107,0.1493
2020-11-14,SHAREINDIA,EQ,100.95,103.9,105.0,100.0,102.75,101.7,101.8,10937,111337760000.00002,91,5353,0.4894
2020-11-17,SHAREINDIA,EQ,101.7,101.0,103.7,100.1,101.75,101.55,101.14,14295,144578470000.0,140,2934,0.2052
2020-11-18,SHAREINDIA,EQ,101.55,103.0,103.5,100.3,101.75,101.75,101.15,16241,164273210000.0,71,3699,0.2278
2020-11-19,SHAREINDIA,EQ,101.75,100.0,121.95,99.5,107.5,106.95,108.91,34958,380712120000.0,735,14186,0.4058
2020-11-20,SHAREINDIA,EQ,106.95,111.0,114.4,108.0,108.15,108.5,108.91,19634,213827335000.0,285,5584,0.28440000000000004
2020-11-23,SHAREINDIA,EQ,108.5,110.5,110.5,105.5,109.8,109.35,108.31,21263,230298254999.99997,382,6997,0.32909999999999995
2020-11-24,SHAREINDIA,EQ,109.35,105.05,109.9,105.0,105.0,105.5,107.65,15466,166492955000.0,155,3075,0.1988
2020-11-25,SHAREINDIA,EQ,105.5,104.5,108.0,103.0,106.0,104.8,105.71,47888,506203355000.0,133,35349,0.7382
2020-11-26,SHAREINDIA,EQ,104.8,104.75,107.95,103.7,105.4,104.45,105.05,11885,124849710000.00002,244,4075,0.3429
2020-11-27,SHAREINDIA,EQ,104.45,105.0,107.2,104.5,106.5,105.7,105.22,11583,121875275000.0,88,983,0.0849
2020-12-01,SHAREINDIA,EQ,105.7,106.5,111.0,104.5,108.0,108.95,107.28,16720,179365285000.0,150,4256,0.2545
2020-12-02,SHAREINDIA,EQ,108.95,109.75,109.75,106.1,107.9,107.85,108.79,15477,168377885000.0,154,2957,0.1911
2020-12-03,SHAREINDIA,EQ,107.85,109.0,112.1,107.1,108.0,110.75,108.79,21450,233352995000.00003,146,7750,0.3613
2020-12-04,SHAREINDIA,EQ,110.75,112.0,112.0,107.8,109.9,109.9,110.34,12324,135979430000.0,85,7055,0.5725
2020-12-07,SHAREINDIA,EQ,109.9,117.9,131.0,110.95,125.4,123.9,121.2,45640,553146860000.0,733,24731,0.5418999999999999
2020-12-08,SHAREINDIA,EQ,123.9,124.0,124.0,115.6,118.5,118.0,118.72,20030,237795654999.99997,369,6456,0.3223
2020-12-09,SHAREINDIA,EQ,118.0,118.5,130.95,108.0,126.0,126.2,124.24,31525,391680095000.0,541,13836,0.4389
2020-12-10,SHAREINDIA,EQ,126.2,126.0,132.0,118.1,124.0,125.3,124.72,17629,219877640000.0,171,4207,0.2386
2020-12-11,SHAREINDIA,EQ,125.3,129.85,130.0,115.6,126.4,125.9,124.83,18352,229094645000.00003,198,1314,0.0716
2020-12-14,SHAREINDIA,EQ,125.9,129.8,151.05,126.0,151.05,151.05,142.62,320183,4566415700000.0,1504,289382,0.9037999999999999
2020-12-15,SHAREINDIA,EQ,151.05,157.0,181.2,155.1,169.9,171.05,170.73,464176,7925059259999.999,8531,276693,0.5961
2020-12-16,SHAREINDIA,EQ,171.05,172.0,177.9,162.2,169.95,170.25,169.54,124421,2109471375000.0,2951,47945,0.38530000000000003
2020-12-17,SHAREINDIA,EQ,170.25,170.0,172.5,165.0,166.4,166.05,167.9,24957,419018090000.0,585,11569,0.4636
2020-12-18,SHAREINDIA,EQ,166.05,169.7,176.55,162.1,171.45,169.85,170.13,57284,974587340000.0,1130,34178,0.5966
2020-12-21,SHAREINDIA,EQ,169.85,165.5,173.9,165.1,166.0,165.7,169.95,24009,408030870000.0,494,15246,0.635
2020-12-22,SHAREINDIA,EQ,165.7,171.9,171.9,160.0,167.1,167.2,164.65,47760,786350535000.0,658,34800,0.7286
2020-12-23,SHAREINDIA,EQ,167.2,165.5,171.95,165.5,168.05,167.7,168.87,17595,297127330000.0,370,14508,0.8246
2020-12-24,SHAREINDIA,EQ,167.7,167.95,172.0,166.0,170.0,170.0,169.32,14499,245495335000.0,279,8921,0.6153000000000001
2020-12-28,SHAREINDIA,EQ,170.0,171.5,172.9,165.05,169.5,170.05,167.16,297929,4980035690000.0,550,288293,0.9677
2020-12-29,SHAREINDIA,EQ,170.05,171.0,173.0,166.4,167.0,166.95,169.88,14408,244767320000.00003,315,10034,0.6964
2020-12-30,SHAREINDIA,EQ,166.95,168.0,171.9,166.1,171.9,170.65,169.78,14866,252390354999.99997,246,10865,0.7309
2020-12-31,SHAREINDIA,EQ,170.65,174.9,187.7,170.5,180.0,180.15,180.57,85088,1536446245000.0,1953,53224,0.6255
