Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-10-22,SHRADHA,EQ,37.8,39.65,39.65,38.0,38.0,38.0,39.41,1403,5528580000.0,23,1197,0.8532
2020-10-23,SHRADHA,EQ,38.0,39.0,39.9,37.1,39.9,39.9,39.3,2626,10321275000.0,16,2603,0.9912000000000001
2020-10-26,SHRADHA,EQ,39.9,41.5,41.85,40.0,40.0,40.0,40.32,2960,11933715000.0,29,2460,0.8311000000000001
2020-10-27,SHRADHA,EQ,40.0,38.5,41.45,38.0,41.05,41.15,38.89,2682,10431005000.0,17,1756,0.6547
2020-10-28,SHRADHA,EQ,41.15,42.95,42.95,40.15,42.95,42.95,42.94,507,2177285000.0,10,506,0.998
2020-10-29,SHRADHA,EQ,42.95,45.05,45.05,45.0,45.05,45.05,45.04,3338,15035190000.0,14,3338,1.0
2020-10-30,SHRADHA,EQ,45.05,47.3,47.3,47.3,47.3,47.3,47.3,516,2440680000.0,8,506,0.9806
2020-11-02,SHRADHA,EQ,47.3,49.6,49.6,49.6,49.6,49.6,49.6,300,1488000000.0,2,300,1.0
2020-11-03,SHRADHA,EQ,49.6,51.55,52.05,47.15,47.15,47.85,50.0,279,1395100000.0,9,259,0.9283
2020-11-04,SHRADHA,EQ,47.85,50.0,50.0,45.5,45.5,45.5,45.9,2253,10341250000.0,27,2248,0.9978
2020-11-05,SHRADHA,EQ,45.5,45.5,45.5,43.25,43.25,43.25,43.27,101,437050000.0,2,101,1.0
2020-11-06,SHRADHA,EQ,43.25,43.25,45.4,43.25,45.4,45.4,45.35,2308,10466495000.0,7,2308,1.0
2020-11-09,SHRADHA,EQ,45.4,47.65,47.65,47.65,47.65,47.65,47.65,254,1210310000.0,5,254,1.0
2020-11-10,SHRADHA,EQ,47.65,45.3,49.85,45.3,49.5,49.5,47.82,2332,11151340000.0,36,2308,0.9897
2020-11-11,SHRADHA,EQ,49.5,49.5,51.95,49.5,51.0,51.0,51.49,1604,8258239999.999999,13,1604,1.0
2020-11-12,SHRADHA,EQ,51.0,51.0,53.55,48.5,53.55,53.55,52.72,1793,9452070000.0,16,1791,0.9989
2020-11-13,SHRADHA,EQ,53.55,56.2,56.2,51.15,56.1,56.15,54.75,1613,8830710000.0,38,1025,0.6355
2020-11-14,SHRADHA,EQ,56.15,58.95,58.95,58.0,58.95,58.85,58.87,1347,7930320000.0,18,1049,0.7787999999999999
2020-11-17,SHRADHA,EQ,58.85,61.75,61.75,56.0,59.0,59.0,60.88,4170,25385630000.0,65,2435,0.5839
