Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-07-30,SUMIT,EQ,23.1,26.95,26.95,21.1,22.5,22.95,23.59,58315,137583500000.0,134,5250,0.09
2019-07-31,SUMIT,EQ,22.95,20.3,24.0,19.9,23.75,22.95,20.67,58296,120511530000.0,102,18841,0.3232
2019-08-01,SUMIT,EQ,22.95,19.6,24.0,19.6,23.15,23.1,23.1,21092,48713500000.0,33,880,0.0417
2019-08-02,SUMIT,EQ,23.1,23.9,23.9,22.8,23.2,23.15,23.26,22413,52123165000.0,50,1337,0.059699999999999996
2019-08-05,SUMIT,EQ,23.15,23.5,23.5,21.95,23.0,23.0,22.63,15284,34585940000.0,27,284,0.018600000000000002
2019-08-06,SUMIT,EQ,23.0,23.3,23.45,20.35,23.45,23.45,23.3,25454,59313660000.0,162,375,0.0147
2019-08-07,SUMIT,EQ,23.45,23.5,23.5,22.0,23.45,23.45,22.52,40752,91760675000.0,10,40700,0.9987
2019-08-08,SUMIT,EQ,23.45,23.5,23.5,22.2,23.0,22.7,22.78,623,1419460000.0,9,545,0.8748
2019-08-09,SUMIT,EQ,22.7,24.0,24.0,22.25,23.65,22.8,23.29,22086,51444830000.0,50,2055,0.09300000000000001
2019-08-13,SUMIT,EQ,22.8,23.75,23.75,20.5,23.5,23.5,23.48,83278,195573370000.0,46,72581,0.8715999999999999
2019-08-14,SUMIT,EQ,23.5,24.65,24.65,20.75,23.4,23.4,22.67,2704,6129430000.0,16,2678,0.9904000000000001
2019-08-16,SUMIT,EQ,23.4,23.55,23.55,23.45,23.45,23.45,23.53,14,32939999.999999996,3,14,1.0
2019-08-19,SUMIT,EQ,23.45,24.0,24.0,18.8,19.95,19.6,20.75,37665,78170400000.0,128,18000,0.4779
2019-08-20,SUMIT,EQ,19.6,22.9,22.9,17.35,20.7,20.6,20.1,6453,12970020000.0,70,2170,0.33630000000000004
2019-08-21,SUMIT,EQ,20.6,22.8,22.8,17.05,20.55,20.55,19.98,901,1799940000.0000002,28,568,0.6304
2019-08-22,SUMIT,EQ,20.55,21.0,21.0,17.0,18.0,17.9,17.38,7596,13198445000.000002,32,6242,0.8217
2019-08-23,SUMIT,EQ,17.9,16.65,19.65,16.65,19.3,19.3,18.91,1198,2266000000.0,30,182,0.1519
2019-08-26,SUMIT,EQ,19.3,17.9,19.3,17.9,19.3,19.3,18.2,8,14560000.0,5,6,0.75
2019-08-27,SUMIT,EQ,19.3,19.95,19.95,19.95,19.95,19.95,19.95,501,999495000.0000001,4,501,1.0
2019-08-28,SUMIT,EQ,19.95,21.9,21.9,18.0,19.75,19.75,18.27,8572,15661710000.0,24,7563,0.8823000000000001
2019-08-30,SUMIT,EQ,19.75,17.55,21.8,16.2,21.8,18.5,18.44,5966,10998705000.0,38,3951,0.6623
2019-09-03,SUMIT,EQ,18.5,20.3,20.35,18.1,20.05,20.05,19.57,6618,12953025000.0,40,2725,0.4118
2019-09-04,SUMIT,EQ,20.05,21.7,21.7,18.05,19.5,19.5,19.1,3502,6687810000.000001,33,3355,0.958
2019-09-05,SUMIT,EQ,19.5,18.15,19.0,16.6,17.0,17.05,17.57,6123,10759595000.0,29,4700,0.7676000000000001
2019-09-06,SUMIT,EQ,17.05,18.35,18.35,16.75,18.3,17.15,17.62,1227,2162245000.0,14,940,0.7661
2019-09-09,SUMIT,EQ,17.15,18.3,18.9,17.55,18.7,18.6,18.39,703,1292790000.0,17,677,0.963
2019-09-11,SUMIT,EQ,18.6,18.7,19.2,17.5,19.1,18.95,18.74,174,326160000.0,13,173,0.9943000000000001
2019-09-12,SUMIT,EQ,18.95,18.9,19.9,17.05,19.5,19.4,19.22,3593,6905035000.000001,26,3339,0.9293000000000001
2019-09-13,SUMIT,EQ,19.4,21.0,21.0,18.5,19.3,19.25,18.81,1710,3215755000.0,19,1177,0.6883
2019-09-16,SUMIT,EQ,19.25,19.3,19.3,17.5,19.25,18.0,18.16,5621,10210380000.0,38,3983,0.7086
2019-09-17,SUMIT,EQ,18.0,19.95,19.95,17.85,19.0,18.35,18.67,895,1671305000.0,36,475,0.5307000000000001
2019-09-18,SUMIT,EQ,18.35,19.0,19.0,19.0,19.0,19.0,19.0,45,85500000.0,2,45,1.0
