Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-12-04,SUPREMEENG,EQ,24.9,27.35,27.35,22.45,25.7,25.45,24.48,291513,713632360000.0,569,109553,0.37579999999999997
2020-12-07,SUPREMEENG,EQ,25.45,26.0,26.0,24.2,24.2,24.2,24.43,84822,207200510000.0,185,62650,0.7386
2020-12-08,SUPREMEENG,EQ,24.2,23.35,25.4,23.25,24.95,24.45,24.68,62027,153084685000.0,73,59152,0.9536
2020-12-09,SUPREMEENG,EQ,24.45,25.0,25.65,24.0,25.65,25.45,25.18,42845,107872400000.0,81,37854,0.8835
2020-12-10,SUPREMEENG,EQ,25.45,25.5,25.5,24.5,24.8,24.8,24.8,9883,24506610000.0,43,7793,0.7885
2020-12-11,SUPREMEENG,EQ,24.8,25.0,25.8,24.2,24.85,24.85,24.82,1866,4631375000.0,15,1253,0.6715000000000001
2020-12-14,SUPREMEENG,EQ,24.85,23.65,25.4,23.65,24.7,24.05,23.81,43436,103428465000.0,93,33945,0.7815000000000001
2020-12-15,SUPREMEENG,EQ,24.05,24.0,25.0,23.1,23.35,23.95,24.01,7806,18743125000.0,40,5671,0.7265
2020-12-16,SUPREMEENG,EQ,23.95,24.0,24.8,24.0,24.7,24.7,24.65,5008,12344770000.0,14,5008,1.0
2020-12-17,SUPREMEENG,EQ,24.7,24.05,25.8,23.6,23.9,25.05,24.8,24262,60164940000.0,37,21195,0.8736
2020-12-18,SUPREMEENG,EQ,25.05,25.0,25.0,24.15,24.5,24.55,24.58,2047,5031980000.0,15,1847,0.9023000000000001
2020-12-21,SUPREMEENG,EQ,24.55,25.4,25.4,23.35,23.35,23.35,23.85,18276,43591275000.0,55,12312,0.6737000000000001
2020-12-22,SUPREMEENG,EQ,23.35,24.4,24.4,22.25,22.4,22.75,23.15,5981,13844310000.0,34,4420,0.7390000000000001
2020-12-23,SUPREMEENG,EQ,22.75,22.15,23.75,22.1,22.95,23.35,22.89,8761,20050345000.0,41,6506,0.7426
2020-12-24,SUPREMEENG,EQ,23.35,24.25,24.35,22.7,23.45,22.95,23.79,4374,10405250000.0,19,4324,0.9886
2020-12-28,SUPREMEENG,EQ,22.95,24.0,24.0,23.0,23.8,23.75,23.53,4817,11334835000.0,26,3200,0.6643000000000001
2020-12-29,SUPREMEENG,EQ,23.75,24.7,24.9,23.3,24.25,24.05,24.06,15122,36387375000.0,55,7073,0.46770000000000006
2020-12-30,SUPREMEENG,EQ,24.05,23.5,24.95,23.2,24.25,24.35,23.97,9582,22967405000.0,29,6036,0.6299
2020-12-31,SUPREMEENG,EQ,24.35,23.35,25.15,23.35,23.8,24.45,24.6,18336,45105810000.0,66,9456,0.5157
