Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-10-19,SUULD,EQ,59.3,62.25,62.25,62.25,62.25,62.25,62.25,27036,168299100000.0,13,27036,1.0
2020-10-20,SUULD,EQ,62.25,65.35,65.35,65.35,65.35,65.35,65.35,125808,822155280000.0,66,80099,0.6367
2020-10-21,SUULD,EQ,65.35,68.6,68.6,68.6,68.6,68.6,68.6,1853,12711580000.0,6,1552,0.8376000000000001
2020-10-22,SUULD,EQ,68.6,72.0,72.0,72.0,72.0,72.0,72.0,750,5400000000.0,3,750,1.0
2020-10-23,SUULD,EQ,72.0,75.6,75.6,75.6,75.6,75.6,75.6,32889,248640840000.0,15,32889,1.0
2020-10-26,SUULD,EQ,75.6,79.35,79.35,79.35,79.35,79.35,79.35,12390,98314650000.0,11,11390,0.9193000000000001
2020-10-27,SUULD,EQ,79.35,83.3,83.3,83.3,83.3,83.3,83.3,10800,89964000000.0,8,10800,1.0
2020-10-28,SUULD,EQ,83.3,87.45,87.45,83.5,87.45,87.45,86.28,136106,1174300985000.0,282,113739,0.8357
2020-10-29,SUULD,EQ,87.45,91.8,91.8,89.4,91.8,91.8,91.66,20627,189076450000.0,65,16188,0.7848
2020-10-30,SUULD,EQ,91.8,96.35,96.35,96.35,96.35,96.35,96.35,20307,195657945000.0,94,16658,0.8203
2020-11-02,SUULD,EQ,96.35,101.15,101.15,98.05,101.0,101.0,100.71,241079,2427809010000.0,881,201296,0.835
2020-11-03,SUULD,EQ,101.0,106.0,106.05,100.0,104.75,104.8,102.26,177616,1816331145000.0,772,150981,0.85
2020-11-04,SUULD,EQ,104.8,110.0,110.0,100.25,104.0,101.95,101.82,188226,1916477880000.0,861,117992,0.6269
2020-11-05,SUULD,EQ,101.95,104.0,106.75,100.75,101.25,101.7,101.66,125405,1274897100000.0,604,70163,0.5595
2020-11-06,SUULD,EQ,101.7,106.75,106.75,101.0,103.0,103.4,103.52,84521,874972715000.0,333,72236,0.8547
